identifier|generation|hp|attack|defense|special_attack|special_defense|speed|best_attack|total_attack|total_defense|total_hp_and_defense|attack_and_speed|special_attack_and_speed|best_attack_and_speed
slaking|3|150|160|100|95|65|100|160|255|165|315|260|195|260
mewtwo|1|106|110|90|154|90|130|154|264|180|286|240|284|284
deoxys-normal|3|50|150|50|150|50|150|150|300|100|150|300|300|300
dialga|4|100|120|120|150|100|90|150|270|220|320|210|240|240
groudon|3|100|150|140|100|90|90|150|250|230|330|240|190|240
kyogre|3|100|100|90|150|140|90|150|250|230|330|190|240|240
palkia|4|90|120|100|150|120|100|150|270|220|310|220|250|250
rayquaza|3|105|150|90|150|90|95|150|300|180|285|245|245|245
reshiram|5|100|120|100|150|120|90|150|270|220|320|210|240|240
zekrom|5|100|150|120|120|100|90|150|270|220|320|240|210|240
haxorus|5|76|147|90|60|70|97|147|207|160|236|244|157|244
archeops|5|75|140|65|112|65|110|140|252|130|205|250|222|250
darmanitan-standard|5|105|140|55|30|55|95|140|170|110|215|235|125|235
alakazam|1|55|50|45|135|95|120|135|185|140|195|170|255|255
porygon-z|4|85|80|70|135|75|90|135|215|145|230|170|225|225
salamence|3|95|135|80|110|80|100|135|245|160|255|235|210|235
volcarona|5|85|60|65|135|105|100|135|195|170|255|160|235|235
espeon|2|65|65|60|130|95|110|130|195|155|220|175|240|240
garchomp|4|108|130|95|80|85|102|130|210|180|288|232|182|232
gengar|1|60|65|60|130|75|110|130|195|135|195|175|240|240
ho-oh|2|106|130|90|110|154|90|130|240|244|350|220|200|220
kyurem|5|125|130|90|130|90|95|130|260|180|305|225|225|225
latios|3|80|90|80|130|110|110|130|220|190|270|200|240|240
keldeo-ordinary|5|91|72|90|129|90|108|129|201|180|271|180|237|237
terrakion|5|91|129|90|72|90|108|129|201|180|271|237|180|237
meloetta-aria|5|100|77|77|128|128|90|128|205|205|305|167|218|218
azelf|4|75|125|70|125|70|115|125|250|140|215|240|240|240
hydreigon|5|92|105|90|125|90|98|125|230|180|272|203|223|223
landorus-incarnate|5|89|125|90|115|80|101|125|240|170|259|226|216|226
mienshao|5|65|125|60|95|60|105|125|220|120|185|230|200|230
moltres|1|90|100|90|125|85|90|125|225|175|265|190|215|215
roserade|4|60|70|65|125|105|90|125|195|170|230|160|215|215
thundurus-incarnate|5|79|115|70|125|80|111|125|240|150|229|226|236|236
tornadus-incarnate|5|79|115|70|125|80|111|125|240|150|229|226|236|236
zapdos|1|90|90|85|125|90|100|125|215|175|265|190|225|225
electivire|4|75|123|67|95|85|95|123|218|152|227|218|190|218
genesect|5|71|120|95|120|95|99|120|240|190|261|219|219|219
kadabra|1|40|35|30|120|70|105|120|155|100|140|140|225|225
sharpedo|3|70|120|40|95|40|95|120|215|80|150|215|190|215
staraptor|4|85|120|70|50|60|100|120|170|130|215|220|150|220
weavile|4|70|120|65|45|85|125|120|165|150|220|245|170|245
zoroark|5|60|105|60|120|60|105|120|225|120|180|210|225|225
krookodile|5|95|117|80|65|70|92|117|182|150|245|209|157|209
yanmega|4|86|76|86|116|56|95|116|192|142|228|171|211|211
entei|2|115|115|85|90|75|100|115|205|160|275|215|190|215
haunter|1|45|50|45|115|55|95|115|165|100|145|145|210|210
jynx|1|65|50|35|115|95|95|115|165|130|195|145|210|210
