 Total battles: 5
 Avg. weight/team: 0.5
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Arcanine           | 62.53527% | 5      | 50.000% | 1      | 12.500% | 
 | 2    | Tangrowth          | 49.97281% | 4      | 40.000% | 2      | 25.000% | 
 | 3    | Scyther            | 49.97281% | 4      | 40.000% | 4      | 50.000% | 
 | 4    | Exeggutor          | 37.41036% | 3      | 30.000% | 3      | 37.500% | 
 | 5    | Jumpluff           | 37.41036% | 3      | 30.000% | 1      | 12.500% | 
 | 6    | Typhlosion         | 37.41036% | 3      | 30.000% | 2      | 25.000% | 
 | 7    | Milotic            | 27.43754% | 3      | 30.000% | 2      | 25.000% | 
 | 8    | Quagsire           | 22.58964% | 3      | 30.000% | 3      | 37.500% | 
 | 9    | Spiritomb          | 22.58964% | 3      | 30.000% | 3      | 37.500% | 
 | 10   | Nidoking           | 22.58964% | 3      | 30.000% | 3      | 37.500% | 
 | 11   | Steelix            | 22.58964% | 3      | 30.000% | 3      | 37.500% | 
 | 12   | Espeon             | 22.58964% | 3      | 30.000% | 3      | 37.500% | 
 | 13   | Omastar            | 22.58964% | 3      | 30.000% | 3      | 37.500% | 
 | 14   | Registeel          | 20.00000% | 2      | 20.000% | 2      | 25.000% | 
 | 15   | Rotom              | 20.00000% | 2      | 20.000% | 2      | 25.000% | 
 | 16   | Donphan            | 20.00000% | 2      | 20.000% | 2      | 25.000% | 
 | 17   | Manectric          | 12.56246% | 1      | 10.000% | 0      |  0.000% | 
 | 18   | Swellow            | 12.56246% | 1      | 10.000% | 1      | 12.500% | 
 | 19   | Golduck            | 12.56246% | 1      | 10.000% | 1      | 12.500% | 
 | 20   | Floatzel           | 12.56246% | 1      | 10.000% | 1      | 12.500% | 
 | 21   | Weezing            |  7.43754% | 1      | 10.000% | 1      | 12.500% | 
 | 22   | Moltres            |  7.43754% | 1      | 10.000% | 1      | 12.500% | 
 | 23   | Uxie               |  7.43754% | 1      | 10.000% | 1      | 12.500% | 
 | 24   | Butterfree         |  7.43754% | 1      | 10.000% | 1      | 12.500% | 
 | 25   | Miltank            |  7.43754% | 1      | 10.000% | 1      | 12.500% | 
 | 26   | Dragonair          |  7.43754% | 1      | 10.000% | 0      |  0.000% | 
 | 27   | Clefable           |  7.43754% | 1      | 10.000% | 1      | 12.500% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
