 Total leads: 10
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Claydol            |  0.00000% | 2      | 20.000% | 
 | 2    | Scyther            |  0.00000% | 1      | 10.000% | 
 | 3    | Steelix            |  0.00000% | 1      | 10.000% | 
 | 4    | Miltank            |  0.00000% | 2      | 20.000% | 
 | 5    | Ambipom            |  0.00000% | 1      | 10.000% | 
 | 6    | Venusaur           |  0.00000% | 1      | 10.000% | 
 | 7    | Ursaring           |  0.00000% | 1      | 10.000% | 
 | 8    | Torkoal            |  0.00000% | 1      | 10.000% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
