 Total leads: 10270
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Machamp            |  9.36709% | 962    |  9.367% | 
 | 2    | Azelf              |  7.92600% | 814    |  7.926% | 
 | 3    | Aerodactyl         |  5.98832% | 615    |  5.988% | 
 | 4    | Heatran            |  5.90068% | 606    |  5.901% | 
 | 5    | Swampert           |  4.23564% | 435    |  4.236% | 
 | 6    | Metagross          |  4.19669% | 431    |  4.197% | 
 | 7    | Zapdos             |  3.40798% | 350    |  3.408% | 
 | 8    | Hippowdon          |  3.12561% | 321    |  3.126% | 
 | 9    | Infernape          |  3.04771% | 313    |  3.048% | 
 | 10   | Smeargle           |  2.93087% | 301    |  2.931% | 
 | 11   | Gengar             |  2.80428% | 288    |  2.804% | 
 | 12   | Crobat             |  2.38559% | 245    |  2.386% | 
 | 13   | Gyarados           |  2.32717% | 239    |  2.327% | 
 | 14   | Tyranitar          |  2.30769% | 237    |  2.308% | 
 | 15   | Roserade           |  2.17137% | 223    |  2.171% | 
 | 16   | Starmie            |  2.14216% | 220    |  2.142% | 
 | 17   | Empoleon           |  2.03505% | 209    |  2.035% | 
 | 18   | Gliscor            |  2.00584% | 206    |  2.006% | 
 | 19   | Celebi             |  1.78189% | 183    |  1.782% | 
 | 20   | Flygon             |  1.65531% | 170    |  1.655% | 
 | 21   | Jirachi            |  1.61636% | 166    |  1.616% | 
 | 22   | Dragonite          |  1.52872% | 157    |  1.529% | 
 | 23   | Forretress         |  1.41188% | 145    |  1.412% | 
 | 24   | Ambipom            |  1.20740% | 124    |  1.207% | 
 | 25   | Togekiss           |  1.11003% | 114    |  1.110% | 
 | 26   | Skarmory           |  1.08082% | 111    |  1.081% | 
 | 27   | Abomasnow          |  0.99318% | 102    |  0.993% | 
 | 28   | Jolteon            |  0.87634% | 90     |  0.876% | 
 | 29   | Ninjask            |  0.87634% | 90     |  0.876% | 
 | 30   | Bronzong           |  0.86660% | 89     |  0.867% | 
 | 31   | Staraptor          |  0.86660% | 89     |  0.867% | 
 | 32   | Blissey            |  0.74002% | 76     |  0.740% | 
 | 33   | Scizor             |  0.72055% | 74     |  0.721% | 
 | 34   | Gallade            |  0.61344% | 63     |  0.613% | 
 | 35   | Nidoqueen          |  0.60370% | 62     |  0.604% | 
 | 36   | Breloom            |  0.51607% | 53     |  0.516% | 
 | 37   | Cloyster           |  0.49659% | 51     |  0.497% | 
 | 38   | Froslass           |  0.46738% | 48     |  0.467% | 
 | 39   | Uxie               |  0.42843% | 44     |  0.428% | 
 | 40   | Mamoswine          |  0.41870% | 43     |  0.419% | 
 | 41   | Hariyama           |  0.38948% | 40     |  0.389% | 
 | 42   | Venusaur           |  0.38948% | 40     |  0.389% | 
 | 43   | Weavile            |  0.38948% | 40     |  0.389% | 
 | 44   | Raikou             |  0.31159% | 32     |  0.312% | 
 | 45   | Donphan            |  0.29211% | 30     |  0.292% | 
 | 46   | Tentacruel         |  0.29211% | 30     |  0.292% | 
 | 47   | Kingdra            |  0.29211% | 30     |  0.292% | 
 | 48   | Torterra           |  0.28238% | 29     |  0.282% | 
 | 49   | Magmortar          |  0.27264% | 28     |  0.273% | 
 | 50   | Alakazam           |  0.23369% | 24     |  0.234% | 
 | 51   | Blaziken           |  0.22395% | 23     |  0.224% | 
 | 52   | Electivire         |  0.22395% | 23     |  0.224% | 
 | 53   | Snorlax            |  0.21422% | 22     |  0.214% | 
 | 54   | Aggron             |  0.21422% | 22     |  0.214% | 
 | 55   | Lucario            |  0.20448% | 21     |  0.204% | 
 | 56   | Feraligatr         |  0.20448% | 21     |  0.204% | 
 | 57   | Pikachu            |  0.19474% | 20     |  0.195% | 
 | 58   | Dusknoir           |  0.18500% | 19     |  0.185% | 
 | 59   | Electrode          |  0.17527% | 18     |  0.175% | 
 | 60   | Luxray             |  0.17527% | 18     |  0.175% | 
 | 61   | Steelix            |  0.17527% | 18     |  0.175% | 
 | 62   | Cresselia          |  0.16553% | 17     |  0.166% | 
 | 63   | Vaporeon           |  0.16553% | 17     |  0.166% | 
 | 64   | Mismagius          |  0.15579% | 16     |  0.156% | 
 | 65   | Charizard          |  0.15579% | 16     |  0.156% | 
 | 66   | Armaldo            |  0.15579% | 16     |  0.156% | 
 | 67   | Arcanine           |  0.14606% | 15     |  0.146% | 
 | 68   | Suicune            |  0.13632% | 14     |  0.136% | 
 | 69   | Umbreon            |  0.13632% | 14     |  0.136% | 
 | 70   | Mesprit            |  0.12658% | 13     |  0.127% | 
 | 71   | Rotom-Wash         |  0.12658% | 13     |  0.127% | 
 | 72   | Medicham           |  0.12658% | 13     |  0.127% | 
 | 73   | Butterfree         |  0.11685% | 12     |  0.117% | 
 | 74   | Mr. Mime           |  0.11685% | 12     |  0.117% | 
 | 75   | Yanmega            |  0.11685% | 12     |  0.117% | 
 | 76   | Absol              |  0.10711% | 11     |  0.107% | 
 | 77   | Slowbro            |  0.10711% | 11     |  0.107% | 
 | 78   | Weezing            |  0.09737% | 10     |  0.097% | 
 | 79   | Blastoise          |  0.09737% | 10     |  0.097% | 
 | 80   | Tauros             |  0.09737% | 10     |  0.097% | 
