 Total battles: 57
 Avg. weight/team: 0.554
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Milotic            | 35.56595% | 37     | 32.456% | 30     | 31.858% | 
 | 2    | Alakazam           | 34.10637% | 38     | 33.333% | 26     | 27.611% | 
 | 3    | Arcanine           | 28.69660% | 29     | 25.439% | 22     | 23.363% | 
 | 4    | Scyther            | 26.35318% | 25     | 21.930% | 21     | 22.301% | 
 | 5    | Drapion            | 26.32372% | 27     | 23.684% | 23     | 24.425% | 
 | 6    | Registeel          | 21.39261% | 22     | 19.298% | 19     | 20.177% | 
 | 7    | Donphan            | 20.21394% | 20     | 17.544% | 18     | 19.115% | 
 | 8    | Rhyperior          | 18.72304% | 22     | 19.298% | 20     | 21.239% | 
 | 9    | Venusaur           | 17.13333% | 19     | 16.667% | 16     | 16.991% | 
 | 10   | Mismagius          | 16.13012% | 18     | 15.789% | 15     | 15.929% | 
 | 11   | Ambipom            | 16.06076% | 19     | 16.667% | 18     | 19.115% | 
 | 12   | Blaziken           | 15.83841% | 19     | 16.667% | 13     | 13.805% | 
 | 13   | Omastar            | 15.61671% | 14     | 12.281% | 14     | 14.867% | 
 | 14   | Clefable           | 15.13924% | 16     | 14.035% | 12     | 12.743% | 
 | 15   | Torterra           | 13.36374% | 14     | 12.281% | 10     | 10.619% | 
 | 16   | Hitmontop          | 13.30734% | 14     | 12.281% | 11     | 11.681% | 
 | 17   | Weezing            | 11.64217% | 12     | 10.526% | 10     | 10.619% | 
 | 18   | Feraligatr         |  9.84621% | 10     |  8.772% | 8      |  8.496% | 
 | 19   | Blastoise          |  9.49746% | 13     | 11.404% | 13     | 13.805% | 
 | 20   | Houndoom           |  8.40956% | 9      |  7.895% | 7      |  7.434% | 
 | 21   | Azumarill          |  8.04394% | 11     |  9.649% | 10     | 10.619% | 
 | 22   | Sceptile           |  7.75802% | 8      |  7.018% | 6      |  6.372% | 
 | 23   | Chansey            |  7.45765% | 9      |  7.895% | 9      |  9.558% | 
 | 24   | Toxicroak          |  7.45225% | 9      |  7.895% | 9      |  9.558% | 
 | 25   | Moltres            |  7.44421% | 8      |  7.018% | 6      |  6.372% | 
 | 26   | Lanturn            |  6.74133% | 6      |  5.263% | 3      |  3.186% | 
 | 27   | Aggron             |  6.47431% | 9      |  7.895% | 9      |  9.558% | 
 | 28   | Swellow            |  6.15344% | 7      |  6.140% | 6      |  6.372% | 
 | 29   | Cloyster           |  5.92415% | 6      |  5.263% | 4      |  4.248% | 
 | 30   | Rotom              |  5.81968% | 6      |  5.263% | 5      |  5.310% | 
 | 31   | Tangrowth          |  5.80983% | 8      |  7.018% | 8      |  8.496% | 
 | 32   | Altaria            |  5.61673% | 7      |  6.140% | 6      |  6.372% | 
 | 33   | Claydol            |  4.98375% | 5      |  4.386% | 5      |  5.310% | 
 | 34   | Ludicolo           |  4.98245% | 6      |  5.263% | 6      |  6.372% | 
 | 35   | Leafeon            |  4.97823% | 6      |  5.263% | 5      |  5.310% | 
 | 36   | Mesprit            |  4.87478% | 6      |  5.263% | 6      |  6.372% | 
 | 37   | Ursaring           |  4.84341% | 6      |  5.263% | 5      |  5.310% | 
 | 38   | Dugtrio            |  4.46458% | 5      |  4.386% | 5      |  5.310% | 
 | 39   | Kabutops           |  4.44712% | 6      |  5.263% | 6      |  6.372% | 
 | 40   | Nidoking           |  4.39197% | 5      |  4.386% | 5      |  5.310% | 
 | 41   | Spiritomb          |  4.33413% | 6      |  5.263% | 5      |  5.310% | 
 | 42   | Uxie               |  4.21675% | 5      |  4.386% | 4      |  4.248% | 
 | 43   | Magmortar          |  3.65360% | 5      |  4.386% | 3      |  3.186% | 
 | 44   | Absol              |  3.18381% | 5      |  4.386% | 5      |  5.310% | 
 | 45   | Exeggutor          |  3.16955% | 4      |  3.509% | 3      |  3.186% | 
 | 46   | Zangoose           |  3.16610% | 3      |  2.632% | 2      |  2.124% | 
 | 47   | Porygon2           |  3.16610% | 3      |  2.632% | 3      |  3.186% | 
 | 48   | Electrode          |  2.80421% | 3      |  2.632% | 3      |  3.186% | 
 | 49   | Ninetales          |  2.80055% | 4      |  3.509% | 3      |  3.186% | 
 | 50   | Glaceon            |  2.38954% | 3      |  2.632% | 2      |  2.124% | 
 | 51   | Raticate           |  2.37716% | 3      |  2.632% | 3      |  3.186% | 
 | 52   | Miltank            |  2.28183% | 3      |  2.632% | 3      |  3.186% | 
 | 53   | Hitmonlee          |  2.08385% | 3      |  2.632% | 3      |  3.186% | 
 | 54   | Kangaskhan         |  2.05238% | 3      |  2.632% | 3      |  3.186% | 
 | 55   | Meganium           |  1.97882% | 3      |  2.632% | 2      |  2.124% | 
 | 56   | Regirock           |  1.97244% | 2      |  1.754% | 2      |  2.124% | 
 | 57   | Walrein            |  1.78782% | 2      |  1.754% | 2      |  2.124% | 
 | 58   | Marowak            |  1.78782% | 2      |  1.754% | 2      |  2.124% | 
 | 59   | Crawdaunt          |  1.78782% | 2      |  1.754% | 2      |  2.124% | 
 | 60   | Misdreavus         |  1.78782% | 2      |  1.754% | 2      |  2.124% | 
 | 61   | Cradily            |  1.78782% | 2      |  1.754% | 1      |  1.062% | 
 | 62   | Rapidash           |  1.78782% | 2      |  1.754% | 2      |  2.124% | 
 | 63   | Manectric          |  1.78782% | 2      |  1.754% | 2      |  2.124% | 
 | 64   | Electabuzz         |  1.78782% | 2      |  1.754% | 2      |  2.124% | 
 | 65   | Mr. Mime           |  1.78782% | 2      |  1.754% | 2      |  2.124% | 
 | 66   | Steelix            |  1.76802% | 3      |  2.632% | 3      |  3.186% | 
 | 67   | Articuno           |  1.59788% | 2      |  1.754% | 1      |  1.062% | 
 | 68   | Armaldo            |  1.58477% | 2      |  1.754% | 2      |  2.124% | 
 | 69   | Luxray             |  1.56411% | 3      |  2.632% | 2      |  2.124% | 
 | 70   | Gastrodon          |  1.39259% | 2      |  1.754% | 2      |  2.124% | 
 | 71   | Regice             |  1.37638% | 2      |  1.754% | 1      |  1.062% | 
