 Total battles: 7600
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Skarmory           | 18.96053% | 2882   | 18.961% | 2200   | 19.956% | 
 | 2    | Gengar             | 14.54605% | 2211   | 14.546% | 1549   | 14.051% | 
 | 3    | Entei              | 13.30921% | 2023   | 13.309% | 1468   | 13.316% | 
 | 4    | Lucario            | 13.00000% | 1976   | 13.000% | 1318   | 11.955% | 
 | 5    | Manaphy            | 12.50658% | 1901   | 12.507% | 1404   | 12.735% | 
 | 6    | Ferrothorn         | 12.11842% | 1842   | 12.118% | 1537   | 13.942% | 
 | 7    | Heatran            | 11.71711% | 1781   | 11.717% | 1376   | 12.481% | 
 | 8    | Genesect           | 11.38816% | 1731   | 11.388% | 1284   | 11.647% | 
 | 9    | Garchomp           | 10.38158% | 1578   | 10.382% | 1162   | 10.540% | 
 | 10   | Zapdos             | 10.21053% | 1552   | 10.211% | 1149   | 10.422% | 
 | 11   | Noivern            |  9.19737% | 1398   |  9.197% | 1022   |  9.270% | 
 | 12   | Tyranitar          |  8.83553% | 1343   |  8.836% | 974    |  8.835% | 
 | 13   | Volcarona          |  8.72368% | 1326   |  8.724% | 886    |  8.037% | 
 | 14   | Staraptor          |  8.70395% | 1323   |  8.704% | 915    |  8.300% | 
 | 15   | Mew                |  8.34868% | 1269   |  8.349% | 1022   |  9.270% | 
 | 16   | Chansey            |  8.19737% | 1246   |  8.197% | 861    |  7.810% | 
 | 17   | Latios             |  8.15132% | 1239   |  8.151% | 805    |  7.302% | 
 | 18   | Braviary           |  8.13816% | 1237   |  8.138% | 836    |  7.583% | 
 | 19   | Victini            |  8.13816% | 1237   |  8.138% | 852    |  7.728% | 
 | 20   | Doublade           |  7.33553% | 1115   |  7.336% | 813    |  7.374% | 
 | 21   | Volcanion          |  7.18421% | 1092   |  7.184% | 812    |  7.365% | 
 | 22   | Thundurus          |  6.65132% | 1011   |  6.651% | 732    |  6.640% | 
 | 23   | Raikou             |  6.47368% | 984    |  6.474% | 784    |  7.111% | 
 | 24   | Deoxys-Speed       |  6.41447% | 975    |  6.414% | 822    |  7.456% | 
 | 25   | Scizor             |  5.80263% | 882    |  5.803% | 671    |  6.086% | 
 | 26   | Swampert           |  5.32895% | 810    |  5.329% | 633    |  5.742% | 
 | 27   | Breloom            |  5.29605% | 805    |  5.296% | 568    |  5.152% | 
