 Total battles: 698437
 Avg. weight/team: 0.506
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Rayquaza-Mega      | 20.18535% | 232541 | 16.647% | 135171 | 16.513% | 
 | 2    | Groudon-Primal     | 16.74278% | 189208 | 13.545% | 122004 | 14.904% | 
 | 3    | Darkrai            | 15.48526% | 183336 | 13.125% | 107987 | 13.192% | 
 | 4    | Xerneas            | 15.19352% | 158925 | 11.377% | 88939  | 10.865% | 
 | 5    | Arceus             | 13.56700% | 132354 |  9.475% | 64350  |  7.861% | 
 | 6    | Kyogre-Primal      | 10.97822% | 131741 |  9.431% | 76035  |  9.288% | 
 | 7    | Greninja           | 10.74643% | 154300 | 11.046% | 98486  | 12.031% | 
 | 8    | Smeargle           |  9.05360% | 122042 |  8.737% | 71337  |  8.715% | 
 | 9    | Klefki             |  7.28676% | 76201  |  5.455% | 40427  |  4.939% | 
 | 10   | Dragonite          |  6.71308% | 94622  |  6.774% | 55132  |  6.735% | 
 | 11   | Aegislash          |  6.31330% | 83524  |  5.979% | 50792  |  6.205% | 
 | 12   | Talonflame         |  6.00244% | 77201  |  5.527% | 42007  |  5.132% | 
 | 13   | Ditto              |  5.83802% | 82545  |  5.909% | 27376  |  3.344% | 
 | 14   | Charizard-Mega-X   |  5.30086% | 86034  |  6.159% | 54434  |  6.650% | 
 | 15   | Gliscor            |  5.13135% | 69892  |  5.003% | 44274  |  5.409% | 
 | 16   | Gengar             |  5.10529% | 73807  |  5.284% | 45564  |  5.566% | 
 | 17   | Gengar-Mega        |  5.08823% | 70764  |  5.066% | 44408  |  5.425% | 
 | 18   | Kangaskhan-Mega    |  4.65954% | 57844  |  4.141% | 38912  |  4.754% | 
 | 19   | Cloyster           |  4.57959% | 58742  |  4.205% | 36887  |  4.506% | 
 | 20   | Mewtwo-Mega-Y      |  4.43543% | 55749  |  3.991% | 32738  |  3.999% | 
 | 21   | Espeon             |  4.25384% | 54959  |  3.934% | 32820  |  4.009% | 
 | 22   | Blaziken-Mega      |  4.23633% | 61369  |  4.393% | 39224  |  4.792% | 
 | 23   | Ferrothorn         |  4.20731% | 52137  |  3.732% | 37736  |  4.610% | 
 | 24   | Yveltal            |  4.18290% | 50527  |  3.617% | 29672  |  3.625% | 
 | 25   | Lugia              |  4.15850% | 50103  |  3.587% | 28548  |  3.487% | 
 | 26   | Garchomp           |  4.07487% | 53992  |  3.865% | 33924  |  4.144% | 
 | 27   | Serperior          |  4.05754% | 55663  |  3.985% | 31973  |  3.906% | 
 | 28   | Rattata            |  3.95831% | 80010  |  5.728% | 21500  |  2.626% | 
 | 29   | Blaziken           |  3.86378% | 50908  |  3.644% | 33643  |  4.110% | 
 | 30   | Snorlax            |  3.71959% | 59402  |  4.252% | 33748  |  4.123% | 
 | 31   | Lucario-Mega       |  3.62849% | 55956  |  4.006% | 35192  |  4.299% | 
 | 32   | Clefable           |  3.61262% | 45812  |  3.280% | 25280  |  3.088% | 
 | 33   | Togekiss           |  3.58531% | 48365  |  3.462% | 28381  |  3.467% | 
 | 34   | Scolipede          |  3.40438% | 42868  |  3.069% | 31429  |  3.839% | 
 | 35   | Mewtwo-Mega-X      |  3.35700% | 47373  |  3.391% | 28924  |  3.533% | 
 | 36   | Deoxys-Attack      |  3.34483% | 36178  |  2.590% | 20103  |  2.456% | 
 | 37   | Breloom            |  3.24259% | 47207  |  3.379% | 28516  |  3.484% | 
 | 38   | Mew                |  3.20246% | 50409  |  3.609% | 25086  |  3.065% | 
 | 39   | Shuckle            |  3.07761% | 42456  |  3.039% | 23315  |  2.848% | 
 | 40   | Tyranitar          |  3.05970% | 43615  |  3.122% | 27650  |  3.378% | 
 | 41   | Chansey            |  3.04412% | 38043  |  2.723% | 20902  |  2.553% | 
 | 42   | Giratina-Origin    |  3.01091% | 38231  |  2.737% | 22469  |  2.745% | 
 | 43   | Charizard-Mega-Y   |  2.98154% | 45375  |  3.248% | 27818  |  3.398% | 
 | 44   | Weavile            |  2.93324% | 40370  |  2.890% | 26836  |  3.278% | 
 | 45   | Sylveon            |  2.88584% | 41646  |  2.981% | 24531  |  2.997% | 
 | 46   | Ninjask            |  2.86592% | 39457  |  2.825% | 29375  |  3.588% | 
 | 47   | Volcarona          |  2.86385% | 37710  |  2.700% | 22529  |  2.752% | 
 | 48   | Azumarill          |  2.82599% | 38949  |  2.788% | 24506  |  2.994% | 
 | 49   | Arceus-Ghost       |  2.80767% | 28161  |  2.016% | 16877  |  2.062% | 
 | 50   | Umbreon            |  2.75830% | 38796  |  2.777% | 23911  |  2.921% | 
 | 51   | Blissey            |  2.69295% | 39308  |  2.814% | 21119  |  2.580% | 
 | 52   | Metagross-Mega     |  2.66953% | 39869  |  2.854% | 24981  |  3.052% | 
 | 53   | Infernape          |  2.66436% | 41084  |  2.941% | 27582  |  3.369% | 
 | 54   | Gardevoir-Mega     |  2.64703% | 40674  |  2.912% | 23623  |  2.886% | 
 | 55   | Arceus-Fairy       |  2.62443% | 26925  |  1.928% | 15256  |  1.864% | 
 | 56   | Sableye-Mega       |  2.59017% | 32708  |  2.342% | 22329  |  2.728% | 
 | 57   | Bisharp            |  2.56413% | 38099  |  2.727% | 23576  |  2.880% | 
 | 58   | Ho-Oh              |  2.48740% | 29268  |  2.095% | 17955  |  2.193% | 
 | 59   | Dialga             |  2.44018% | 32845  |  2.351% | 19080  |  2.331% | 
 | 60   | Drifblim           |  2.39668% | 31583  |  2.261% | 23964  |  2.927% | 
 | 61   | Jolteon            |  2.31847% | 34743  |  2.487% | 22924  |  2.800% | 
 | 62   | Salamence-Mega     |  2.31789% | 31605  |  2.263% | 18936  |  2.313% | 
 | 63   | Skarmory           |  2.31347% | 29185  |  2.089% | 21449  |  2.620% | 
 | 64   | Mewtwo             |  2.26711% | 29750  |  2.130% | 15891  |  1.941% | 
 | 65   | Shaymin-Sky        |  2.18980% | 23706  |  1.697% | 13178  |  1.610% | 
 | 66   | Diancie-Mega       |  2.17630% | 27849  |  1.994% | 18688  |  2.283% | 
 | 67   | Garchomp-Mega      |  2.13392% | 32939  |  2.358% | 20103  |  2.456% | 
 | 68   | Pikachu            |  2.13034% | 39035  |  2.794% | 25692  |  3.139% | 
 | 69   | Scizor             |  2.12769% | 27452  |  1.965% | 17358  |  2.120% | 
 | 70   | Excadrill          |  2.10695% | 27786  |  1.989% | 16923  |  2.067% | 
 | 71   | Arcanine           |  2.09343% | 32026  |  2.293% | 20489  |  2.503% | 
 | 72   | Goodra             |  2.05062% | 33282  |  2.383% | 20455  |  2.499% | 
 | 73   | Sceptile-Mega      |  2.04984% | 35134  |  2.515% | 20932  |  2.557% | 
 | 74   | Chandelure         |  2.02996% | 29743  |  2.129% | 18624  |  2.275% | 
 | 75   | Metagross          |  2.00921% | 28860  |  2.066% | 17625  |  2.153% | 
 | 76   | Sigilyph           |  1.96265% | 23878  |  1.709% | 10045  |  1.227% | 
 | 77   | Arceus-Steel       |  1.95009% | 19351  |  1.385% | 11492  |  1.404% | 
 | 78   | Genesect           |  1.93899% | 24329  |  1.742% | 13984  |  1.708% | 
 | 79   | Crobat             |  1.88912% | 26957  |  1.930% | 17792  |  2.173% | 
 | 80   | Lopunny-Mega       |  1.88163% | 24547  |  1.757% | 16749  |  2.046% | 
 | 81   | Staraptor          |  1.86491% | 27728  |  1.985% | 17444  |  2.131% | 
 | 82   | Hawlucha           |  1.85486% | 29256  |  2.094% | 19411  |  2.371% | 
 | 83   | Whimsicott         |  1.84623% | 23761  |  1.701% | 15167  |  1.853% | 
 | 84   | Salamence          |  1.82834% | 25988  |  1.860% | 15449  |  1.887% | 
 | 85   | Electivire         |  1.79696% | 28730  |  2.057% | 18140  |  2.216% | 
 | 86   | Jirachi            |  1.77004% | 22578  |  1.616% | 12759  |  1.559% | 
 | 87   | Vaporeon           |  1.76106% | 25082  |  1.796% | 15375  |  1.878% | 
 | 88   | Scizor-Mega        |  1.75838% | 24921  |  1.784% | 15273  |  1.866% | 
 | 89   | Rotom-Wash         |  1.75810% | 23553  |  1.686% | 15032  |  1.836% | 
 | 90   | Shedinja           |  1.75732% | 26062  |  1.866% | 14410  |  1.760% | 
 | 91   | Noivern            |  1.74284% | 28948  |  2.072% | 18508  |  2.261% | 
 | 92   | Venusaur-Mega      |  1.72205% | 26867  |  1.923% | 15919  |  1.945% | 
 | 93   | Tyranitar-Mega     |  1.71800% | 26349  |  1.886% | 16278  |  1.989% | 
 | 94   | Zekrom             |  1.70685% | 24279  |  1.738% | 13941  |  1.703% | 
 | 95   | Hydreigon          |  1.69141% | 24780  |  1.774% | 15239  |  1.862% | 
 | 96   | Machamp            |  1.68994% | 25008  |  1.790% | 15734  |  1.922% | 
 | 97   | Deoxys-Speed       |  1.65499% | 19396  |  1.389% | 14091  |  1.721% | 
 | 98   | Galvantula         |  1.64879% | 23246  |  1.664% | 17627  |  2.153% | 
 | 99   | Milotic            |  1.64455% | 23036  |  1.649% | 14285  |  1.745% | 
 | 100  | Zapdos             |  1.60745% | 23415  |  1.676% | 14396  |  1.759% | 
 | 101  | Mawile-Mega        |  1.60461% | 20801  |  1.489% | 13013  |  1.590% | 
 | 102  | Forretress         |  1.59955% | 21812  |  1.561% | 17711  |  2.164% | 
 | 103  | Hoopa-Unbound      |  1.59895% | 21264  |  1.522% | 12211  |  1.492% | 
 | 104  | Lucario            |  1.58157% | 23996  |  1.718% | 14963  |  1.828% | 
 | 105  | Gyarados           |  1.56746% | 22310  |  1.597% | 14169  |  1.731% | 
 | 106  | Articuno           |  1.55363% | 25449  |  1.822% | 12955  |  1.583% | 
 | 107  | Zoroark            |  1.52243% | 22958  |  1.644% | 10208  |  1.247% | 
 | 108  | Heracross-Mega     |  1.51357% | 23263  |  1.665% | 14151  |  1.729% | 
 | 109  | Alakazam           |  1.49851% | 22686  |  1.624% | 13703  |  1.674% | 
 | 110  | Haxorus            |  1.49813% | 22642  |  1.621% | 13265  |  1.620% | 
 | 111  | Lapras             |  1.46846% | 24312  |  1.740% | 15385  |  1.879% | 
 | 112  | Gallade-Mega       |  1.46388% | 23106  |  1.654% | 14277  |  1.744% | 
 | 113  | Kyogre             |  1.46189% | 16073  |  1.151% | 9401   |  1.148% | 
 | 114  | Heatran            |  1.45523% | 18089  |  1.295% | 11518  |  1.407% | 
 | 115  | Kyurem-White       |  1.44303% | 18526  |  1.326% | 10122  |  1.237% | 
 | 116  | Nidoking           |  1.44277% | 21716  |  1.555% | 14503  |  1.772% | 
 | 117  | Alakazam-Mega      |  1.44100% | 22080  |  1.581% | 13368  |  1.633% | 
 | 118  | Latios             |  1.41974% | 17223  |  1.233% | 9771   |  1.194% | 
 | 119  | Starly             |  1.41267% | 29238  |  2.093% | 6624   |  0.809% | 
