 Total battles: 113767
 Avg. weight/team: 0.021
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Rayquaza-Mega      | 70.50311% | 100941 | 44.363% | 53956  | 42.255% | 
 | 2    | Registeel          | 38.52897% | 19478  |  8.560% | 13790  | 10.800% | 
 | 3    | Giratina           | 38.09356% | 36809  | 16.177% | 24173  | 18.931% | 
 | 4    | Chansey            | 37.02009% | 46067  | 20.246% | 27317  | 21.393% | 
 | 5    | Aegislash          | 36.18956% | 24060  | 10.574% | 15987  | 12.520% | 
 | 6    | Diancie-Mega       | 29.53585% | 33718  | 14.819% | 22903  | 17.936% | 
 | 7    | Shedinja           | 29.18768% | 64160  | 28.198% | 40509  | 31.724% | 
 | 8    | Gengar-Mega        | 24.53177% | 48284  | 21.221% | 28483  | 22.306% | 
 | 9    | Tyranitar-Mega     | 22.31121% | 12945  |  5.689% | 7916   |  6.199% | 
 | 10   | Mewtwo-Mega-X      | 16.94038% | 39537  | 17.376% | 21956  | 17.195% | 
 | 11   | Garchomp-Mega      | 15.35794% | 13137  |  5.774% | 7614   |  5.963% | 
 | 12   | Mewtwo-Mega-Y      | 14.73087% | 39864  | 17.520% | 21489  | 16.829% | 
 | 13   | Regigigas          | 14.59409% | 21686  |  9.531% | 11836  |  9.269% | 
 | 14   | Groudon-Primal     | 14.45752% | 7808   |  3.432% | 4400   |  3.446% | 
 | 15   | Kyurem-Black       | 13.00720% | 18258  |  8.024% | 11413  |  8.938% | 
 | 16   | Audino-Mega        | 12.49553% | 11813  |  5.192% | 7204   |  5.642% | 
 | 17   | Arceus             | 12.15789% | 17025  |  7.482% | 8720   |  6.829% | 
 | 18   | Kyogre             |  9.64496% | 8158   |  3.585% | 5025   |  3.935% | 
