 Total battles: 162657
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flygon             |  5.22732% | 17005  |  5.227% | 12196  |  5.086% | 
 | 2    | Latios             |  5.15501% | 16770  |  5.155% | 11027  |  4.599% | 
 | 3    | Tyranitar          |  4.95643% | 16124  |  4.956% | 12573  |  5.244% | 
 | 4    | Latias             |  4.73924% | 15418  |  4.739% | 10009  |  4.174% | 
 | 5    | Ferrothorn         |  4.32019% | 14054  |  4.320% | 11739  |  4.896% | 
 | 6    | Cryogonal          |  4.28975% | 13955  |  4.290% | 9941   |  4.146% | 
 | 7    | Roselia            |  3.90428% | 12701  |  3.904% | 9366   |  3.906% | 
 | 8    | Excadrill          |  3.73083% | 12137  |  3.731% | 8625   |  3.597% | 
 | 9    | Klefki             |  3.64668% | 11863  |  3.647% | 9934   |  4.143% | 
 | 10   | Clefairy           |  3.51480% | 11434  |  3.515% | 8831   |  3.683% | 
 | 11   | Archeops           |  3.46838% | 11283  |  3.468% | 8658   |  3.611% | 
 | 12   | Blissey            |  3.46001% | 11256  |  3.460% | 8105   |  3.380% | 
 | 13   | Prinplup           |  3.34051% | 10867  |  3.340% | 9068   |  3.782% | 
 | 14   | Scizor-Mega        |  3.32452% | 10815  |  3.324% | 8114   |  3.384% | 
 | 15   | Bronzong           |  3.22216% | 10482  |  3.222% | 8736   |  3.643% | 
 | 16   | Rhyperior          |  3.21447% | 10457  |  3.214% | 7698   |  3.210% | 
 | 17   | Diancie-Mega       |  2.96825% | 9656   |  2.968% | 7729   |  3.223% | 
 | 18   | Pawniard           |  2.94734% | 9588   |  2.947% | 7107   |  2.964% | 
 | 19   | Mesprit            |  2.91353% | 9478   |  2.913% | 7469   |  3.115% | 
 | 20   | Diancie            |  2.91114% | 9471   |  2.911% | 7222   |  3.012% | 
 | 21   | Camerupt           |  2.89724% | 9425   |  2.897% | 7556   |  3.151% | 
 | 22   | Feraligatr         |  2.85751% | 9297   |  2.858% | 6394   |  2.667% | 
 | 23   | Blastoise          |  2.83668% | 9228   |  2.837% | 6953   |  2.900% | 
 | 24   | Hitmonlee          |  2.81823% | 9168   |  2.818% | 6425   |  2.680% | 
 | 25   | Dialga             |  2.76751% | 9003   |  2.767% | 7020   |  2.928% | 
 | 26   | Rotom              |  2.76721% | 9002   |  2.767% | 7185   |  2.996% | 
 | 27   | Hitmontop          |  2.76044% | 8980   |  2.760% | 6483   |  2.704% | 
 | 28   | Aromatisse         |  2.74838% | 8941   |  2.748% | 6162   |  2.570% | 
 | 29   | Misdreavus         |  2.73370% | 8893   |  2.734% | 6728   |  2.806% | 
 | 30   | Manectric          |  2.72909% | 8878   |  2.729% | 6789   |  2.831% | 
 | 31   | Hoopa              |  2.71003% | 8816   |  2.710% | 6064   |  2.529% | 
 | 32   | Gligar             |  2.66761% | 8678   |  2.668% | 6651   |  2.774% | 
 | 33   | Grumpig            |  2.64179% | 8594   |  2.642% | 5947   |  2.480% | 
