 Total battles: 191459
 Avg. weight/team: 0.012
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Kangaskhan-Mega    | 58.89814% | 68149  | 17.012% | 34708  | 21.522% | 
 | 2    | Thundurus          | 46.46561% | 51356  | 12.820% | 20725  | 12.851% | 
 | 3    | Cresselia          | 40.14269% | 37173  |  9.279% | 14829  |  9.195% | 
 | 4    | Garchomp           | 39.14700% | 82677  | 20.639% | 33277  | 20.635% | 
 | 5    | Breloom            | 25.30364% | 39575  |  9.879% | 14804  |  9.180% | 
 | 6    | Gengar-Mega        | 24.84048% | 55837  | 13.939% | 20635  | 12.796% | 
 | 7    | Heatran            | 24.02350% | 27475  |  6.859% | 10981  |  6.809% | 
 | 8    | Volcarona          | 18.52410% | 27036  |  6.749% | 10700  |  6.635% | 
 | 9    | Sylveon            | 18.27069% | 25804  |  6.441% | 8816   |  5.467% | 
 | 10   | Talonflame         | 15.50210% | 64526  | 16.108% | 25310  | 15.695% | 
 | 11   | Greninja           | 14.32487% | 58787  | 14.675% | 26964  | 16.720% | 
 | 12   | Azumarill          | 14.22334% | 33863  |  8.453% | 12544  |  7.778% | 
 | 13   | Suicune            | 14.06773% | 27730  |  6.922% | 9647   |  5.982% | 
 | 14   | Aegislash          | 12.80046% | 44072  | 11.002% | 16090  |  9.977% | 
 | 15   | Salamence-Mega     | 12.28295% | 30944  |  7.725% | 13667  |  8.475% | 
 | 16   | Tyranitar          |  9.19601% | 24972  |  6.234% | 9838   |  6.100% | 
 | 17   | Dragonite          |  8.42120% | 37978  |  9.480% | 14155  |  8.777% | 
 | 18   | Thundurus-Therian  |  7.56924% | 12318  |  3.075% | 5083   |  3.152% | 
 | 19   | Landorus-Therian   |  7.55307% | 24828  |  6.198% | 11994  |  7.437% | 
 | 20   | Blaziken           |  6.33477% | 26294  |  6.564% | 11902  |  7.380% | 
 | 21   | Gengar             |  6.28322% | 26454  |  6.604% | 10088  |  6.256% | 
 | 22   | Porygon2           |  5.86297% | 18874  |  4.712% | 7938   |  4.922% | 
 | 23   | Rotom-Wash         |  5.75482% | 33992  |  8.485% | 14229  |  8.823% | 
 | 24   | Ferrothorn         |  5.73358% | 33037  |  8.247% | 13339  |  8.271% | 
 | 25   | Hippowdon          |  5.65747% | 18522  |  4.624% | 9234   |  5.726% | 
 | 26   | Excadrill          |  5.19641% | 13958  |  3.484% | 5279   |  3.273% | 
 | 27   | Hydreigon          |  5.07369% | 17522  |  4.374% | 6444   |  3.996% | 
 | 28   | Conkeldurr         |  5.06575% | 11304  |  2.822% | 4625   |  2.868% | 
 | 29   | Scizor-Mega        |  4.80734% | 14127  |  3.527% | 5748   |  3.564% | 
 | 30   | Blaziken-Mega      |  4.80164% | 23651  |  5.904% | 11577  |  7.179% | 
 | 31   | Amoonguss          |  4.49524% | 12149  |  3.033% | 3514   |  2.179% | 
 | 32   | Mamoswine          |  4.23917% | 17570  |  4.386% | 7723   |  4.789% | 
 | 33   | Clefable           |  3.96701% | 19296  |  4.817% | 6726   |  4.171% | 
 | 34   | Lucario-Mega       |  3.82717% | 25826  |  6.447% | 11610  |  7.199% | 
 | 35   | Cloyster           |  3.75698% | 17241  |  4.304% | 7841   |  4.862% | 
 | 36   | Mawile-Mega        |  3.62368% | 22320  |  5.572% | 10315  |  6.396% | 
 | 37   | Venusaur-Mega      |  3.53547% | 18553  |  4.631% | 7507   |  4.655% | 
 | 38   | Gliscor            |  3.01920% | 21246  |  5.304% | 8326   |  5.163% | 
 | 39   | Scizor             |  2.77857% | 11541  |  2.881% | 3812   |  2.364% | 
 | 40   | Serperior          |  2.71357% | 26420  |  6.595% | 7947   |  4.928% | 
 | 41   | Zapdos             |  2.60510% | 16413  |  4.097% | 7506   |  4.654% | 
 | 42   | Latios             |  2.55421% | 13088  |  3.267% | 4939   |  3.063% | 
 | 43   | Lopunny-Mega       |  2.51426% | 23692  |  5.914% | 12831  |  7.956% | 
 | 44   | Gardevoir-Mega     |  2.43071% | 20218  |  5.047% | 8151   |  5.054% | 
 | 45   | Chansey            |  2.35727% | 10803  |  2.697% | 3855   |  2.390% | 
 | 46   | Charizard-Mega-Y   |  2.17702% | 17490  |  4.366% | 8696   |  5.392% | 
 | 47   | Magnezone          |  2.15169% | 10754  |  2.685% | 4333   |  2.687% | 
 | 48   | Heracross-Mega     |  2.09827% | 14737  |  3.679% | 7022   |  4.354% | 
 | 49   | Ditto              |  1.99877% | 9747   |  2.433% | 4202   |  2.606% | 
 | 50   | Rotom-Heat         |  1.96988% | 11241  |  2.806% | 5022   |  3.114% | 
 | 51   | Skarmory           |  1.86657% | 10801  |  2.696% | 4300   |  2.666% | 
 | 52   | Klefki             |  1.85142% | 15225  |  3.801% | 7760   |  4.812% | 
 | 53   | Weavile            |  1.81471% | 15064  |  3.760% | 6880   |  4.266% | 
 | 54   | Tyranitar-Mega     |  1.71839% | 13061  |  3.260% | 5075   |  3.147% | 
 | 55   | Politoed           |  1.62701% | 6784   |  1.693% | 3234   |  2.005% | 
 | 56   | Charizard-Mega-X   |  1.60520% | 26462  |  6.606% | 12704  |  7.878% | 
 | 57   | Slowbro-Mega       |  1.59893% | 6724   |  1.679% | 2680   |  1.662% | 
 | 58   | Manectric-Mega     |  1.54200% | 9613   |  2.400% | 4531   |  2.810% | 
 | 59   | Whimsicott         |  1.52637% | 11845  |  2.957% | 4738   |  2.938% | 
 | 60   | Gyarados           |  1.35168% | 11837  |  2.955% | 5520   |  3.423% | 
 | 61   | Metagross-Mega     |  1.33745% | 11514  |  2.874% | 5047   |  3.130% | 
 | 62   | Gyarados-Mega      |  1.31846% | 12327  |  3.077% | 5513   |  3.419% | 
 | 63   | Raikou             |  1.28520% | 8334   |  2.080% | 3352   |  2.079% | 
 | 64   | Swampert           |  1.28345% | 6293   |  1.571% | 3294   |  2.043% | 
 | 65   | Latias             |  1.24329% | 5154   |  1.287% | 1734   |  1.075% | 
 | 66   | Slowbro            |  1.17983% | 7473   |  1.865% | 2482   |  1.539% | 
 | 67   | Togekiss           |  1.17266% | 21004  |  5.243% | 8835   |  5.479% | 
 | 68   | Sableye-Mega       |  1.16246% | 15866  |  3.961% | 7023   |  4.355% | 
 | 69   | Entei              |  1.14724% | 4137   |  1.033% | 1646   |  1.021% | 
 | 70   | Glalie             |  1.14705% | 3170   |  0.791% | 1161   |  0.720% | 
 | 71   | Lanturn            |  1.12547% | 3055   |  0.763% | 1440   |  0.893% | 
 | 72   | Chandelure         |  1.10139% | 11066  |  2.762% | 4463   |  2.767% | 
 | 73   | Reuniclus          |  1.01925% | 4516   |  1.127% | 1570   |  0.974% | 
 | 74   | Liepard            |  0.93132% | 4191   |  1.046% | 1833   |  1.137% | 
 | 75   | Gardevoir          |  0.87166% | 7085   |  1.769% | 2663   |  1.651% | 
 | 76   | Espeon             |  0.83978% | 13265  |  3.311% | 4759   |  2.951% | 
 | 77   | Wobbuffet          |  0.72401% | 5470   |  1.365% | 2496   |  1.548% | 
 | 78   | Umbreon            |  0.72240% | 11820  |  2.951% | 4272   |  2.649% | 
 | 79   | Alakazam-Mega      |  0.70935% | 7170   |  1.790% | 2940   |  1.823% | 
 | 80   | Pinsir-Mega        |  0.70212% | 4848   |  1.210% | 2103   |  1.304% | 
 | 81   | Blastoise-Mega     |  0.67844% | 7764   |  1.938% | 3814   |  2.365% | 
 | 82   | Abomasnow-Mega     |  0.66187% | 2917   |  0.728% | 1354   |  0.840% | 
 | 83   | Jellicent          |  0.63637% | 3659   |  0.913% | 1257   |  0.779% | 
 | 84   | Gastrodon          |  0.61602% | 4571   |  1.141% | 1890   |  1.172% | 
 | 85   | Gothitelle         |  0.60003% | 2114   |  0.528% | 852    |  0.528% | 
 | 86   | Kingdra            |  0.57369% | 5252   |  1.311% | 2230   |  1.383% | 
 | 87   | Bisharp            |  0.56739% | 11724  |  2.927% | 3762   |  2.333% | 
 | 88   | Altaria-Mega       |  0.54899% | 5997   |  1.497% | 2366   |  1.467% | 
 | 89   | Noivern            |  0.54144% | 6955   |  1.736% | 2387   |  1.480% | 
 | 90   | Goodra             |  0.50444% | 8055   |  2.011% | 2792   |  1.731% | 
 | 91   | Swampert-Mega      |  0.50319% | 5335   |  1.332% | 2589   |  1.605% | 
 | 92   | Machamp            |  0.48781% | 4517   |  1.128% | 1895   |  1.175% | 
 | 93   | Diggersby          |  0.48196% | 3417   |  0.853% | 1425   |  0.884% | 
 | 94   | Blissey            |  0.47395% | 7027   |  1.754% | 1856   |  1.151% | 
 | 95   | Zoroark            |  0.46908% | 6343   |  1.583% | 2240   |  1.389% | 
 | 96   | Rhyperior          |  0.45923% | 5857   |  1.462% | 2238   |  1.388% | 
 | 97   | Jumpluff           |  0.45429% | 1070   |  0.267% | 282    |  0.175% | 
 | 98   | Houndoom           |  0.44770% | 1473   |  0.368% | 612    |  0.379% | 
 | 99   | Magneton           |  0.42523% | 912    |  0.228% | 372    |  0.231% | 
 | 100  | Aerodactyl-Mega    |  0.38225% | 3339   |  0.834% | 1508   |  0.935% | 
 | 101  | Sableye            |  0.38192% | 4403   |  1.099% | 1936   |  1.201% | 
 | 102  | Alakazam           |  0.37975% | 4780   |  1.193% | 1691   |  1.049% | 
 | 103  | Aggron-Mega        |  0.36725% | 4257   |  1.063% | 1801   |  1.117% | 
 | 104  | Infernape          |  0.33520% | 9494   |  2.370% | 4318   |  2.678% | 
 | 105  | Omastar            |  0.32398% | 1398   |  0.349% | 699    |  0.433% | 
 | 106  | Lapras             |  0.31966% | 5077   |  1.267% | 2222   |  1.378% | 
 | 107  | Staraptor          |  0.31528% | 6931   |  1.730% | 3003   |  1.862% | 
 | 108  | Arcanine           |  0.31443% | 10677  |  2.665% | 4462   |  2.767% | 
 | 109  | Salamence          |  0.31236% | 3613   |  0.902% | 1289   |  0.799% | 
 | 110  | Nidoking           |  0.30071% | 4736   |  1.182% | 2293   |  1.422% | 
 | 111  | Terrakion          |  0.29518% | 3230   |  0.806% | 1427   |  0.885% | 
 | 112  | Gallade-Mega       |  0.29452% | 7054   |  1.761% | 3345   |  2.074% | 
 | 113  | Sceptile           |  0.28237% | 2662   |  0.665% | 773    |  0.479% | 
 | 114  | Slurpuff           |  0.27675% | 3746   |  0.935% | 1556   |  0.965% | 
 | 115  | Quagsire           |  0.27617% | 5603   |  1.399% | 2632   |  1.632% | 
 | 116  | Crobat             |  0.26965% | 5563   |  1.389% | 2037   |  1.263% | 
 | 117  | Empoleon           |  0.25404% | 3686   |  0.920% | 1363   |  0.845% | 
 | 118  | Darmanitan         |  0.24015% | 3729   |  0.931% | 1676   |  1.039% | 
 | 119  | Heliolisk          |  0.23488% | 2794   |  0.697% | 930    |  0.577% | 
 | 120  | Medicham-Mega      |  0.23241% | 4923   |  1.229% | 2083   |  1.292% | 
 | 121  | Smeargle           |  0.22914% | 9550   |  2.384% | 5427   |  3.365% | 
 | 122  | Metagross          |  0.22429% | 5314   |  1.327% | 1834   |  1.137% | 
 | 123  | Starmie            |  0.21485% | 4289   |  1.071% | 1589   |  0.985% | 
 | 124  | Snorlax            |  0.21237% | 9219   |  2.301% | 3563   |  2.209% | 
 | 125  | Cofagrigus         |  0.21011% | 3824   |  0.955% | 1973   |  1.223% | 
 | 126  | Milotic            |  0.20602% | 7440   |  1.857% | 2733   |  1.695% | 
 | 127  | Scolipede          |  0.20348% | 6389   |  1.595% | 3588   |  2.225% | 
 | 128  | Jolteon            |  0.19992% | 9197   |  2.296% | 3541   |  2.196% | 
 | 129  | Latias-Mega        |  0.19870% | 2521   |  0.629% | 976    |  0.605% | 
 | 130  | Stoutland          |  0.19527% | 781    |  0.195% | 292    |  0.181% | 
 | 131  | Mandibuzz          |  0.19515% | 2979   |  0.744% | 1050   |  0.651% | 
 | 132  | Haxorus            |  0.19046% | 5251   |  1.311% | 2203   |  1.366% | 
 | 133  | Porygon-Z          |  0.18794% | 3852   |  0.962% | 1830   |  1.135% | 
 | 134  | Bouffalant         |  0.18414% | 812    |  0.203% | 235    |  0.146% | 
 | 135  | Sceptile-Mega      |  0.18261% | 7678   |  1.917% | 3210   |  1.991% | 
 | 136  | Garchomp-Mega      |  0.17289% | 6906   |  1.724% | 2985   |  1.851% | 
 | 137  | Pidgeot-Mega       |  0.16661% | 3376   |  0.843% | 1353   |  0.839% | 
 | 138  | Golem              |  0.16433% | 2653   |  0.662% | 1220   |  0.757% | 
 | 139  | Sharpedo-Mega      |  0.15703% | 2823   |  0.705% | 1451   |  0.900% | 
 | 140  | Jynx               |  0.15321% | 976    |  0.244% | 372    |  0.231% | 
 | 141  | Tangrowth          |  0.15316% | 3113   |  0.777% | 955    |  0.592% | 
 | 142  | Tornadus-Therian   |  0.14997% | 1365   |  0.341% | 509    |  0.316% | 
 | 143  | Dragalge           |  0.14901% | 2407   |  0.601% | 765    |  0.474% | 
 | 144  | Drifblim           |  0.14164% | 5759   |  1.438% | 3584   |  2.222% | 
 | 145  | Meowstic           |  0.13852% | 2921   |  0.729% | 1446   |  0.897% | 
 | 146  | Galvantula         |  0.13561% | 5369   |  1.340% | 2983   |  1.850% | 
 | 147  | Tentacruel         |  0.13486% | 4233   |  1.057% | 1240   |  0.769% | 
 | 148  | Roserade           |  0.13486% | 4513   |  1.127% | 1324   |  0.821% | 
 | 149  | Azelf              |  0.13460% | 3177   |  0.793% | 1350   |  0.837% | 
 | 150  | Alomomola          |  0.12726% | 1740   |  0.434% | 681    |  0.422% | 
 | 151  | Sharpedo           |  0.12254% | 2198   |  0.549% | 1024   |  0.635% | 
 | 152  | Krookodile         |  0.12128% | 4870   |  1.216% | 2092   |  1.297% | 
 | 153  | Abomasnow          |  0.11683% | 1010   |  0.252% | 467    |  0.290% | 
 | 154  | Trevenant          |  0.11651% | 2999   |  0.749% | 1042   |  0.646% | 
 | 155  | Tyrantrum          |  0.11567% | 2159   |  0.539% | 859    |  0.533% | 
 | 156  | Crustle            |  0.11527% | 769    |  0.192% | 397    |  0.246% | 
 | 157  | Nosepass           |  0.10979% | 785    |  0.196% | 351    |  0.218% | 
 | 158  | Beedrill-Mega      |  0.10814% | 4914   |  1.227% | 2022   |  1.254% | 
 | 159  | Heracross          |  0.10524% | 2876   |  0.718% | 1115   |  0.691% | 
 | 160  | Lucario            |  0.10479% | 3105   |  0.775% | 1139   |  0.706% | 
 | 161  | Crawdaunt          |  0.10367% | 4098   |  1.023% | 1676   |  1.039% | 
 | 162  | Dusclops           |  0.10333% | 3678   |  0.918% | 1677   |  1.040% | 
 | 163  | Nidoqueen          |  0.09921% | 1401   |  0.350% | 592    |  0.367% | 
 | 164  | Absol-Mega         |  0.09873% | 4204   |  1.049% | 1641   |  1.018% | 
 | 165  | Vivillon           |  0.09823% | 2757   |  0.688% | 1134   |  0.703% | 
 | 166  | Ampharos-Mega      |  0.09612% | 3777   |  0.943% | 1558   |  0.966% | 
 | 167  | Dugtrio            |  0.09601% | 1874   |  0.468% | 1050   |  0.651% | 
 | 168  | Chesnaught         |  0.09573% | 2940   |  0.734% | 1123   |  0.696% | 
 | 169  | Virizion           |  0.09485% | 1003   |  0.250% | 294    |  0.182% | 
 | 170  | Delphox            |  0.09448% | 2806   |  0.700% | 1040   |  0.645% | 
 | 171  | Venusaur           |  0.09326% | 3379   |  0.843% | 1189   |  0.737% | 
 | 172  | Typhlosion         |  0.09210% | 3551   |  0.886% | 1414   |  0.877% | 
 | 173  | Ambipom            |  0.08688% | 4614   |  1.152% | 2039   |  1.264% | 
 | 174  | Hitmonlee          |  0.08542% | 1971   |  0.492% | 841    |  0.521% | 
 | 175  | Clawitzer          |  0.08519% | 2264   |  0.565% | 946    |  0.587% | 
 | 176  | Honchkrow          |  0.08479% | 1949   |  0.487% | 778    |  0.482% | 
 | 177  | Feraligatr         |  0.08358% | 3631   |  0.906% | 1515   |  0.939% | 
 | 178  | Vaporeon           |  0.08268% | 4683   |  1.169% | 1855   |  1.150% | 
