 Total battles: 4
 Avg. weight/team: 0.476
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragonite          | 42.73652% | 2      | 25.000% | 0      |  0.000% | 
 | 2    | Aegislash          | 42.55275% | 2      | 25.000% | 0      |  0.000% | 
 | 3    | Garchomp           | 26.25121% | 2      | 25.000% | 0      |  0.000% | 
 | 4    | Excadrill          | 26.25121% | 2      | 25.000% | 0      |  0.000% | 
 | 5    | Bisharp            | 26.25121% | 2      | 25.000% | 0      |  0.000% | 
 | 6    | Porygon-Z          | 26.24754% | 1      | 12.500% | 0      |  0.000% | 
 | 7    | Azumarill          | 26.24754% | 1      | 12.500% | 0      |  0.000% | 
 | 8    | Donphan            | 26.24754% | 1      | 12.500% | 0      |  0.000% | 
 | 9    | Magnezone          | 26.24754% | 1      | 12.500% | 1      | 75.000% | 
 | 10   | Gliscor            | 25.13926% | 2      | 25.000% | 1      | 75.000% | 
 | 11   | Umbreon            | 17.13987% | 2      | 25.000% | 1      | 75.000% | 
 | 12   | Breloom            | 16.48899% | 1      | 12.500% | 1      | 75.000% | 
 | 13   | Haxorus            | 16.30521% | 1      | 12.500% | 0      |  0.000% | 
 | 14   | Blaziken           | 16.30521% | 1      | 12.500% | 0      |  0.000% | 
 | 15   | Ferrothorn         | 16.30521% | 1      | 12.500% | 1      | 75.000% | 
 | 16   | Avalugg            | 16.30521% | 1      | 12.500% | 0      |  0.000% | 
 | 17   | Suicune            | 16.30521% | 1      | 12.500% | 0      |  0.000% | 
 | 18   | Serperior          | 15.16812% | 2      | 25.000% | 1      | 75.000% | 
 | 19   | Vaporeon           | 11.32948% | 1      | 12.500% | 0      |  0.000% | 
 | 20   | Glaceon            | 11.32948% | 1      | 12.500% | 0      |  0.000% | 
 | 21   | Espeon             | 11.32948% | 1      | 12.500% | 0      |  0.000% | 
 | 22   | Jolteon            | 11.32948% | 1      | 12.500% | 0      |  0.000% | 
 | 23   | Leafeon            | 11.32948% | 1      | 12.500% | 0      |  0.000% | 
 | 24   | Charizard          |  9.76223% | 1      | 12.500% | 0      |  0.000% | 
 | 25   | Samurott           |  9.76223% | 1      | 12.500% | 0      |  0.000% | 
 | 26   | Sylveon            |  5.81040% | 1      | 12.500% | 1      | 75.000% | 
 | 27   | Carracosta         |  5.40589% | 1      | 12.500% | 1      | 75.000% | 
 | 28   | Emboar             |  5.40589% | 1      | 12.500% | 0      |  0.000% | 
 | 29   | Galvantula         |  5.40589% | 1      | 12.500% | 0      |  0.000% | 
 | 30   | Braviary           |  5.40589% | 1      | 12.500% | 0      |  0.000% | 
 | 31   | Musharna           |  5.40589% | 1      | 12.500% | 0      |  0.000% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
