 Total battles: 5591
 Avg. weight/team: 0.046
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 38.51487% | 1147   | 10.258% | 0      |  0.000% | 
 | 2    | Hitmontop          | 30.54361% | 835    |  7.467% | 0      |  0.000% | 
 | 3    | Sylveon            | 29.85831% | 1554   | 13.897% | 0      |  0.000% | 
 | 4    | Aegislash          | 27.41579% | 888    |  7.941% | 0      |  0.000% | 
 | 5    | Charizard-Mega-Y   | 23.87542% | 1026   |  9.175% | 0      |  0.000% | 
 | 6    | Smeargle           | 23.03993% | 928    |  8.299% | 0      |  0.000% | 
 | 7    | Amoonguss          | 21.80116% | 569    |  5.089% | 0      |  0.000% | 
 | 8    | Talonflame         | 21.30715% | 1052   |  9.408% | 0      |  0.000% | 
 | 9    | Kangaskhan-Mega    | 20.45351% | 650    |  5.813% | 0      |  0.000% | 
 | 10   | Gothitelle         | 18.98793% | 385    |  3.443% | 0      |  0.000% | 
 | 11   | Heatran            | 18.68640% | 484    |  4.328% | 0      |  0.000% | 
 | 12   | Tyranitar          | 18.61678% | 708    |  6.332% | 0      |  0.000% | 
 | 13   | Salamence-Mega     | 16.37855% | 920    |  8.228% | 0      |  0.000% | 
 | 14   | Excadrill          | 16.37340% | 357    |  3.193% | 0      |  0.000% | 
 | 15   | Hariyama           | 15.09399% | 241    |  2.155% | 0      |  0.000% | 
 | 16   | Whimsicott         | 14.92744% | 766    |  6.850% | 0      |  0.000% | 
 | 17   | Terrakion          | 14.48359% | 342    |  3.058% | 0      |  0.000% | 
 | 18   | Gastrodon          | 10.55122% | 152    |  1.359% | 0      |  0.000% | 
 | 19   | Gengar-Mega        |  8.12164% | 554    |  4.954% | 0      |  0.000% | 
 | 20   | Cresselia          |  7.25831% | 337    |  3.014% | 0      |  0.000% | 
 | 21   | Hydreigon          |  6.52283% | 525    |  4.695% | 0      |  0.000% | 
 | 22   | Azumarill          |  5.73399% | 388    |  3.470% | 0      |  0.000% | 
 | 23   | Jellicent          |  5.36511% | 425    |  3.801% | 0      |  0.000% | 
 | 24   | Thundurus          |  5.32465% | 262    |  2.343% | 0      |  0.000% | 
 | 25   | Politoed           |  5.24257% | 564    |  5.044% | 0      |  0.000% | 
 | 26   | Aerodactyl         |  4.78646% | 200    |  1.789% | 0      |  0.000% | 
