 Total battles: 570
 Avg. weight/team: 0.021
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Aerodactyl-Mega    | 106.47384% | 165    | 14.474% | 55     |  9.615% | 
 | 2    | Mewtwo-Mega-X      | 64.90461% | 216    | 18.947% | 120    | 20.979% | 
 | 3    | Chansey            | 64.06841% | 216    | 18.947% | 139    | 24.301% | 
 | 4    | Kyogre             | 53.07594% | 96     |  8.421% | 50     |  8.741% | 
 | 5    | Garchomp-Mega      | 48.44567% | 126    | 11.053% | 42     |  7.343% | 
 | 6    | Rayquaza-Mega      | 30.01787% | 310    | 27.193% | 164    | 28.671% | 
 | 7    | Registeel          | 16.56688% | 139    | 12.193% | 90     | 15.734% | 
 | 8    | Mewtwo-Mega-Y      | 15.93368% | 223    | 19.561% | 105    | 18.357% | 
 | 9    | Groudon-Primal     | 13.01343% | 81     |  7.105% | 47     |  8.217% | 
 | 10   | Arceus-Ghost       | 12.09178% | 82     |  7.193% | 39     |  6.818% | 
 | 11   | Tyranitar-Mega     | 11.94774% | 99     |  8.684% | 43     |  7.517% | 
 | 12   | Groudon            | 10.10789% | 41     |  3.596% | 28     |  4.895% | 
 | 13   | Gengar-Mega        |  9.79529% | 171    | 15.000% | 90     | 15.734% | 
 | 14   | Kyogre-Primal      |  8.86203% | 34     |  2.982% | 19     |  3.322% | 
 | 15   | Steelix-Mega       |  8.79745% | 44     |  3.860% | 21     |  3.671% | 
 | 16   | Ho-Oh              |  8.29570% | 76     |  6.667% | 47     |  8.217% | 
 | 17   | Aegislash          |  7.71338% | 75     |  6.579% | 44     |  7.692% | 
 | 18   | Diancie-Mega       |  6.80624% | 89     |  7.807% | 48     |  8.392% | 
 | 19   | Darkrai            |  6.68275% | 58     |  5.088% | 28     |  4.895% | 
 | 20   | Audino-Mega        |  5.94328% | 115    | 10.088% | 51     |  8.916% | 
 | 21   | Metagross-Mega     |  5.92585% | 59     |  5.175% | 39     |  6.818% | 
 | 22   | Gyarados-Mega      |  5.39682% | 35     |  3.070% | 17     |  2.972% | 
 | 23   | Blissey            |  5.37412% | 86     |  7.544% | 41     |  7.168% | 
 | 24   | Altaria-Mega       |  5.34145% | 20     |  1.754% | 12     |  2.098% | 
 | 25   | Deoxys-Attack      |  4.92524% | 54     |  4.737% | 27     |  4.720% | 
 | 26   | Shedinja           |  4.24342% | 102    |  8.947% | 44     |  7.692% | 
 | 27   | Hoopa-Unbound      |  4.22658% | 62     |  5.439% | 30     |  5.245% | 
 | 28   | Giratina           |  4.00257% | 155    | 13.596% | 80     | 13.986% | 
 | 29   | Charizard-Mega-Y   |  3.75114% | 107    |  9.386% | 51     |  8.916% | 
 | 30   | Deoxys-Speed       |  3.46676% | 116    | 10.175% | 57     |  9.965% | 
