 Total battles: 184361
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Rayquaza           |  1.02055% | 3256   |  0.793% | 1466   |  2.386% | 
 | 2    | Reshiram           |  1.12327% | 3537   |  0.861% | 1455   |  2.368% | 
 | 3    | Volcanion          |  0.87749% | 3476   |  0.846% | 1441   |  2.345% | 
 | 4    | Zekrom             |  0.84952% | 3475   |  0.846% | 1421   |  2.312% | 
 | 5    | Kyogre             |  0.81633% | 3435   |  0.836% | 1365   |  2.221% | 
 | 6    | Palkia             |  0.90631% | 3388   |  0.825% | 1355   |  2.205% | 
 | 7    | Arceus             |  0.78592% | 3351   |  0.816% | 1323   |  2.153% | 
 | 8    | Groudon            |  0.88384% | 3399   |  0.827% | 1322   |  2.151% | 
 | 9    | Dialga             |  0.90448% | 3389   |  0.825% | 1309   |  2.130% | 
 | 10   | Dragonite          |  0.78973% | 3446   |  0.839% | 1297   |  2.111% | 
 | 11   | Yveltal            |  0.87691% | 3466   |  0.844% | 1290   |  2.099% | 
 | 12   | Genesect           |  0.87047% | 3458   |  0.842% | 1244   |  2.024% | 
 | 13   | Blaziken           |  0.85231% | 3406   |  0.829% | 1235   |  2.010% | 
 | 14   | Greninja           |  0.71791% | 3398   |  0.827% | 1200   |  1.953% | 
 | 15   | Mewtwo             |  0.70347% | 3265   |  0.795% | 1183   |  1.925% | 
 | 16   | Salamence          |  0.79860% | 3403   |  0.828% | 1162   |  1.891% | 
 | 17   | Shedinja           |  0.76952% | 3577   |  0.871% | 1157   |  1.883% | 
 | 18   | Goodra             |  0.88125% | 3360   |  0.818% | 1135   |  1.847% | 
 | 19   | Hydreigon          |  0.81094% | 3428   |  0.834% | 1121   |  1.824% | 
 | 20   | Xerneas            |  0.71694% | 3523   |  0.858% | 1119   |  1.821% | 
 | 21   | Lugia              |  1.01899% | 3460   |  0.842% | 1117   |  1.818% | 
 | 22   | Garchomp           |  0.69160% | 3369   |  0.820% | 1095   |  1.782% | 
 | 23   | Darkrai            |  1.06474% | 3421   |  0.833% | 1082   |  1.761% | 
 | 24   | Infernape          |  0.93494% | 3485   |  0.848% | 1075   |  1.749% | 
 | 25   | Ho-Oh              |  1.00498% | 3393   |  0.826% | 1073   |  1.746% | 
 | 26   | Haxorus            |  0.95404% | 3411   |  0.830% | 1071   |  1.743% | 
 | 27   | Eelektross         |  0.86125% | 3452   |  0.840% | 1067   |  1.736% | 
 | 28   | Tyrantrum          |  0.82271% | 3388   |  0.825% | 1066   |  1.735% | 
 | 29   | Lucario            |  0.79622% | 3430   |  0.835% | 1062   |  1.728% | 
 | 30   | Emboar             |  0.65416% | 3427   |  0.834% | 1061   |  1.727% | 
 | 31   | Snorlax            |  1.07536% | 3500   |  0.852% | 1051   |  1.710% | 
 | 32   | Nidoking           |  0.79537% | 3435   |  0.836% | 1044   |  1.699% | 
 | 33   | Machamp            |  0.73931% | 3424   |  0.833% | 1030   |  1.676% | 
 | 34   | Swampert           |  0.83140% | 3450   |  0.840% | 1026   |  1.670% | 
 | 35   | Electivire         |  0.89252% | 3381   |  0.823% | 1023   |  1.665% | 
 | 36   | Victini            |  0.99471% | 3383   |  0.823% | 1017   |  1.655% | 
 | 37   | Giratina           |  0.93618% | 3411   |  0.830% | 1016   |  1.653% | 
 | 38   | Gyarados           |  0.63747% | 3397   |  0.827% | 1007   |  1.639% | 
 | 39   | Entei              |  0.88358% | 3409   |  0.830% | 1007   |  1.639% | 
 | 40   | Zygarde            |  0.75627% | 3328   |  0.810% | 1006   |  1.637% | 
 | 41   | Tyranitar          |  0.68317% | 3338   |  0.813% | 1004   |  1.634% | 
 | 42   | Ditto              |  0.70270% | 3414   |  0.831% | 1002   |  1.630% | 
 | 43   | Golurk             |  0.98719% | 3415   |  0.831% | 986    |  1.604% | 
 | 44   | Rampardos          |  0.81087% | 3491   |  0.850% | 981    |  1.596% | 
 | 45   | Dragalge           |  0.89278% | 3486   |  0.849% | 972    |  1.582% | 
 | 46   | Gengar             |  0.96595% | 3362   |  0.818% | 972    |  1.582% | 
 | 47   | Zoroark            |  0.73574% | 3473   |  0.845% | 970    |  1.578% | 
 | 48   | Metagross          |  0.81375% | 3385   |  0.824% | 964    |  1.569% | 
 | 49   | Darmanitan         |  0.84552% | 3348   |  0.815% | 963    |  1.567% | 
 | 50   | Charizard          |  0.79623% | 3431   |  0.835% | 963    |  1.567% | 
 | 51   | Heatran            |  0.95385% | 3384   |  0.824% | 956    |  1.556% | 
 | 52   | Aggron             |  0.84226% | 3433   |  0.836% | 955    |  1.554% | 
 | 53   | Conkeldurr         |  0.97010% | 3375   |  0.822% | 945    |  1.538% | 
 | 54   | Noivern            |  0.80971% | 3376   |  0.822% | 936    |  1.523% | 
 | 55   | Volcarona          |  0.87725% | 3424   |  0.833% | 935    |  1.521% | 
 | 56   | Pangoro            |  0.78645% | 3369   |  0.820% | 933    |  1.518% | 
 | 57   | Terrakion          |  1.00662% | 3470   |  0.845% | 931    |  1.515% | 
 | 58   | Hariyama           |  0.89852% | 3388   |  0.825% | 927    |  1.508% | 
 | 59   | Flygon             |  0.88335% | 3425   |  0.834% | 916    |  1.491% | 
 | 60   | Zapdos             |  0.88831% | 3357   |  0.817% | 914    |  1.487% | 
 | 61   | Blastoise          |  0.98466% | 3477   |  0.846% | 912    |  1.484% | 
 | 62   | Excadrill          |  0.72277% | 3471   |  0.845% | 910    |  1.481% | 
 | 63   | Exploud            |  0.62553% | 3457   |  0.841% | 908    |  1.478% | 
 | 64   | Druddigon          |  0.85615% | 3369   |  0.820% | 905    |  1.473% | 
 | 65   | Latios             |  0.83509% | 3355   |  0.817% | 902    |  1.468% | 
 | 66   | Kingdra            |  0.73962% | 3505   |  0.853% | 901    |  1.466% | 
 | 67   | Gallade            |  0.84611% | 3508   |  0.854% | 898    |  1.461% | 
 | 68   | Mienshao           |  0.77683% | 3417   |  0.832% | 893    |  1.453% | 
 | 69   | Porygon-Z          |  0.73148% | 3419   |  0.832% | 889    |  1.447% | 
 | 70   | Sharpedo           |  0.95083% | 3428   |  0.834% | 888    |  1.445% | 
 | 71   | Feraligatr         |  0.68741% | 3428   |  0.834% | 881    |  1.434% | 
 | 72   | Rhyperior          |  0.64784% | 3376   |  0.822% | 880    |  1.432% | 
 | 73   | Hawlucha           |  0.65838% | 3398   |  0.827% | 878    |  1.429% | 
 | 74   | Clawitzer          |  0.91835% | 3363   |  0.819% | 878    |  1.429% | 
