 Total battles: 246521
 Avg. weight/team: 0.008
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 54.93813% | 65796  | 13.345% | 0      |  0.000% | 
 | 2    | Kangaskhan-Mega    | 35.99106% | 45214  |  9.170% | 0      |  0.000% | 
 | 3    | Heatran            | 31.67628% | 33643  |  6.824% | 0      |  0.000% | 
 | 4    | Amoonguss          | 29.75945% | 41022  |  8.320% | 0      |  0.000% | 
 | 5    | Thundurus          | 28.71178% | 32715  |  6.635% | 0      |  0.000% | 
 | 6    | Volcanion          | 24.64629% | 30001  |  6.085% | 0      |  0.000% | 
 | 7    | Gardevoir-Mega     | 18.83152% | 33318  |  6.758% | 0      |  0.000% | 
 | 8    | Aegislash          | 15.56915% | 38098  |  7.727% | 0      |  0.000% | 
 | 9    | Jirachi            | 15.27309% | 22336  |  4.530% | 0      |  0.000% | 
 | 10   | Sylveon            | 15.21468% | 38037  |  7.715% | 0      |  0.000% | 
 | 11   | Latios             | 14.59469% | 10762  |  2.183% | 0      |  0.000% | 
 | 12   | Zapdos             | 14.30061% | 23575  |  4.782% | 0      |  0.000% | 
 | 13   | Suicune            | 13.07026% | 12109  |  2.456% | 0      |  0.000% | 
 | 14   | Azumarill          | 12.64024% | 31601  |  6.409% | 0      |  0.000% | 
 | 15   | Scrafty            | 11.80908% | 17589  |  3.567% | 0      |  0.000% | 
 | 16   | Cresselia          | 11.05237% | 25687  |  5.210% | 0      |  0.000% | 
 | 17   | Rotom-Wash         |  9.79261% | 26198  |  5.314% | 0      |  0.000% | 
 | 18   | Ferrothorn         |  9.50526% | 32637  |  6.620% | 0      |  0.000% | 
 | 19   | Talonflame         |  9.47078% | 52932  | 10.736% | 0      |  0.000% | 
 | 20   | Gengar-Mega        |  8.90378% | 19034  |  3.861% | 0      |  0.000% | 
 | 21   | Breloom            |  7.92072% | 23649  |  4.797% | 0      |  0.000% | 
 | 22   | Kyurem-Black       |  7.87312% | 13753  |  2.789% | 0      |  0.000% | 
 | 23   | Charizard-Mega-Y   |  7.76693% | 50931  | 10.330% | 0      |  0.000% | 
 | 24   | Arcanine           |  7.56671% | 23124  |  4.690% | 0      |  0.000% | 
 | 25   | Conkeldurr         |  7.00225% | 15411  |  3.126% | 0      |  0.000% | 
 | 26   | Diancie-Mega       |  6.53857% | 13992  |  2.838% | 0      |  0.000% | 
 | 27   | Keldeo             |  6.38539% | 11791  |  2.391% | 0      |  0.000% | 
 | 28   | Crawdaunt          |  5.70568% | 3864   |  0.784% | 0      |  0.000% | 
 | 29   | Hydreigon          |  5.59769% | 15820  |  3.209% | 0      |  0.000% | 
 | 30   | Terrakion          |  5.58434% | 15812  |  3.207% | 0      |  0.000% | 
 | 31   | Hoopa-Unbound      |  5.51165% | 11089  |  2.249% | 0      |  0.000% | 
 | 32   | Venusaur-Mega      |  5.33639% | 16963  |  3.440% | 0      |  0.000% | 
 | 33   | Whimsicott         |  5.28249% | 33669  |  6.829% | 0      |  0.000% | 
 | 34   | Politoed           |  4.55357% | 32667  |  6.626% | 0      |  0.000% | 
 | 35   | Bisharp            |  4.01599% | 20598  |  4.178% | 0      |  0.000% | 
 | 36   | Blissey            |  3.79347% | 7015   |  1.423% | 0      |  0.000% | 
 | 37   | Abomasnow-Mega     |  3.45848% | 8147   |  1.652% | 0      |  0.000% | 
 | 38   | Gastrodon          |  3.30340% | 11958  |  2.425% | 0      |  0.000% | 
 | 39   | Landorus           |  3.18206% | 6476   |  1.313% | 0      |  0.000% | 
 | 40   | Weavile            |  3.12683% | 29482  |  5.980% | 0      |  0.000% | 
 | 41   | Genesect           |  2.92717% | 3716   |  0.754% | 0      |  0.000% | 
 | 42   | Volcarona          |  2.89419% | 14388  |  2.918% | 0      |  0.000% | 
 | 43   | Diancie            |  2.59816% | 4525   |  0.918% | 0      |  0.000% | 
 | 44   | Thundurus-Therian  |  2.56184% | 14929  |  3.028% | 0      |  0.000% | 
 | 45   | Porygon2           |  2.56123% | 7448   |  1.511% | 0      |  0.000% | 
 | 46   | Scizor             |  2.42256% | 17032  |  3.454% | 0      |  0.000% | 
 | 47   | Ludicolo           |  2.35981% | 15772  |  3.199% | 0      |  0.000% | 
 | 48   | Tyranitar          |  2.34565% | 23809  |  4.829% | 0      |  0.000% | 
 | 49   | Kingdra            |  2.33103% | 12115  |  2.457% | 0      |  0.000% | 
 | 50   | Venusaur           |  2.23220% | 18629  |  3.778% | 0      |  0.000% | 
 | 51   | Gengar             |  2.22066% | 35121  |  7.123% | 0      |  0.000% | 
 | 52   | Greninja           |  2.13159% | 44972  |  9.121% | 0      |  0.000% | 
 | 53   | Gyarados           |  2.04154% | 15809  |  3.206% | 0      |  0.000% | 
 | 54   | Hitmontop          |  2.03419% | 11987  |  2.431% | 0      |  0.000% | 
 | 55   | Raichu             |  1.88890% | 21670  |  4.395% | 0      |  0.000% | 
 | 56   | Mawile-Mega        |  1.79078% | 13055  |  2.648% | 0      |  0.000% | 
 | 57   | Togekiss           |  1.74544% | 34110  |  6.918% | 0      |  0.000% | 
 | 58   | Garchomp           |  1.69690% | 34869  |  7.072% | 0      |  0.000% | 
 | 59   | Snorlax            |  1.66865% | 16848  |  3.417% | 0      |  0.000% | 
 | 60   | Rotom-Heat         |  1.63670% | 4283   |  0.869% | 0      |  0.000% | 
 | 61   | Salamence          |  1.60953% | 11043  |  2.240% | 0      |  0.000% | 
 | 62   | Milotic            |  1.55633% | 19413  |  3.937% | 0      |  0.000% | 
 | 63   | Ninetales          |  1.55022% | 19853  |  4.027% | 0      |  0.000% | 
 | 64   | Metagross-Mega     |  1.52345% | 10777  |  2.186% | 0      |  0.000% | 
 | 65   | Infernape          |  1.50649% | 14658  |  2.973% | 0      |  0.000% | 
 | 66   | Jellicent          |  1.47096% | 6812   |  1.382% | 0      |  0.000% | 
