 Total battles: 36282
 Avg. weight/team: 0.14
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 66.84597% | 27558  | 37.978% | 16072  | 39.713% | 
 | 2    | Xerneas            | 56.47156% | 21219  | 29.242% | 11575  | 28.601% | 
 | 3    | Kyogre-Primal      | 53.77695% | 24934  | 34.361% | 14293  | 35.318% | 
 | 4    | Rayquaza-Mega      | 30.38124% | 13649  | 18.810% | 7345   | 18.149% | 
 | 5    | Arceus             | 23.18298% | 6824   |  9.404% | 3975   |  9.822% | 
 | 6    | Kangaskhan-Mega    | 22.57740% | 8533   | 11.759% | 4594   | 11.352% | 
 | 7    | Yveltal            | 15.85035% | 6962   |  9.594% | 3896   |  9.627% | 
 | 8    | Lugia              | 14.79805% | 6362   |  8.767% | 3384   |  8.362% | 
 | 9    | Giratina-Origin    | 10.02504% | 5008   |  6.901% | 3006   |  7.428% | 
 | 10   | Mew                |  9.59005% | 4055   |  5.588% | 2426   |  5.995% | 
 | 11   | Dialga             |  9.13473% | 5324   |  7.337% | 2913   |  7.198% | 
 | 12   | Ho-Oh              |  9.06049% | 4194   |  5.780% | 2554   |  6.311% | 
 | 13   | Arceus-Ghost       |  7.50625% | 2272   |  3.131% | 1233   |  3.047% | 
 | 14   | Mewtwo-Mega-Y      |  7.41213% | 4885   |  6.732% | 2447   |  6.046% | 
 | 15   | Hitmontop          |  7.40508% | 2365   |  3.259% | 1597   |  3.946% | 
 | 16   | Cresselia          |  6.40537% | 2506   |  3.454% | 1464   |  3.617% | 
 | 17   | Raichu             |  6.27026% | 3352   |  4.619% | 2002   |  4.947% | 
 | 18   | Palkia             |  6.24960% | 3537   |  4.874% | 1808   |  4.468% | 
 | 19   | Amoonguss          |  5.95563% | 2400   |  3.307% | 1441   |  3.561% | 
 | 20   | Greninja           |  5.94328% | 9170   | 12.637% | 4690   | 11.589% | 
 | 21   | Meowstic           |  5.72822% | 1967   |  2.711% | 1093   |  2.701% | 
 | 22   | Thundurus          |  5.70782% | 2189   |  3.017% | 1191   |  2.943% | 
 | 23   | Sableye            |  5.54969% | 2106   |  2.902% | 1209   |  2.987% | 
 | 24   | Smeargle           |  5.37755% | 3050   |  4.203% | 1532   |  3.786% | 
 | 25   | Salamence-Mega     |  5.37134% | 3656   |  5.038% | 1923   |  4.752% | 
 | 26   | Whimsicott         |  5.26977% | 3121   |  4.301% | 1626   |  4.018% | 
 | 27   | Aegislash          |  4.99768% | 4652   |  6.411% | 2761   |  6.822% | 
 | 28   | Zekrom             |  4.93654% | 4088   |  5.634% | 2235   |  5.523% | 
 | 29   | Darkrai            |  4.78709% | 3038   |  4.187% | 1470   |  3.632% | 
 | 30   | Arceus-Steel       |  4.67853% | 1568   |  2.161% | 760    |  1.878% | 
 | 31   | Bronzong           |  4.51270% | 1976   |  2.723% | 1149   |  2.839% | 
 | 32   | Gengar-Mega        |  4.48382% | 4019   |  5.539% | 2125   |  5.251% | 
 | 33   | Landorus-Therian   |  4.31028% | 1993   |  2.747% | 1182   |  2.921% | 
 | 34   | Mewtwo-Mega-X      |  4.27709% | 3910   |  5.388% | 2039   |  5.038% | 
 | 35   | Talonflame         |  3.94101% | 3738   |  5.151% | 2047   |  5.058% | 
 | 36   | Ferrothorn         |  3.78246% | 2815   |  3.879% | 1774   |  4.383% | 
 | 37   | Kyurem-White       |  3.52644% | 2833   |  3.904% | 1577   |  3.897% | 
 | 38   | Mewtwo             |  3.10949% | 2021   |  2.785% | 1129   |  2.790% | 
 | 39   | Shaymin-Sky        |  3.05286% | 2214   |  3.051% | 1174   |  2.901% | 
 | 40   | Metagross-Mega     |  2.90255% | 1946   |  2.682% | 1184   |  2.926% | 
 | 41   | Giratina           |  2.72094% | 1793   |  2.471% | 1021   |  2.523% | 
 | 42   | Togekiss           |  2.65928% | 2651   |  3.653% | 1619   |  4.000% | 
 | 43   | Diancie-Mega       |  2.57448% | 1483   |  2.044% | 886    |  2.189% | 
 | 44   | Klefki             |  2.57341% | 1922   |  2.649% | 1039   |  2.567% | 
 | 45   | Deoxys-Attack      |  2.48615% | 1462   |  2.015% | 705    |  1.742% | 
 | 46   | Reshiram           |  2.38251% | 2662   |  3.668% | 1486   |  3.672% | 
 | 47   | Kyogre             |  2.18081% | 1156   |  1.593% | 647    |  1.599% | 
 | 48   | Terrakion          |  2.16055% | 1359   |  1.873% | 717    |  1.772% | 
 | 49   | Shedinja           |  1.97514% | 2221   |  3.061% | 1286   |  3.178% | 
 | 50   | Mawile-Mega        |  1.93448% | 1719   |  2.369% | 1091   |  2.696% | 
 | 51   | Arceus-Flying      |  1.90821% | 365    |  0.503% | 183    |  0.452% | 
 | 52   | Arceus-Fairy       |  1.79919% | 1211   |  1.669% | 620    |  1.532% | 
 | 53   | Genesect           |  1.77749% | 1421   |  1.958% | 871    |  2.152% | 
 | 54   | Charizard-Mega-Y   |  1.72313% | 2848   |  3.925% | 1459   |  3.605% | 
 | 55   | Hoopa-Unbound      |  1.68889% | 1831   |  2.523% | 1143   |  2.824% | 
 | 56   | Blaziken-Mega      |  1.67061% | 2528   |  3.484% | 1504   |  3.716% | 
 | 57   | Weavile            |  1.66332% | 1760   |  2.425% | 988    |  2.441% | 
 | 58   | Zapdos             |  1.64358% | 1272   |  1.753% | 784    |  1.937% | 
 | 59   | Mienshao           |  1.58653% | 536    |  0.739% | 324    |  0.801% | 
 | 60   | Gardevoir-Mega     |  1.58309% | 2338   |  3.222% | 1358   |  3.356% | 
 | 61   | Gengar             |  1.57894% | 2309   |  3.182% | 1330   |  3.286% | 
 | 62   | Liepard            |  1.56290% | 599    |  0.825% | 302    |  0.746% | 
 | 63   | Breloom            |  1.54019% | 1447   |  1.994% | 924    |  2.283% | 
 | 64   | Ditto              |  1.53930% | 1657   |  2.284% | 949    |  2.345% | 
 | 65   | Jirachi            |  1.52572% | 1236   |  1.703% | 667    |  1.648% | 
 | 66   | Garchomp           |  1.46596% | 1706   |  2.351% | 962    |  2.377% | 
 | 67   | Gardevoir          |  1.37060% | 1027   |  1.415% | 637    |  1.574% | 
 | 68   | Sableye-Mega       |  1.26189% | 1047   |  1.443% | 610    |  1.507% | 
 | 69   | Spinda             |  1.25484% | 1140   |  1.571% | 621    |  1.534% | 
 | 70   | Victini            |  1.24867% | 1254   |  1.728% | 708    |  1.749% | 
 | 71   | Serperior          |  1.21679% | 1862   |  2.566% | 1036   |  2.560% | 
 | 72   | Heliolisk          |  1.17286% | 898    |  1.238% | 500    |  1.235% | 
 | 73   | Gastrodon          |  1.15318% | 482    |  0.664% | 313    |  0.773% | 
 | 74   | Latios             |  1.13758% | 915    |  1.261% | 510    |  1.260% | 
 | 75   | Azumarill          |  1.13509% | 1639   |  2.259% | 1020   |  2.520% | 
 | 76   | Lucario-Mega       |  1.11147% | 2261   |  3.116% | 1252   |  3.094% | 
 | 77   | Blaziken           |  1.06060% | 1705   |  2.350% | 978    |  2.417% | 
 | 78   | Clefable           |  1.04509% | 1481   |  2.041% | 794    |  1.962% | 
 | 79   | Shuckle            |  0.99916% | 1426   |  1.965% | 751    |  1.856% | 
 | 80   | Arceus-Ground      |  0.98346% | 384    |  0.529% | 187    |  0.462% | 
 | 81   | Kyurem-Black       |  0.95382% | 1307   |  1.801% | 771    |  1.905% | 
 | 82   | Dragonite          |  0.94425% | 2263   |  3.119% | 1358   |  3.356% | 
 | 83   | Volcanion          |  0.94178% | 1230   |  1.695% | 722    |  1.784% | 
 | 84   | Espeon             |  0.91415% | 1040   |  1.433% | 487    |  1.203% | 
 | 85   | Scizor             |  0.88084% | 877    |  1.209% | 537    |  1.327% | 
 | 86   | Sylveon            |  0.87484% | 1999   |  2.755% | 1275   |  3.150% | 
 | 87   | Regigigas          |  0.85338% | 903    |  1.244% | 507    |  1.253% | 
 | 88   | Crobat             |  0.85063% | 1174   |  1.618% | 653    |  1.614% | 
 | 89   | Landorus           |  0.79487% | 660    |  0.910% | 388    |  0.959% | 
 | 90   | Ambipom            |  0.78273% | 895    |  1.233% | 475    |  1.174% | 
 | 91   | Scrafty            |  0.78183% | 614    |  0.846% | 384    |  0.949% | 
 | 92   | Infernape          |  0.77860% | 1483   |  2.044% | 904    |  2.234% | 
 | 93   | Arceus-Poison      |  0.77735% | 334    |  0.460% | 174    |  0.430% | 
 | 94   | Ludicolo           |  0.75934% | 1095   |  1.509% | 621    |  1.534% | 
 | 95   | Manaphy            |  0.75057% | 631    |  0.870% | 329    |  0.813% | 
 | 96   | Shiftry            |  0.74132% | 345    |  0.475% | 234    |  0.578% | 
 | 97   | Aron               |  0.73466% | 399    |  0.550% | 232    |  0.573% | 
 | 98   | Venusaur           |  0.68956% | 843    |  1.162% | 539    |  1.332% | 
 | 99   | Charizard-Mega-X   |  0.68123% | 3066   |  4.225% | 1756   |  4.339% | 
 | 100  | Thundurus-Therian  |  0.67985% | 905    |  1.247% | 539    |  1.332% | 
 | 101  | Heatran            |  0.67412% | 923    |  1.272% | 551    |  1.362% | 
 | 102  | Cloyster           |  0.65938% | 950    |  1.309% | 515    |  1.273% | 
 | 103  | Kingdra            |  0.65761% | 834    |  1.149% | 495    |  1.223% | 
 | 104  | Deoxys-Speed       |  0.64560% | 621    |  0.856% | 277    |  0.684% | 
 | 105  | Blastoise          |  0.63248% | 656    |  0.904% | 383    |  0.946% | 
