 Total battles: 21876
 Avg. weight/team: 0.141
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Arcanine           | 14.71509% | 4866   | 11.122% | 3243   | 12.303% | 
 | 2    | Hitmontop          | 10.84498% | 2193   |  5.012% | 1582   |  6.001% | 
 | 3    | Blastoise-Mega     | 10.34714% | 2728   |  6.235% | 1799   |  6.825% | 
 | 4    | Cofagrigus         | 10.05894% | 2688   |  6.144% | 1434   |  5.440% | 
 | 5    | Volcarona          |  9.25944% | 1665   |  3.806% | 1146   |  4.347% | 
 | 6    | Crobat             |  9.19914% | 2892   |  6.610% | 1718   |  6.517% | 
 | 7    | Genesect           |  8.47554% | 1583   |  3.618% | 901    |  3.418% | 
 | 8    | Sceptile-Mega      |  8.45707% | 3385   |  7.737% | 1705   |  6.468% | 
 | 9    | Raichu             |  8.05820% | 2122   |  4.850% | 1385   |  5.254% | 
 | 10   | Porygon2           |  7.74198% | 1726   |  3.945% | 993    |  3.767% | 
 | 11   | Aerodactyl-Mega    |  7.73106% | 2398   |  5.481% | 1343   |  5.095% | 
 | 12   | Bronzong           |  6.76191% | 2031   |  4.642% | 1197   |  4.541% | 
 | 13   | Hariyama           |  6.62369% | 1165   |  2.663% | 733    |  2.781% | 
 | 14   | Cradily            |  6.61602% | 1550   |  3.543% | 1052   |  3.991% | 
 | 15   | Escavalier         |  6.56513% | 1304   |  2.980% | 875    |  3.319% | 
 | 16   | Gastrodon          |  6.34212% | 1923   |  4.395% | 1330   |  5.045% | 
 | 17   | Machamp            |  6.32700% | 1949   |  4.455% | 1323   |  5.019% | 
 | 18   | Abomasnow-Mega     |  6.26290% | 1651   |  3.774% | 1058   |  4.014% | 
 | 19   | Krookodile         |  6.26080% | 2520   |  5.760% | 1524   |  5.781% | 
