 Total battles: 80988
 Avg. weight/team: 0.119
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Jolteon            | 13.75331% | 22348  | 13.797% | 8064   | 15.419% | 
 | 2    | Alakazam           | 11.67531% | 18685  | 11.536% | 6056   | 11.579% | 
 | 3    | Mewtwo             | 11.60153% | 18490  | 11.415% | 6005   | 11.482% | 
 | 4    | Mew                | 11.25712% | 18486  | 11.413% | 5794   | 11.078% | 
 | 5    | Jynx               | 10.94880% | 17275  | 10.665% | 5434   | 10.390% | 
 | 6    | Snorlax            | 10.82754% | 17813  | 10.997% | 5955   | 11.386% | 
 | 7    | Tauros             | 10.71205% | 17605  | 10.869% | 5926   | 11.331% | 
 | 8    | Chansey            | 10.70054% | 17551  | 10.836% | 5766   | 11.025% | 
 | 9    | Gengar             |  9.83191% | 15694  |  9.689% | 5210   |  9.962% | 
 | 10   | Golem              |  8.55964% | 14080  |  8.693% | 4044   |  7.732% | 
 | 11   | Zapdos             |  8.48365% | 13815  |  8.529% | 3981   |  7.612% | 
 | 12   | Rhydon             |  8.38493% | 13912  |  8.589% | 3915   |  7.486% | 
 | 13   | Cloyster           |  7.86973% | 12763  |  7.880% | 3655   |  6.989% | 
 | 14   | Lapras             |  7.77749% | 12495  |  7.714% | 3636   |  6.952% | 
 | 15   | Exeggutor          |  7.41300% | 11983  |  7.398% | 3068   |  5.866% | 
 | 16   | Pinsir             |  6.83584% | 11062  |  6.829% | 3769   |  7.207% | 
 | 17   | Magneton           |  6.79033% | 10924  |  6.744% | 3595   |  6.874% | 
 | 18   | Electabuzz         |  6.78354% | 10911  |  6.736% | 3620   |  6.922% | 
 | 19   | Electrode          |  6.66718% | 10848  |  6.697% | 3735   |  7.142% | 
 | 20   | Raichu             |  6.56771% | 10771  |  6.650% | 3667   |  7.012% | 
 | 21   | Rapidash           |  6.29337% | 9801   |  6.051% | 3244   |  6.203% | 
 | 22   | Starmie            |  6.21747% | 10244  |  6.324% | 2661   |  5.088% | 
 | 23   | Slowbro            |  6.20378% | 10274  |  6.343% | 2565   |  4.904% | 
 | 24   | Kadabra            |  6.19501% | 9824   |  6.065% | 3129   |  5.983% | 
