 Total battles: 30
 Avg. weight/team: 0.007
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Abra               | 100.00000% | 22     | 36.667% | 12     | 25.993% | 
 | 2    | Deerling           | 100.00000% | 12     | 20.000% | 10     | 21.661% | 
 | 3    | Venonat            | 100.00000% | 13     | 21.667% | 10     | 21.661% | 
 | 4    | Anorith            | 100.00000% | 12     | 20.000% | 12     | 25.993% | 
 | 5    | Buizel             | 100.00000% | 13     | 21.667% | 13     | 28.159% | 
 | 6    | Cubone             | 100.00000% | 12     | 20.000% | 10     | 21.661% | 
 | 7    | Nincada            |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 8    | Voltorb            |  0.00000% | 2      |  3.333% | 2      |  4.332% | 
 | 9    | Munna              |  0.00000% | 1      |  1.667% | 0      |  0.000% | 
 | 10   | Togepi             |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 11   | Mankey             |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 12   | Buneary            |  0.00000% | 1      |  1.667% | 0      |  0.000% | 
 | 13   | Mienfoo            |  0.00000% | 28     | 46.667% | 26     | 56.318% | 
 | 14   | Frillish           |  0.00000% | 5      |  8.333% | 5      | 10.830% | 
 | 15   | Piplup             |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 16   | Bulbasaur          |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 17   | Drilbur            |  0.00000% | 5      |  8.333% | 2      |  4.332% | 
 | 18   | Venipede           |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 19   | Pawniard           |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 20   | Bidoof             |  0.00000% | 1      |  1.667% | 0      |  0.000% | 
 | 21   | Wynaut             |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 22   | Ponyta             |  0.00000% | 4      |  6.667% | 3      |  6.498% | 
 | 23   | Aron               |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 24   | Taillow            |  0.00000% | 24     | 40.000% | 18     | 38.989% | 
 | 25   | Clamperl           |  0.00000% | 2      |  3.333% | 1      |  2.166% | 
 | 26   | Snorunt            |  0.00000% | 1      |  1.667% | 0      |  0.000% | 
 | 27   | Aipom              |  0.00000% | 2      |  3.333% | 2      |  4.332% | 
 | 28   | Gastly             |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
 | 29   | Goldeen            |  0.00000% | 1      |  1.667% | 1      |  2.166% | 
