 Total battles: 74763
 Avg. weight/team: 0.575
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Deoxys-Attack      | 23.98646% | 32800  | 21.936% | 21821  | 20.346% | 
 | 2    | Talonflame         | 21.28644% | 29962  | 20.038% | 21310  | 19.869% | 
 | 3    | Serperior          | 20.10804% | 28512  | 19.068% | 19527  | 18.207% | 
 | 4    | Shuckle            | 18.58060% | 26807  | 17.928% | 22639  | 21.108% | 
 | 5    | Swellow            | 13.48770% | 17951  | 12.005% | 12586  | 11.735% | 
 | 6    | Heracross-Mega     | 11.85978% | 16190  | 10.828% | 11460  | 10.685% | 
 | 7    | Ditto              | 11.82928% | 15521  | 10.380% | 11038  | 10.292% | 
 | 8    | Clefable           | 10.13672% | 13985  |  9.353% | 9823   |  9.159% | 
 | 9    | Arceus             | 10.03181% | 13909  |  9.302% | 8937   |  8.333% | 
 | 10   | Smeargle           |  9.72473% | 12802  |  8.562% | 10112  |  9.428% | 
 | 11   | Diancie-Mega       |  9.61721% | 13377  |  8.946% | 10461  |  9.754% | 
 | 12   | Skarmory           |  9.14463% | 12173  |  8.141% | 9739   |  9.081% | 
 | 13   | Rotom-Wash         |  8.36871% | 11596  |  7.755% | 9244   |  8.619% | 
 | 14   | Excadrill          |  7.27128% | 9904   |  6.624% | 7320   |  6.825% | 
 | 15   | Ferrothorn         |  6.86253% | 9698   |  6.486% | 7988   |  7.448% | 
 | 16   | Sableye-Mega       |  6.64823% | 9223   |  6.168% | 7819   |  7.290% | 
 | 17   | Landorus-Therian   |  6.34747% | 8689   |  5.811% | 6906   |  6.439% | 
 | 18   | Tangrowth          |  6.19368% | 8892   |  5.947% | 6275   |  5.851% | 
 | 19   | Gliscor            |  6.14632% | 9885   |  6.611% | 7073   |  6.595% | 
 | 20   | Pikachu            |  5.85250% | 8634   |  5.774% | 6256   |  5.833% | 
 | 21   | Klefki             |  5.72390% | 8066   |  5.394% | 6593   |  6.147% | 
 | 22   | Groudon-Primal     |  5.11860% | 6973   |  4.663% | 5635   |  5.254% | 
 | 23   | Cloyster           |  4.99127% | 7191   |  4.809% | 5145   |  4.797% | 
 | 24   | Kyurem-White       |  4.62066% | 6523   |  4.362% | 4144   |  3.864% | 
 | 25   | Weavile            |  4.59608% | 7078   |  4.734% | 4822   |  4.496% | 
 | 26   | Scizor-Mega        |  4.35827% | 5968   |  3.991% | 4581   |  4.271% | 
 | 27   | Gengar             |  4.33848% | 7378   |  4.934% | 5033   |  4.693% | 
 | 28   | Tyranitar          |  4.23502% | 6104   |  4.082% | 4456   |  4.155% | 
 | 29   | Giratina           |  3.92879% | 5614   |  3.755% | 3589   |  3.346% | 
 | 30   | Azumarill          |  3.85998% | 5806   |  3.883% | 4368   |  4.073% | 
 | 31   | Alomomola          |  3.85568% | 5036   |  3.368% | 3726   |  3.474% | 
 | 32   | Scizor             |  3.80153% | 5212   |  3.486% | 3925   |  3.660% | 
 | 33   | Giratina-Origin    |  3.79577% | 5782   |  3.867% | 3867   |  3.606% | 
 | 34   | Crobat             |  3.78512% | 5401   |  3.612% | 3728   |  3.476% | 
 | 35   | Kyurem-Black       |  3.76475% | 5955   |  3.983% | 3846   |  3.586% | 
 | 36   | Heatran            |  3.74965% | 5129   |  3.430% | 4028   |  3.756% | 
 | 37   | Starmie            |  3.74334% | 5437   |  3.636% | 3626   |  3.381% | 
 | 38   | Amoonguss          |  3.72290% | 5431   |  3.632% | 3807   |  3.550% | 
 | 39   | Rampardos          |  3.59107% | 5430   |  3.631% | 3738   |  3.485% | 
 | 40   | Volcanion          |  3.56848% | 5566   |  3.722% | 4165   |  3.883% | 
 | 41   | Rhyperior          |  3.56088% | 4627   |  3.094% | 3482   |  3.247% | 
 | 42   | Sylveon            |  3.52849% | 5263   |  3.520% | 3557   |  3.317% | 
 | 43   | Dragonite          |  3.52555% | 6394   |  4.276% | 4395   |  4.098% | 
 | 44   | Breloom            |  3.48284% | 5867   |  3.924% | 4088   |  3.812% | 
 | 45   | Bisharp            |  3.39994% | 5504   |  3.681% | 3829   |  3.570% | 
 | 46   | Hoopa-Unbound      |  3.16988% | 4703   |  3.145% | 2984   |  2.782% | 
 | 47   | Ampharos-Mega      |  3.16492% | 4534   |  3.032% | 3260   |  3.040% | 
 | 48   | Snorlax            |  3.16196% | 5258   |  3.516% | 3589   |  3.346% | 
 | 49   | Victini            |  3.12146% | 4638   |  3.102% | 3324   |  3.099% | 
 | 50   | Arceus-Ghost       |  3.08800% | 4205   |  2.812% | 2943   |  2.744% | 
 | 51   | Linoone            |  3.01743% | 4145   |  2.772% | 2878   |  2.683% | 
 | 52   | Jirachi            |  2.98132% | 4437   |  2.967% | 3309   |  3.085% | 
 | 53   | Charizard-Mega-X   |  2.86513% | 6316   |  4.224% | 4632   |  4.319% | 
 | 54   | Gardevoir-Mega     |  2.81796% | 4633   |  3.098% | 3141   |  2.929% | 
 | 55   | Xerneas            |  2.76033% | 3851   |  2.575% | 2553   |  2.380% | 
 | 56   | Conkeldurr         |  2.72524% | 3924   |  2.624% | 2850   |  2.657% | 
 | 57   | Manaphy            |  2.69236% | 3758   |  2.513% | 2575   |  2.401% | 
 | 58   | Slowbro-Mega       |  2.66840% | 3798   |  2.540% | 2690   |  2.508% | 
 | 59   | Mewtwo             |  2.65792% | 3956   |  2.646% | 2504   |  2.335% | 
 | 60   | Garchomp           |  2.65115% | 4196   |  2.806% | 3148   |  2.935% | 
