 Total battles: 71788
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Shedinja           |  0.91102% | 1308   |  0.911% | 763    |  0.774% | 
 | 2    | Kangaskhan         |  0.90684% | 1302   |  0.907% | 897    |  0.910% | 
 | 3    | Chimchar           |  0.90475% | 1299   |  0.905% | 907    |  0.920% | 
 | 4    | Lombre             |  0.89709% | 1288   |  0.897% | 879    |  0.892% | 
 | 5    | Haunter            |  0.89640% | 1287   |  0.896% | 933    |  0.946% | 
 | 6    | Roggenrola         |  0.89291% | 1282   |  0.893% | 874    |  0.887% | 
 | 7    | Skarmory           |  0.89082% | 1279   |  0.891% | 905    |  0.918% | 
 | 8    | Machamp            |  0.88873% | 1276   |  0.889% | 872    |  0.885% | 
 | 9    | Skiddo             |  0.88734% | 1274   |  0.887% | 866    |  0.878% | 
 | 10   | Mesprit            |  0.88664% | 1273   |  0.887% | 840    |  0.852% | 
 | 11   | Dragonair          |  0.88664% | 1273   |  0.887% | 864    |  0.876% | 
 | 12   | Shaymin            |  0.88664% | 1273   |  0.887% | 861    |  0.873% | 
 | 13   | Electrike          |  0.88456% | 1270   |  0.885% | 866    |  0.878% | 
 | 14   | Rhyhorn            |  0.88316% | 1268   |  0.883% | 876    |  0.889% | 
 | 15   | Espeon             |  0.88247% | 1267   |  0.882% | 875    |  0.888% | 
 | 16   | Farfetch'd         |  0.88107% | 1265   |  0.881% | 858    |  0.870% | 
 | 17   | Volcarona          |  0.88038% | 1264   |  0.880% | 864    |  0.876% | 
 | 18   | Helioptile         |  0.87968% | 1263   |  0.880% | 852    |  0.864% | 
 | 19   | Kyogre             |  0.87620% | 1258   |  0.876% | 894    |  0.907% | 
 | 20   | Girafarig          |  0.87550% | 1257   |  0.875% | 835    |  0.847% | 
 | 21   | Elgyem             |  0.87480% | 1256   |  0.875% | 824    |  0.836% | 
 | 22   | Basculin           |  0.87411% | 1255   |  0.874% | 857    |  0.869% | 
 | 23   | Ho-Oh              |  0.87411% | 1255   |  0.874% | 887    |  0.900% | 
 | 24   | Drifloon           |  0.87341% | 1254   |  0.873% | 881    |  0.894% | 
 | 25   | Cloyster           |  0.87271% | 1253   |  0.873% | 835    |  0.847% | 
 | 26   | Hippowdon          |  0.87271% | 1253   |  0.873% | 849    |  0.861% | 
 | 27   | Scolipede          |  0.87202% | 1252   |  0.872% | 854    |  0.866% | 
 | 28   | Arceus             |  0.87132% | 1251   |  0.871% | 893    |  0.906% | 
 | 29   | Munna              |  0.87132% | 1251   |  0.871% | 840    |  0.852% | 
 | 30   | Virizion           |  0.87063% | 1250   |  0.871% | 865    |  0.877% | 
 | 31   | Paras              |  0.87063% | 1250   |  0.871% | 845    |  0.857% | 
 | 32   | Lampent            |  0.87063% | 1250   |  0.871% | 885    |  0.898% | 
 | 33   | Raikou             |  0.87063% | 1250   |  0.871% | 872    |  0.885% | 
 | 34   | Riolu              |  0.87063% | 1250   |  0.871% | 839    |  0.851% | 
 | 35   | Tornadus           |  0.86993% | 1249   |  0.870% | 873    |  0.886% | 
 | 36   | Aron               |  0.86993% | 1249   |  0.870% | 850    |  0.862% | 
 | 37   | Palpitoad          |  0.86993% | 1249   |  0.870% | 882    |  0.895% | 
 | 38   | Wartortle          |  0.86923% | 1248   |  0.869% | 842    |  0.854% | 
 | 39   | Bayleef            |  0.86923% | 1248   |  0.869% | 860    |  0.872% | 
 | 40   | Wailord            |  0.86923% | 1248   |  0.869% | 865    |  0.877% | 
 | 41   | Palkia             |  0.86854% | 1247   |  0.869% | 867    |  0.879% | 
 | 42   | Conkeldurr         |  0.86854% | 1247   |  0.869% | 868    |  0.881% | 
 | 43   | Thundurus          |  0.86854% | 1247   |  0.869% | 883    |  0.896% | 
 | 44   | Tentacool          |  0.86784% | 1246   |  0.868% | 891    |  0.904% | 
 | 45   | Manectric          |  0.86714% | 1245   |  0.867% | 882    |  0.895% | 
 | 46   | Inkay              |  0.86714% | 1245   |  0.867% | 816    |  0.828% | 
 | 47   | Gulpin             |  0.86645% | 1244   |  0.866% | 838    |  0.850% | 
 | 48   | Togetic            |  0.86575% | 1243   |  0.866% | 877    |  0.890% | 
 | 49   | Dialga             |  0.86575% | 1243   |  0.866% | 873    |  0.886% | 
 | 50   | Noibat             |  0.86575% | 1243   |  0.866% | 866    |  0.878% | 
 | 51   | Stunfisk           |  0.86575% | 1243   |  0.866% | 870    |  0.883% | 
 | 52   | Claydol            |  0.86505% | 1242   |  0.865% | 882    |  0.895% | 
 | 53   | Emboar             |  0.86505% | 1242   |  0.865% | 852    |  0.864% | 
 | 54   | Banette            |  0.86505% | 1242   |  0.865% | 880    |  0.893% | 
 | 55   | Diglett            |  0.86366% | 1240   |  0.864% | 859    |  0.871% | 
 | 56   | Ponyta             |  0.86366% | 1240   |  0.864% | 836    |  0.848% | 
 | 57   | Amaura             |  0.86366% | 1240   |  0.864% | 817    |  0.829% | 
 | 58   | Aerodactyl         |  0.86366% | 1240   |  0.864% | 854    |  0.866% | 
 | 59   | Snover             |  0.86366% | 1240   |  0.864% | 816    |  0.828% | 
 | 60   | Roserade           |  0.86366% | 1240   |  0.864% | 819    |  0.831% | 
 | 61   | Darkrai            |  0.86296% | 1239   |  0.863% | 852    |  0.864% | 
 | 62   | Cleffa             |  0.86296% | 1239   |  0.863% | 821    |  0.833% | 
 | 63   | Snubbull           |  0.86296% | 1239   |  0.863% | 833    |  0.845% | 
 | 64   | Gothitelle         |  0.86296% | 1239   |  0.863% | 833    |  0.845% | 
 | 65   | Electabuzz         |  0.86296% | 1239   |  0.863% | 841    |  0.853% | 
 | 66   | Vullaby            |  0.86296% | 1239   |  0.863% | 827    |  0.839% | 
 | 67   | Machoke            |  0.86296% | 1239   |  0.863% | 862    |  0.874% | 
 | 68   | Latias             |  0.86296% | 1239   |  0.863% | 842    |  0.854% | 
 | 69   | Slowbro            |  0.86227% | 1238   |  0.862% | 856    |  0.868% | 
 | 70   | Weedle             |  0.86227% | 1238   |  0.862% | 846    |  0.858% | 
 | 71   | Fennekin           |  0.86157% | 1237   |  0.862% | 838    |  0.850% | 
 | 72   | Arcanine           |  0.86157% | 1237   |  0.862% | 860    |  0.872% | 
 | 73   | Gyarados           |  0.86087% | 1236   |  0.861% | 867    |  0.879% | 
 | 74   | Milotic            |  0.86087% | 1236   |  0.861% | 842    |  0.854% | 
 | 75   | Vibrava            |  0.86087% | 1236   |  0.861% | 841    |  0.853% | 
 | 76   | Haxorus            |  0.86087% | 1236   |  0.861% | 846    |  0.858% | 
 | 77   | Ferrothorn         |  0.86018% | 1235   |  0.860% | 909    |  0.922% | 
 | 78   | Happiny            |  0.86018% | 1235   |  0.860% | 820    |  0.832% | 
