 Total battles: 1565
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Avalugg            | 21.82109% | 683    | 21.821% | 416    | 20.097% | 
 | 2    | Porygon2           | 18.78594% | 588    | 18.786% | 372    | 17.971% | 
 | 3    | Chansey            | 16.74121% | 524    | 16.741% | 345    | 16.667% | 
 | 4    | Breloom            | 15.43131% | 483    | 15.431% | 278    | 13.430% | 
 | 5    | Greninja           | 14.44089% | 452    | 14.441% | 357    | 17.246% | 
 | 6    | Beedrill-Mega      | 11.34185% | 355    | 11.342% | 243    | 11.739% | 
 | 7    | Dragonite          | 10.92652% | 342    | 10.927% | 220    | 10.628% | 
 | 8    | Lopunny-Mega       |  9.68051% | 303    |  9.681% | 243    | 11.739% | 
 | 9    | Gengar             |  9.45687% | 296    |  9.457% | 184    |  8.889% | 
 | 10   | Charizard-Mega-X   |  8.94569% | 280    |  8.946% | 213    | 10.290% | 
 | 11   | Porygon-Z          |  8.91374% | 279    |  8.914% | 170    |  8.213% | 
 | 12   | Meloetta           |  8.14696% | 255    |  8.147% | 129    |  6.232% | 
 | 13   | Weavile            |  8.11502% | 254    |  8.115% | 165    |  7.971% | 
 | 14   | Mamoswine          |  6.32588% | 198    |  6.326% | 157    |  7.585% | 
 | 15   | Talonflame         |  6.10224% | 191    |  6.102% | 132    |  6.377% | 
 | 16   | Tyranitar          |  6.10224% | 191    |  6.102% | 160    |  7.729% | 
 | 17   | Sceptile-Mega      |  5.49521% | 172    |  5.495% | 127    |  6.135% | 
 | 18   | Pinsir-Mega        |  5.39936% | 169    |  5.399% | 92     |  4.444% | 
 | 19   | Bisharp            |  4.85623% | 152    |  4.856% | 95     |  4.589% | 
 | 20   | Tangrowth          |  4.60064% | 144    |  4.601% | 93     |  4.493% | 
 | 21   | Mawile-Mega        |  4.60064% | 144    |  4.601% | 47     |  2.271% | 
 | 22   | Alakazam-Mega      |  4.44089% | 139    |  4.441% | 83     |  4.010% | 
 | 23   | Keldeo             |  4.44089% | 139    |  4.441% | 81     |  3.913% | 
 | 24   | Garchomp           |  4.44089% | 139    |  4.441% | 92     |  4.444% | 
 | 25   | Charizard-Mega-Y   |  4.40895% | 138    |  4.409% | 93     |  4.493% | 
 | 26   | Reuniclus          |  4.34505% | 136    |  4.345% | 82     |  3.961% | 
 | 27   | Gliscor            |  4.31310% | 135    |  4.313% | 94     |  4.541% | 
 | 28   | Chesnaught         |  4.21725% | 132    |  4.217% | 94     |  4.541% | 
