 Total battles: 94764
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Abra               | 27.05384% | 51275  | 27.054% | 35358  | 24.822% | 
 | 2    | Mienfoo            | 22.54684% | 42732  | 22.547% | 34496  | 24.217% | 
 | 3    | Pawniard           | 17.12422% | 32454  | 17.124% | 24564  | 17.245% | 
 | 4    | Fletchling         | 14.71856% | 27895  | 14.718% | 20663  | 14.506% | 
 | 5    | Chinchou           | 13.93249% | 26405  | 13.932% | 20752  | 14.568% | 
 | 6    | Aipom              | 12.68858% | 24049  | 12.689% | 19795  | 13.897% | 
 | 7    | Gastly             | 12.54239% | 23772  | 12.543% | 17033  | 11.958% | 
 | 8    | Archen             | 11.29650% | 21411  | 11.297% | 15582  | 10.939% | 
 | 9    | Ponyta             | 10.28025% | 19484  | 10.280% | 14520  | 10.193% | 
 | 10   | Diglett            |  9.97831% | 18911  |  9.978% | 14442  | 10.139% | 
 | 11   | Ferroseed          |  9.68441% | 18354  |  9.684% | 15819  | 11.105% | 
 | 12   | Carvanha           |  9.50014% | 18005  |  9.500% | 13381  |  9.394% | 
 | 13   | Magnemite          |  9.31295% | 17652  |  9.314% | 13313  |  9.346% | 
 | 14   | Onix               |  8.18801% | 15518  |  8.188% | 12897  |  9.054% | 
 | 15   | Porygon            |  7.82499% | 14831  |  7.825% | 10729  |  7.532% | 
 | 16   | Scraggy            |  7.33850% | 13908  |  7.338% | 10589  |  7.434% | 
 | 17   | Vullaby            |  7.30197% | 13839  |  7.302% | 10865  |  7.627% | 
 | 18   | Cottonee           |  7.26199% | 13763  |  7.262% | 10918  |  7.665% | 
 | 19   | Drilbur            |  7.22189% | 13687  |  7.222% | 10373  |  7.282% | 
 | 20   | Staryu             |  7.17335% | 13595  |  7.173% | 10158  |  7.131% | 
 | 21   | Timburr            |  7.00819% | 13282  |  7.008% | 10314  |  7.241% | 
 | 22   | Snivy              |  6.54452% | 12405  |  6.545% | 9029   |  6.339% | 
 | 23   | Foongus            |  6.46934% | 12261  |  6.469% | 9488   |  6.661% | 
 | 24   | Croagunk           |  6.43886% | 12204  |  6.439% | 9652   |  6.776% | 
 | 25   | Munchlax           |  6.24230% | 11832  |  6.243% | 8353   |  5.864% | 
 | 26   | Elekid             |  6.03310% | 11434  |  6.033% | 8328   |  5.846% | 
 | 27   | Shellder           |  5.90659% | 11195  |  5.907% | 8285   |  5.816% | 
 | 28   | Spritzee           |  5.77257% | 10941  |  5.773% | 7357   |  5.165% | 
 | 29   | Torchic            |  5.17292% | 9804   |  5.173% | 7916   |  5.557% | 
 | 30   | Dwebble            |  5.08915% | 9645   |  5.089% | 7942   |  5.575% | 
 | 31   | Cranidos           |  5.07012% | 9612   |  5.072% | 6630   |  4.654% | 
 | 32   | Meowth             |  4.85804% | 9207   |  4.858% | 7719   |  5.419% | 
 | 33   | Tirtouga           |  4.73562% | 8975   |  4.735% | 6573   |  4.614% | 
 | 34   | Honedge            |  4.70396% | 8915   |  4.704% | 6906   |  4.848% | 
 | 35   | Froakie            |  4.63537% | 8785   |  4.635% | 6607   |  4.638% | 
 | 36   | Vulpix             |  4.59105% | 8701   |  4.591% | 7232   |  5.077% | 
 | 37   | Aron               |  4.46271% | 8458   |  4.463% | 6560   |  4.605% | 
 | 38   | Axew               |  4.42642% | 8389   |  4.426% | 5892   |  4.136% | 
 | 39   | Amaura             |  4.25388% | 8062   |  4.254% | 5726   |  4.020% | 
 | 40   | Cubone             |  4.18951% | 7940   |  4.189% | 5888   |  4.134% | 
