 Total battles: 94764
 Avg. weight/team: 0.03
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mienfoo            | 38.88870% | 42732  | 22.547% | 34496  | 24.217% | 
 | 2    | Pawniard           | 31.64010% | 32454  | 17.124% | 24564  | 17.245% | 
 | 3    | Chinchou           | 30.51674% | 26405  | 13.932% | 20752  | 14.568% | 
 | 4    | Fletchling         | 29.54866% | 27895  | 14.718% | 20663  | 14.506% | 
 | 5    | Abra               | 27.11839% | 51275  | 27.054% | 35358  | 24.822% | 
 | 6    | Timburr            | 21.07025% | 13282  |  7.008% | 10314  |  7.241% | 
 | 7    | Vullaby            | 18.25373% | 13839  |  7.302% | 10865  |  7.627% | 
 | 8    | Diglett            | 16.27687% | 18911  |  9.978% | 14442  | 10.139% | 
 | 9    | Foongus            | 15.21290% | 12261  |  6.469% | 9488   |  6.661% | 
 | 10   | Croagunk           | 14.56027% | 12204  |  6.439% | 9652   |  6.776% | 
 | 11   | Magnemite          | 14.00455% | 17652  |  9.314% | 13313  |  9.346% | 
 | 12   | Cottonee           | 13.61048% | 13763  |  7.262% | 10918  |  7.665% | 
 | 13   | Gothita            | 11.66495% | 5606   |  2.958% | 4029   |  2.828% | 
 | 14   | Staryu             | 11.61556% | 13595  |  7.173% | 10158  |  7.131% | 
 | 15   | Anorith            | 11.54180% | 5964   |  3.147% | 4820   |  3.384% | 
 | 16   | Dwebble            | 10.89195% | 9645   |  5.089% | 7942   |  5.575% | 
 | 17   | Drilbur            | 10.37708% | 13687  |  7.222% | 10373  |  7.282% | 
 | 18   | Archen             |  9.93054% | 21411  | 11.297% | 15582  | 10.939% | 
 | 19   | Gastly             |  9.89005% | 23772  | 12.543% | 17033  | 11.958% | 
 | 20   | Houndour           |  9.86334% | 7668   |  4.046% | 5653   |  3.969% | 
 | 21   | Stunky             |  9.71981% | 4984   |  2.630% | 3792   |  2.662% | 
 | 22   | Ferroseed          |  9.39635% | 18354  |  9.684% | 15819  | 11.105% | 
 | 23   | Ponyta             |  9.27389% | 19484  | 10.280% | 14520  | 10.193% | 
 | 24   | Spritzee           |  8.94834% | 10941  |  5.773% | 7357   |  5.165% | 
 | 25   | Zigzagoon          |  8.92193% | 7434   |  3.922% | 5262   |  3.694% | 
 | 26   | Onix               |  8.08578% | 15518  |  8.188% | 12897  |  9.054% | 
 | 27   | Porygon            |  7.94264% | 14831  |  7.825% | 10729  |  7.532% | 
 | 28   | Tirtouga           |  7.72947% | 8975   |  4.735% | 6573   |  4.614% | 
 | 29   | Snubbull           |  7.41411% | 6353   |  3.352% | 4932   |  3.462% | 
 | 30   | Shellder           |  6.64287% | 11195  |  5.907% | 8285   |  5.816% | 
 | 31   | Meowth             |  6.59093% | 9207   |  4.858% | 7719   |  5.419% | 
 | 32   | Skrelp             |  6.54779% | 3995   |  2.108% | 3015   |  2.117% | 
 | 33   | Carvanha           |  6.48124% | 18005  |  9.500% | 13381  |  9.394% | 
 | 34   | Scraggy            |  6.12678% | 13908  |  7.338% | 10589  |  7.434% | 
 | 35   | Larvesta           |  5.86342% | 7455   |  3.933% | 5515   |  3.872% | 
 | 36   | Omanyte            |  5.68626% | 6166   |  3.253% | 4653   |  3.267% | 
 | 37   | Aipom              |  5.56566% | 24049  | 12.689% | 19795  | 13.897% | 
 | 38   | Munchlax           |  5.24305% | 11832  |  6.243% | 8353   |  5.864% | 
 | 39   | Corphish           |  4.27618% | 5960   |  3.145% | 4462   |  3.132% | 
 | 40   | Pumpkaboo-Super    |  3.85226% | 3970   |  2.095% | 3130   |  2.197% | 
 | 41   | Bunnelby           |  3.58202% | 7210   |  3.804% | 5358   |  3.761% | 
 | 42   | Sandshrew          |  3.45027% | 2943   |  1.553% | 2449   |  1.719% | 
 | 43   | Slowpoke           |  3.41783% | 4701   |  2.480% | 3639   |  2.555% | 
 | 44   | Phanpy             |  3.25213% | 1966   |  1.037% | 1703   |  1.196% | 
 | 45   | Amaura             |  3.00568% | 8062   |  4.254% | 5726   |  4.020% | 
 | 46   | Snivy              |  3.00488% | 12405  |  6.545% | 9029   |  6.339% | 
 | 47   | Elekid             |  2.97848% | 11434  |  6.033% | 8328   |  5.846% | 
 | 48   | Riolu              |  2.90926% | 7624   |  4.023% | 5677   |  3.985% | 
 | 49   | Vulpix             |  2.70079% | 8701   |  4.591% | 7232   |  5.077% | 
 | 50   | Surskit            |  2.52818% | 4585   |  2.419% | 4207   |  2.953% | 
 | 51   | Voltorb            |  2.23141% | 4168   |  2.199% | 3291   |  2.310% | 
 | 52   | Pancham            |  2.22854% | 4007   |  2.114% | 3079   |  2.162% | 
 | 53   | Bellsprout         |  2.17835% | 5313   |  2.803% | 3979   |  2.793% | 
 | 54   | Mantyke            |  2.12560% | 4591   |  2.422% | 3485   |  2.447% | 
 | 55   | Purrloin           |  2.09727% | 4256   |  2.246% | 3507   |  2.462% | 
 | 56   | Lileep             |  2.04585% | 5149   |  2.717% | 4092   |  2.873% | 
 | 57   | Frillish           |  2.00358% | 4930   |  2.601% | 3802   |  2.669% | 
 | 58   | Honedge            |  1.98673% | 8915   |  4.704% | 6906   |  4.848% | 
 | 59   | Doduo              |  1.87319% | 3485   |  1.839% | 2493   |  1.750% | 
 | 60   | Tentacool          |  1.75476% | 5375   |  2.836% | 4157   |  2.918% | 
 | 61   | Torchic            |  1.60794% | 9804   |  5.173% | 7916   |  5.557% | 
 | 62   | Cranidos           |  1.52139% | 9612   |  5.072% | 6630   |  4.654% | 
 | 63   | Trubbish           |  1.45445% | 2571   |  1.357% | 1962   |  1.377% | 
 | 64   | Hippopotas         |  1.38058% | 4365   |  2.303% | 3742   |  2.627% | 
 | 65   | Tyrunt             |  1.22565% | 5988   |  3.159% | 4248   |  2.982% | 
 | 66   | Skorupi            |  1.17342% | 1542   |  0.814% | 1232   |  0.865% | 
 | 67   | Grimer             |  1.15085% | 2645   |  1.396% | 2030   |  1.425% | 
 | 68   | Machop             |  1.11461% | 5274   |  2.783% | 4133   |  2.901% | 
 | 69   | Magby              |  1.06432% | 4246   |  2.240% | 3136   |  2.202% | 
 | 70   | Rufflet            |  1.02770% | 1950   |  1.029% | 1417   |  0.995% | 
 | 71   | Cubone             |  0.99762% | 7940   |  4.189% | 5888   |  4.134% | 
 | 72   | Natu               |  0.99018% | 4993   |  2.634% | 3796   |  2.665% | 
 | 73   | Taillow            |  0.96593% | 4775   |  2.519% | 3460   |  2.429% | 
 | 74   | Clamperl           |  0.96530% | 5349   |  2.822% | 3899   |  2.737% | 
 | 75   | Zubat              |  0.94075% | 1476   |  0.779% | 1154   |  0.810% | 
 | 76   | Numel              |  0.92487% | 2612   |  1.378% | 1982   |  1.391% | 
 | 77   | Mime Jr.           |  0.88462% | 3046   |  1.607% | 2297   |  1.613% | 
 | 78   | Geodude            |  0.86777% | 3678   |  1.941% | 3131   |  2.198% | 
 | 79   | Wooper             |  0.83968% | 2261   |  1.193% | 1833   |  1.287% | 
 | 80   | Woobat             |  0.81293% | 1833   |  0.967% | 1377   |  0.967% | 
 | 81   | Bulbasaur          |  0.79123% | 7890   |  4.163% | 5932   |  4.164% | 
 | 82   | Darumaka           |  0.78287% | 4080   |  2.153% | 3026   |  2.124% | 
 | 83   | Goldeen            |  0.77465% | 1493   |  0.788% | 1109   |  0.779% | 
 | 84   | Helioptile         |  0.76151% | 2218   |  1.170% | 1587   |  1.114% | 
 | 85   | Teddiursa          |  0.72626% | 1627   |  0.858% | 1219   |  0.856% | 
 | 86   | Chespin            |  0.69620% | 2783   |  1.468% | 2106   |  1.478% | 
 | 87   | Snover             |  0.69550% | 2285   |  1.206% | 1745   |  1.225% | 
 | 88   | Spinarak           |  0.63571% | 2635   |  1.390% | 2373   |  1.666% | 
 | 89   | Dratini            |  0.63023% | 5921   |  3.124% | 4252   |  2.985% | 
 | 90   | Rattata            |  0.62695% | 2565   |  1.353% | 1969   |  1.382% | 
 | 91   | Froakie            |  0.57349% | 8785   |  4.635% | 6607   |  4.638% | 
 | 92   | Krabby             |  0.57313% | 2806   |  1.481% | 2024   |  1.421% | 
 | 93   | Koffing            |  0.56955% | 4677   |  2.468% | 3735   |  2.622% | 
 | 94   | Growlithe          |  0.53753% | 6203   |  3.273% | 4613   |  3.238% | 
 | 95   | Kabuto             |  0.50750% | 1669   |  0.881% | 1336   |  0.938% | 
 | 96   | Buizel             |  0.50606% | 5071   |  2.676% | 3937   |  2.764% | 
 | 97   | Zorua              |  0.49581% | 5648   |  2.980% | 2965   |  2.082% | 
 | 98   | Axew               |  0.49313% | 8389   |  4.426% | 5892   |  4.136% | 
 | 99   | Piplup             |  0.49240% | 1810   |  0.955% | 1443   |  1.013% | 
 | 100  | Wingull            |  0.48148% | 1075   |  0.567% | 848    |  0.595% | 
 | 101  | Larvitar           |  0.45874% | 1656   |  0.874% | 1177   |  0.826% | 
 | 102  | Aron               |  0.43820% | 8458   |  4.463% | 6560   |  4.605% | 
 | 103  | Bronzor            |  0.43397% | 5246   |  2.768% | 4155   |  2.917% | 
 | 104  | Eevee              |  0.43298% | 7336   |  3.871% | 5138   |  3.607% | 
 | 105  | Buneary            |  0.42352% | 4145   |  2.187% | 3326   |  2.335% | 
 | 106  | Psyduck            |  0.42332% | 844    |  0.445% | 626    |  0.439% | 
 | 107  | Pumpkaboo-Small    |  0.41449% | 456    |  0.241% | 359    |  0.252% | 
 | 108  | Deerling           |  0.40813% | 2189   |  1.155% | 1658   |  1.164% | 
 | 109  | Inkay              |  0.40490% | 5474   |  2.888% | 4108   |  2.884% | 
 | 110  | Oddish             |  0.40383% | 1140   |  0.601% | 851    |  0.597% | 
 | 111  | Lickitung          |  0.39740% | 4458   |  2.352% | 3302   |  2.318% | 
 | 112  | Sandile            |  0.37218% | 2611   |  1.378% | 1927   |  1.353% | 
 | 113  | Yamask             |  0.35196% | 2247   |  1.186% | 1857   |  1.304% | 
 | 114  | Shellos            |  0.34092% | 972    |  0.513% | 762    |  0.535% | 
 | 115  | Cacnea             |  0.33916% | 3202   |  1.689% | 2475   |  1.738% | 
 | 116  | Squirtle           |  0.33736% | 4129   |  2.179% | 3244   |  2.277% | 
 | 117  | Pineco             |  0.33373% | 3474   |  1.833% | 3132   |  2.199% | 
 | 118  | Litleo             |  0.33203% | 2332   |  1.230% | 1613   |  1.132% | 
 | 119  | Mankey             |  0.32653% | 3058   |  1.613% | 2322   |  1.630% | 
 | 120  | Totodile           |  0.31551% | 3213   |  1.695% | 2317   |  1.627% | 
 | 121  | Togepi             |  0.31263% | 2592   |  1.368% | 1828   |  1.283% | 
 | 122  | Chimchar           |  0.30515% | 6032   |  3.183% | 4868   |  3.417% | 
 | 123  | Barboach           |  0.25767% | 1850   |  0.976% | 1353   |  0.950% | 
 | 124  | Munna              |  0.25303% | 1116   |  0.589% | 714    |  0.501% | 
 | 125  | Nosepass           |  0.24089% | 2629   |  1.387% | 2171   |  1.524% | 
 | 126  | Joltik             |  0.23077% | 2460   |  1.298% | 1875   |  1.316% | 
 | 127  | Budew              |  0.22693% | 798    |  0.421% | 581    |  0.408% | 
 | 128  | Venipede           |  0.21805% | 1098   |  0.579% | 903    |  0.634% | 
 | 129  | Wailmer            |  0.21751% | 4078   |  2.152% | 3062   |  2.150% | 
 | 130  | Pumpkaboo-Large    |  0.21098% | 228    |  0.120% | 175    |  0.123% | 
 | 131  | Duskull            |  0.20762% | 5573   |  2.940% | 4201   |  2.949% | 
 | 132  | Treecko            |  0.19819% | 3785   |  1.997% | 2817   |  1.978% | 
 | 133  | Baltoy             |  0.19514% | 3169   |  1.672% | 2448   |  1.719% | 
 | 134  | Turtwig            |  0.19395% | 1334   |  0.704% | 1049   |  0.736% | 
 | 135  | Skiddo             |  0.19171% | 1640   |  0.865% | 1188   |  0.834% | 
 | 136  | Binacle            |  0.18610% | 1550   |  0.818% | 1112   |  0.781% | 
 | 137  | Venonat            |  0.18216% | 1011   |  0.533% | 779    |  0.547% | 
 | 138  | Fennekin           |  0.17971% | 2559   |  1.350% | 1850   |  1.299% | 
 | 139  | Poliwag            |  0.17779% | 1315   |  0.694% | 966    |  0.678% | 
 | 140  | Golett             |  0.17457% | 2244   |  1.184% | 1723   |  1.210% | 
 | 141  | Smoochum           |  0.17270% | 1476   |  0.779% | 1059   |  0.743% | 
 | 142  | Paras              |  0.16945% | 923    |  0.487% | 698    |  0.490% | 
 | 143  | Trapinch           |  0.16909% | 1779   |  0.939% | 1325   |  0.930% | 
 | 144  | Charmander         |  0.16096% | 5940   |  3.134% | 4291   |  3.012% | 
 | 145  | Bagon              |  0.15786% | 3690   |  1.947% | 2536   |  1.780% | 
 | 146  | Oshawott           |  0.15414% | 1044   |  0.551% | 794    |  0.557% | 
 | 147  | Wynaut             |  0.15342% | 2186   |  1.153% | 1688   |  1.185% | 
 | 148  | Cyndaquil          |  0.15211% | 3448   |  1.819% | 2531   |  1.777% | 
 | 149  | NidoranM           |  0.15063% | 1188   |  0.627% | 842    |  0.591% | 
 | 150  | Shelmet            |  0.15061% | 657    |  0.347% | 506    |  0.355% | 
 | 151  | Glameow            |  0.14280% | 1303   |  0.687% | 1086   |  0.762% | 
 | 152  | Minccino           |  0.14280% | 2991   |  1.578% | 2171   |  1.524% | 
 | 153  | Remoraid           |  0.14065% | 933    |  0.492% | 704    |  0.494% | 
