 Total battles: 310
 Avg. weight/team: 0.998
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Inkay              | 27.30210% | 169    | 27.258% | 119    | 26.543% | 
 | 2    | Solosis            | 26.81745% | 166    | 26.774% | 99     | 22.082% | 
 | 3    | Frillish           | 26.00969% | 161    | 25.968% | 130    | 28.996% | 
 | 4    | Azurill            | 25.36349% | 157    | 25.323% | 85     | 18.959% | 
 | 5    | Riolu              | 23.62447% | 147    | 23.710% | 95     | 21.190% | 
 | 6    | Tyrunt             | 20.51696% | 127    | 20.484% | 91     | 20.297% | 
 | 7    | Axew               | 16.80129% | 104    | 16.774% | 74     | 16.506% | 
 | 8    | Hippopotas         | 15.67044% | 97     | 15.645% | 68     | 15.167% | 
 | 9    | Amaura             | 15.63239% | 97     | 15.645% | 73     | 16.283% | 
 | 10   | Cranidos           | 14.05493% | 87     | 14.032% | 50     | 11.152% | 
 | 11   | Chespin            | 13.57027% | 84     | 13.548% | 59     | 13.160% | 
 | 12   | Litwick            | 11.63166% | 72     | 11.613% | 59     | 13.160% | 
 | 13   | Ralts              | 10.98546% | 68     | 10.968% | 56     | 12.491% | 
 | 14   | Sandshrew          | 10.94742% | 68     | 10.968% | 54     | 12.045% | 
 | 15   | Darumaka           | 10.62432% | 66     | 10.645% | 43     |  9.591% | 
 | 16   | Cacnea             | 10.30121% | 64     | 10.323% | 46     | 10.260% | 
 | 17   | Froakie            | 10.17771% | 63     | 10.161% | 44     |  9.814% | 
 | 18   | Taillow            |  9.53150% | 59     |  9.516% | 50     | 11.152% | 
 | 19   | Cubone             |  9.53150% | 59     |  9.516% | 43     |  9.591% | 
 | 20   | Growlithe          |  8.56220% | 53     |  8.548% | 36     |  8.030% | 
 | 21   | Spearow            |  8.20105% | 51     |  8.226% | 32     |  7.138% | 
 | 22   | Dratini            |  7.91599% | 49     |  7.903% | 31     |  6.914% | 
 | 23   | Wingull            |  7.87795% | 49     |  7.903% | 48     | 10.706% | 
 | 24   | Finneon            |  7.59289% | 47     |  7.581% | 32     |  7.138% | 
 | 25   | Zorua              |  6.98473% | 44     |  7.097% | 22     |  4.907% | 
 | 26   | Geodude            |  6.30048% | 39     |  6.290% | 33     |  7.361% | 
 | 27   | Torchic            |  6.13893% | 38     |  6.129% | 31     |  6.914% | 
 | 28   | Clauncher          |  5.97738% | 37     |  5.968% | 28     |  6.245% | 
 | 29   | Meowth             |  5.81583% | 36     |  5.806% | 33     |  7.361% | 
 | 30   | Charmander         |  5.81583% | 36     |  5.806% | 26     |  5.799% | 
 | 31   | Aron               |  5.16963% | 32     |  5.161% | 25     |  5.576% | 
 | 32   | Bulbasaur          |  5.00808% | 31     |  5.000% | 25     |  5.576% | 
 | 33   | Slowpoke           |  4.36187% | 27     |  4.355% | 19     |  4.238% | 
 | 34   | Machop             |  4.36187% | 27     |  4.355% | 17     |  3.792% | 
 | 35   | Voltorb            |  4.23837% | 27     |  4.355% | 23     |  5.130% | 
 | 36   | Pumpkaboo-Super    |  3.87722% | 24     |  3.871% | 19     |  4.238% | 
 | 37   | Larvitar           |  3.87722% | 24     |  3.871% | 16     |  3.569% | 
 | 38   | Minccino           |  3.71567% | 23     |  3.710% | 17     |  3.792% | 
 | 39   | Golett             |  3.71567% | 23     |  3.710% | 19     |  4.238% | 
 | 40   | Buizel             |  3.71567% | 23     |  3.710% | 22     |  4.907% | 
 | 41   | Mankey             |  3.55412% | 22     |  3.548% | 17     |  3.792% | 
 | 42   | Phanpy             |  3.55412% | 22     |  3.548% | 19     |  4.238% | 
 | 43   | Bagon              |  3.39257% | 21     |  3.387% | 15     |  3.346% | 
 | 44   | Bronzor            |  3.39257% | 21     |  3.387% | 17     |  3.792% | 
 | 45   | Chimchar           |  3.10751% | 20     |  3.226% | 16     |  3.569% | 
 | 46   | Electrike          |  3.06947% | 19     |  3.065% | 19     |  4.238% | 
 | 47   | Joltik             |  3.06947% | 19     |  3.065% | 14     |  3.123% | 
 | 48   | Krabby             |  3.06947% | 19     |  3.065% | 14     |  3.123% | 
 | 49   | Pichu              |  3.06947% | 19     |  3.065% | 15     |  3.346% | 
 | 50   | Sandile            |  2.90792% | 18     |  2.903% | 11     |  2.454% | 
 | 51   | Mantyke            |  2.74637% | 17     |  2.742% | 12     |  2.677% | 
 | 52   | Gible              |  2.74637% | 17     |  2.742% | 15     |  3.346% | 
 | 53   | Smoochum           |  2.74637% | 17     |  2.742% | 11     |  2.454% | 
 | 54   | Helioptile         |  2.74637% | 17     |  2.742% | 13     |  2.900% | 
 | 55   | Tentacool          |  2.58481% | 16     |  2.581% | 16     |  3.569% | 
 | 56   | Nosepass           |  2.58481% | 16     |  2.581% | 15     |  3.346% | 
 | 57   | Lickitung          |  2.58481% | 16     |  2.581% | 12     |  2.677% | 
 | 58   | Exeggcute          |  2.58481% | 16     |  2.581% | 13     |  2.900% | 
 | 59   | Magby              |  2.58481% | 16     |  2.581% | 12     |  2.677% | 
 | 60   | Teddiursa          |  2.42326% | 15     |  2.419% | 10     |  2.230% | 
 | 61   | Doduo              |  2.42326% | 15     |  2.419% | 11     |  2.454% | 
 | 62   | Baltoy             |  2.42326% | 15     |  2.419% | 14     |  3.123% | 
 | 63   | Buneary            |  2.26171% | 14     |  2.258% | 8      |  1.784% | 
 | 64   | Purrloin           |  2.26171% | 14     |  2.258% | 12     |  2.677% | 
 | 65   | Litleo             |  2.26171% | 14     |  2.258% | 9      |  2.007% | 
 | 66   | Trubbish           |  2.26171% | 14     |  2.258% | 14     |  3.123% | 
 | 67   | Fennekin           |  2.26171% | 14     |  2.258% | 11     |  2.454% | 
 | 68   | Grimer             |  2.26171% | 14     |  2.258% | 10     |  2.230% | 
 | 69   | Blitzle            |  2.10016% | 13     |  2.097% | 11     |  2.454% | 
 | 70   | Numel              |  2.10016% | 13     |  2.097% | 13     |  2.900% | 
 | 71   | Treecko            |  2.10016% | 13     |  2.097% | 9      |  2.007% | 
 | 72   | Pidove             |  1.93861% | 12     |  1.935% | 10     |  2.230% | 
 | 73   | Wailmer            |  1.93861% | 12     |  1.935% | 11     |  2.454% | 
 | 74   | Venipede           |  1.93861% | 12     |  1.935% | 11     |  2.454% | 
 | 75   | Squirtle           |  1.93861% | 12     |  1.935% | 7      |  1.561% | 
 | 76   | Beldum             |  1.93861% | 12     |  1.935% | 7      |  1.561% | 
 | 77   | Chikorita          |  1.93861% | 12     |  1.935% | 12     |  2.677% | 
 | 78   | Mareep             |  1.77706% | 11     |  1.774% | 8      |  1.784% | 
 | 79   | Barboach           |  1.77706% | 11     |  1.774% | 10     |  2.230% | 
 | 80   | Koffing            |  1.77706% | 11     |  1.774% | 10     |  2.230% | 
 | 81   | Noibat             |  1.77706% | 11     |  1.774% | 8      |  1.784% | 
