 Total leads: 15200
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Ferrothorn         |  3.82237% | 581    |  3.822% | 
 | 2    | Deoxys-Speed       |  3.19079% | 485    |  3.191% | 
 | 3    | Mew                |  2.69737% | 410    |  2.697% | 
 | 4    | Shuckle            |  2.63816% | 401    |  2.638% | 
 | 5    | Garchomp           |  2.50000% | 380    |  2.500% | 
 | 6    | Gengar             |  2.08553% | 317    |  2.086% | 
 | 7    | Heatran            |  1.98026% | 301    |  1.980% | 
 | 8    | Deoxys-Defense     |  1.89474% | 288    |  1.895% | 
 | 9    | Skarmory           |  1.83553% | 279    |  1.836% | 
 | 10   | Genesect           |  1.60526% | 244    |  1.605% | 
 | 11   | Raikou             |  1.51974% | 231    |  1.520% | 
 | 12   | Entei              |  1.50658% | 229    |  1.507% | 
 | 13   | Tyranitar          |  1.44737% | 220    |  1.447% | 
 | 14   | Volcanion          |  1.44079% | 219    |  1.441% | 
 | 15   | Forretress         |  1.43421% | 218    |  1.434% | 
 | 16   | Noivern            |  1.42763% | 217    |  1.428% | 
 | 17   | Manaphy            |  1.34868% | 205    |  1.349% | 
 | 18   | Rotom-Wash         |  1.26974% | 193    |  1.270% | 
 | 19   | Infernape          |  1.24342% | 189    |  1.243% | 
 | 20   | Greninja           |  1.21053% | 184    |  1.211% | 
 | 21   | Breloom            |  1.19737% | 182    |  1.197% | 
 | 22   | Victini            |  1.18421% | 180    |  1.184% | 
 | 23   | Azelf              |  1.13158% | 172    |  1.132% | 
 | 24   | Swampert           |  1.13158% | 172    |  1.132% | 
 | 25   | Thundurus          |  1.08553% | 165    |  1.086% | 
 | 26   | Talonflame         |  1.02632% | 156    |  1.026% | 
 | 27   | Zapdos             |  1.01974% | 155    |  1.020% | 
 | 28   | Staraptor          |  0.96053% | 146    |  0.961% | 
 | 29   | Lucario            |  0.93421% | 142    |  0.934% | 
 | 30   | Gyarados-Mega      |  0.86184% | 131    |  0.862% | 
 | 31   | Porygon-Z          |  0.83553% | 127    |  0.836% | 
 | 32   | Volcarona          |  0.82895% | 126    |  0.829% | 
 | 33   | Landorus-Therian   |  0.80263% | 122    |  0.803% | 
 | 34   | Latios             |  0.69737% | 106    |  0.697% | 
 | 35   | Scizor             |  0.69737% | 106    |  0.697% | 
 | 36   | Hippowdon          |  0.69737% | 106    |  0.697% | 
 | 37   | Braviary           |  0.68421% | 104    |  0.684% | 
 | 38   | Kyurem             |  0.67763% | 103    |  0.678% | 
 | 39   | Sneasel            |  0.67763% | 103    |  0.678% | 
 | 40   | Blaziken           |  0.65789% | 100    |  0.658% | 
 | 41   | Diancie            |  0.64474% | 98     |  0.645% | 
 | 42   | Umbreon            |  0.60526% | 92     |  0.605% | 
 | 43   | Pikachu            |  0.59868% | 91     |  0.599% | 
 | 44   | Mismagius          |  0.59868% | 91     |  0.599% | 
 | 45   | Haxorus            |  0.56579% | 86     |  0.566% | 
 | 46   | Diancie-Mega       |  0.51974% | 79     |  0.520% | 
 | 47   | Tornadus-Therian   |  0.51974% | 79     |  0.520% | 
 | 48   | Hydreigon          |  0.51316% | 78     |  0.513% | 
 | 49   | Chandelure         |  0.50658% | 77     |  0.507% | 
 | 50   | Chansey            |  0.50000% | 76     |  0.500% | 
 | 51   | Blastoise          |  0.48684% | 74     |  0.487% | 
 | 52   | Azumarill          |  0.48026% | 73     |  0.480% | 
 | 53   | Blissey            |  0.48026% | 73     |  0.480% | 
 | 54   | Galvantula         |  0.47368% | 72     |  0.474% | 
 | 55   | Swampert-Mega      |  0.47368% | 72     |  0.474% | 
 | 56   | Starmie            |  0.46053% | 70     |  0.461% | 
 | 57   | Heliolisk          |  0.45395% | 69     |  0.454% | 
 | 58   | Rampardos          |  0.43421% | 66     |  0.434% | 
 | 59   | Slowbro            |  0.42105% | 64     |  0.421% | 
 | 60   | Thundurus-Therian  |  0.42105% | 64     |  0.421% | 
 | 61   | Clefable           |  0.40789% | 62     |  0.408% | 
 | 62   | Gyarados           |  0.40789% | 62     |  0.408% | 
 | 63   | Honchkrow          |  0.38158% | 58     |  0.382% | 
 | 64   | Zygarde            |  0.38158% | 58     |  0.382% | 
 | 65   | Darmanitan         |  0.37500% | 57     |  0.375% | 
 | 66   | Marowak            |  0.37500% | 57     |  0.375% | 
 | 67   | Ambipom            |  0.36184% | 55     |  0.362% | 
 | 68   | Dusclops           |  0.35526% | 54     |  0.355% | 
 | 69   | Crobat             |  0.34868% | 53     |  0.349% | 
 | 70   | Gallade            |  0.34868% | 53     |  0.349% | 
 | 71   | Probopass          |  0.34868% | 53     |  0.349% | 
 | 72   | Salamence          |  0.34868% | 53     |  0.349% | 
 | 73   | Torkoal            |  0.34211% | 52     |  0.342% | 
 | 74   | Amoonguss          |  0.34211% | 52     |  0.342% | 
 | 75   | Togekiss           |  0.32895% | 50     |  0.329% | 
 | 76   | Magnezone          |  0.32895% | 50     |  0.329% | 
 | 77   | Alakazam           |  0.32237% | 49     |  0.322% | 
 | 78   | Uxie               |  0.32237% | 49     |  0.322% | 
 | 79   | Exploud            |  0.31579% | 48     |  0.316% | 
 | 80   | Arcanine           |  0.31579% | 48     |  0.316% | 
 | 81   | Charizard-Mega-Y   |  0.30921% | 47     |  0.309% | 
 | 82   | Sylveon            |  0.30921% | 47     |  0.309% | 
 | 83   | Jolteon            |  0.30263% | 46     |  0.303% | 
 | 84   | Doublade           |  0.29605% | 45     |  0.296% | 
 | 85   | Cobalion           |  0.28947% | 44     |  0.289% | 
 | 86   | Scrafty            |  0.28947% | 44     |  0.289% | 
 | 87   | Charizard-Mega-X   |  0.28289% | 43     |  0.283% | 
 | 88   | Rhydon             |  0.28289% | 43     |  0.283% | 
 | 89   | Accelgor           |  0.28289% | 43     |  0.283% | 
 | 90   | Lopunny-Mega       |  0.27632% | 42     |  0.276% | 
 | 91   | Snivy              |  0.27632% | 42     |  0.276% | 
