 Total leads: 1396874
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Darkrai            |  3.49656% | 42167  |  3.019% | 
 | 2    | Smeargle           |  3.46634% | 46743  |  3.346% | 
 | 3    | Groudon-Primal     |  3.06102% | 33690  |  2.412% | 
 | 4    | Rayquaza-Mega      |  2.55365% | 30911  |  2.213% | 
 | 5    | Xerneas            |  2.28491% | 24922  |  1.784% | 
 | 6    | Greninja           |  2.05278% | 29101  |  2.083% | 
 | 7    | Arceus             |  1.97912% | 19737  |  1.413% | 
 | 8    | Klefki             |  1.78245% | 18764  |  1.343% | 
 | 9    | Scolipede          |  1.36118% | 16465  |  1.179% | 
 | 10   | Ninjask            |  1.31573% | 17394  |  1.245% | 
 | 11   | Ferrothorn         |  1.31267% | 16853  |  1.206% | 
 | 12   | Cloyster           |  1.14692% | 14590  |  1.044% | 
 | 13   | Kyogre-Primal      |  1.05976% | 13463  |  0.964% | 
 | 14   | Drifblim           |  1.02113% | 13802  |  0.988% | 
 | 15   | Blaziken           |  0.95976% | 12581  |  0.901% | 
 | 16   | Shuckle            |  0.95609% | 13028  |  0.933% | 
 | 17   | Kangaskhan-Mega    |  0.94910% | 11965  |  0.857% | 
 | 18   | Sableye-Mega       |  0.91536% | 10398  |  0.744% | 
 | 19   | Ditto              |  0.90787% | 14350  |  1.027% | 
 | 20   | Forretress         |  0.90419% | 12253  |  0.877% | 
 | 21   | Rattata            |  0.85955% | 17033  |  1.219% | 
 | 22   | Galvantula         |  0.84642% | 10982  |  0.786% | 
 | 23   | Gliscor            |  0.84534% | 11723  |  0.839% | 
 | 24   | Deoxys-Speed       |  0.84117% | 8548   |  0.612% | 
 | 25   | Talonflame         |  0.83186% | 10508  |  0.752% | 
 | 26   | Skarmory           |  0.79720% | 10105  |  0.723% | 
 | 27   | Deoxys-Attack      |  0.74769% | 7411   |  0.531% | 
 | 28   | Gengar-Mega        |  0.73198% | 10571  |  0.757% | 
 | 29   | Gengar             |  0.72878% | 10669  |  0.764% | 
 | 30   | Blaziken-Mega      |  0.69142% | 10084  |  0.722% | 
 | 31   | Charizard-Mega-X   |  0.69108% | 11752  |  0.841% | 
 | 32   | Dragonite          |  0.67426% | 9889   |  0.708% | 
 | 33   | Mew                |  0.65386% | 10159  |  0.727% | 
 | 34   | Pikachu            |  0.64958% | 11963  |  0.856% | 
 | 35   | Aegislash          |  0.64757% | 9471   |  0.678% | 
 | 36   | Garchomp           |  0.64359% | 8323   |  0.596% | 
 | 37   | Diancie-Mega       |  0.63959% | 7020   |  0.503% | 
 | 38   | Mewtwo-Mega-Y      |  0.63653% | 8235   |  0.590% | 
 | 39   | Weavile            |  0.63190% | 8440   |  0.604% | 
 | 40   | Espeon             |  0.58702% | 8240   |  0.590% | 
 | 41   | Tyranitar          |  0.57866% | 8341   |  0.597% | 
 | 42   | Breloom            |  0.51795% | 7520   |  0.538% | 
 | 43   | Whimsicott         |  0.50400% | 6220   |  0.445% | 
 | 44   | Mewtwo-Mega-X      |  0.49025% | 7013   |  0.502% | 
 | 45   | Infernape          |  0.48645% | 7288   |  0.522% | 
 | 46   | Serperior          |  0.48616% | 6697   |  0.479% | 
 | 47   | Snorlax            |  0.47432% | 8146   |  0.583% | 
 | 48   | Togekiss           |  0.44277% | 6349   |  0.455% | 
 | 49   | Lucario-Mega       |  0.44007% | 7290   |  0.522% | 
 | 50   | Jolteon            |  0.43475% | 6444   |  0.461% | 
 | 51   | Lopunny-Mega       |  0.43103% | 5353   |  0.383% | 
 | 52   | Durant             |  0.42064% | 5514   |  0.395% | 
 | 53   | Sableye            |  0.41109% | 4964   |  0.355% | 
 | 54   | Charizard-Mega-Y   |  0.40127% | 6221   |  0.445% | 
 | 55   | Yveltal            |  0.39478% | 5107   |  0.366% | 
 | 56   | Clefable           |  0.39426% | 5472   |  0.392% | 
 | 57   | Shedinja           |  0.38309% | 6040   |  0.432% | 
 | 58   | Volcarona          |  0.37543% | 5032   |  0.360% | 
 | 59   | Azumarill          |  0.37088% | 5258   |  0.376% | 
 | 60   | Deoxys-Defense     |  0.34795% | 4347   |  0.311% | 
 | 61   | Ambipom            |  0.34442% | 4872   |  0.349% | 
 | 62   | Blissey            |  0.34189% | 5332   |  0.382% | 
 | 63   | Liepard            |  0.34090% | 4070   |  0.291% | 
