 Total leads: 227534
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Rayquaza-Mega      | 10.95916% | 14195  |  6.239% | 
 | 2    | Diancie-Mega       |  7.23975% | 7234   |  3.179% | 
 | 3    | Giratina           |  6.12772% | 7037   |  3.093% | 
 | 4    | Deoxys-Speed       |  5.59280% | 11955  |  5.254% | 
 | 5    | Chansey            |  4.20875% | 5891   |  2.589% | 
 | 6    | Mewtwo-Mega-X      |  3.98309% | 5959   |  2.619% | 
 | 7    | Shedinja           |  3.97816% | 17121  |  7.525% | 
 | 8    | Registeel          |  3.95386% | 3382   |  1.486% | 
 | 9    | Gengar-Mega        |  3.53087% | 8055   |  3.540% | 
 | 10   | Mewtwo-Mega-Y      |  2.85102% | 5136   |  2.257% | 
 | 11   | Aegislash          |  2.65177% | 3638   |  1.599% | 
 | 12   | Aerodactyl-Mega    |  2.42420% | 2920   |  1.283% | 
 | 13   | Kyurem-Black       |  2.40671% | 2850   |  1.253% | 
 | 14   | Regigigas          |  1.89103% | 3120   |  1.371% | 
 | 15   | Yveltal            |  1.77860% | 1580   |  0.694% | 
 | 16   | Deoxys-Attack      |  1.62185% | 3563   |  1.566% | 
 | 17   | Slaking            |  1.38486% | 3090   |  1.358% | 
 | 18   | Arceus             |  1.32209% | 2440   |  1.072% | 
 | 19   | Tyranitar-Mega     |  1.28894% | 1525   |  0.670% | 
 | 20   | Shuckle            |  1.20940% | 8326   |  3.659% | 
 | 21   | Lugia              |  1.18705% | 2487   |  1.093% | 
 | 22   | Garchomp-Mega      |  1.18261% | 1964   |  0.863% | 
 | 23   | Audino-Mega        |  1.11468% | 1456   |  0.640% | 
 | 24   | Deoxys-Defense     |  1.03215% | 4605   |  2.024% | 
 | 25   | Groudon            |  1.01978% | 1122   |  0.493% | 
 | 26   | Kyogre             |  1.01827% | 1003   |  0.441% | 
 | 27   | Metagross-Mega     |  1.01230% | 1341   |  0.589% | 
 | 28   | Steelix-Mega       |  0.98114% | 2291   |  1.007% | 
 | 29   | Blissey            |  0.87188% | 4302   |  1.891% | 
 | 30   | Dialga             |  0.87120% | 1532   |  0.673% | 
 | 31   | Latios-Mega        |  0.87046% | 1265   |  0.556% | 
 | 32   | Arceus-Ghost       |  0.84664% | 1060   |  0.466% | 
 | 33   | Giratina-Origin    |  0.78194% | 1255   |  0.552% | 
 | 34   | Ho-Oh              |  0.74716% | 1077   |  0.473% | 
 | 35   | Aggron-Mega        |  0.71732% | 1800   |  0.791% | 
 | 36   | Xerneas            |  0.64302% | 1420   |  0.624% | 
 | 37   | Ferrothorn         |  0.62844% | 1517   |  0.667% | 
 | 38   | Groudon-Primal     |  0.59316% | 800    |  0.352% | 
 | 39   | Gyarados-Mega      |  0.52962% | 716    |  0.315% | 
 | 40   | Slowbro-Mega       |  0.42853% | 765    |  0.336% | 
 | 41   | Swampert-Mega      |  0.39715% | 816    |  0.359% | 
 | 42   | Charizard-Mega-Y   |  0.39026% | 1074   |  0.472% | 
 | 43   | Blaziken-Mega      |  0.35476% | 1783   |  0.784% | 
 | 44   | Arceus-Poison      |  0.32469% | 220    |  0.097% | 
 | 45   | Regirock           |  0.32074% | 418    |  0.184% | 
 | 46   | Alakazam-Mega      |  0.31870% | 1234   |  0.542% | 
 | 47   | Kyurem-White       |  0.31533% | 963    |  0.423% | 
 | 48   | Cresselia          |  0.30291% | 843    |  0.370% | 
 | 49   | Latias-Mega        |  0.30031% | 612    |  0.269% | 
 | 50   | Sceptile-Mega      |  0.29614% | 1046   |  0.460% | 
 | 51   | Banette-Mega       |  0.26990% | 728    |  0.320% | 
 | 52   | Palkia             |  0.26790% | 606    |  0.266% | 
 | 53   | Heatran            |  0.26020% | 699    |  0.307% | 
 | 54   | Venusaur-Mega      |  0.25729% | 871    |  0.383% | 
 | 55   | Reshiram           |  0.25226% | 447    |  0.196% | 
 | 56   | Scizor-Mega        |  0.24129% | 1107   |  0.487% | 
 | 57   | Doublade           |  0.21651% | 184    |  0.081% | 
 | 58   | Weavile            |  0.20452% | 871    |  0.383% | 
 | 59   | Gardevoir-Mega     |  0.19874% | 912    |  0.401% | 
 | 60   | Diancie            |  0.18677% | 154    |  0.068% | 
 | 61   | Arceus-Bug         |  0.17401% | 102    |  0.045% | 
 | 62   | Zekrom             |  0.16627% | 397    |  0.174% | 
 | 63   | Arceus-Fairy       |  0.16430% | 415    |  0.182% | 
 | 64   | Hoopa-Unbound      |  0.16057% | 924    |  0.406% | 
 | 65   | Avalugg            |  0.15411% | 125    |  0.055% | 
 | 66   | Pikachu            |  0.14769% | 719    |  0.316% | 
 | 67   | Lucario-Mega       |  0.14219% | 1272   |  0.559% | 
 | 68   | Lopunny-Mega       |  0.13802% | 765    |  0.336% | 
 | 69   | Manectric-Mega     |  0.13275% | 505    |  0.222% | 
 | 70   | Chandelure         |  0.12795% | 336    |  0.148% | 
 | 71   | Landorus-Therian   |  0.12018% | 241    |  0.106% | 
 | 72   | Heracross-Mega     |  0.11506% | 870    |  0.382% | 
 | 73   | Darkrai            |  0.11309% | 1464   |  0.643% | 
 | 74   | Salamence-Mega     |  0.11284% | 702    |  0.309% | 
 | 75   | Dusclops           |  0.10981% | 358    |  0.157% | 
 | 76   | Kangaskhan-Mega    |  0.10696% | 803    |  0.353% | 
 | 77   | Ninjask            |  0.10337% | 838    |  0.368% | 
 | 78   | Magikarp           |  0.09882% | 1370   |  0.602% | 
 | 79   | Sableye-Mega       |  0.09548% | 1164   |  0.512% | 
