 Total leads: 325314
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Tyranitar          |  1.40300% | 4658   |  1.432% | 
 | 2    | Prinplup           |  1.28137% | 4077   |  1.253% | 
 | 3    | Klefki             |  1.27956% | 4295   |  1.320% | 
 | 4    | Deoxys-Speed       |  1.16099% | 3720   |  1.144% | 
 | 5    | Archeops           |  1.09269% | 3469   |  1.066% | 
 | 6    | Ferrothorn         |  1.09004% | 3684   |  1.132% | 
 | 7    | Diancie-Mega       |  1.06997% | 3315   |  1.019% | 
 | 8    | Bronzong           |  0.97528% | 3231   |  0.993% | 
 | 9    | Greninja           |  0.95164% | 3099   |  0.953% | 
 | 10   | Piloswine          |  0.91299% | 2860   |  0.879% | 
 | 11   | Mesprit            |  0.90160% | 2865   |  0.881% | 
 | 12   | Omastar            |  0.87461% | 2782   |  0.855% | 
 | 13   | Sableye-Mega       |  0.86924% | 2760   |  0.848% | 
 | 14   | Camerupt           |  0.86259% | 2763   |  0.849% | 
 | 15   | Deoxys             |  0.86006% | 2740   |  0.842% | 
 | 16   | Smeargle           |  0.83458% | 2662   |  0.818% | 
 | 17   | Mamoswine          |  0.82452% | 2603   |  0.800% | 
 | 18   | Clefairy           |  0.79156% | 2602   |  0.800% | 
 | 19   | Rotom              |  0.77977% | 2391   |  0.735% | 
 | 20   | Genesect           |  0.77092% | 2326   |  0.715% | 
 | 21   | Dialga             |  0.74757% | 2345   |  0.721% | 
 | 22   | Diancie            |  0.70676% | 2257   |  0.694% | 
 | 23   | Azelf              |  0.68922% | 2185   |  0.672% | 
 | 24   | Rhyperior          |  0.66606% | 2199   |  0.676% | 
 | 25   | Uxie               |  0.65370% | 2065   |  0.635% | 
 | 26   | Manectric          |  0.65215% | 2013   |  0.619% | 
 | 27   | Empoleon           |  0.64957% | 2129   |  0.654% | 
 | 28   | Flygon             |  0.62966% | 1998   |  0.614% | 
 | 29   | Groudon-Primal     |  0.61705% | 1936   |  0.595% | 
 | 30   | Infernape          |  0.61015% | 1925   |  0.592% | 
 | 31   | Landorus-Therian   |  0.60961% | 1949   |  0.599% | 
 | 32   | Ferroseed          |  0.58542% | 1980   |  0.609% | 
 | 33   | Heatran            |  0.57439% | 1914   |  0.588% | 
 | 34   | Probopass          |  0.57230% | 1846   |  0.567% | 
 | 35   | Terrakion          |  0.55875% | 1843   |  0.567% | 
 | 36   | Vivillon           |  0.55151% | 1771   |  0.544% | 
 | 37   | Garchomp           |  0.55056% | 1753   |  0.539% | 
 | 38   | Golem              |  0.54721% | 1762   |  0.542% | 
 | 39   | Roselia            |  0.54514% | 1807   |  0.555% | 
 | 40   | Marowak            |  0.54288% | 1735   |  0.533% | 
 | 41   | Stunfisk           |  0.53891% | 1708   |  0.525% | 
 | 42   | Hippowdon          |  0.52339% | 1754   |  0.539% | 
 | 43   | Darkrai            |  0.52114% | 1686   |  0.518% | 
 | 44   | Mew                |  0.51625% | 1618   |  0.497% | 
 | 45   | Seismitoad         |  0.51004% | 1621   |  0.498% | 
 | 46   | Rotom-Wash         |  0.50913% | 1618   |  0.497% | 
 | 47   | Shuckle            |  0.50374% | 1664   |  0.512% | 
 | 48   | Donphan            |  0.49353% | 1598   |  0.491% | 
 | 49   | Venipede           |  0.48854% | 1564   |  0.481% | 
 | 50   | Monferno           |  0.48196% | 1566   |  0.481% | 
 | 51   | Kangaskhan-Mega    |  0.47863% | 1511   |  0.464% | 
 | 52   | Skarmory           |  0.47310% | 1604   |  0.493% | 
 | 53   | Metang             |  0.45999% | 1496   |  0.460% | 
 | 54   | Misdreavus         |  0.45835% | 1508   |  0.464% | 
 | 55   | Druddigon          |  0.45478% | 1439   |  0.442% | 
 | 56   | Registeel          |  0.45369% | 1532   |  0.471% | 
 | 57   | Gabite             |  0.45193% | 1436   |  0.441% | 
 | 58   | Krookodile         |  0.44224% | 1408   |  0.433% | 
 | 59   | Clefable           |  0.44175% | 1484   |  0.456% | 
 | 60   | Forretress         |  0.44147% | 1524   |  0.468% | 
 | 61   | Galvantula         |  0.44142% | 1393   |  0.428% | 
 | 62   | Swampert           |  0.44119% | 1429   |  0.439% | 
 | 63   | Rampardos          |  0.44008% | 1391   |  0.428% | 
 | 64   | Deoxys-Defense     |  0.43156% | 1422   |  0.437% | 
 | 65   | Golurk             |  0.42349% | 1359   |  0.418% | 
 | 66   | Rotom-Mow          |  0.41639% | 1279   |  0.393% | 
 | 67   | Groudon            |  0.41608% | 1284   |  0.395% | 
 | 68   | Qwilfish           |  0.41382% | 1351   |  0.415% | 
 | 69   | Sableye            |  0.41359% | 1343   |  0.413% | 
 | 70   | Solrock            |  0.41190% | 1321   |  0.406% | 
 | 71   | Relicanth          |  0.41187% | 1310   |  0.403% | 
 | 72   | Rotom-Heat         |  0.40122% | 1224   |  0.376% | 
 | 73   | Armaldo            |  0.39536% | 1255   |  0.386% | 
 | 74   | Crustle            |  0.39241% | 1241   |  0.381% | 
 | 75   | Aurorus            |  0.39110% | 1209   |  0.372% | 
 | 76   | Carracosta         |  0.39015% | 1255   |  0.386% | 
 | 77   | Chatot             |  0.38719% | 1286   |  0.395% | 
 | 78   | Cobalion           |  0.38475% | 1229   |  0.378% | 
 | 79   | Gligar             |  0.37603% | 1326   |  0.408% | 
 | 80   | Froslass           |  0.36995% | 1153   |  0.354% | 
 | 81   | Eelektross         |  0.36799% | 1129   |  0.347% | 
 | 82   | Purugly            |  0.36716% | 1157   |  0.356% | 
 | 83   | Jolteon            |  0.36652% | 1119   |  0.344% | 
 | 84   | Malamar            |  0.36585% | 1195   |  0.367% | 
 | 85   | Cryogonal          |  0.36420% | 1175   |  0.361% | 
 | 86   | Rhydon             |  0.36064% | 1196   |  0.368% | 
 | 87   | Cloyster           |  0.35970% | 1165   |  0.358% | 
 | 88   | Scizor-Mega        |  0.35887% | 1179   |  0.362% | 
 | 89   | Celebi             |  0.35662% | 1160   |  0.357% | 
 | 90   | Regirock           |  0.35596% | 1160   |  0.357% | 
 | 91   | Nidoqueen          |  0.35578% | 1126   |  0.346% | 
 | 92   | Electrode          |  0.35285% | 1096   |  0.337% | 
 | 93   | Tentacruel         |  0.34694% | 1172   |  0.360% | 
 | 94   | Torterra           |  0.34361% | 1141   |  0.351% | 
 | 95   | Abomasnow          |  0.33781% | 1036   |  0.318% | 
 | 96   | Blaziken           |  0.33254% | 1140   |  0.350% | 
 | 97   | Zebstrika          |  0.32895% | 1006   |  0.309% | 
 | 98   | Raichu             |  0.32886% | 1025   |  0.315% | 
 | 99   | Accelgor           |  0.32813% | 1046   |  0.322% | 
 | 100  | Miltank            |  0.32783% | 1072   |  0.330% | 
 | 101  | Ho-Oh              |  0.32384% | 1019   |  0.313% | 
 | 102  | Rotom-Fan          |  0.31961% | 984    |  0.302% | 
 | 103  | Crobat             |  0.31853% | 1024   |  0.315% | 
 | 104  | Ninjask            |  0.31355% | 944    |  0.290% | 
 | 105  | Excadrill          |  0.31354% | 1109   |  0.341% | 
 | 106  | Kangaskhan         |  0.30985% | 1000   |  0.307% | 
 | 107  | Aggron-Mega        |  0.30862% | 993    |  0.305% | 
 | 108  | Pinsir             |  0.30767% | 998    |  0.307% | 
 | 109  | Mienshao           |  0.30754% | 971    |  0.298% | 
 | 110  | Deoxys-Attack      |  0.30389% | 969    |  0.298% | 
 | 111  | Rotom-Frost        |  0.30029% | 914    |  0.281% | 
 | 112  | Chansey            |  0.29973% | 1080   |  0.332% | 
 | 113  | Raikou             |  0.29793% | 930    |  0.286% | 
 | 114  | Metagross          |  0.29279% | 953    |  0.293% | 
 | 115  | Landorus           |  0.29252% | 966    |  0.297% | 
 | 116  | Basculin           |  0.28557% | 905    |  0.278% | 
 | 117  | Darmanitan         |  0.28529% | 874    |  0.269% | 
 | 118  | Tornadus-Therian   |  0.28519% | 897    |  0.276% | 
 | 119  | Victini            |  0.28387% | 894    |  0.275% | 
 | 120  | Heliolisk          |  0.28332% | 871    |  0.268% | 
 | 121  | Poliwrath          |  0.28254% | 898    |  0.276% | 
 | 122  | Lanturn            |  0.28102% | 855    |  0.263% | 
 | 123  | Primeape           |  0.28046% | 870    |  0.267% | 
 | 124  | Magnezone          |  0.27902% | 904    |  0.278% | 
 | 125  | Glalie             |  0.27454% | 884    |  0.272% | 
 | 126  | Manectric-Mega     |  0.27306% | 826    |  0.254% | 
 | 127  | Blastoise          |  0.27244% | 908    |  0.279% | 
 | 128  | Ninetales          |  0.27160% | 922    |  0.283% | 
 | 129  | Pawniard           |  0.26979% | 941    |  0.289% | 
 | 130  | Beedrill-Mega      |  0.26940% | 837    |  0.257% | 
 | 131  | Feraligatr         |  0.26923% | 942    |  0.290% | 
 | 132  | Hitmonlee          |  0.26655% | 896    |  0.275% | 
 | 133  | Medicham-Mega      |  0.26510% | 835    |  0.257% | 
 | 134  | Breloom            |  0.26454% | 889    |  0.273% | 
 | 135  | Keldeo             |  0.26434% | 838    |  0.258% | 
 | 136  | Scrafty            |  0.26093% | 888    |  0.273% | 
 | 137  | Staraptor          |  0.25919% | 816    |  0.251% | 
