 Total leads: 382918
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Kangaskhan-Mega    | 24.64294% | 18389  |  4.802% | 
 | 2    | Thundurus          |  6.47008% | 9475   |  2.474% | 
 | 3    | Garchomp           |  5.96576% | 13015  |  3.399% | 
 | 4    | Gengar-Mega        |  5.22066% | 9157   |  2.391% | 
 | 5    | Sylveon            |  4.08728% | 3030   |  0.791% | 
 | 6    | Breloom            |  3.09637% | 6526   |  1.704% | 
 | 7    | Salamence-Mega     |  3.06507% | 4233   |  1.105% | 
 | 8    | Greninja           |  3.01196% | 12478  |  3.259% | 
 | 9    | Landorus-Therian   |  2.13257% | 6123   |  1.599% | 
 | 10   | Volcarona          |  1.77353% | 3126   |  0.816% | 
 | 11   | Hippowdon          |  1.56878% | 5214   |  1.362% | 
 | 12   | Blaziken           |  1.54381% | 5627   |  1.470% | 
 | 13   | Aegislash          |  1.54028% | 3970   |  1.037% | 
 | 14   | Talonflame         |  1.50177% | 7821   |  2.042% | 
 | 15   | Gengar             |  1.36975% | 4148   |  1.083% | 
 | 16   | Cresselia          |  1.32088% | 1292   |  0.337% | 
 | 17   | Heatran            |  1.20135% | 3051   |  0.797% | 
 | 18   | Blaziken-Mega      |  1.12725% | 4415   |  1.153% | 
 | 19   | Lopunny-Mega       |  1.08688% | 6865   |  1.793% | 
 | 20   | Conkeldurr         |  1.07663% | 1742   |  0.455% | 
 | 21   | Tyranitar          |  1.06580% | 4497   |  1.174% | 
 | 22   | Rotom-Wash         |  0.97251% | 6323   |  1.651% | 
 | 23   | Suicune            |  0.88950% | 2364   |  0.617% | 
 | 24   | Charizard-Mega-Y   |  0.85279% | 3778   |  0.987% | 
 | 25   | Thundurus-Therian  |  0.82246% | 1790   |  0.467% | 
 | 26   | Gliscor            |  0.81934% | 3686   |  0.963% | 
 | 27   | Mamoswine          |  0.80446% | 3747   |  0.979% | 
 | 28   | Dragonite          |  0.80399% | 4078   |  1.065% | 
 | 29   | Clefable           |  0.80262% | 1817   |  0.475% | 
 | 30   | Porygon2           |  0.76144% | 2808   |  0.733% | 
 | 31   | Manectric-Mega     |  0.73461% | 2265   |  0.592% | 
 | 32   | Mawile-Mega        |  0.66443% | 2972   |  0.776% | 
 | 33   | Azumarill          |  0.64134% | 3320   |  0.867% | 
 | 34   | Hydreigon          |  0.60786% | 2301   |  0.601% | 
 | 35   | Ferrothorn         |  0.59681% | 4714   |  1.231% | 
 | 36   | Raikou             |  0.52863% | 1771   |  0.463% | 
 | 37   | Klefki             |  0.50672% | 5121   |  1.337% | 
 | 38   | Heracross-Mega     |  0.49409% | 2944   |  0.769% | 
 | 39   | Venusaur-Mega      |  0.49186% | 2491   |  0.651% | 
 | 40   | Zapdos             |  0.48552% | 2305   |  0.602% | 
 | 41   | Swampert           |  0.46645% | 1911   |  0.499% | 
 | 42   | Gardevoir-Mega     |  0.42349% | 2897   |  0.757% | 
 | 43   | Latios             |  0.41986% | 2488   |  0.650% | 
 | 44   | Sableye-Mega       |  0.35737% | 3969   |  1.037% | 
 | 45   | Charizard-Mega-X   |  0.34126% | 4399   |  1.149% | 
 | 46   | Weavile            |  0.31216% | 3457   |  0.903% | 
 | 47   | Rotom-Heat         |  0.30243% | 2071   |  0.541% | 
 | 48   | Serperior          |  0.29912% | 2947   |  0.770% | 
 | 49   | Magnezone          |  0.28246% | 1419   |  0.371% | 
 | 50   | Scizor             |  0.26911% | 1156   |  0.302% | 
 | 51   | Amoonguss          |  0.26533% | 1132   |  0.296% | 
 | 52   | Lucario-Mega       |  0.24511% | 2967   |  0.775% | 
 | 53   | Scizor-Mega        |  0.24182% | 1057   |  0.276% | 
 | 54   | Cloyster           |  0.22649% | 3085   |  0.806% | 
 | 55   | Gyarados           |  0.22522% | 2134   |  0.557% | 
 | 56   | Entei              |  0.21024% | 715    |  0.187% | 
 | 57   | Abomasnow-Mega     |  0.20333% | 639    |  0.167% | 
 | 58   | Metagross-Mega     |  0.19668% | 1470   |  0.384% | 
 | 59   | Gardevoir          |  0.18254% | 1256   |  0.328% | 
 | 60   | Slowbro-Mega       |  0.17966% | 753    |  0.197% | 
 | 61   | Excadrill          |  0.17601% | 1178   |  0.308% | 
 | 62   | Blastoise-Mega     |  0.17445% | 1591   |  0.415% | 
 | 63   | Espeon             |  0.17164% | 1566   |  0.409% | 
 | 64   | Noivern            |  0.15664% | 932    |  0.243% | 
 | 65   | Politoed           |  0.15288% | 1610   |  0.420% | 
 | 66   | Lanturn            |  0.14396% | 459    |  0.120% | 
 | 67   | Liepard            |  0.13848% | 1223   |  0.319% | 
 | 68   | Blissey            |  0.13425% | 579    |  0.151% | 
 | 69   | Skarmory           |  0.13387% | 2006   |  0.524% | 
 | 70   | Gastrodon          |  0.13287% | 541    |  0.141% | 
 | 71   | Alakazam-Mega      |  0.12908% | 1009   |  0.264% | 
 | 72   | Tyranitar-Mega     |  0.12897% | 1573   |  0.411% | 
 | 73   | Swampert-Mega      |  0.12611% | 727    |  0.190% | 
 | 74   | Altaria-Mega       |  0.12100% | 670    |  0.175% | 
 | 75   | Whimsicott         |  0.11578% | 2488   |  0.650% | 
 | 76   | Pinsir-Mega        |  0.11284% | 424    |  0.111% | 
 | 77   | Houndoom           |  0.11099% | 271    |  0.071% | 
 | 78   | Diggersby          |  0.11055% | 467    |  0.122% | 
 | 79   | Sableye            |  0.10591% | 1318   |  0.344% | 
 | 80   | Darmanitan         |  0.10579% | 694    |  0.181% | 
 | 81   | Gyarados-Mega      |  0.10536% | 1498   |  0.391% | 
 | 82   | Togekiss           |  0.10370% | 3463   |  0.904% | 
 | 83   | Chansey            |  0.10179% | 928    |  0.242% | 
 | 84   | Latias             |  0.09628% | 567    |  0.148% | 
 | 85   | Machamp            |  0.09406% | 800    |  0.209% | 
 | 86   | Galvantula         |  0.08657% | 2532   |  0.661% | 
 | 87   | Nidoking           |  0.08374% | 1024   |  0.267% | 
 | 88   | Chandelure         |  0.07159% | 1528   |  0.399% | 
 | 89   | Lapras             |  0.06946% | 925    |  0.242% | 
 | 90   | Meowstic           |  0.06852% | 1095   |  0.286% | 
 | 91   | Terrakion          |  0.06774% | 622    |  0.162% | 
 | 92   | Aggron-Mega        |  0.06743% | 811    |  0.212% | 
 | 93   | Zoroark            |  0.06735% | 1401   |  0.366% | 
 | 94   | Staraptor          |  0.06655% | 1505   |  0.393% | 
 | 95   | Golem              |  0.06157% | 661    |  0.173% | 
 | 96   | Haxorus            |  0.05993% | 860    |  0.225% | 
 | 97   | Aerodactyl-Mega    |  0.05678% | 535    |  0.140% | 
 | 98   | Slowbro            |  0.05592% | 731    |  0.191% | 
 | 99   | Empoleon           |  0.05589% | 608    |  0.159% | 
 | 100  | Heliolisk          |  0.05500% | 284    |  0.074% | 
 | 101  | Jolteon            |  0.05482% | 1769   |  0.462% | 
 | 102  | Infernape          |  0.05279% | 2036   |  0.532% | 
 | 103  | Salamence          |  0.05272% | 345    |  0.090% | 
 | 104  | Alakazam           |  0.05269% | 730    |  0.191% | 
 | 105  | Mandibuzz          |  0.04847% | 249    |  0.065% | 
 | 106  | Miltank            |  0.04711% | 153    |  0.040% | 
 | 107  | Gallade-Mega       |  0.04701% | 1105   |  0.289% | 
 | 108  | Jynx               |  0.04583% | 208    |  0.054% | 
 | 109  | Azelf              |  0.04537% | 922    |  0.241% | 
 | 110  | Glalie             |  0.04523% | 327    |  0.085% | 
 | 111  | Crobat             |  0.04429% | 969    |  0.253% | 
 | 112  | Arcanine           |  0.04405% | 1714   |  0.448% | 
 | 113  | Medicham-Mega      |  0.04380% | 784    |  0.205% | 
 | 114  | Bisharp            |  0.04268% | 1162   |  0.303% | 
 | 115  | Cofagrigus         |  0.04261% | 961    |  0.251% | 
 | 116  | Virizion           |  0.03881% | 106    |  0.028% | 
 | 117  | Bouffalant         |  0.03818% | 61     |  0.016% | 
 | 118  | Jellicent          |  0.03735% | 321    |  0.084% | 
 | 119  | Aurorus            |  0.03725% | 252    |  0.066% | 
 | 120  | Clawitzer          |  0.03627% | 438    |  0.114% | 
 | 121  | Rotom-Mow          |  0.03555% | 196    |  0.051% | 
 | 122  | Aron               |  0.03543% | 237    |  0.062% | 
 | 123  | Smeargle           |  0.03542% | 3279   |  0.856% | 
 | 124  | Rhyperior          |  0.03479% | 746    |  0.195% | 
 | 125  | Magneton           |  0.03408% | 180    |  0.047% | 
 | 126  | Wobbuffet          |  0.03153% | 680    |  0.178% | 
 | 127  | Sharpedo           |  0.03089% | 566    |  0.148% | 
 | 128  | Drifblim           |  0.03075% | 2520   |  0.658% | 
 | 129  | Snorlax            |  0.03010% | 1113   |  0.291% | 
 | 130  | Milotic            |  0.02990% | 1022   |  0.267% | 
 | 131  | Slurpuff           |  0.02976% | 567    |  0.148% | 
 | 132  | Krookodile         |  0.02886% | 855    |  0.223% | 
 | 133  | Scolipede          |  0.02816% | 1948   |  0.509% | 
 | 134  | Goodra             |  0.02787% | 799    |  0.209% | 
 | 135  | Dugtrio            |  0.02679% | 318    |  0.083% | 
 | 136  | Tornadus-Therian   |  0.02659% | 263    |  0.069% | 
 | 137  | Donphan            |  0.02624% | 386    |  0.101% | 
 | 138  | Stoutland          |  0.02609% | 68     |  0.018% | 
 | 139  | Froslass           |  0.02564% | 596    |  0.156% | 
 | 140  | Umbreon            |  0.02563% | 1258   |  0.329% | 
 | 141  | Tentacruel         |  0.02552% | 445    |  0.116% | 
 | 142  | Quagsire           |  0.02549% | 680    |  0.178% | 
 | 143  | Crawdaunt          |  0.02508% | 508    |  0.133% | 
 | 144  | Reuniclus          |  0.02439% | 542    |  0.142% | 
 | 145  | Shuckle            |  0.02412% | 1121   |  0.293% | 
 | 146  | Mienshao           |  0.02411% | 523    |  0.137% | 
 | 147  | Nidoqueen          |  0.02311% | 247    |  0.065% | 
 | 148  | Ambipom            |  0.02269% | 1165   |  0.304% | 
 | 149  | Chesnaught         |  0.02167% | 381    |  0.099% | 
 | 150  | Alomomola          |  0.02118% | 99     |  0.026% | 
 | 151  | Porygon-Z          |  0.02091% | 782    |  0.204% | 
 | 152  | Heracross          |  0.02078% | 473    |  0.124% | 
 | 153  | Ditto              |  0.02074% | 642    |  0.168% | 
 | 154  | Bronzong           |  0.02032% | 666    |  0.174% | 
 | 155  | Uxie               |  0.01994% | 515    |  0.134% | 
 | 156  | Metagross          |  0.01987% | 742    |  0.194% | 
 | 157  | Flygon             |  0.01950% | 291    |  0.076% | 
 | 158  | Dragalge           |  0.01947% | 233    |  0.061% | 
 | 159  | Kingdra            |  0.01944% | 522    |  0.136% | 
 | 160  | Sceptile-Mega      |  0.01930% | 882    |  0.230% | 
 | 161  | Regirock           |  0.01870% | 221    |  0.058% | 
 | 162  | Abomasnow          |  0.01867% | 250    |  0.065% | 
 | 163  | Mudkip             |  0.01831% | 40     |  0.010% | 
 | 164  | Absol-Mega         |  0.01799% | 727    |  0.190% | 
 | 165  | Hariyama           |  0.01773% | 356    |  0.093% | 
 | 166  | Beedrill-Mega      |  0.01734% | 797    |  0.208% | 
 | 167  | Pidgeot-Mega       |  0.01710% | 465    |  0.121% | 
 | 168  | Vivillon           |  0.01706% | 497    |  0.130% | 
 | 169  | Sceptile           |  0.01701% | 275    |  0.072% | 
 | 170  | Carracosta         |  0.01657% | 157    |  0.041% | 
 | 171  | Sudowoodo          |  0.01584% | 158    |  0.041% | 
 | 172  | Forretress         |  0.01546% | 820    |  0.214% | 
 | 173  | Tyrantrum          |  0.01504% | 316    |  0.083% | 
 | 174  | Arbok              |  0.01497% | 239    |  0.062% | 
 | 175  | Roserade           |  0.01491% | 488    |  0.127% | 
 | 176  | Electivire         |  0.01459% | 737    |  0.192% | 
 | 177  | Rotom-Fan          |  0.01425% | 90     |  0.024% | 
 | 178  | Ninetales          |  0.01406% | 832    |  0.217% | 
 | 179  | Lopunny            |  0.01406% | 284    |  0.074% | 
 | 180  | Raichu             |  0.01376% | 555    |  0.145% | 
 | 181  | Lucario            |  0.01370% | 425    |  0.111% | 
 | 182  | Starmie            |  0.01361% | 634    |  0.166% | 
 | 183  | Crustle            |  0.01360% | 219    |  0.057% | 
 | 184  | Piloswine          |  0.01343% | 184    |  0.048% | 
 | 185  | Glaceon            |  0.01329% | 244    |  0.064% | 
 | 186  | Tornadus           |  0.01310% | 139    |  0.036% | 
 | 187  | Dusknoir           |  0.01304% | 389    |  0.102% | 
 | 188  | Cinccino           |  0.01294% | 587    |  0.153% | 
 | 189  | Feraligatr         |  0.01283% | 598    |  0.156% | 
 | 190  | Hawlucha           |  0.01274% | 919    |  0.240% | 
 | 191  | Landorus           |  0.01236% | 215    |  0.056% | 
 | 192  | Nosepass           |  0.01162% | 235    |  0.061% | 
 | 193  | Camerupt-Mega      |  0.01131% | 212    |  0.055% | 
 | 194  | Weezing            |  0.01115% | 548    |  0.143% | 
 | 195  | Latias-Mega        |  0.01070% | 157    |  0.041% | 
 | 196  | Gastly             |  0.01044% | 43     |  0.011% | 
 | 197  | Hitmonlee          |  0.01035% | 387    |  0.101% | 
 | 198  | Electrode          |  0.01035% | 613    |  0.160% | 
 | 199  | Hitmonchan         |  0.01031% | 245    |  0.064% | 
 | 200  | Banette-Mega       |  0.01006% | 577    |  0.151% | 
 | 201  | Cobalion           |  0.00971% | 161    |  0.042% | 
 | 202  | Garchomp-Mega      |  0.00963% | 707    |  0.185% | 
 | 203  | Dusclops           |  0.00954% | 374    |  0.098% | 
 | 204  | Ampharos-Mega      |  0.00947% | 489    |  0.128% | 
 | 205  | Hitmontop          |  0.00935% | 216    |  0.056% | 
 | 206  | Typhlosion         |  0.00928% | 474    |  0.124% | 
 | 207  | Venomoth           |  0.00917% | 179    |  0.047% | 
 | 208  | Omastar            |  0.00911% | 222    |  0.058% | 
 | 209  | Venusaur           |  0.00910% | 419    |  0.109% | 
 | 210  | Linoone            |  0.00907% | 370    |  0.097% | 
 | 211  | Yamask             |  0.00899% | 291    |  0.076% | 
 | 212  | Claydol            |  0.00899% | 346    |  0.090% | 
 | 213  | Rhydon             |  0.00893% | 176    |  0.046% | 
 | 214  | Ninjask            |  0.00891% | 1396   |  0.365% | 
 | 215  | Shellos            |  0.00869% | 15     |  0.004% | 
 | 216  | Eelektross         |  0.00867% | 489    |  0.128% | 
 | 217  | Sawk               |  0.00854% | 164    |  0.043% | 
 | 218  | Trevenant          |  0.00854% | 342    |  0.089% | 
 | 219  | Chatot             |  0.00816% | 657    |  0.172% | 
 | 220  | Moltres            |  0.00814% | 177    |  0.046% | 
 | 221  | Aggron             |  0.00798% | 413    |  0.108% | 
 | 222  | Sharpedo-Mega      |  0.00791% | 292    |  0.076% | 
 | 223  | Dedenne            |  0.00751% | 405    |  0.106% | 
 | 224  | Bastiodon          |  0.00749% | 161    |  0.042% | 
 | 225  | Drapion            |  0.00742% | 458    |  0.120% | 
 | 226  | Electabuzz         |  0.00695% | 307    |  0.080% | 
 | 227  | Murkrow            |  0.00676% | 423    |  0.110% | 
 | 228  | Rotom-Frost        |  0.00655% | 127    |  0.033% | 
 | 229  | Delphox            |  0.00645% | 376    |  0.098% | 
 | 230  | Yanmega            |  0.00643% | 280    |  0.073% | 
 | 231  | Accelgor           |  0.00611% | 623    |  0.163% | 
 | 232  | Combusken          |  0.00603% | 179    |  0.047% | 
 | 233  | Exploud            |  0.00600% | 516    |  0.135% | 
 | 234  | Scrafty            |  0.00599% | 394    |  0.103% | 
 | 235  | Feebas             |  0.00590% | 125    |  0.033% | 
 | 236  | Tangrowth          |  0.00585% | 293    |  0.077% | 
 | 237  | Exeggutor          |  0.00577% | 244    |  0.064% | 
 | 238  | Hippopotas         |  0.00554% | 71     |  0.019% | 
 | 239  | Gothitelle         |  0.00530% | 310    |  0.081% | 
 | 240  | Pikachu            |  0.00505% | 982    |  0.256% | 
 | 241  | Honchkrow          |  0.00498% | 182    |  0.048% | 
 | 242  | Gorebyss           |  0.00487% | 247    |  0.065% | 
 | 243  | Cubchoo            |  0.00485% | 16     |  0.004% | 
 | 244  | Swinub             |  0.00451% | 14     |  0.004% | 
 | 245  | Druddigon          |  0.00436% | 158    |  0.041% | 
 | 246  | Escavalier         |  0.00429% | 148    |  0.039% | 
 | 247  | Vaporeon           |  0.00413% | 564    |  0.147% | 
 | 248  | Malamar            |  0.00412% | 467    |  0.122% | 
 | 249  | Avalugg            |  0.00398% | 135    |  0.035% | 
 | 250  | Archeops           |  0.00397% | 185    |  0.048% | 
 | 251  | Cottonee           |  0.00391% | 176    |  0.046% | 
 | 252  | Ludicolo           |  0.00377% | 222    |  0.058% | 
 | 253  | Vanilluxe          |  0.00362% | 137    |  0.036% | 
 | 254  | Jumpluff           |  0.00347% | 141    |  0.037% | 
 | 255  | Sigilyph           |  0.00311% | 358    |  0.093% | 
 | 256  | Seismitoad         |  0.00309% | 206    |  0.054% | 
 | 257  | Sandslash          |  0.00301% | 90     |  0.024% | 
 | 258  | Luxray             |  0.00291% | 471    |  0.123% | 
 | 259  | Latios-Mega        |  0.00290% | 147    |  0.038% | 
 | 260  | Durant             |  0.00287% | 723    |  0.189% | 
 | 261  | Stunfisk           |  0.00283% | 159    |  0.042% | 
 | 262  | Huntail            |  0.00282% | 133    |  0.035% | 
 | 263  | Gurdurr            |  0.00278% | 6      |  0.002% | 
 | 264  | Muk                |  0.00254% | 1057   |  0.276% | 
 | 265  | Flareon            |  0.00251% | 244    |  0.064% | 
 | 266  | Solosis            |  0.00249% | 46     |  0.012% | 
 | 267  | Houndoom-Mega      |  0.00231% | 276    |  0.072% | 
 | 268  | Scyther            |  0.00230% | 324    |  0.085% | 
 | 269  | Kingler            |  0.00224% | 128    |  0.033% | 
 | 270  | Torterra           |  0.00221% | 220    |  0.057% | 
 | 271  | Cryogonal          |  0.00219% | 213    |  0.056% | 
 | 272  | Gourgeist-Large    |  0.00205% | 4      |  0.001% | 
 | 273  | Aerodactyl         |  0.00202% | 115    |  0.030% | 
 | 274  | Glalie-Mega        |  0.00201% | 238    |  0.062% | 
 | 275  | Golurk             |  0.00197% | 321    |  0.084% | 
 | 276  | Spiritomb          |  0.00196% | 368    |  0.096% | 
 | 277  | Throh              |  0.00193% | 42     |  0.011% | 
 | 278  | Rampardos          |  0.00192% | 164    |  0.043% | 
 | 279  | Magmortar          |  0.00189% | 189    |  0.049% | 
 | 280  | Swoobat            |  0.00189% | 188    |  0.049% | 
 | 281  | Mr. Mime           |  0.00186% | 115    |  0.030% | 
 | 282  | Kecleon            |  0.00186% | 178    |  0.046% | 
 | 283  | Weedle             |  0.00185% | 13     |  0.003% | 
 | 284  | Marowak            |  0.00184% | 210    |  0.055% | 
 | 285  | Manectric          |  0.00183% | 97     |  0.025% | 
 | 286  | Shedinja           |  0.00182% | 227    |  0.059% | 
 | 287  | Venonat            |  0.00180% | 27     |  0.007% | 
 | 288  | Slaking            |  0.00176% | 241    |  0.063% | 
 | 289  | Ariados            |  0.00171% | 123    |  0.032% | 
 | 290  | Rotom              |  0.00168% | 59     |  0.015% | 
 | 291  | Lilligant          |  0.00160% | 93     |  0.024% | 
 | 292  | Blastoise          |  0.00159% | 250    |  0.065% | 
 | 293  | Swellow            |  0.00159% | 273    |  0.071% | 
 | 294  | Articuno           |  0.00155% | 234    |  0.061% | 
 | 295  | Mismagius          |  0.00155% | 193    |  0.050% | 
 | 296  | Slowking           |  0.00153% | 265    |  0.069% | 
 | 297  | Relicanth          |  0.00144% | 82     |  0.021% | 
 | 298  | Gligar             |  0.00143% | 46     |  0.012% | 
 | 299  | Torkoal            |  0.00143% | 184    |  0.048% | 
 | 300  | Emolga             |  0.00142% | 190    |  0.050% | 
 | 301  | Vigoroth           |  0.00141% | 86     |  0.022% | 
 | 302  | Plusle             |  0.00140% | 11     |  0.003% | 
 | 303  | Skitty             |  0.00138% | 28     |  0.007% | 
 | 304  | Pachirisu          |  0.00138% | 51     |  0.013% | 
 | 305  | Absol              |  0.00133% | 278    |  0.073% | 
 | 306  | Persian            |  0.00133% | 185    |  0.048% | 
 | 307  | Gourgeist-Super    |  0.00130% | 136    |  0.036% | 
 | 308  | Butterfree         |  0.00126% | 189    |  0.049% | 
 | 309  | Tauros             |  0.00126% | 173    |  0.045% | 
 | 310  | Furfrou            |  0.00125% | 100    |  0.026% | 
 | 311  | Granbull           |  0.00124% | 114    |  0.030% | 
 | 312  | Mawile             |  0.00120% | 25     |  0.007% | 
 | 313  | Cranidos           |  0.00120% | 2      |  0.001% | 
 | 314  | Klinklang          |  0.00114% | 59     |  0.015% | 
 | 315  | Doublade           |  0.00112% | 131    |  0.034% | 
 | 316  | Mesprit            |  0.00110% | 59     |  0.015% | 
 | 317  | Gigalith           |  0.00108% | 215    |  0.056% | 
 | 318  | Walrein            |  0.00108% | 119    |  0.031% | 
 | 319  | Xatu               |  0.00106% | 114    |  0.030% | 
 | 320  | Primeape           |  0.00104% | 95     |  0.025% | 
 | 321  | Braviary           |  0.00098% | 101    |  0.026% | 
 | 322  | Ampharos           |  0.00092% | 75     |  0.020% | 
 | 323  | Raticate           |  0.00092% | 81     |  0.021% | 
 | 324  | Steelix-Mega       |  0.00091% | 220    |  0.057% | 
 | 325  | Sealeo             |  0.00091% | 16     |  0.004% | 
 | 326  | Octillery          |  0.00090% | 116    |  0.030% | 
 | 327  | Medicham           |  0.00088% | 120    |  0.031% | 
 | 328  | Illumise           |  0.00088% | 109    |  0.028% | 
 | 329  | Girafarig          |  0.00087% | 26     |  0.007% | 
 | 330  | Farfetch'd         |  0.00082% | 25     |  0.007% | 
 | 331  | Bellossom          |  0.00079% | 18     |  0.005% | 
 | 332  | Servine            |  0.00079% | 40     |  0.010% | 
 | 333  | Maractus           |  0.00078% | 18     |  0.005% | 
 | 334  | Garbodor           |  0.00078% | 57     |  0.015% | 
 | 335  | Tropius            |  0.00077% | 30     |  0.008% | 
 | 336  | Barbaracle         |  0.00077% | 174    |  0.045% | 
 | 337  | Cradily            |  0.00073% | 214    |  0.056% | 
 | 338  | Pangoro            |  0.00070% | 263    |  0.069% | 
 | 339  | Steelix            |  0.00069% | 203    |  0.053% | 
 | 340  | Solrock            |  0.00067% | 44     |  0.011% | 
 | 341  | Dodrio             |  0.00066% | 57     |  0.015% | 
 | 342  | Gallade            |  0.00065% | 210    |  0.055% | 
 | 343  | Meganium           |  0.00065% | 82     |  0.021% | 
 | 344  | Delibird           |  0.00061% | 172    |  0.045% | 
 | 345  | Florges            |  0.00060% | 239    |  0.062% | 
 | 346  | Zangoose           |  0.00057% | 104    |  0.027% | 
 | 347  | Ledian             |  0.00057% | 57     |  0.015% | 
