 Total leads: 8
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Magnezone          | 15.09102% | 1      | 12.500% | 
 | 2    | Gliscor            |  0.00000% | 1      | 12.500% | 
 | 3    | Breloom            |  0.00000% | 1      | 12.500% | 
 | 4    | Sylveon            |  0.00000% | 1      | 12.500% | 
 | 5    | Carracosta         |  0.00000% | 1      | 12.500% | 
 | 6    | Serperior          |  0.00000% | 1      | 12.500% | 
 | 7    | Umbreon            |  0.00000% | 1      | 12.500% | 
 | 8    | Ferrothorn         |  0.00000% | 1      | 12.500% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
