 Total leads: 1140
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Mewtwo-Mega-X      | 27.37135% | 41     |  3.596% | 
 | 2    | Garchomp-Mega      | 18.38463% | 42     |  3.684% | 
 | 3    | Aerodactyl-Mega    | 10.96037% | 34     |  2.982% | 
 | 4    | Mewtwo-Mega-Y      |  8.07453% | 39     |  3.421% | 
 | 5    | Groudon            |  5.05095% | 9      |  0.789% | 
 | 6    | Registeel          |  4.21785% | 38     |  3.333% | 
 | 7    | Gengar-Mega        |  3.43399% | 29     |  2.544% | 
 | 8    | Groudon-Primal     |  3.30971% | 11     |  0.965% | 
 | 9    | Tyranitar-Mega     |  1.96470% | 21     |  1.842% | 
 | 10   | Chansey            |  1.92366% | 32     |  2.807% | 
 | 11   | Deoxys-Speed       |  1.42009% | 26     |  2.281% | 
 | 12   | Darkrai            |  1.32006% | 6      |  0.526% | 
 | 13   | Shedinja           |  1.23385% | 25     |  2.193% | 
 | 14   | Palkia             |  1.03429% | 15     |  1.316% | 
 | 15   | Swampert-Mega      |  0.88366% | 18     |  1.579% | 
 | 16   | Arceus             |  0.80402% | 13     |  1.140% | 
 | 17   | Diancie-Mega       |  0.77573% | 19     |  1.667% | 
 | 18   | Camerupt-Mega      |  0.64633% | 13     |  1.140% | 
 | 19   | Kyurem-Black       |  0.60847% | 40     |  3.509% | 
 | 20   | Suicune            |  0.58605% | 2      |  0.175% | 
 | 21   | Charizard-Mega-Y   |  0.56444% | 16     |  1.404% | 
 | 22   | Altaria-Mega       |  0.55141% | 4      |  0.351% | 
 | 23   | Aegislash          |  0.45229% | 5      |  0.439% | 
 | 24   | Volcanion          |  0.39660% | 3      |  0.263% | 
 | 25   | Arceus-Electric    |  0.38905% | 7      |  0.614% | 
 | 26   | Giratina           |  0.34975% | 26     |  2.281% | 
 | 27   | Togetic            |  0.34441% | 2      |  0.175% | 
 | 28   | Dialga             |  0.28513% | 7      |  0.614% | 
 | 29   | Lopunny-Mega       |  0.26992% | 5      |  0.439% | 
 | 30   | Latias-Mega        |  0.23340% | 7      |  0.614% | 
 | 31   | Shaymin-Sky        |  0.19847% | 1      |  0.088% | 
 | 32   | Ho-Oh              |  0.19662% | 9      |  0.789% | 
 | 33   | Slaking            |  0.19459% | 3      |  0.263% | 
 | 34   | Kyogre             |  0.17740% | 7      |  0.614% | 
 | 35   | Shuckle            |  0.17126% | 21     |  1.842% | 
 | 36   | Latios-Mega        |  0.12528% | 4      |  0.351% | 
 | 37   | Rayquaza-Mega      |  0.11715% | 51     |  4.474% | 
 | 38   | Audino-Mega        |  0.10288% | 8      |  0.702% | 
 | 39   | Wobbuffet          |  0.10222% | 2      |  0.175% | 
 | 40   | Ninetales          |  0.09187% | 4      |  0.351% | 
 | 41   | Sceptile-Mega      |  0.09099% | 6      |  0.526% | 
 | 42   | Yveltal            |  0.09086% | 16     |  1.404% | 
 | 43   | Kyogre-Primal      |  0.06780% | 3      |  0.263% | 
 | 44   | Xerneas            |  0.05642% | 30     |  2.632% | 
 | 45   | Deoxys-Defense     |  0.04507% | 7      |  0.614% | 
 | 46   | Lapras             |  0.04184% | 4      |  0.351% | 
 | 47   | Regigigas          |  0.04005% | 11     |  0.965% | 
 | 48   | Abomasnow-Mega     |  0.02344% | 1      |  0.088% | 
 | 49   | Magnezone          |  0.02295% | 2      |  0.175% | 
 | 50   | Mawile-Mega        |  0.02274% | 2      |  0.175% | 
 | 51   | Ferrothorn         |  0.02114% | 3      |  0.263% | 
 | 52   | Whimsicott         |  0.02034% | 3      |  0.263% | 
 | 53   | Musharna           |  0.02028% | 3      |  0.263% | 
 | 54   | Sableye-Mega       |  0.01865% | 7      |  0.614% | 
 | 55   | Heracross-Mega     |  0.01641% | 7      |  0.614% | 
 | 56   | Steelix-Mega       |  0.01565% | 12     |  1.053% | 
 | 57   | Linoone            |  0.01211% | 4      |  0.351% | 
 | 58   | Arceus-Steel       |  0.01106% | 1      |  0.088% | 
 | 59   | Blissey            |  0.01062% | 17     |  1.491% | 
 | 60   | Cherrim            |  0.01042% | 2      |  0.175% | 
 | 61   | Lugia              |  0.00857% | 17     |  1.491% | 
 | 62   | Reshiram           |  0.00637% | 8      |  0.702% | 
 | 63   | Umbreon            |  0.00461% | 2      |  0.175% | 
 | 64   | Ludicolo           |  0.00119% | 5      |  0.439% | 
 | 65   | Articuno           |  0.00059% | 2      |  0.175% | 
 | 66   | Alakazam-Mega      |  0.00039% | 5      |  0.439% | 
 | 67   | Forretress         |  0.00036% | 4      |  0.351% | 
 | 68   | Porygon-Z          |  0.00025% | 2      |  0.175% | 
 | 69   | Giratina-Origin    |  0.00016% | 6      |  0.526% | 
 | 70   | Haxorus            |  0.00011% | 1      |  0.088% | 
