 Total leads: 368722
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Rayquaza           |  0.39759% | 1466   |  0.398% | 
 | 2    | Reshiram           |  0.39461% | 1455   |  0.395% | 
 | 3    | Volcanion          |  0.39081% | 1441   |  0.391% | 
 | 4    | Zekrom             |  0.38539% | 1421   |  0.385% | 
 | 5    | Kyogre             |  0.37020% | 1365   |  0.370% | 
 | 6    | Palkia             |  0.36749% | 1355   |  0.367% | 
 | 7    | Arceus             |  0.35875% | 1323   |  0.359% | 
 | 8    | Groudon            |  0.35854% | 1322   |  0.359% | 
 | 9    | Dialga             |  0.35501% | 1309   |  0.355% | 
 | 10   | Dragonite          |  0.35176% | 1297   |  0.352% | 
 | 11   | Yveltal            |  0.34986% | 1290   |  0.350% | 
 | 12   | Genesect           |  0.33739% | 1244   |  0.337% | 
 | 13   | Blaziken           |  0.33494% | 1235   |  0.335% | 
 | 14   | Greninja           |  0.32545% | 1200   |  0.325% | 
 | 15   | Mewtwo             |  0.32084% | 1183   |  0.321% | 
 | 16   | Salamence          |  0.31515% | 1162   |  0.315% | 
 | 17   | Shedinja           |  0.31379% | 1157   |  0.314% | 
 | 18   | Goodra             |  0.30782% | 1135   |  0.308% | 
 | 19   | Hydreigon          |  0.30403% | 1121   |  0.304% | 
 | 20   | Xerneas            |  0.30348% | 1119   |  0.303% | 
 | 21   | Lugia              |  0.30294% | 1117   |  0.303% | 
 | 22   | Garchomp           |  0.29697% | 1095   |  0.297% | 
 | 23   | Darkrai            |  0.29345% | 1082   |  0.293% | 
 | 24   | Infernape          |  0.29128% | 1075   |  0.292% | 
 | 25   | Ho-Oh              |  0.29101% | 1073   |  0.291% | 
 | 26   | Haxorus            |  0.29047% | 1071   |  0.290% | 
 | 27   | Eelektross         |  0.28938% | 1067   |  0.289% | 
 | 28   | Tyrantrum          |  0.28911% | 1066   |  0.289% | 
 | 29   | Lucario            |  0.28802% | 1062   |  0.288% | 
 | 30   | Emboar             |  0.28775% | 1061   |  0.288% | 
 | 31   | Snorlax            |  0.28504% | 1051   |  0.285% | 
 | 32   | Nidoking           |  0.28314% | 1044   |  0.283% | 
 | 33   | Machamp            |  0.27935% | 1030   |  0.279% | 
 | 34   | Swampert           |  0.27826% | 1026   |  0.278% | 
 | 35   | Electivire         |  0.27745% | 1023   |  0.277% | 
 | 36   | Victini            |  0.27582% | 1017   |  0.276% | 
 | 37   | Giratina           |  0.27555% | 1016   |  0.276% | 
 | 38   | Gyarados           |  0.27311% | 1007   |  0.273% | 
 | 39   | Entei              |  0.27311% | 1007   |  0.273% | 
 | 40   | Zygarde            |  0.27284% | 1006   |  0.273% | 
 | 41   | Tyranitar          |  0.27229% | 1004   |  0.272% | 
 | 42   | Ditto              |  0.27175% | 1002   |  0.272% | 
 | 43   | Golurk             |  0.26741% | 986    |  0.267% | 
 | 44   | Rampardos          |  0.26606% | 981    |  0.266% | 
 | 45   | Dragalge           |  0.26362% | 972    |  0.264% | 
 | 46   | Gengar             |  0.26362% | 972    |  0.264% | 
 | 47   | Zoroark            |  0.26307% | 970    |  0.263% | 
 | 48   | Metagross          |  0.26145% | 964    |  0.261% | 
 | 49   | Darmanitan         |  0.26118% | 963    |  0.261% | 
 | 50   | Charizard          |  0.26118% | 963    |  0.261% | 
 | 51   | Heatran            |  0.25928% | 956    |  0.259% | 
 | 52   | Aggron             |  0.25901% | 955    |  0.259% | 
 | 53   | Conkeldurr         |  0.25629% | 945    |  0.256% | 
 | 54   | Noivern            |  0.25385% | 936    |  0.254% | 
 | 55   | Volcarona          |  0.25358% | 935    |  0.254% | 
 | 56   | Pangoro            |  0.25304% | 933    |  0.253% | 
 | 57   | Terrakion          |  0.25250% | 931    |  0.252% | 
 | 58   | Hariyama           |  0.25141% | 927    |  0.251% | 
