 Total leads: 72564
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 10.64144% | 4468   |  6.157% | 
 | 2    | Xerneas            |  7.99579% | 3871   |  5.335% | 
 | 3    | Kyogre-Primal      |  6.32525% | 3527   |  4.861% | 
 | 4    | Kangaskhan-Mega    |  5.77521% | 2174   |  2.996% | 
 | 5    | Rayquaza-Mega      |  3.67022% | 1853   |  2.554% | 
 | 6    | Arceus             |  3.48303% | 926    |  1.276% | 
 | 7    | Yveltal            |  2.69629% | 1095   |  1.509% | 
 | 8    | Mew                |  2.67202% | 1027   |  1.415% | 
 | 9    | Raichu             |  2.24331% | 933    |  1.286% | 
 | 10   | Ho-Oh              |  2.18081% | 644    |  0.887% | 
 | 11   | Whimsicott         |  1.79176% | 914    |  1.260% | 
 | 12   | Sableye            |  1.78346% | 588    |  0.810% | 
 | 13   | Smeargle           |  1.73798% | 958    |  1.320% | 
 | 14   | Lugia              |  1.63673% | 884    |  1.218% | 
 | 15   | Thundurus          |  1.57448% | 483    |  0.666% | 
 | 16   | Cresselia          |  1.47078% | 455    |  0.627% | 
 | 17   | Greninja           |  1.39014% | 1880   |  2.591% | 
 | 18   | Arceus-Ghost       |  1.29057% | 388    |  0.535% | 
 | 19   | Hitmontop          |  1.25141% | 426    |  0.587% | 
 | 20   | Giratina-Origin    |  1.21440% | 604    |  0.832% | 
 | 21   | Dialga             |  1.20899% | 798    |  1.100% | 
 | 22   | Meowstic           |  1.01707% | 398    |  0.548% | 
 | 23   | Landorus-Therian   |  1.00711% | 431    |  0.594% | 
 | 24   | Palkia             |  0.99232% | 525    |  0.723% | 
 | 25   | Bronzong           |  0.99011% | 369    |  0.509% | 
 | 26   | Darkrai            |  0.91146% | 512    |  0.706% | 
 | 27   | Mewtwo-Mega-Y      |  0.84224% | 634    |  0.874% | 
 | 28   | Amoonguss          |  0.84134% | 389    |  0.536% | 
 | 29   | Gengar-Mega        |  0.82476% | 680    |  0.937% | 
 | 30   | Terrakion          |  0.80902% | 446    |  0.615% | 
 | 31   | Salamence-Mega     |  0.75853% | 521    |  0.718% | 
