 Total leads: 43752
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Ambipom            |  1.78510% | 781    |  1.785% | 
 | 2    | Arcanine           |  1.67768% | 734    |  1.678% | 
 | 3    | Raichu             |  1.39654% | 611    |  1.397% | 
 | 4    | Hitmontop          |  1.38968% | 608    |  1.390% | 
 | 5    | Ninetales          |  1.38740% | 607    |  1.387% | 
 | 6    | Cofagrigus         |  1.38511% | 606    |  1.385% | 
 | 7    | Sableye            |  1.35997% | 595    |  1.360% | 
 | 8    | Sceptile-Mega      |  1.31426% | 575    |  1.314% | 
 | 9    | Audino-Mega        |  1.22969% | 538    |  1.230% | 
 | 10   | Crobat             |  1.19769% | 524    |  1.198% | 
 | 11   | Krookodile         |  1.14740% | 502    |  1.147% | 
 | 12   | Infernape          |  1.09712% | 480    |  1.097% | 
 | 13   | Bronzong           |  1.08798% | 476    |  1.088% | 
 | 14   | Blastoise-Mega     |  1.06055% | 464    |  1.061% | 
 | 15   | Shuckle            |  1.05140% | 460    |  1.051% | 
 | 16   | Spinda             |  0.92569% | 405    |  0.926% | 
 | 17   | Aerodactyl-Mega    |  0.91426% | 400    |  0.914% | 
 | 18   | Slaking            |  0.87998% | 385    |  0.880% | 
 | 19   | Volcarona          |  0.86627% | 379    |  0.866% | 
 | 20   | Heliolisk          |  0.83884% | 367    |  0.839% | 
 | 21   | Snorlax            |  0.82284% | 360    |  0.823% | 
 | 22   | Regigigas          |  0.81598% | 357    |  0.816% | 
 | 23   | Manectric          |  0.81370% | 356    |  0.814% | 
 | 24   | Tauros             |  0.80912% | 354    |  0.809% | 
 | 25   | Froslass           |  0.80227% | 351    |  0.802% | 
 | 26   | Hariyama           |  0.77255% | 338    |  0.773% | 
 | 27   | Lopunny-Mega       |  0.74741% | 327    |  0.747% | 
 | 28   | Galvantula         |  0.70627% | 309    |  0.706% | 
 | 29   | Camerupt-Mega      |  0.70627% | 309    |  0.706% | 
 | 30   | Vaporeon           |  0.70170% | 307    |  0.702% | 
 | 31   | Espeon             |  0.67656% | 296    |  0.677% | 
