 Total leads: 161976
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Jolteon            |  4.36344% | 7058   |  4.357% | 
 | 2    | Mewtwo             |  3.17675% | 5089   |  3.142% | 
 | 3    | Alakazam           |  3.16950% | 5094   |  3.145% | 
 | 4    | Tauros             |  3.08196% | 4988   |  3.079% | 
 | 5    | Snorlax            |  2.99721% | 4902   |  3.026% | 
 | 6    | Chansey            |  2.95662% | 4810   |  2.970% | 
 | 7    | Mew                |  2.93096% | 4792   |  2.958% | 
 | 8    | Jynx               |  2.73285% | 4431   |  2.736% | 
 | 9    | Gengar             |  2.69995% | 4288   |  2.647% | 
 | 10   | Zapdos             |  1.83422% | 2958   |  1.826% | 
 | 11   | Golem              |  1.82885% | 2969   |  1.833% | 
 | 12   | Rhydon             |  1.76691% | 2911   |  1.797% | 
 | 13   | Pinsir             |  1.70204% | 2768   |  1.709% | 
 | 14   | Cloyster           |  1.64515% | 2658   |  1.641% | 
 | 15   | Electrode          |  1.63550% | 2611   |  1.612% | 
 | 16   | Raichu             |  1.63091% | 2644   |  1.632% | 
 | 17   | Electabuzz         |  1.63062% | 2622   |  1.619% | 
 | 18   | Lapras             |  1.61075% | 2640   |  1.630% | 
 | 19   | Magneton           |  1.59722% | 2577   |  1.591% | 
 | 20   | Flareon            |  1.39302% | 2242   |  1.384% | 
 | 21   | Charmeleon         |  1.37612% | 2261   |  1.396% | 
 | 22   | Rapidash           |  1.37438% | 2226   |  1.374% | 
 | 23   | Arcanine           |  1.37339% | 2251   |  1.390% | 
 | 24   | Ninetales          |  1.34701% | 2155   |  1.330% | 
 | 25   | Kadabra            |  1.34498% | 2137   |  1.319% | 
 | 26   | Mr. Mime           |  1.32214% | 2122   |  1.310% | 
 | 27   | Hypno              |  1.30677% | 2094   |  1.293% | 
 | 28   | Exeggutor          |  1.29771% | 2101   |  1.297% | 
 | 29   | Magmar             |  1.29523% | 2109   |  1.302% | 
 | 30   | Lickitung          |  1.18395% | 1928   |  1.190% | 
 | 31   | Persian            |  1.17196% | 1869   |  1.154% | 
 | 32   | Kangaskhan         |  1.15398% | 1821   |  1.124% | 
 | 33   | Porygon            |  1.14455% | 1865   |  1.151% | 
 | 34   | Clefable           |  1.14008% | 1840   |  1.136% | 
 | 35   | Wigglytuff         |  1.13730% | 1863   |  1.150% | 
 | 36   | Hitmonchan         |  1.11645% | 1860   |  1.148% | 
 | 37   | Hitmonlee          |  1.10320% | 1818   |  1.122% | 
 | 38   | Machamp            |  1.09335% | 1800   |  1.111% | 
 | 39   | Machoke            |  1.09234% | 1767   |  1.091% | 
 | 40   | Primeape           |  1.08998% | 1807   |  1.116% | 
 | 41   | Raticate           |  1.08751% | 1785   |  1.102% | 
 | 42   | Starmie            |  1.07018% | 1704   |  1.052% | 
 | 43   | Slowbro            |  0.97946% | 1622   |  1.001% | 
 | 44   | Nidorina           |  0.85981% | 1417   |  0.875% | 
 | 45   | Weezing            |  0.84334% | 1367   |  0.844% | 
 | 46   | Dragonair          |  0.83944% | 1349   |  0.833% | 
 | 47   | Muk                |  0.83125% | 1374   |  0.848% | 
 | 48   | Arbok              |  0.81518% | 1353   |  0.835% | 
 | 49   | Haunter            |  0.81036% | 1273   |  0.786% | 
 | 50   | Nidorino           |  0.79674% | 1356   |  0.837% | 
 | 51   | Tangela            |  0.77757% | 1266   |  0.782% | 
 | 52   | Venomoth           |  0.70918% | 1148   |  0.709% | 
 | 53   | Beedrill           |  0.68770% | 1143   |  0.706% | 
 | 54   | Parasect           |  0.67451% | 1067   |  0.659% | 
 | 55   | Dugtrio            |  0.66883% | 1078   |  0.666% | 
 | 56   | Dragonite          |  0.65824% | 1038   |  0.641% | 
 | 57   | Articuno           |  0.65213% | 1048   |  0.647% | 
 | 58   | Marowak            |  0.65026% | 1037   |  0.640% | 
 | 59   | Sandslash          |  0.64608% | 1049   |  0.648% | 
 | 60   | Blastoise          |  0.63308% | 1030   |  0.636% | 
 | 61   | Poliwhirl          |  0.62528% | 1008   |  0.622% | 
 | 62   | Seadra             |  0.62275% | 1004   |  0.620% | 
 | 63   | Golduck            |  0.62039% | 1014   |  0.626% | 
 | 64   | Vaporeon           |  0.60863% | 993    |  0.613% | 
 | 65   | Seaking            |  0.60591% | 973    |  0.601% | 
 | 66   | Kingler            |  0.60451% | 998    |  0.616% | 
 | 67   | Wartortle          |  0.59564% | 981    |  0.606% | 
 | 68   | Graveler           |  0.57162% | 958    |  0.591% | 
 | 69   | Dewgong            |  0.55895% | 888    |  0.548% | 
 | 70   | Onix               |  0.55601% | 893    |  0.551% | 
 | 71   | Omastar            |  0.51141% | 822    |  0.507% | 
 | 72   | Kabutops           |  0.50744% | 795    |  0.491% | 
 | 73   | Gyarados           |  0.49394% | 791    |  0.488% | 
 | 74   | Moltres            |  0.46243% | 733    |  0.453% | 
 | 75   | Charizard          |  0.45389% | 718    |  0.443% | 
 | 76   | Venusaur           |  0.35255% | 571    |  0.353% | 
 | 77   | Gloom              |  0.33536% | 548    |  0.338% | 
 | 78   | Weepinbell         |  0.33405% | 545    |  0.336% | 
 | 79   | Poliwrath          |  0.33392% | 531    |  0.328% | 
 | 80   | Butterfree         |  0.32076% | 518    |  0.320% | 
 | 81   | Scyther            |  0.32001% | 518    |  0.320% | 
 | 82   | Vileplume          |  0.31120% | 497    |  0.307% | 
 | 83   | Victreebel         |  0.30858% | 498    |  0.307% | 
 | 84   | Ivysaur            |  0.29793% | 481    |  0.297% | 
 | 85   | Tentacruel         |  0.27973% | 430    |  0.265% | 
 | 86   | Nidoqueen          |  0.24827% | 397    |  0.245% | 
 | 87   | Aerodactyl         |  0.24327% | 408    |  0.252% | 
 | 88   | Nidoking           |  0.24111% | 385    |  0.238% | 
 | 89   | Fearow             |  0.22095% | 344    |  0.212% | 
 | 90   | Farfetch'd         |  0.21682% | 347    |  0.214% | 
 | 91   | Pidgeotto          |  0.19228% | 319    |  0.197% | 
 | 92   | Pidgeot            |  0.19052% | 311    |  0.192% | 
 | 93   | Dodrio             |  0.18654% | 300    |  0.185% | 
 | 94   | Golbat             |  0.10633% | 178    |  0.110% | 
 | 95   | Oddish             |  0.00260% | 3      |  0.002% | 
 | 96   | Magnemite          |  0.00192% | 2      |  0.001% | 
 | 97   | Clefairy           |  0.00170% | 2      |  0.001% | 
 | 98   | Koffing            |  0.00105% | 2      |  0.001% | 
