 Total leads: 34
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Glalie             | 50.00000% | 17     | 50.000% | 
 | 2    | Relicanth          |  5.88235% | 2      |  5.882% | 
 | 3    | Wooper             |  5.88235% | 2      |  5.882% | 
 | 4    | Chimecho           |  2.94118% | 1      |  2.941% | 
 | 5    | Octillery          |  2.94118% | 1      |  2.941% | 
 | 6    | Wailord            |  2.94118% | 1      |  2.941% | 
 | 7    | Pikachu            |  2.94118% | 1      |  2.941% | 
 | 8    | Charmeleon         |  2.94118% | 1      |  2.941% | 
 | 9    | Cacturne           |  2.94118% | 1      |  2.941% | 
 | 10   | Hitmonchan         |  2.94118% | 1      |  2.941% | 
 | 11   | Beedrill           |  2.94118% | 1      |  2.941% | 
 | 12   | Mawile             |  2.94118% | 1      |  2.941% | 
 | 13   | Castform           |  2.94118% | 1      |  2.941% | 
 | 14   | Torkoal            |  2.94118% | 1      |  2.941% | 
 | 15   | Venomoth           |  2.94118% | 1      |  2.941% | 
 | 16   | Ditto              |  2.94118% | 1      |  2.941% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
