 Total leads: 1030
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Regirock           |  7.82653% | 69     |  6.699% | 
 | 2    | Nidoqueen          |  7.70817% | 73     |  7.087% | 
 | 3    | Jynx               |  6.86209% | 70     |  6.796% | 
 | 4    | Typhlosion         |  5.68603% | 60     |  5.825% | 
 | 5    | Floatzel           |  5.67532% | 55     |  5.340% | 
 | 6    | Charizard          |  4.04828% | 39     |  3.786% | 
 | 7    | Gardevoir          |  3.27370% | 27     |  2.621% | 
 | 8    | Glalie             |  2.72993% | 28     |  2.718% | 
 | 9    | Haunter            |  2.46958% | 25     |  2.427% | 
 | 10   | Gligar             |  2.36641% | 18     |  1.748% | 
 | 11   | Golem              |  2.34518% | 24     |  2.330% | 
 | 12   | Persian            |  2.24702% | 24     |  2.330% | 
 | 13   | Probopass          |  2.15327% | 24     |  2.330% | 
 | 14   | Medicham           |  1.87827% | 19     |  1.845% | 
 | 15   | Pinsir             |  1.81819% | 11     |  1.068% | 
 | 16   | Jumpluff           |  1.79903% | 13     |  1.262% | 
 | 17   | Magcargo           |  1.75845% | 18     |  1.748% | 
 | 18   | Slowking           |  1.73334% | 17     |  1.650% | 
 | 19   | Mantine            |  1.70835% | 12     |  1.165% | 
 | 20   | Ampharos           |  1.67307% | 21     |  2.039% | 
 | 21   | Magmortar          |  1.62355% | 21     |  2.039% | 
 | 22   | Sneasel            |  1.56718% | 16     |  1.553% | 
 | 23   | Kadabra            |  1.52088% | 16     |  1.553% | 
 | 24   | Sandslash          |  1.50115% | 15     |  1.456% | 
 | 25   | Venomoth           |  1.47464% | 13     |  1.262% | 
 | 26   | Hitmonchan         |  1.26907% | 16     |  1.553% | 
 | 27   | Piloswine          |  1.17393% | 10     |  0.971% | 
 | 28   | Dusclops           |  1.13818% | 13     |  1.262% | 
 | 29   | Beedrill           |  1.12344% | 13     |  1.262% | 
 | 30   | Meganium           |  1.04326% | 11     |  1.068% | 
 | 31   | Dodrio             |  1.03404% | 11     |  1.068% | 
 | 32   | Diglett            |  0.99558% | 15     |  1.456% | 
 | 33   | Skuntank           |  0.86140% | 8      |  0.777% | 
 | 34   | Torkoal            |  0.79568% | 7      |  0.680% | 
 | 35   | Lopunny            |  0.79054% | 8      |  0.777% | 
 | 36   | Sharpedo           |  0.78984% | 11     |  1.068% | 
 | 37   | Cacturne           |  0.71113% | 7      |  0.680% | 
 | 38   | Solrock            |  0.67692% | 7      |  0.680% | 
 | 39   | Granbull           |  0.66816% | 13     |  1.262% | 
 | 40   | Armaldo            |  0.64680% | 8      |  0.777% | 
 | 41   | Kingler            |  0.59915% | 6      |  0.583% | 
 | 42   | Electrode          |  0.59774% | 7      |  0.680% | 
 | 43   | Bastiodon          |  0.56304% | 8      |  0.777% | 
 | 44   | Tauros             |  0.51800% | 7      |  0.680% | 
 | 45   | Manectric          |  0.46636% | 5      |  0.485% | 
 | 46   | Luxray             |  0.44140% | 6      |  0.583% | 
 | 47   | Banette            |  0.37541% | 5      |  0.485% | 
 | 48   | Machoke            |  0.37207% | 4      |  0.388% | 
 | 49   | Dugtrio            |  0.36610% | 6      |  0.583% | 
 | 50   | Vileplume          |  0.34176% | 4      |  0.388% | 
 | 51   | Tangela            |  0.32169% | 4      |  0.388% | 
 | 52   | Regigigas          |  0.30943% | 4      |  0.388% | 
 | 53   | Camerupt           |  0.30943% | 4      |  0.388% | 
 | 54   | Drifblim           |  0.26505% | 2      |  0.194% | 
 | 55   | Articuno           |  0.26396% | 4      |  0.388% | 
 | 56   | Wailord            |  0.24344% | 3      |  0.291% | 
 | 57   | Golbat             |  0.23977% | 5      |  0.485% | 
 | 58   | Monferno           |  0.19030% | 3      |  0.291% | 
 | 59   | Lapras             |  0.17972% | 2      |  0.194% | 
 | 60   | Slaking            |  0.17939% | 3      |  0.291% | 
 | 61   | Purugly            |  0.17745% | 2      |  0.194% | 
 | 62   | Quagsire           |  0.17745% | 2      |  0.194% | 
 | 63   | Gastrodon          |  0.14930% | 2      |  0.194% | 
 | 64   | Glaceon            |  0.14266% | 2      |  0.194% | 
 | 65   | Muk                |  0.13436% | 2      |  0.194% | 
 | 66   | Dragonair          |  0.13198% | 2      |  0.194% | 
 | 67   | Girafarig          |  0.13198% | 2      |  0.194% | 
 | 68   | Totodile           |  0.13198% | 2      |  0.194% | 
 | 69   | Poliwrath          |  0.12979% | 2      |  0.194% | 
 | 70   | Bellossom          |  0.11373% | 2      |  0.194% | 
 | 71   | Marowak            |  0.11300% | 1      |  0.097% | 
 | 72   | Riolu              |  0.11146% | 1      |  0.097% | 
 | 73   | Roselia            |  0.11146% | 1      |  0.097% | 
 | 74   | Shiftry            |  0.10638% | 1      |  0.097% | 
 | 75   | Walrein            |  0.10267% | 2      |  0.194% | 
 | 76   | Mothim             |  0.07565% | 1      |  0.097% | 
 | 77   | Metang             |  0.07000% | 1      |  0.097% | 
 | 78   | Graveler           |  0.06776% | 1      |  0.097% | 
 | 79   | Flareon            |  0.06654% | 1      |  0.097% | 
 | 80   | Pikachu            |  0.06599% | 1      |  0.097% | 
 | 81   | Dunsparce          |  0.06599% | 1      |  0.097% | 
 | 82   | Ariados            |  0.06599% | 1      |  0.097% | 
 | 83   | Butterfree         |  0.06599% | 1      |  0.097% | 
 | 84   | Parasect           |  0.06599% | 1      |  0.097% | 
 | 85   | Ditto              |  0.06599% | 1      |  0.097% | 
 | 86   | Zangoose           |  0.06599% | 1      |  0.097% | 
 | 87   | Rampardos          |  0.06599% | 1      |  0.097% | 
 | 88   | Charmeleon         |  0.06599% | 1      |  0.097% | 
 | 89   | Arbok              |  0.06599% | 1      |  0.097% | 
 | 90   | Crawdaunt          |  0.06599% | 1      |  0.097% | 
 | 91   | Politoed           |  0.06599% | 1      |  0.097% | 
 | 92   | Gabite             |  0.06599% | 1      |  0.097% | 
 | 93   | Cradily            |  0.06599% | 1      |  0.097% | 
 | 94   | Regice             |  0.06599% | 1      |  0.097% | 
 | 95   | Carnivine          |  0.06599% | 1      |  0.097% | 
 | 96   | Xatu               |  0.06599% | 1      |  0.097% | 
 | 97   | Kakuna             |  0.06599% | 1      |  0.097% | 
 | 98   | Cyndaquil          |  0.06599% | 1      |  0.097% | 
 | 99   | Ninetales          |  0.06599% | 1      |  0.097% | 
 | 100  | Exploud            |  0.06575% | 1      |  0.097% | 
 | 101  | Raichu             |  0.06010% | 1      |  0.097% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
