 Total leads: 288
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Togekiss           |  8.93962% | 19     |  6.597% | 
 | 2    | Excadrill          |  4.55779% | 9      |  3.125% | 
 | 3    | Deoxys-Attack      |  3.54906% | 8      |  2.778% | 
 | 4    | Landorus-Therian   |  2.77266% | 8      |  2.778% | 
 | 5    | Politoed           |  2.40264% | 6      |  2.083% | 
 | 6    | Infernape          |  2.32821% | 6      |  2.083% | 
 | 7    | Thundurus          |  2.25069% | 7      |  2.431% | 
 | 8    | Hydreigon          |  2.15953% | 7      |  2.431% | 
 | 9    | Ferrothorn         |  2.03843% | 5      |  1.736% | 
 | 10   | Gengar             |  1.91249% | 6      |  2.083% | 
 | 11   | Snorlax            |  1.87960% | 4      |  1.389% | 
 | 12   | Tornadus           |  1.86551% | 5      |  1.736% | 
 | 13   | Lucario            |  1.76878% | 6      |  2.083% | 
 | 14   | Volcarona          |  1.75979% | 5      |  1.736% | 
 | 15   | Houndoom           |  1.68744% | 4      |  1.389% | 
 | 16   | Bisharp            |  1.60938% | 5      |  1.736% | 
 | 17   | Shuckle            |  1.57911% | 4      |  1.389% | 
 | 18   | Kingdra            |  1.57707% | 3      |  1.042% | 
 | 19   | Sableye            |  1.47985% | 3      |  1.042% | 
 | 20   | Metagross          |  1.26328% | 4      |  1.389% | 
 | 21   | Heatran            |  1.24875% | 3      |  1.042% | 
 | 22   | Pachirisu          |  1.24520% | 2      |  0.694% | 
 | 23   | Abomasnow          |  1.14245% | 2      |  0.694% | 
 | 24   | Samurott           |  1.14230% | 4      |  1.389% | 
 | 25   | Krookodile         |  1.10932% | 3      |  1.042% | 
 | 26   | Jellicent          |  1.09453% | 3      |  1.042% | 
 | 27   | Ninetales          |  1.05668% | 3      |  1.042% | 
 | 28   | Cloyster           |  1.02839% | 3      |  1.042% | 
 | 29   | Conkeldurr         |  1.02050% | 3      |  1.042% | 
 | 30   | Weavile            |  0.96480% | 3      |  1.042% | 
 | 31   | Cresselia          |  0.96053% | 4      |  1.389% | 
 | 32   | Haxorus            |  0.88318% | 3      |  1.042% | 
 | 33   | Audino             |  0.87409% | 2      |  0.694% | 
 | 34   | Garchomp           |  0.87246% | 2      |  0.694% | 
 | 35   | Blaziken           |  0.86653% | 3      |  1.042% | 
 | 36   | Venusaur           |  0.86042% | 3      |  1.042% | 
 | 37   | Gyarados           |  0.85472% | 3      |  1.042% | 
 | 38   | Breloom            |  0.81928% | 2      |  0.694% | 
 | 39   | Gliscor            |  0.74665% | 2      |  0.694% | 
 | 40   | Crustle            |  0.74533% | 2      |  0.694% | 
 | 41   | Charizard          |  0.72918% | 3      |  1.042% | 
 | 42   | Gothitelle         |  0.69780% | 2      |  0.694% | 
 | 43   | Arcanine           |  0.69570% | 3      |  1.042% | 
 | 44   | Shedinja           |  0.67250% | 2      |  0.694% | 
 | 45   | Pikachu            |  0.65472% | 2      |  0.694% | 
 | 46   | Kyurem-Black       |  0.63311% | 2      |  0.694% | 
 | 47   | Scizor             |  0.63164% | 2      |  0.694% | 
 | 48   | Blastoise          |  0.63164% | 2      |  0.694% | 
 | 49   | Chandelure         |  0.63164% | 2      |  0.694% | 
 | 50   | Lopunny            |  0.63164% | 2      |  0.694% | 
 | 51   | Vanilluxe          |  0.63164% | 2      |  0.694% | 
 | 52   | Machamp            |  0.57858% | 2      |  0.694% | 
 | 53   | Hitmontop          |  0.57754% | 1      |  0.347% | 
 | 54   | Aggron             |  0.48340% | 1      |  0.347% | 
 | 55   | Mesprit            |  0.46979% | 2      |  0.694% | 
 | 56   | Blissey            |  0.46979% | 2      |  0.694% | 
 | 57   | Darmanitan         |  0.46979% | 2      |  0.694% | 
 | 58   | Ludicolo           |  0.46979% | 2      |  0.694% | 
 | 59   | Nidoking           |  0.45515% | 1      |  0.347% | 
 | 60   | Floatzel           |  0.43831% | 1      |  0.347% | 
 | 61   | Slowking           |  0.40847% | 1      |  0.347% | 
 | 62   | Empoleon           |  0.40515% | 1      |  0.347% | 
 | 63   | Chansey            |  0.39675% | 1      |  0.347% | 
 | 64   | Latias             |  0.39675% | 1      |  0.347% | 
 | 65   | Pignite            |  0.39675% | 1      |  0.347% | 
 | 66   | Articuno           |  0.39675% | 1      |  0.347% | 
 | 67   | Staraptor          |  0.39675% | 1      |  0.347% | 
 | 68   | Salamence          |  0.39675% | 1      |  0.347% | 
 | 69   | Kabutops           |  0.39675% | 1      |  0.347% | 
 | 70   | Totodile           |  0.39675% | 1      |  0.347% | 
 | 71   | Rotom-Wash         |  0.39675% | 1      |  0.347% | 
 | 72   | Golem              |  0.39675% | 1      |  0.347% | 
 | 73   | Spinda             |  0.39675% | 1      |  0.347% | 
 | 74   | Miltank            |  0.39675% | 1      |  0.347% | 
 | 75   | Druddigon          |  0.39675% | 1      |  0.347% | 
 | 76   | Golurk             |  0.39675% | 1      |  0.347% | 
 | 77   | Tyranitar          |  0.39675% | 1      |  0.347% | 
 | 78   | Rotom-Heat         |  0.39675% | 1      |  0.347% | 
 | 79   | Carracosta         |  0.39675% | 1      |  0.347% | 
 | 80   | Skarmory           |  0.35961% | 2      |  0.694% | 
 | 81   | Bronzong           |  0.31588% | 1      |  0.347% | 
 | 82   | Rampardos          |  0.31582% | 1      |  0.347% | 
 | 83   | Whimsicott         |  0.26914% | 1      |  0.347% | 
 | 84   | Torchic            |  0.26760% | 1      |  0.347% | 
 | 85   | Togepi             |  0.25246% | 1      |  0.347% | 
 | 86   | Alakazam           |  0.24556% | 1      |  0.347% | 
 | 87   | Weezing            |  0.24278% | 1      |  0.347% | 
 | 88   | Raichu             |  0.24218% | 1      |  0.347% | 
 | 89   | Milotic            |  0.23489% | 1      |  0.347% | 
 | 90   | Cofagrigus         |  0.23489% | 1      |  0.347% | 
 | 91   | Crobat             |  0.23489% | 1      |  0.347% | 
 | 92   | Magikarp           |  0.23489% | 1      |  0.347% | 
 | 93   | Drifblim           |  0.23489% | 1      |  0.347% | 
 | 94   | Typhlosion         |  0.23489% | 1      |  0.347% | 
 | 95   | Umbreon            |  0.23489% | 1      |  0.347% | 
 | 96   | Torterra           |  0.23489% | 1      |  0.347% | 
 | 97   | Forretress         |  0.23489% | 1      |  0.347% | 
 | 98   | Ambipom            |  0.23489% | 1      |  0.347% | 
 | 99   | Delcatty           |  0.23489% | 1      |  0.347% | 
 | 100  | Scrafty            |  0.23489% | 1      |  0.347% | 
 | 101  | Tauros             |  0.23489% | 1      |  0.347% | 
 | 102  | Glaceon            |  0.23489% | 1      |  0.347% | 
 | 103  | Mamoswine          |  0.23489% | 1      |  0.347% | 
 | 104  | Dusknoir           |  0.23489% | 1      |  0.347% | 
 | 105  | Mew                |  0.23489% | 1      |  0.347% | 
 | 106  | Jolteon            |  0.23489% | 1      |  0.347% | 
 | 107  | Terrakion          |  0.23489% | 1      |  0.347% | 
 | 108  | Bastiodon          |  0.23489% | 1      |  0.347% | 
 | 109  | Weepinbell         |  0.23489% | 1      |  0.347% | 
 | 110  | Swampert           |  0.23489% | 1      |  0.347% | 
 | 111  | Suicune            |  0.23489% | 1      |  0.347% | 
 | 112  | Unfezant           |  0.23489% | 1      |  0.347% | 
 | 113  | Gastrodon          |  0.23489% | 1      |  0.347% | 
 | 114  | Sceptile           |  0.23489% | 1      |  0.347% | 
 | 115  | Spinarak           |  0.23489% | 1      |  0.347% | 
 | 116  | Hitmonchan         |  0.23489% | 1      |  0.347% | 
 | 117  | Luxray             |  0.23489% | 1      |  0.347% | 
 | 118  | Steelix            |  0.23489% | 1      |  0.347% | 
 | 119  | Eevee              |  0.23259% | 1      |  0.347% | 
 | 120  | Emboar             |  0.22591% | 1      |  0.347% | 
 | 121  | Oshawott           |  0.22591% | 1      |  0.347% | 
 | 122  | Sawk               |  0.22591% | 1      |  0.347% | 
 | 123  | Aron               |  0.19648% | 1      |  0.347% | 
 | 124  | Ditto              |  0.19539% | 1      |  0.347% | 
 | 125  | Stoutland          |  0.18347% | 1      |  0.347% | 
 | 126  | Starly             |  0.18347% | 1      |  0.347% | 
 | 127  | Camerupt           |  0.17728% | 1      |  0.347% | 
 | 128  | Thundurus-Therian  |  0.16875% | 1      |  0.347% | 
 | 129  | Persian            |  0.16873% | 1      |  0.347% | 
 | 130  | Staravia           |  0.12952% | 1      |  0.347% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
