 Total leads: 149526
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Shuckle            | 10.70537% | 11374  |  7.607% | 
 | 2    | Sableye-Mega       |  8.01478% | 4679   |  3.129% | 
 | 3    | Deoxys-Attack      |  4.33528% | 5245   |  3.508% | 
 | 4    | Diancie-Mega       |  3.89928% | 4707   |  3.148% | 
 | 5    | Lopunny-Mega       |  3.27905% | 1078   |  0.721% | 
 | 6    | Smeargle           |  3.07640% | 4161   |  2.783% | 
 | 7    | Excadrill          |  3.04069% | 1860   |  1.244% | 
 | 8    | Tyranitar          |  2.97947% | 992    |  0.663% | 
 | 9    | Skarmory           |  2.93510% | 2838   |  1.898% | 
 | 10   | Talonflame         |  2.62044% | 3735   |  2.498% | 
 | 11   | Swellow            |  2.61597% | 2612   |  1.747% | 
 | 12   | Azelf              |  2.48577% | 1875   |  1.254% | 
 | 13   | Ferrothorn         |  2.42617% | 2657   |  1.777% | 
 | 14   | Serperior          |  2.09823% | 3052   |  2.041% | 
 | 15   | Groudon-Primal     |  2.00040% | 1631   |  1.091% | 
 | 16   | Heracross-Mega     |  1.62221% | 1804   |  1.206% | 
 | 17   | Heatran            |  1.47202% | 1057   |  0.707% | 
 | 18   | Klefki             |  1.39306% | 2568   |  1.717% | 
 | 19   | Landorus-Therian   |  1.38224% | 2048   |  1.370% | 
 | 20   | Kyogre             |  1.35638% | 1073   |  0.718% | 
 | 21   | Politoed           |  1.30681% | 733    |  0.490% | 
 | 22   | Rotom-Wash         |  1.06237% | 2371   |  1.586% | 
 | 23   | Forretress         |  1.00590% | 1085   |  0.726% | 
 | 24   | Garchomp           |  0.95558% | 917    |  0.613% | 
 | 25   | Ditto              |  0.88009% | 1251   |  0.837% | 
 | 26   | Cloyster           |  0.81961% | 1413   |  0.945% | 
 | 27   | Scizor-Mega        |  0.80610% | 802    |  0.536% | 
 | 28   | Rhyperior          |  0.79823% | 783    |  0.524% | 
 | 29   | Dugtrio            |  0.66490% | 669    |  0.447% | 
 | 30   | Clefable           |  0.62054% | 1277   |  0.854% | 
 | 31   | Gliscor            |  0.58870% | 1442   |  0.964% | 
 | 32   | Hippowdon          |  0.55240% | 880    |  0.589% | 
 | 33   | Scizor             |  0.53934% | 671    |  0.449% | 
 | 34   | Empoleon           |  0.53471% | 345    |  0.231% | 
 | 35   | Ampharos-Mega      |  0.52544% | 720    |  0.482% | 
 | 36   | Scolipede          |  0.52193% | 944    |  0.631% | 
 | 37   | Deoxys-Speed       |  0.44539% | 1356   |  0.907% | 
 | 38   | Xerneas            |  0.41735% | 296    |  0.198% | 
 | 39   | Magnezone          |  0.41384% | 606    |  0.405% | 
 | 40   | Nidoqueen          |  0.38536% | 320    |  0.214% | 
 | 41   | Rampardos          |  0.37994% | 758    |  0.507% | 
 | 42   | Jirachi            |  0.36824% | 846    |  0.566% | 
 | 43   | Arceus             |  0.36687% | 824    |  0.551% | 
 | 44   | Electrode          |  0.36551% | 673    |  0.450% | 
 | 45   | Crobat             |  0.36462% | 647    |  0.433% | 
 | 46   | Yveltal            |  0.35726% | 175    |  0.117% | 
 | 47   | Pikachu            |  0.33564% | 1444   |  0.966% | 
 | 48   | Thundurus          |  0.33069% | 376    |  0.251% | 
 | 49   | Tangrowth          |  0.31913% | 675    |  0.451% | 
