 Total leads: 143576
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Emboar             |  0.16855% | 242    |  0.169% | 
 | 2    | Prinplup           |  0.16646% | 239    |  0.166% | 
 | 3    | Munchlax           |  0.16577% | 238    |  0.166% | 
 | 4    | Paras              |  0.16298% | 234    |  0.163% | 
 | 5    | Machop             |  0.16298% | 234    |  0.163% | 
 | 6    | Electrike          |  0.16228% | 233    |  0.162% | 
 | 7    | Clefairy           |  0.16089% | 231    |  0.161% | 
 | 8    | Arceus             |  0.16089% | 231    |  0.161% | 
 | 9    | Gloom              |  0.16089% | 231    |  0.161% | 
 | 10   | Remoraid           |  0.16020% | 230    |  0.160% | 
 | 11   | Luxray             |  0.16020% | 230    |  0.160% | 
 | 12   | Aurorus            |  0.15950% | 229    |  0.159% | 
 | 13   | Barbaracle         |  0.15950% | 229    |  0.159% | 
 | 14   | Farfetch'd         |  0.15880% | 228    |  0.159% | 
 | 15   | Glalie             |  0.15880% | 228    |  0.159% | 
 | 16   | Sandshrew          |  0.15880% | 228    |  0.159% | 
 | 17   | Venomoth           |  0.15880% | 228    |  0.159% | 
 | 18   | Houndoom           |  0.15880% | 228    |  0.159% | 
 | 19   | Skrelp             |  0.15811% | 227    |  0.158% | 
 | 20   | NidoranM           |  0.15811% | 227    |  0.158% | 
 | 21   | Spewpa             |  0.15811% | 227    |  0.158% | 
 | 22   | Girafarig          |  0.15741% | 226    |  0.157% | 
 | 23   | Slowking           |  0.15741% | 226    |  0.157% | 
 | 24   | Swadloon           |  0.15741% | 226    |  0.157% | 
 | 25   | Darmanitan         |  0.15671% | 225    |  0.157% | 
 | 26   | Goodra             |  0.15671% | 225    |  0.157% | 
 | 27   | Rattata            |  0.15671% | 225    |  0.157% | 
 | 28   | Haunter            |  0.15671% | 225    |  0.157% | 
 | 29   | Roselia            |  0.15671% | 225    |  0.157% | 
 | 30   | Noivern            |  0.15602% | 224    |  0.156% | 
 | 31   | Maractus           |  0.15602% | 224    |  0.156% | 
 | 32   | Claydol            |  0.15602% | 224    |  0.156% | 
 | 33   | Xatu               |  0.15602% | 224    |  0.156% | 
 | 34   | Teddiursa          |  0.15602% | 224    |  0.156% | 
 | 35   | Cranidos           |  0.15602% | 224    |  0.156% | 
 | 36   | Diglett            |  0.15532% | 223    |  0.155% | 
 | 37   | Swellow            |  0.15462% | 222    |  0.155% | 
 | 38   | Crawdaunt          |  0.15462% | 222    |  0.155% | 
 | 39   | Ditto              |  0.15462% | 222    |  0.155% | 
 | 40   | Togekiss           |  0.15462% | 222    |  0.155% | 
 | 41   | Chimecho           |  0.15462% | 222    |  0.155% | 
 | 42   | Arcanine           |  0.15462% | 222    |  0.155% | 
 | 43   | Feebas             |  0.15462% | 222    |  0.155% | 
 | 44   | Quilladin          |  0.15462% | 222    |  0.155% | 
 | 45   | Lickilicky         |  0.15393% | 221    |  0.154% | 
 | 46   | Bellsprout         |  0.15393% | 221    |  0.154% | 
 | 47   | Turtwig            |  0.15393% | 221    |  0.154% | 
 | 48   | Vibrava            |  0.15393% | 221    |  0.154% | 
 | 49   | Aromatisse         |  0.15393% | 221    |  0.154% | 
 | 50   | Hippopotas         |  0.15376% | 221    |  0.154% | 
 | 51   | Alakazam           |  0.15323% | 220    |  0.153% | 
 | 52   | Machamp            |  0.15323% | 220    |  0.153% | 
 | 53   | Smeargle           |  0.15323% | 220    |  0.153% | 
 | 54   | Inkay              |  0.15323% | 220    |  0.153% | 
 | 55   | Hoothoot           |  0.15323% | 220    |  0.153% | 
 | 56   | Infernape          |  0.15323% | 220    |  0.153% | 
 | 57   | Mienfoo            |  0.15323% | 220    |  0.153% | 
 | 58   | Ho-Oh              |  0.15323% | 220    |  0.153% | 
 | 59   | Carnivine          |  0.15323% | 220    |  0.153% | 
 | 60   | Espurr             |  0.15253% | 219    |  0.153% | 
 | 61   | Scyther            |  0.15253% | 219    |  0.153% | 
 | 62   | Beheeyem           |  0.15253% | 219    |  0.153% | 
 | 63   | Klinklang          |  0.15253% | 219    |  0.153% | 
 | 64   | Sawk               |  0.15253% | 219    |  0.153% | 
 | 65   | Snivy              |  0.15253% | 219    |  0.153% | 
 | 66   | Magnemite          |  0.15184% | 218    |  0.152% | 
 | 67   | Heliolisk          |  0.15184% | 218    |  0.152% | 
 | 68   | Whimsicott         |  0.15184% | 218    |  0.152% | 
 | 69   | Furfrou            |  0.15184% | 218    |  0.152% | 
 | 70   | Shuckle            |  0.15184% | 218    |  0.152% | 
 | 71   | Pineco             |  0.15184% | 218    |  0.152% | 
 | 72   | Tyranitar          |  0.15184% | 218    |  0.152% | 
 | 73   | Chatot             |  0.15184% | 218    |  0.152% | 
 | 74   | Servine            |  0.15184% | 218    |  0.152% | 
 | 75   | Palpitoad          |  0.15184% | 218    |  0.152% | 
 | 76   | Pidgeot            |  0.15184% | 218    |  0.152% | 
 | 77   | Gastrodon          |  0.15184% | 218    |  0.152% | 
 | 78   | Kyogre             |  0.15184% | 218    |  0.152% | 
 | 79   | Simipour           |  0.15184% | 218    |  0.152% | 
