 Total leads: 3130
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Greninja           | 24.86137% | 192    |  6.134% | 
 | 2    | Landorus           |  8.62793% | 32     |  1.022% | 
 | 3    | Tyranitar          |  7.82054% | 89     |  2.843% | 
 | 4    | Beedrill-Mega      |  7.72817% | 126    |  4.026% | 
 | 5    | Mamoswine          |  6.91557% | 72     |  2.300% | 
 | 6    | Lopunny-Mega       |  6.40162% | 124    |  3.962% | 
 | 7    | Porygon2           |  4.01854% | 79     |  2.524% | 
 | 8    | Ambipom            |  2.82821% | 47     |  1.502% | 
 | 9    | Weavile            |  2.25450% | 42     |  1.342% | 
 | 10   | Porygon-Z          |  1.59040% | 40     |  1.278% | 
 | 11   | Tangrowth          |  1.55913% | 15     |  0.479% | 
 | 12   | Gligar             |  1.54468% | 30     |  0.958% | 
 | 13   | Breloom            |  1.53526% | 40     |  1.278% | 
 | 14   | Chesnaught         |  1.41264% | 36     |  1.150% | 
 | 15   | Cinccino           |  1.22720% | 23     |  0.735% | 
 | 16   | Meowstic           |  1.10606% | 4      |  0.128% | 
 | 17   | Garchomp           |  0.83213% | 27     |  0.863% | 
 | 18   | Reuniclus          |  0.78454% | 12     |  0.383% | 
 | 19   | Togekiss           |  0.78235% | 23     |  0.735% | 
 | 20   | Cloyster           |  0.76977% | 24     |  0.767% | 
 | 21   | Pachirisu          |  0.76616% | 5      |  0.160% | 
 | 22   | Cofagrigus         |  0.73567% | 12     |  0.383% | 
 | 23   | Beautifly          |  0.71469% | 11     |  0.351% | 
 | 24   | Lopunny            |  0.63609% | 8      |  0.256% | 
 | 25   | Treecko            |  0.62012% | 15     |  0.479% | 
 | 26   | Chansey            |  0.56706% | 51     |  1.629% | 
 | 27   | Jolteon            |  0.53132% | 9      |  0.288% | 
 | 28   | Galvantula         |  0.52485% | 38     |  1.214% | 
 | 29   | Alakazam           |  0.47411% | 11     |  0.351% | 
 | 30   | Cradily            |  0.44981% | 16     |  0.511% | 
 | 31   | Clefable           |  0.40467% | 11     |  0.351% | 
 | 32   | Slowking           |  0.39240% | 5      |  0.160% | 
 | 33   | Gliscor            |  0.39238% | 23     |  0.735% | 
 | 34   | Persian            |  0.38318% | 4      |  0.128% | 
 | 35   | Avalugg            |  0.38081% | 26     |  0.831% | 
 | 36   | Staraptor          |  0.37808% | 19     |  0.607% | 
 | 37   | Chatot             |  0.37798% | 7      |  0.224% | 
 | 38   | Raikou             |  0.36822% | 10     |  0.319% | 
 | 39   | Scolipede          |  0.36597% | 9      |  0.288% | 
 | 40   | Exploud            |  0.35284% | 4      |  0.128% | 
 | 41   | Ninjask            |  0.34028% | 6      |  0.192% | 
 | 42   | Wigglytuff         |  0.29465% | 2      |  0.064% | 
 | 43   | Sharpedo           |  0.24415% | 3      |  0.096% | 
 | 44   | Landorus-Therian   |  0.23923% | 17     |  0.543% | 
 | 45   | Bibarel            |  0.21635% | 1      |  0.032% | 
 | 46   | Kyurem             |  0.21287% | 2      |  0.064% | 
 | 47   | Keldeo             |  0.20551% | 20     |  0.639% | 
 | 48   | Rotom-Wash         |  0.20001% | 6      |  0.192% | 
 | 49   | Rhyperior          |  0.19364% | 17     |  0.543% | 
 | 50   | Xatu               |  0.18750% | 4      |  0.128% | 
 | 51   | Abomasnow-Mega     |  0.18645% | 16     |  0.511% | 
 | 52   | Sceptile-Mega      |  0.17713% | 27     |  0.863% | 
 | 53   | Abomasnow          |  0.17351% | 8      |  0.256% | 
 | 54   | Gyarados           |  0.15988% | 9      |  0.288% | 
 | 55   | Jumpluff           |  0.15776% | 4      |  0.128% | 
 | 56   | Solrock            |  0.15364% | 4      |  0.128% | 
 | 57   | Aurorus            |  0.13796% | 25     |  0.799% | 
 | 58   | Lucario-Mega       |  0.13625% | 21     |  0.671% | 
 | 59   | Celebi             |  0.13342% | 14     |  0.447% | 
 | 60   | Roserade           |  0.13002% | 5      |  0.160% | 
 | 61   | Talonflame         |  0.12873% | 25     |  0.799% | 
 | 62   | Gastrodon          |  0.12755% | 3      |  0.096% | 
 | 63   | Manectric-Mega     |  0.12324% | 9      |  0.288% | 
 | 64   | Exeggutor          |  0.11747% | 21     |  0.671% | 
 | 65   | Electivire         |  0.10237% | 11     |  0.351% | 
 | 66   | Charizard-Mega-Y   |  0.10164% | 33     |  1.054% | 
 | 67   | Sceptile           |  0.09759% | 9      |  0.288% | 
 | 68   | Ferroseed          |  0.08868% | 3      |  0.096% | 
 | 69   | Manaphy            |  0.07892% | 7      |  0.224% | 
 | 70   | Dragonite          |  0.07878% | 31     |  0.990% | 
 | 71   | Steelix            |  0.07127% | 8      |  0.256% | 
 | 72   | Illumise           |  0.06541% | 3      |  0.096% | 
 | 73   | Gengar             |  0.06329% | 48     |  1.534% | 
 | 74   | Infernape          |  0.06029% | 14     |  0.447% | 
 | 75   | Empoleon           |  0.05509% | 5      |  0.160% | 
 | 76   | Staryu             |  0.05029% | 1      |  0.032% | 
 | 77   | Heatran            |  0.04478% | 9      |  0.288% | 
 | 78   | Hawlucha           |  0.04335% | 19     |  0.607% | 
 | 79   | Tyrantrum          |  0.04104% | 8      |  0.256% | 
 | 80   | Scizor             |  0.03569% | 10     |  0.319% | 
 | 81   | Sharpedo-Mega      |  0.02271% | 5      |  0.160% | 
 | 82   | Diancie-Mega       |  0.01738% | 5      |  0.160% | 
 | 83   | Crobat             |  0.01520% | 8      |  0.256% | 
 | 84   | Charizard          |  0.01453% | 14     |  0.447% | 
 | 85   | Metagross-Mega     |  0.01407% | 15     |  0.479% | 
 | 86   | Latios-Mega        |  0.01295% | 4      |  0.128% | 
 | 87   | Leavanny           |  0.01213% | 8      |  0.256% | 
 | 88   | Tornadus-Therian   |  0.01170% | 2      |  0.064% | 
 | 89   | Lunatone           |  0.00224% | 3      |  0.096% | 
 | 90   | Ninetales          |  0.00095% | 9      |  0.288% | 
 | 91   | Tauros             |  0.00085% | 2      |  0.064% | 
 | 92   | Vivillon           |  0.00082% | 3      |  0.096% | 
 | 93   | Jynx               |  0.00065% | 1      |  0.032% | 
 | 94   | Florges            |  0.00063% | 5      |  0.160% | 
 | 95   | Charizard-Mega-X   |  0.00051% | 63     |  2.013% | 
 | 96   | Delibird           |  0.00000% | 1      |  0.032% | 
 | 97   | Absol-Mega         |  0.00000% | 4      |  0.128% | 
 | 98   | Mismagius          |  0.00000% | 5      |  0.160% | 
 | 99   | Eevee              |  0.00000% | 3      |  0.096% | 
 | 100  | Poliwrath          |  0.00000% | 3      |  0.096% | 
 | 101  | Emolga             |  0.00000% | 3      |  0.096% | 
 | 102  | Absol              |  0.00000% | 2      |  0.064% | 
 | 103  | Aggron-Mega        |  0.00000% | 4      |  0.128% | 
 | 104  | Linoone            |  0.00000% | 1      |  0.032% | 
 | 105  | Cleffa             |  0.00000% | 1      |  0.032% | 
 | 106  | Lapras             |  0.00000% | 9      |  0.288% | 
 | 107  | Krookodile         |  0.00000% | 7      |  0.224% | 
 | 108  | Venusaur-Mega      |  0.00000% | 14     |  0.447% | 
