 Total leads: 189528
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Mienfoo            | 19.28620% | 12765  |  6.735% | 
 | 2    | Dwebble            |  7.82496% | 4288   |  2.262% | 
 | 3    | Anorith            |  5.43507% | 1681   |  0.887% | 
 | 4    | Fletchling         |  4.13092% | 2248   |  1.186% | 
 | 5    | Timburr            |  3.41213% | 1842   |  0.972% | 
 | 6    | Onix               |  3.22753% | 5999   |  3.165% | 
 | 7    | Chinchou           |  2.82336% | 3487   |  1.840% | 
 | 8    | Pawniard           |  2.67627% | 3766   |  1.987% | 
 | 9    | Meowth             |  2.55304% | 3435   |  1.812% | 
 | 10   | Ferroseed          |  2.51031% | 6681   |  3.525% | 
 | 11   | Aipom              |  2.39029% | 7455   |  3.933% | 
 | 12   | Phanpy             |  2.19824% | 818    |  0.432% | 
 | 13   | Drilbur            |  2.08338% | 2954   |  1.559% | 
 | 14   | Sandshrew          |  1.97783% | 962    |  0.508% | 
 | 15   | Vullaby            |  1.77234% | 1299   |  0.685% | 
 | 16   | Surskit            |  1.70592% | 3016   |  1.591% | 
 | 17   | Larvesta           |  1.67454% | 1030   |  0.543% | 
 | 18   | Staryu             |  1.54346% | 1238   |  0.653% | 
 | 19   | Diglett            |  1.43858% | 3882   |  2.048% | 
 | 20   | Carvanha           |  1.25262% | 2198   |  1.160% | 
 | 21   | Archen             |  1.23554% | 3596   |  1.897% | 
 | 22   | Magnemite          |  1.15798% | 2161   |  1.140% | 
 | 23   | Cottonee           |  1.14203% | 2227   |  1.175% | 
 | 24   | Foongus            |  1.07824% | 1069   |  0.564% | 
 | 25   | Ponyta             |  1.03989% | 1919   |  1.013% | 
 | 26   | Croagunk           |  0.89330% | 1203   |  0.635% | 
 | 27   | Snubbull           |  0.88338% | 717    |  0.378% | 
 | 28   | Tirtouga           |  0.74269% | 1404   |  0.741% | 
 | 29   | Abra               |  0.73595% | 3274   |  1.727% | 
 | 30   | Shellder           |  0.72453% | 1892   |  0.998% | 
 | 31   | Torchic            |  0.69918% | 3547   |  1.871% | 
 | 32   | Vulpix             |  0.69676% | 2543   |  1.342% | 
 | 33   | Purrloin           |  0.67402% | 1377   |  0.727% | 
 | 34   | Houndour           |  0.67194% | 634    |  0.335% | 
 | 35   | Pancham            |  0.56915% | 875    |  0.462% | 
 | 36   | Scraggy            |  0.56809% | 2099   |  1.107% | 
 | 37   | Skrelp             |  0.55834% | 431    |  0.227% | 
 | 38   | Gothita            |  0.53896% | 461    |  0.243% | 
 | 39   | Porygon            |  0.51524% | 1266   |  0.668% | 
 | 40   | Doduo              |  0.43814% | 339    |  0.179% | 
 | 41   | Riolu              |  0.43449% | 1170   |  0.617% | 
 | 42   | Gastly             |  0.43141% | 2113   |  1.115% | 
 | 43   | Hippopotas         |  0.42312% | 1962   |  1.035% | 
 | 44   | Corphish           |  0.41786% | 714    |  0.377% | 
 | 45   | Geodude            |  0.37656% | 1555   |  0.820% | 
 | 46   | Voltorb            |  0.35577% | 1113   |  0.587% | 
 | 47   | Piplup             |  0.35347% | 625    |  0.330% | 
 | 48   | Lileep             |  0.34064% | 1139   |  0.601% | 
 | 49   | Omanyte            |  0.30473% | 1450   |  0.765% | 
 | 50   | Machop             |  0.30233% | 1036   |  0.547% | 
 | 51   | Elekid             |  0.30004% | 1413   |  0.746% | 
 | 52   | Skorupi            |  0.28883% | 294    |  0.155% | 
 | 53   | Frillish           |  0.28467% | 588    |  0.310% | 
 | 54   | Bunnelby           |  0.27789% | 1018   |  0.537% | 
 | 55   | Spritzee           |  0.24863% | 434    |  0.229% | 
 | 56   | Pineco             |  0.24414% | 2261   |  1.193% | 
 | 57   | Snivy              |  0.24391% | 1391   |  0.734% | 
 | 58   | Stunky             |  0.23981% | 322    |  0.170% | 
 | 59   | Pumpkaboo-Super    |  0.22957% | 407    |  0.215% | 
 | 60   | Amaura             |  0.22862% | 1063   |  0.561% | 
 | 61   | Natu               |  0.20357% | 780    |  0.412% | 
 | 62   | Chimchar           |  0.19419% | 2050   |  1.082% | 
 | 63   | Yamask             |  0.19300% | 555    |  0.293% | 
 | 64   | Trubbish           |  0.19028% | 598    |  0.316% | 
 | 65   | Slowpoke           |  0.18384% | 529    |  0.279% | 
 | 66   | Rufflet            |  0.18362% | 228    |  0.120% | 
 | 67   | Mantyke            |  0.18217% | 504    |  0.266% | 
 | 68   | Taillow            |  0.16573% | 629    |  0.332% | 
 | 69   | Cubone             |  0.16246% | 1184   |  0.625% | 
 | 70   | Bronzor            |  0.14556% | 1508   |  0.796% | 
 | 71   | Venipede           |  0.13912% | 495    |  0.261% | 
 | 72   | Spinarak           |  0.13297% | 1628   |  0.859% | 
 | 73   | Mankey             |  0.11749% | 680    |  0.359% | 
 | 74   | Nosepass           |  0.11615% | 1034   |  0.546% | 
 | 75   | Cranidos           |  0.11302% | 951    |  0.502% | 
 | 76   | Clamperl           |  0.11106% | 745    |  0.393% | 
 | 77   | Tentacool          |  0.10919% | 706    |  0.373% | 
 | 78   | Munchlax           |  0.10819% | 884    |  0.466% | 
 | 79   | Buneary            |  0.10610% | 1130   |  0.596% | 
 | 80   | Sandile            |  0.10267% | 369    |  0.195% | 
 | 81   | Darumaka           |  0.09416% | 647    |  0.341% | 
 | 82   | Numel              |  0.09343% | 437    |  0.231% | 
 | 83   | Kabuto             |  0.09128% | 348    |  0.184% | 
 | 84   | Aron               |  0.08957% | 2259   |  1.192% | 
 | 85   | Froakie            |  0.08709% | 1693   |  0.893% | 
 | 86   | Koffing            |  0.08506% | 786    |  0.415% | 
 | 87   | Mime Jr.           |  0.08476% | 469    |  0.247% | 
 | 88   | Golett             |  0.08328% | 464    |  0.245% | 
 | 89   | Bulbasaur          |  0.07635% | 815    |  0.430% | 
 | 90   | Growlithe          |  0.07537% | 726    |  0.383% | 
 | 91   | Zubat              |  0.07220% | 227    |  0.120% | 
 | 92   | Tyrunt             |  0.06695% | 906    |  0.478% | 
 | 93   | Honedge            |  0.06389% | 687    |  0.362% | 
 | 94   | Turtwig            |  0.06271% | 303    |  0.160% | 
 | 95   | Oddish             |  0.06239% | 85     |  0.045% | 
 | 96   | Buizel             |  0.06110% | 771    |  0.407% | 
 | 97   | Squirtle           |  0.06083% | 577    |  0.304% | 
 | 98   | Chespin            |  0.05915% | 504    |  0.266% | 
 | 99   | Snover             |  0.05734% | 414    |  0.218% | 
 | 100  | Wingull            |  0.05444% | 200    |  0.106% | 
 | 101  | Bellsprout         |  0.05434% | 213    |  0.112% | 
 | 102  | Cacnea             |  0.05277% | 414    |  0.218% | 
 | 103  | Woobat             |  0.05191% | 259    |  0.137% | 
 | 104  | Larvitar           |  0.05167% | 246    |  0.130% | 
 | 105  | Baltoy             |  0.04720% | 857    |  0.452% | 
 | 106  | Inkay              |  0.04699% | 755    |  0.398% | 
 | 107  | Bonsly             |  0.04548% | 769    |  0.406% | 
 | 108  | Venonat            |  0.04456% | 288    |  0.152% | 
 | 109  | Axew               |  0.04330% | 951    |  0.502% | 
 | 110  | Sewaddle           |  0.04313% | 747    |  0.394% | 
 | 111  | Minccino           |  0.04172% | 470    |  0.248% | 
 | 112  | Zigzagoon          |  0.04170% | 772    |  0.407% | 
 | 113  | Wooper             |  0.04146% | 337    |  0.178% | 
 | 114  | Rattata            |  0.03749% | 651    |  0.343% | 
 | 115  | Magby              |  0.03741% | 487    |  0.257% | 
 | 116  | Shieldon           |  0.03530% | 747    |  0.394% | 
 | 117  | Lickitung          |  0.03389% | 404    |  0.213% | 
 | 118  | Shellos            |  0.03361% | 115    |  0.061% | 
 | 119  | Finneon            |  0.03208% | 111    |  0.059% | 
 | 120  | Teddiursa          |  0.03175% | 155    |  0.082% | 
 | 121  | Totodile           |  0.03173% | 354    |  0.187% | 
 | 122  | Goldeen            |  0.03089% | 84     |  0.044% | 
 | 123  | Deerling           |  0.02979% | 211    |  0.111% | 
 | 124  | Helioptile         |  0.02964% | 190    |  0.100% | 
 | 125  | Zorua              |  0.02962% | 890    |  0.470% | 
 | 126  | Fennekin           |  0.02950% | 335    |  0.177% | 
 | 127  | Clauncher          |  0.02946% | 369    |  0.195% | 
 | 128  | Dratini            |  0.02876% | 584    |  0.308% | 
 | 129  | Wailmer            |  0.02867% | 507    |  0.268% | 
 | 130  | Binacle            |  0.02568% | 224    |  0.118% | 
 | 131  | Glameow            |  0.02525% | 483    |  0.255% | 
 | 132  | Elgyem             |  0.02488% | 106    |  0.056% | 
 | 133  | Trapinch           |  0.02435% | 199    |  0.105% | 
 | 134  | Phantump           |  0.02330% | 394    |  0.208% | 
 | 135  | Eevee              |  0.02197% | 765    |  0.404% | 
 | 136  | Shelmet            |  0.02018% | 187    |  0.099% | 
 | 137  | Seel               |  0.01871% | 71     |  0.037% | 
 | 138  | Mudkip             |  0.01703% | 169    |  0.089% | 
