 Total leads: 620
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Wingull            |  8.98544% | 36     |  5.806% | 
 | 2    | Litwick            |  7.89728% | 38     |  6.129% | 
 | 3    | Frillish           |  7.45625% | 36     |  5.806% | 
 | 4    | Ralts              |  7.14741% | 30     |  4.839% | 
 | 5    | Hippopotas         |  4.57797% | 26     |  4.194% | 
 | 6    | Tyrunt             |  4.47117% | 35     |  5.645% | 
 | 7    | Meowth             |  3.85937% | 20     |  3.226% | 
 | 8    | Geodude            |  3.15354% | 21     |  3.387% | 
 | 9    | Taillow            |  2.90299% | 17     |  2.742% | 
 | 10   | Inkay              |  2.87488% | 14     |  2.258% | 
 | 11   | Cacnea             |  1.86269% | 8      |  1.290% | 
 | 12   | Chespin            |  1.58664% | 14     |  2.258% | 
 | 13   | Chikorita          |  1.55362% | 9      |  1.452% | 
 | 14   | Solosis            |  1.55187% | 7      |  1.129% | 
 | 15   | Voltorb            |  1.41379% | 9      |  1.452% | 
 | 16   | Sandshrew          |  1.39426% | 8      |  1.290% | 
 | 17   | Axew               |  1.39345% | 12     |  1.935% | 
 | 18   | Machop             |  1.31301% | 7      |  1.129% | 
 | 19   | Phanpy             |  1.27624% | 11     |  1.774% | 
 | 20   | Cubone             |  1.11636% | 10     |  1.613% | 
 | 21   | Dratini            |  1.11612% | 7      |  1.129% | 
 | 22   | Finneon            |  1.10992% | 11     |  1.774% | 
 | 23   | Golett             |  1.09262% | 8      |  1.290% | 
 | 24   | Aron               |  1.05746% | 8      |  1.290% | 
 | 25   | Froakie            |  1.00544% | 8      |  1.290% | 
 | 26   | Charmander         |  0.98333% | 8      |  1.290% | 
 | 27   | Mankey             |  0.93913% | 7      |  1.129% | 
 | 28   | Torchic            |  0.92981% | 9      |  1.452% | 
 | 29   | Riolu              |  0.86785% | 7      |  1.129% | 
 | 30   | Buizel             |  0.83629% | 5      |  0.806% | 
 | 31   | Darumaka           |  0.83198% | 5      |  0.806% | 
 | 32   | Cranidos           |  0.75699% | 7      |  1.129% | 
 | 33   | Tentacool          |  0.70784% | 5      |  0.806% | 
 | 34   | Amaura             |  0.68635% | 6      |  0.968% | 
 | 35   | Nosepass           |  0.68122% | 6      |  0.968% | 
 | 36   | Numel              |  0.65135% | 4      |  0.645% | 
 | 37   | Joltik             |  0.60761% | 4      |  0.645% | 
 | 38   | Azurill            |  0.60447% | 3      |  0.484% | 
 | 39   | Bronzor            |  0.58396% | 5      |  0.806% | 
 | 40   | Growlithe          |  0.57751% | 5      |  0.806% | 
 | 41   | Purrloin           |  0.54880% | 5      |  0.806% | 
 | 42   | Chimchar           |  0.54607% | 5      |  0.806% | 
 | 43   | Slowpoke           |  0.47716% | 3      |  0.484% | 
 | 44   | Venipede           |  0.47461% | 3      |  0.484% | 
 | 45   | Spearow            |  0.44708% | 2      |  0.323% | 
 | 46   | Lotad              |  0.42578% | 3      |  0.484% | 
 | 47   | Smoochum           |  0.38832% | 2      |  0.323% | 
 | 48   | Noibat             |  0.38033% | 3      |  0.484% | 
 | 49   | Exeggcute          |  0.36722% | 3      |  0.484% | 
 | 50   | Barboach           |  0.35761% | 3      |  0.484% | 
 | 51   | Lileep             |  0.35486% | 2      |  0.323% | 
 | 52   | Sandile            |  0.34498% | 2      |  0.323% | 
