 Total leads: 13632
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Weavile            |  2.62808% | 270    |  1.981% | 
 | 2    | Charizard-Mega-X   |  2.61749% | 443    |  3.250% | 
 | 3    | Groudon-Primal     |  2.52552% | 317    |  2.325% | 
 | 4    | Mew                |  2.25386% | 258    |  1.893% | 
 | 5    | Gengar             |  2.23027% | 243    |  1.783% | 
 | 6    | Deoxys-Speed       |  1.99936% | 203    |  1.489% | 
 | 7    | Greninja           |  1.91671% | 297    |  2.179% | 
 | 8    | Blissey            |  1.77893% | 181    |  1.328% | 
 | 9    | Gengar-Mega        |  1.73636% | 278    |  2.039% | 
 | 10   | Skarmory           |  1.39549% | 149    |  1.093% | 
 | 11   | Noivern            |  1.34972% | 167    |  1.225% | 
 | 12   | Landorus-Therian   |  1.29695% | 150    |  1.100% | 
 | 13   | Kyogre-Primal      |  1.10640% | 162    |  1.188% | 
 | 14   | Mewtwo-Mega-Y      |  1.10523% | 188    |  1.379% | 
 | 15   | Rayquaza-Mega      |  1.10081% | 167    |  1.225% | 
 | 16   | Metagross-Mega     |  1.09991% | 189    |  1.386% | 
 | 17   | Mewtwo-Mega-X      |  1.08515% | 168    |  1.232% | 
 | 18   | Heatran            |  1.04888% | 111    |  0.814% | 
 | 19   | Entei              |  1.02780% | 90     |  0.660% | 
 | 20   | Salamence          |  1.02011% | 93     |  0.682% | 
 | 21   | Diancie-Mega       |  0.97985% | 143    |  1.049% | 
 | 22   | Arcanine           |  0.92102% | 101    |  0.741% | 
 | 23   | Lucario-Mega       |  0.91797% | 153    |  1.122% | 
 | 24   | Ninetales          |  0.90248% | 92     |  0.675% | 
 | 25   | Darkrai            |  0.86465% | 137    |  1.005% | 
 | 26   | Shuckle            |  0.86069% | 99     |  0.726% | 
 | 27   | Garchomp           |  0.81185% | 93     |  0.682% | 
 | 28   | Ferrothorn         |  0.80238% | 102    |  0.748% | 
 | 29   | Zapdos             |  0.79653% | 90     |  0.660% | 
