 Total leads: 13632
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Weavile            |  5.24456% | 270    |  1.981% | 
 | 2    | Gengar             |  4.95339% | 243    |  1.783% | 
 | 3    | Blissey            |  4.78801% | 181    |  1.328% | 
 | 4    | Deoxys-Speed       |  4.68029% | 203    |  1.489% | 
 | 5    | Salamence          |  4.17661% | 93     |  0.682% | 
 | 6    | Entei              |  4.11084% | 90     |  0.660% | 
 | 7    | Groudon-Primal     |  3.58924% | 317    |  2.325% | 
 | 8    | Mew                |  3.54837% | 258    |  1.893% | 
 | 9    | Thundurus          |  2.54166% | 66     |  0.484% | 
 | 10   | Ninetales          |  2.17143% | 92     |  0.675% | 
 | 11   | Volcarona          |  1.95719% | 72     |  0.528% | 
 | 12   | Skarmory           |  1.91856% | 149    |  1.093% | 
 | 13   | Greninja           |  1.87776% | 297    |  2.179% | 
 | 14   | Zapdos             |  1.87166% | 90     |  0.660% | 
 | 15   | Noivern            |  1.65690% | 167    |  1.225% | 
 | 16   | Landorus-Therian   |  1.50306% | 150    |  1.100% | 
 | 17   | Heatran            |  1.44819% | 111    |  0.814% | 
 | 18   | Mienshao           |  1.42455% | 68     |  0.499% | 
 | 19   | Ferrothorn         |  1.35999% | 102    |  0.748% | 
 | 20   | Kyogre             |  1.23222% | 39     |  0.286% | 
 | 21   | Hoopa-Unbound      |  1.20781% | 74     |  0.543% | 
 | 22   | Suicune            |  1.15405% | 41     |  0.301% | 
 | 23   | Jirachi            |  1.12418% | 54     |  0.396% | 
 | 24   | Garchomp           |  1.11706% | 93     |  0.682% | 
 | 25   | Raikou             |  1.03777% | 86     |  0.631% | 
 | 26   | Terrakion          |  1.03395% | 65     |  0.477% | 
 | 27   | Arcanine           |  1.00256% | 101    |  0.741% | 
 | 28   | Cobalion           |  0.97830% | 28     |  0.205% | 
 | 29   | Kyogre-Primal      |  0.94011% | 162    |  1.188% | 
 | 30   | Keldeo             |  0.89862% | 67     |  0.491% | 
 | 31   | Victini            |  0.74325% | 89     |  0.653% | 
 | 32   | Gyarados           |  0.74136% | 40     |  0.293% | 
 | 33   | Breloom            |  0.73701% | 80     |  0.587% | 
 | 34   | Raichu             |  0.71970% | 53     |  0.389% | 
 | 35   | Chandelure         |  0.70502% | 45     |  0.330% | 
 | 36   | Tornadus           |  0.69875% | 40     |  0.293% | 
 | 37   | Scizor             |  0.65816% | 35     |  0.257% | 
 | 38   | Tornadus-Therian   |  0.64294% | 46     |  0.337% | 
 | 39   | Excadrill          |  0.63796% | 45     |  0.330% | 
 | 40   | Archeops           |  0.63210% | 53     |  0.389% | 
 | 41   | Starmie            |  0.59460% | 71     |  0.521% | 
 | 42   | Azelf              |  0.55028% | 28     |  0.205% | 
 | 43   | Shuckle            |  0.54667% | 99     |  0.726% | 
 | 44   | Thundurus-Therian  |  0.54533% | 40     |  0.293% | 
 | 45   | Latios             |  0.52199% | 36     |  0.264% | 
 | 46   | Metagross          |  0.49912% | 33     |  0.242% | 
 | 47   | Zygarde            |  0.49058% | 68     |  0.499% | 
 | 48   | Volcanion          |  0.48353% | 64     |  0.469% | 
 | 49   | Rhyperior          |  0.46241% | 40     |  0.293% | 
 | 50   | Klefki             |  0.45688% | 53     |  0.389% | 
 | 51   | Empoleon           |  0.44190% | 43     |  0.315% | 
 | 52   | Jolteon            |  0.43785% | 79     |  0.580% | 
 | 53   | Charizard          |  0.41489% | 36     |  0.264% | 
 | 54   | Gengar-Mega        |  0.40843% | 278    |  2.039% | 
 | 55   | Rayquaza           |  0.39208% | 34     |  0.249% | 
 | 56   | Infernape          |  0.38999% | 81     |  0.594% | 
 | 57   | Mewtwo-Mega-Y      |  0.38415% | 188    |  1.379% | 
 | 58   | Mewtwo-Mega-X      |  0.38001% | 168    |  1.232% | 
 | 59   | Dialga             |  0.37316% | 49     |  0.359% | 
 | 60   | Blaziken           |  0.37239% | 32     |  0.235% | 
 | 61   | Snorlax            |  0.35095% | 53     |  0.389% | 
 | 62   | Nidoking           |  0.34568% | 34     |  0.249% | 
 | 63   | Cloyster           |  0.33414% | 64     |  0.469% | 
 | 64   | Kyurem             |  0.33243% | 27     |  0.198% | 
 | 65   | Porygon-Z          |  0.32210% | 56     |  0.411% | 
 | 66   | Charizard-Mega-X   |  0.31745% | 443    |  3.250% | 
 | 67   | Smeargle           |  0.30813% | 63     |  0.462% | 
 | 68   | Clefable           |  0.29847% | 49     |  0.359% | 
 | 69   | Rayquaza-Mega      |  0.29311% | 167    |  1.225% | 
 | 70   | Sableye-Mega       |  0.29067% | 48     |  0.352% | 
 | 71   | Galvantula         |  0.28375% | 13     |  0.095% | 
 | 72   | Ambipom            |  0.28243% | 37     |  0.271% | 
 | 73   | Registeel          |  0.28107% | 19     |  0.139% | 
 | 74   | Vaporeon           |  0.26985% | 47     |  0.345% | 
 | 75   | Metagross-Mega     |  0.26725% | 189    |  1.386% | 
 | 76   | Flygon             |  0.26523% | 24     |  0.176% | 
 | 77   | Alakazam           |  0.26287% | 43     |  0.315% | 
 | 78   | Venusaur           |  0.25804% | 20     |  0.147% | 
 | 79   | Crobat             |  0.25398% | 69     |  0.506% | 
 | 80   | Staraptor          |  0.25025% | 25     |  0.183% | 
 | 81   | Froslass           |  0.23483% | 18     |  0.132% | 
