 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Skarmory           |  4.84550% | 14568  |  2.310% | 
 | 2    | Infernape          |  3.86491% | 13503  |  2.141% | 
 | 3    | Galvantula         |  2.85210% | 18703  |  2.966% | 
 | 4    | Garchomp           |  2.70370% | 8199   |  1.300% | 
 | 5    | Victini            |  2.48091% | 5320   |  0.844% | 
 | 6    | Jirachi            |  2.45846% | 4087   |  0.648% | 
 | 7    | Magnezone          |  2.16999% | 3643   |  0.578% | 
 | 8    | Medicham-Mega      |  2.14228% | 5485   |  0.870% | 
 | 9    | Keldeo             |  1.79149% | 4144   |  0.657% | 
 | 10   | Ferrothorn         |  1.77748% | 11430  |  1.812% | 
 | 11   | Mew                |  1.73956% | 3091   |  0.490% | 
 | 12   | Landorus-Therian   |  1.57939% | 4119   |  0.653% | 
 | 13   | Kyurem-Black       |  1.57852% | 2667   |  0.423% | 
 | 14   | Cobalion           |  1.53616% | 4952   |  0.785% | 
 | 15   | Heatran            |  1.51246% | 6707   |  1.063% | 
 | 16   | Hydreigon          |  1.49198% | 4800   |  0.761% | 
 | 17   | Landorus           |  1.48339% | 2121   |  0.336% | 
 | 18   | Rotom-Wash         |  1.43290% | 5232   |  0.830% | 
 | 19   | Hoopa-Unbound      |  1.34719% | 2286   |  0.362% | 
 | 20   | Zapdos             |  1.34490% | 3147   |  0.499% | 
 | 21   | Togekiss           |  1.30330% | 4485   |  0.711% | 
 | 22   | Golurk             |  1.28156% | 4354   |  0.690% | 
 | 23   | Charizard-Mega-Y   |  1.25945% | 6869   |  1.089% | 
 | 24   | Garchomp-Mega      |  1.23341% | 2302   |  0.365% | 
 | 25   | Thundurus          |  1.19432% | 3342   |  0.530% | 
 | 26   | Diancie-Mega       |  1.18509% | 6079   |  0.964% | 
 | 27   | Breloom            |  1.18138% | 8568   |  1.359% | 
 | 28   | Sableye            |  1.17154% | 9688   |  1.536% | 
 | 29   | Hippowdon          |  1.12750% | 8883   |  1.409% | 
 | 30   | Shuckle            |  1.11284% | 8294   |  1.315% | 
 | 31   | Tyranitar          |  1.02022% | 5763   |  0.914% | 
 | 32   | Diggersby          |  1.01023% | 2142   |  0.340% | 
 | 33   | Mamoswine          |  0.99866% | 4640   |  0.736% | 
 | 34   | Lopunny-Mega       |  0.95582% | 5996   |  0.951% | 
 | 35   | Politoed           |  0.95176% | 9631   |  1.527% | 
 | 36   | Aerodactyl         |  0.89455% | 2030   |  0.322% | 
 | 37   | Empoleon           |  0.87673% | 4698   |  0.745% | 
 | 38   | Latios             |  0.83311% | 1788   |  0.284% | 
 | 39   | Bisharp            |  0.80568% | 4337   |  0.688% | 
 | 40   | Volcanion          |  0.78773% | 3618   |  0.574% | 
 | 41   | Klefki             |  0.76093% | 10867  |  1.723% | 
 | 42   | Staraptor          |  0.73847% | 3237   |  0.513% | 
 | 43   | Armaldo            |  0.71765% | 2189   |  0.347% | 
 | 44   | Azumarill          |  0.68812% | 4415   |  0.700% | 
 | 45   | Porygon2           |  0.68385% | 2231   |  0.354% | 
 | 46   | Forretress         |  0.67909% | 9873   |  1.565% | 
 | 47   | Excadrill          |  0.67637% | 2157   |  0.342% | 
 | 48   | Nidoking           |  0.66503% | 4634   |  0.735% | 
 | 49   | Dragonite          |  0.63938% | 4522   |  0.717% | 
 | 50   | Deoxys-Speed       |  0.63376% | 1758   |  0.279% | 
 | 51   | Chansey            |  0.60476% | 3130   |  0.496% | 
 | 52   | Krookodile         |  0.59577% | 2866   |  0.454% | 
 | 53   | Swampert           |  0.58530% | 2362   |  0.375% | 
 | 54   | Gardevoir          |  0.57315% | 1251   |  0.198% | 
 | 55   | Nidoqueen          |  0.57021% | 3652   |  0.579% | 
 | 56   | Scizor             |  0.56284% | 1663   |  0.264% | 
 | 57   | Gardevoir-Mega     |  0.55442% | 1873   |  0.297% | 
 | 58   | Pidgeot-Mega       |  0.52569% | 2740   |  0.434% | 
 | 59   | Seismitoad         |  0.51695% | 1254   |  0.199% | 
 | 60   | Starmie            |  0.51147% | 2683   |  0.425% | 
 | 61   | Scizor-Mega        |  0.50595% | 1866   |  0.296% | 
 | 62   | Volcarona          |  0.49457% | 5538   |  0.878% | 
 | 63   | Swampert-Mega      |  0.48674% | 2075   |  0.329% | 
 | 64   | Venusaur-Mega      |  0.48585% | 3876   |  0.615% | 
 | 65   | Smeargle           |  0.47708% | 4775   |  0.757% | 
 | 66   | Gyarados-Mega      |  0.47534% | 2026   |  0.321% | 
