 Total leads: 238702
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Mesprit            |  7.27393% | 8816   |  3.693% | 
 | 2    | Archeops           |  5.30974% | 8501   |  3.561% | 
 | 3    | Liepard            |  4.91706% | 11376  |  4.766% | 
 | 4    | Steelix            |  4.81437% | 7806   |  3.270% | 
 | 5    | Scyther            |  3.59185% | 5907   |  2.475% | 
 | 6    | Hariyama           |  3.20342% | 4055   |  1.699% | 
 | 7    | Rhydon             |  2.53305% | 4376   |  1.833% | 
 | 8    | Rotom              |  2.52118% | 3490   |  1.462% | 
 | 9    | Aurorus            |  2.46042% | 3481   |  1.458% | 
 | 10   | Lanturn            |  2.42745% | 3913   |  1.639% | 
 | 11   | Regirock           |  2.41868% | 4699   |  1.969% | 
 | 12   | Golurk             |  1.91755% | 4347   |  1.821% | 
 | 13   | Piloswine          |  1.83415% | 2990   |  1.253% | 
 | 14   | Vivillon           |  1.66434% | 4247   |  1.779% | 
 | 15   | Hitmonchan         |  1.64468% | 3833   |  1.606% | 
 | 16   | Xatu               |  1.52482% | 3715   |  1.556% | 
 | 17   | Malamar            |  1.43338% | 4760   |  1.994% | 
 | 18   | Mismagius          |  1.42755% | 3307   |  1.385% | 
 | 19   | Magmortar          |  1.39760% | 3339   |  1.399% | 
 | 20   | Primeape           |  1.34209% | 3354   |  1.405% | 
 | 21   | Garbodor           |  1.33689% | 3895   |  1.632% | 
 | 22   | Claydol            |  1.28784% | 5044   |  2.113% | 
 | 23   | Skuntank           |  1.28616% | 1808   |  0.757% | 
 | 24   | Jynx               |  1.26875% | 2186   |  0.916% | 
 | 25   | Swellow            |  1.24413% | 3281   |  1.375% | 
 | 26   | Pyroar             |  1.20412% | 2430   |  1.018% | 
 | 27   | Weezing            |  1.13274% | 3785   |  1.586% | 
 | 28   | Ferroseed          |  1.11681% | 3352   |  1.404% | 
 | 29   | Omastar            |  1.10448% | 2793   |  1.170% | 
 | 30   | Samurott           |  1.08660% | 1722   |  0.721% | 
 | 31   | Shiftry            |  1.06213% | 2124   |  0.890% | 
 | 32   | Aggron             |  1.05942% | 4508   |  1.889% | 
 | 33   | Cradily            |  1.02478% | 3995   |  1.674% | 
 | 34   | Sandslash          |  1.02465% | 3429   |  1.437% | 
 | 35   | Miltank            |  1.01725% | 2959   |  1.240% | 
 | 36   | Pinsir             |  0.97723% | 1547   |  0.648% | 
 | 37   | Charizard          |  0.96920% | 2983   |  1.250% | 
 | 38   | Kecleon            |  0.94191% | 2823   |  1.183% | 
 | 39   | Manectric          |  0.93275% | 2340   |  0.980% | 
 | 40   | Gastrodon          |  0.92618% | 2032   |  0.851% | 
 | 41   | Vileplume          |  0.91594% | 1465   |  0.614% | 
 | 42   | Gurdurr            |  0.83687% | 1756   |  0.736% | 
 | 43   | Tauros             |  0.80961% | 2020   |  0.846% | 
 | 44   | Electivire         |  0.80674% | 3060   |  1.282% | 
 | 45   | Kangaskhan         |  0.78056% | 1735   |  0.727% | 
 | 46   | Smeargle           |  0.70192% | 1763   |  0.739% | 
 | 47   | Abomasnow          |  0.66030% | 1319   |  0.553% | 
 | 48   | Audino-Mega        |  0.57145% | 1403   |  0.588% | 
 | 49   | Torterra           |  0.56402% | 2429   |  1.018% | 
 | 50   | Haunter            |  0.52368% | 2393   |  1.003% | 
 | 51   | Bronzor            |  0.49959% | 447    |  0.187% | 
 | 52   | Mantine            |  0.46363% | 1389   |  0.582% | 
 | 53   | Leavanny           |  0.46182% | 1310   |  0.549% | 
 | 54   | Poliwrath          |  0.44956% | 1372   |  0.575% | 
 | 55   | Kabutops           |  0.37680% | 1205   |  0.505% | 
 | 56   | Ludicolo           |  0.35800% | 1634   |  0.685% | 
 | 57   | Lilligant          |  0.35672% | 1290   |  0.540% | 
 | 58   | Crustle            |  0.33239% | 828    |  0.347% | 
 | 59   | Quagsire           |  0.32734% | 1182   |  0.495% | 
 | 60   | Barbaracle         |  0.31503% | 1710   |  0.716% | 
 | 61   | Floatzel           |  0.30703% | 558    |  0.234% | 
 | 62   | Zangoose           |  0.30294% | 1517   |  0.636% | 
 | 63   | Trevenant          |  0.29920% | 1502   |  0.629% | 
 | 64   | Combusken          |  0.27076% | 1607   |  0.673% | 
 | 65   | Clefairy           |  0.25931% | 408    |  0.171% | 
 | 66   | Rampardos          |  0.25638% | 344    |  0.144% | 
 | 67   | Carracosta         |  0.24226% | 1030   |  0.432% | 
 | 68   | Mawile             |  0.23479% | 408    |  0.171% | 
 | 69   | Torkoal            |  0.22893% | 629    |  0.264% | 
 | 70   | Pelipper           |  0.22839% | 339    |  0.142% | 
 | 71   | Prinplup           |  0.22573% | 554    |  0.232% | 
 | 72   | Probopass          |  0.22502% | 629    |  0.264% | 
 | 73   | Klinklang          |  0.21074% | 1216   |  0.509% | 
 | 74   | Throh              |  0.20775% | 330    |  0.138% | 
 | 75   | Machoke            |  0.20510% | 683    |  0.286% | 
 | 76   | Camerupt           |  0.20075% | 289    |  0.121% | 
 | 77   | Rotom-Fan          |  0.19687% | 405    |  0.170% | 
 | 78   | Golem              |  0.19307% | 1051   |  0.440% | 
 | 79   | Chatot             |  0.18164% | 735    |  0.308% | 
 | 80   | Ninjask            |  0.16424% | 621    |  0.260% | 
 | 81   | Armaldo            |  0.15420% | 467    |  0.196% | 
 | 82   | Musharna           |  0.14606% | 712    |  0.298% | 
 | 83   | Electrode          |  0.14283% | 448    |  0.188% | 
 | 84   | Lapras             |  0.13979% | 337    |  0.141% | 
 | 85   | Ariados            |  0.13655% | 916    |  0.384% | 
 | 86   | Persian            |  0.13566% | 692    |  0.290% | 
 | 87   | Hippopotas         |  0.13390% | 485    |  0.203% | 
 | 88   | Exeggutor          |  0.12816% | 666    |  0.279% | 
 | 89   | Rotom-Frost        |  0.12438% | 250    |  0.105% | 
 | 90   | Basculin           |  0.11654% | 170    |  0.071% | 
 | 91   | Articuno           |  0.11542% | 303    |  0.127% | 
 | 92   | Marowak            |  0.11355% | 391    |  0.164% | 
 | 93   | Meowstic           |  0.11161% | 682    |  0.286% | 
 | 94   | Leafeon            |  0.11155% | 238    |  0.100% | 
 | 95   | Dusknoir           |  0.10884% | 446    |  0.187% | 
 | 96   | Whirlipede         |  0.10324% | 189    |  0.079% | 
 | 97   | Lopunny            |  0.10018% | 333    |  0.140% | 
 | 98   | Pikachu            |  0.09601% | 538    |  0.225% | 
 | 99   | Monferno           |  0.08687% | 329    |  0.138% | 
 | 100  | Cryogonal          |  0.08601% | 249    |  0.104% | 
 | 101  | Gourgeist-Super    |  0.08485% | 284    |  0.119% | 
 | 102  | Raichu             |  0.08167% | 526    |  0.220% | 
 | 103  | Linoone            |  0.08150% | 733    |  0.307% | 
 | 104  | Jumpluff           |  0.07864% | 244    |  0.102% | 
 | 105  | Illumise           |  0.07788% | 107    |  0.045% | 
 | 106  | Swoobat            |  0.07770% | 231    |  0.097% | 
 | 107  | Cacturne           |  0.07708% | 450    |  0.189% | 
 | 108  | Carbink            |  0.07577% | 452    |  0.189% | 
 | 109  | Ninetales          |  0.07249% | 346    |  0.145% | 
 | 110  | Relicanth          |  0.07134% | 146    |  0.061% | 
 | 111  | Luxray             |  0.06915% | 258    |  0.108% | 
 | 112  | Stunfisk           |  0.06664% | 156    |  0.065% | 
 | 113  | Victreebel         |  0.06608% | 273    |  0.114% | 
 | 114  | Volbeat            |  0.06591% | 535    |  0.224% | 
 | 115  | Zweilous           |  0.06561% | 58     |  0.024% | 
 | 116  | Flareon            |  0.06529% | 190    |  0.080% | 
 | 117  | Simipour           |  0.06305% | 74     |  0.031% | 
 | 118  | Ampharos           |  0.06249% | 245    |  0.103% | 
 | 119  | Zebstrika          |  0.06163% | 195    |  0.082% | 
 | 120  | Drifblim           |  0.05863% | 409    |  0.171% | 
