 Total leads: 5653888
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Landorus-Therian   |  5.96422% | 266074 |  4.706% | 
 | 2    | Rotom-Wash         |  3.32798% | 153116 |  2.708% | 
 | 3    | Garchomp           |  3.03783% | 151322 |  2.676% | 
 | 4    | Ferrothorn         |  2.63967% | 158638 |  2.806% | 
 | 5    | Sableye-Mega       |  2.50957% | 124034 |  2.194% | 
 | 6    | Heatran            |  2.49921% | 122586 |  2.168% | 
 | 7    | Azelf              |  2.23552% | 102904 |  1.820% | 
 | 8    | Tyranitar          |  1.98916% | 106109 |  1.877% | 
 | 9    | Lopunny-Mega       |  1.80736% | 87342  |  1.545% | 
 | 10   | Diancie-Mega       |  1.78152% | 79283  |  1.402% | 
 | 11   | Skarmory           |  1.73079% | 101131 |  1.789% | 
 | 12   | Clefable           |  1.59101% | 76587  |  1.355% | 
 | 13   | Keldeo             |  1.48607% | 64590  |  1.142% | 
 | 14   | Weavile            |  1.46937% | 80545  |  1.425% | 
 | 15   | Charizard-Mega-Y   |  1.42397% | 79569  |  1.407% | 
 | 16   | Gengar             |  1.40474% | 85555  |  1.513% | 
 | 17   | Gliscor            |  1.20884% | 78870  |  1.395% | 
 | 18   | Medicham-Mega      |  1.15977% | 52171  |  0.923% | 
 | 19   | Manectric-Mega     |  1.14149% | 54364  |  0.962% | 
 | 20   | Talonflame         |  1.13775% | 64755  |  1.145% | 
 | 21   | Volcanion          |  1.07092% | 54116  |  0.957% | 
 | 22   | Excadrill          |  1.05667% | 56235  |  0.995% | 
 | 23   | Thundurus          |  1.05090% | 49384  |  0.873% | 
 | 24   | Klefki             |  1.05069% | 61770  |  1.093% | 
 | 25   | Politoed           |  1.04961% | 58394  |  1.033% | 
 | 26   | Scolipede          |  1.03056% | 56594  |  1.001% | 
 | 27   | Hippowdon          |  1.03052% | 57141  |  1.011% | 
 | 28   | Azumarill          |  1.01744% | 56814  |  1.005% | 
 | 29   | Tornadus-Therian   |  1.01333% | 42536  |  0.752% | 
 | 30   | Mew                |  0.98058% | 53513  |  0.946% | 
 | 31   | Breloom            |  0.96780% | 54161  |  0.958% | 
 | 32   | Kyurem-Black       |  0.92723% | 41419  |  0.733% | 
 | 33   | Charizard-Mega-X   |  0.92599% | 60990  |  1.079% | 
 | 34   | Galvantula         |  0.89152% | 55192  |  0.976% | 
 | 35   | Jirachi            |  0.88386% | 42398  |  0.750% | 
 | 36   | Serperior          |  0.87296% | 50270  |  0.889% | 
 | 37   | Latios             |  0.87114% | 38499  |  0.681% | 
 | 38   | Dragonite          |  0.83349% | 53870  |  0.953% | 
 | 39   | Zapdos             |  0.80452% | 39345  |  0.696% | 
 | 40   | Starmie            |  0.71479% | 37692  |  0.667% | 
 | 41   | Magnezone          |  0.69546% | 35569  |  0.629% | 
 | 42   | Shuckle            |  0.66036% | 45749  |  0.809% | 
 | 43   | Manaphy            |  0.65132% | 31838  |  0.563% | 
 | 44   | Infernape          |  0.64591% | 39832  |  0.705% | 
 | 45   | Bisharp            |  0.64530% | 37748  |  0.668% | 
 | 46   | Gardevoir-Mega     |  0.64506% | 32113  |  0.568% | 
 | 47   | Raikou             |  0.63976% | 30802  |  0.545% | 
 | 48   | Forretress         |  0.62273% | 44103  |  0.780% | 
 | 49   | Cloyster           |  0.56329% | 43453  |  0.769% | 
 | 50   | Mamoswine          |  0.56250% | 29314  |  0.518% | 
 | 51   | Metagross-Mega     |  0.54496% | 29930  |  0.529% | 
 | 52   | Venusaur-Mega      |  0.54461% | 29194  |  0.516% | 
 | 53   | Victini            |  0.53425% | 26899  |  0.476% | 
 | 54   | Volcarona          |  0.53024% | 33813  |  0.598% | 
 | 55   | Scizor             |  0.52349% | 27252  |  0.482% | 
 | 56   | Scizor-Mega        |  0.50415% | 25468  |  0.450% | 
 | 57   | Conkeldurr         |  0.44460% | 24100  |  0.426% | 
 | 58   | Chansey            |  0.44345% | 25775  |  0.456% | 
 | 59   | Slowbro            |  0.43948% | 23468  |  0.415% | 
 | 60   | Espeon             |  0.43367% | 29454  |  0.521% | 
 | 61   | Hydreigon          |  0.43229% | 22830  |  0.404% | 
 | 62   | Nidoking           |  0.42719% | 24899  |  0.440% | 
 | 63   | Jolteon            |  0.42660% | 28091  |  0.497% | 
 | 64   | Thundurus-Therian  |  0.42437% | 21120  |  0.374% | 
 | 65   | Sableye            |  0.41337% | 25860  |  0.457% | 
 | 66   | Amoonguss          |  0.40046% | 21333  |  0.377% | 
 | 67   | Smeargle           |  0.39374% | 29627  |  0.524% | 
 | 68   | Tangrowth          |  0.39127% | 18893  |  0.334% | 
 | 69   | Heracross-Mega     |  0.36539% | 19284  |  0.341% | 
 | 70   | Donphan            |  0.36395% | 19970  |  0.353% | 
 | 71   | Togekiss           |  0.35204% | 23061  |  0.408% | 
 | 72   | Darmanitan         |  0.34234% | 19326  |  0.342% | 
 | 73   | Staraptor          |  0.31356% | 18496  |  0.327% | 
 | 74   | Beedrill-Mega      |  0.31116% | 16842  |  0.298% | 
 | 75   | Empoleon           |  0.30979% | 18872  |  0.334% | 
 | 76   | Arcanine           |  0.29596% | 19002  |  0.336% | 
 | 77   | Tentacruel         |  0.28919% | 19209  |  0.340% | 
 | 78   | Terrakion          |  0.28772% | 13777  |  0.244% | 
 | 79   | Pidgeot-Mega       |  0.28491% | 15309  |  0.271% | 
 | 80   | Sylveon            |  0.27407% | 16000  |  0.283% | 
 | 81   | Alakazam           |  0.27272% | 16184  |  0.286% | 
 | 82   | Cofagrigus         |  0.27037% | 19243  |  0.340% | 
 | 83   | Chandelure         |  0.26821% | 18602  |  0.329% | 
 | 84   | Gyarados           |  0.25271% | 16316  |  0.289% | 
 | 85   | Sceptile-Mega      |  0.25173% | 15069  |  0.267% | 
 | 86   | Machamp            |  0.24975% | 16090  |  0.285% | 
 | 87   | Ninetales          |  0.24522% | 17207  |  0.304% | 
 | 88   | Swampert           |  0.24454% | 16285  |  0.288% | 
 | 89   | Crobat             |  0.23897% | 16171  |  0.286% | 
 | 90   | Goodra             |  0.23884% | 15991  |  0.283% | 
 | 91   | Dugtrio            |  0.23879% | 11945  |  0.211% | 
 | 92   | Gyarados-Mega      |  0.23877% | 14630  |  0.259% | 
 | 93   | Alakazam-Mega      |  0.23772% | 14087  |  0.249% | 
 | 94   | Tyranitar-Mega     |  0.23583% | 16097  |  0.285% | 
 | 95   | Gallade-Mega       |  0.23429% | 14635  |  0.259% | 
 | 96   | Seismitoad         |  0.23242% | 11325  |  0.200% | 
 | 97   | Milotic            |  0.23232% | 14032  |  0.248% | 
 | 98   | Whimsicott         |  0.23111% | 14921  |  0.264% | 
 | 99   | Aerodactyl         |  0.22369% | 12525  |  0.222% | 
 | 100  | Rotom-Heat         |  0.21455% | 12649  |  0.224% | 
 | 101  | Blastoise-Mega     |  0.21443% | 12612  |  0.223% | 
 | 102  | Absol-Mega         |  0.21231% | 13881  |  0.246% | 
 | 103  | Hawlucha           |  0.21165% | 15321  |  0.271% | 
 | 104  | Diggersby          |  0.20470% | 10308  |  0.182% | 
 | 105  | Latias             |  0.20335% | 9908   |  0.175% | 
 | 106  | Snorlax            |  0.19831% | 17288  |  0.306% | 
 | 107  | Ambipom            |  0.19404% | 14859  |  0.263% | 
 | 108  | Bronzong           |  0.19176% | 12156  |  0.215% | 
 | 109  | Froslass           |  0.19075% | 13331  |  0.236% | 
 | 110  | Altaria-Mega       |  0.18919% | 10768  |  0.190% | 
 | 111  | Garchomp-Mega      |  0.18914% | 13299  |  0.235% | 
 | 112  | Porygon-Z          |  0.18631% | 12106  |  0.214% | 
 | 113  | Crawdaunt          |  0.18546% | 10369  |  0.183% | 
 | 114  | Salamence          |  0.18381% | 13606  |  0.241% | 
 | 115  | Pinsir-Mega        |  0.18224% | 10068  |  0.178% | 
 | 116  | Krookodile         |  0.17683% | 12286  |  0.217% | 
 | 117  | Mienshao           |  0.17298% | 10193  |  0.180% | 
 | 118  | Ninjask            |  0.16783% | 14181  |  0.251% | 
 | 119  | Porygon2           |  0.16588% | 8993   |  0.159% | 
 | 120  | Aggron-Mega        |  0.15848% | 10706  |  0.189% | 
 | 121  | Celebi             |  0.15235% | 8527   |  0.151% | 
 | 122  | Metagross          |  0.15155% | 10957  |  0.194% | 
 | 123  | Swampert-Mega      |  0.14846% | 11312  |  0.200% | 
 | 124  | Roserade           |  0.14738% | 10394  |  0.184% | 
 | 125  | Rhyperior          |  0.14553% | 9576   |  0.169% | 
 | 126  | Umbreon            |  0.14509% | 12147  |  0.215% | 
 | 127  | Feraligatr         |  0.14430% | 10306  |  0.182% | 
 | 128  | Electivire         |  0.14267% | 12816  |  0.227% | 
 | 129  | Vaporeon           |  0.14243% | 10455  |  0.185% | 
 | 130  | Lucario            |  0.14060% | 11195  |  0.198% | 
 | 131  | Eelektross         |  0.14028% | 10070  |  0.178% | 
 | 132  | Slowbro-Mega       |  0.13332% | 7834   |  0.139% | 
 | 133  | Suicune            |  0.13053% | 7557   |  0.134% | 
 | 134  | Pikachu            |  0.12781% | 11308  |  0.200% | 
 | 135  | Noivern            |  0.12680% | 8442   |  0.149% | 
 | 136  | Drapion            |  0.12556% | 10748  |  0.190% | 
 | 137  | Zoroark            |  0.12190% | 9536   |  0.169% | 
 | 138  | Nidoqueen          |  0.12114% | 8071   |  0.143% | 
 | 139  | Aerodactyl-Mega    |  0.11739% | 7487   |  0.132% | 
 | 140  | Kingdra            |  0.11492% | 8409   |  0.149% | 
 | 141  | Gastrodon          |  0.11008% | 6535   |  0.116% | 
 | 142  | Haxorus            |  0.10950% | 8217   |  0.145% | 
 | 143  | Blissey            |  0.10875% | 8911   |  0.158% | 
 | 144  | Abomasnow-Mega     |  0.10851% | 5869   |  0.104% | 
 | 145  | Entei              |  0.10684% | 5629   |  0.100% | 
 | 146  | Slurpuff           |  0.10562% | 8785   |  0.155% | 
 | 147  | Quagsire           |  0.10218% | 6441   |  0.114% | 
 | 148  | Cobalion           |  0.10038% | 5754   |  0.102% | 
 | 149  | Golem              |  0.09940% | 7865   |  0.139% | 
 | 150  | Ditto              |  0.09798% | 7347   |  0.130% | 
 | 151  | Gardevoir          |  0.09637% | 6443   |  0.114% | 
 | 152  | Weezing            |  0.09270% | 7149   |  0.126% | 
 | 153  | Chesnaught         |  0.09232% | 6308   |  0.112% | 
 | 154  | Mandibuzz          |  0.09092% | 5166   |  0.091% | 
 | 155  | Dragalge           |  0.08915% | 5713   |  0.101% | 
 | 156  | Lapras             |  0.08721% | 7727   |  0.137% | 
 | 157  | Magneton           |  0.08589% | 4211   |  0.074% | 
 | 158  | Heliolisk          |  0.08309% | 5420   |  0.096% | 
 | 159  | Sigilyph           |  0.08285% | 6946   |  0.123% | 
 | 160  | Raichu             |  0.08240% | 7313   |  0.129% | 
 | 161  | Latias-Mega        |  0.08164% | 4049   |  0.072% | 
 | 162  | Liepard            |  0.08092% | 6143   |  0.109% | 
 | 163  | Meowstic           |  0.08046% | 5649   |  0.100% | 
 | 164  | Druddigon          |  0.08005% | 4833   |  0.085% | 
 | 165  | Ampharos-Mega      |  0.07873% | 4859   |  0.086% | 
 | 166  | Scrafty            |  0.07855% | 6240   |  0.110% | 
 | 167  | Tyrantrum          |  0.07739% | 5654   |  0.100% | 
 | 168  | Steelix            |  0.07714% | 5951   |  0.105% | 
 | 169  | Aggron             |  0.07709% | 6287   |  0.111% | 
 | 170  | Blastoise          |  0.07544% | 5826   |  0.103% | 
 | 171  | Typhlosion         |  0.07483% | 6261   |  0.111% | 
 | 172  | Vivillon           |  0.07480% | 5093   |  0.090% | 
 | 173  | Volbeat            |  0.07471% | 5284   |  0.093% | 
 | 174  | Jellicent          |  0.07413% | 4519   |  0.080% | 
 | 175  | Kyurem             |  0.07273% | 3126   |  0.055% | 
 | 176  | Banette-Mega       |  0.07239% | 5370   |  0.095% | 
 | 177  | Heracross          |  0.07222% | 4804   |  0.085% | 
 | 178  | Cinccino           |  0.07084% | 5537   |  0.098% | 
 | 179  | Reuniclus          |  0.07025% | 4505   |  0.080% | 
 | 180  | Diancie            |  0.06897% | 3752   |  0.066% | 
 | 181  | Durant             |  0.06809% | 5757   |  0.102% | 
 | 182  | Omastar            |  0.06788% | 4830   |  0.085% | 
 | 183  | Uxie               |  0.06784% | 4088   |  0.072% | 
 | 184  | Shedinja           |  0.06750% | 5935   |  0.105% | 
 | 185  | Chatot             |  0.06649% | 5012   |  0.089% | 
 | 186  | Malamar            |  0.06625% | 5443   |  0.096% | 
 | 187  | Gigalith           |  0.06606% | 4583   |  0.081% | 
 | 188  | Flygon             |  0.06588% | 5223   |  0.092% | 
 | 189  | Cresselia          |  0.06502% | 4283   |  0.076% | 
 | 190  | Dusclops           |  0.06483% | 4372   |  0.077% | 
 | 191  | Slowking           |  0.06407% | 3984   |  0.070% | 
 | 192  | Yanmega            |  0.06341% | 3854   |  0.068% | 
 | 193  | Accelgor           |  0.06196% | 4332   |  0.077% | 
 | 194  | Ludicolo           |  0.06024% | 5031   |  0.089% | 
 | 195  | Torkoal            |  0.06015% | 4505   |  0.080% | 
 | 196  | Hitmonlee          |  0.05965% | 5196   |  0.092% | 
 | 197  | Delphox            |  0.05858% | 5270   |  0.093% | 
 | 198  | Cradily            |  0.05762% | 4683   |  0.083% | 
 | 199  | Rattata            |  0.05733% | 6158   |  0.109% | 
 | 200  | Exploud            |  0.05718% | 3774   |  0.067% | 
 | 201  | Venusaur           |  0.05716% | 4960   |  0.088% | 
 | 202  | Houndoom-Mega      |  0.05645% | 3957   |  0.070% | 
 | 203  | Latios-Mega        |  0.05635% | 3713   |  0.066% | 
 | 204  | Bastiodon          |  0.05632% | 4783   |  0.085% | 
 | 205  | Toxicroak          |  0.05529% | 4486   |  0.079% | 
 | 206  | Archeops           |  0.05517% | 3578   |  0.063% | 
 | 207  | Golurk             |  0.05499% | 4239   |  0.075% | 
 | 208  | Spiritomb          |  0.05449% | 4475   |  0.079% | 
 | 209  | Magmortar          |  0.05367% | 4203   |  0.074% | 
 | 210  | Dusknoir           |  0.05216% | 4499   |  0.080% | 
 | 211  | Aurorus            |  0.05038% | 3774   |  0.067% | 
 | 212  | Luxray             |  0.04987% | 4465   |  0.079% | 
 | 213  | Trevenant          |  0.04968% | 4004   |  0.071% | 
 | 214  | Steelix-Mega       |  0.04922% | 3850   |  0.068% | 
 | 215  | Xatu               |  0.04914% | 3862   |  0.068% | 
 | 216  | Torterra           |  0.04789% | 4592   |  0.081% | 
 | 217  | Sharpedo           |  0.04781% | 3101   |  0.055% | 
 | 218  | Marowak            |  0.04697% | 3724   |  0.066% | 
 | 219  | Sharpedo-Mega      |  0.04667% | 3482   |  0.062% | 
 | 220  | Clawitzer          |  0.04660% | 3377   |  0.060% | 
 | 221  | Rhydon             |  0.04625% | 3329   |  0.059% | 
 | 222  | Claydol            |  0.04585% | 3153   |  0.056% | 
 | 223  | Rotom-Mow          |  0.04561% | 2562   |  0.045% | 
 | 224  | Zygarde            |  0.04520% | 2949   |  0.052% | 
 | 225  | Pangoro            |  0.04339% | 3187   |  0.056% | 
 | 226  | Charizard          |  0.04312% | 4245   |  0.075% | 
 | 227  | Registeel          |  0.04312% | 2816   |  0.050% | 
 | 228  | Miltank            |  0.04216% | 3570   |  0.063% | 
 | 229  | Emboar             |  0.04184% | 2962   |  0.052% | 
 | 230  | Hitmontop          |  0.04175% | 2812   |  0.050% | 
 | 231  | Drifblim           |  0.04174% | 3592   |  0.064% | 
 | 232  | Scyther            |  0.04140% | 3627   |  0.064% | 
 | 233  | Slaking            |  0.04133% | 3618   |  0.064% | 
 | 234  | Stunfisk           |  0.04104% | 2556   |  0.045% | 
 | 235  | Alomomola          |  0.04082% | 2103   |  0.037% | 
 | 236  | Electrode          |  0.04076% | 3407   |  0.060% | 
 | 237  | Florges            |  0.03960% | 2827   |  0.050% | 
 | 238  | Regirock           |  0.03921% | 2841   |  0.050% | 
 | 239  | Lanturn            |  0.03891% | 3089   |  0.055% | 
 | 240  | Mismagius          |  0.03813% | 3479   |  0.062% | 
 | 241  | Honchkrow          |  0.03679% | 2902   |  0.051% | 
 | 242  | Glalie-Mega        |  0.03678% | 2192   |  0.039% | 
 | 243  | Exeggutor          |  0.03584% | 3266   |  0.058% | 
 | 244  | Probopass          |  0.03529% | 2536   |  0.045% | 
 | 245  | Hoopa              |  0.03439% | 2063   |  0.036% | 
 | 246  | Leavanny           |  0.03437% | 2495   |  0.044% | 
 | 247  | Muk                |  0.03386% | 3016   |  0.053% | 
 | 248  | Sceptile           |  0.03377% | 3033   |  0.054% | 
 | 249  | Kecleon            |  0.03278% | 2700   |  0.048% | 
 | 250  | Rampardos          |  0.03257% | 2366   |  0.042% | 
 | 251  | Doublade           |  0.03249% | 2400   |  0.042% | 
 | 252  | Meloetta           |  0.03202% | 2004   |  0.035% | 
 | 253  | Lopunny            |  0.03179% | 2513   |  0.044% | 
 | 254  | Ariados            |  0.03167% | 2822   |  0.050% | 
 | 255  | Manectric          |  0.03142% | 2449   |  0.043% | 
 | 256  | Dedenne            |  0.03052% | 2872   |  0.051% | 
 | 257  | Camerupt-Mega      |  0.03005% | 2065   |  0.037% | 
 | 258  | Gallade            |  0.02900% | 2620   |  0.046% | 
 | 259  | Articuno           |  0.02888% | 2125   |  0.038% | 
 | 260  | Flareon            |  0.02887% | 2778   |  0.049% | 
 | 261  | Hitmonchan         |  0.02881% | 2591   |  0.046% | 
 | 262  | Sandslash          |  0.02870% | 2409   |  0.043% | 
 | 263  | Persian            |  0.02837% | 2320   |  0.041% | 
 | 264  | Tornadus           |  0.02792% | 1488   |  0.026% | 
 | 265  | Sudowoodo          |  0.02780% | 1803   |  0.032% | 
 | 266  | Nosepass           |  0.02762% | 2291   |  0.041% | 
 | 267  | Swellow            |  0.02752% | 2259   |  0.040% | 
 | 268  | Poliwrath          |  0.02746% | 2352   |  0.042% | 
 | 269  | Crustle            |  0.02728% | 2266   |  0.040% | 
 | 270  | Gourgeist-Super    |  0.02705% | 1719   |  0.030% | 
 | 271  | Murkrow            |  0.02635% | 2248   |  0.040% | 
 | 272  | Moltres            |  0.02595% | 1988   |  0.035% | 
 | 273  | Tauros             |  0.02592% | 1899   |  0.034% | 
 | 274  | Combusken          |  0.02581% | 1901   |  0.034% | 
 | 275  | Aron               |  0.02566% | 2118   |  0.037% | 
 | 276  | Pyroar             |  0.02527% | 2101   |  0.037% | 
 | 277  | Emolga             |  0.02510% | 2442   |  0.043% | 
 | 278  | Primeape           |  0.02478% | 2081   |  0.037% | 
 | 279  | Wigglytuff         |  0.02441% | 1761   |  0.031% | 
 | 280  | Carbink            |  0.02423% | 1808   |  0.032% | 
 | 281  | Medicham           |  0.02393% | 1646   |  0.029% | 
 | 282  | Jynx               |  0.02354% | 1717   |  0.030% | 
 | 283  | Zangoose           |  0.02275% | 2003   |  0.035% | 
 | 284  | Venomoth           |  0.02268% | 1750   |  0.031% | 
 | 285  | Floatzel           |  0.02252% | 2054   |  0.036% | 
 | 286  | Houndoom           |  0.02234% | 1793   |  0.032% | 
 | 287  | Abomasnow          |  0.02192% | 1692   |  0.030% | 
 | 288  | Barbaracle         |  0.02189% | 1755   |  0.031% | 
 | 289  | Linoone            |  0.02174% | 2026   |  0.036% | 
 | 290  | Avalugg            |  0.02161% | 1697   |  0.030% | 
 | 291  | Kabutops           |  0.02143% | 1725   |  0.031% | 
 | 292  | Samurott           |  0.02140% | 2119   |  0.037% | 
 | 293  | Glaceon            |  0.02131% | 2079   |  0.037% | 
 | 294  | Carracosta         |  0.02091% | 1940   |  0.034% | 
 | 295  | Sawk               |  0.02073% | 1615   |  0.029% | 
 | 296  | Hariyama           |  0.02032% | 1766   |  0.031% | 
 | 297  | Butterfree         |  0.02017% | 2043   |  0.036% | 
 | 298  | Ursaring           |  0.01983% | 1849   |  0.033% | 
 | 299  | Kingler            |  0.01950% | 1694   |  0.030% | 
 | 300  | Mr. Mime           |  0.01938% | 1865   |  0.033% | 
 | 301  | Ampharos           |  0.01896% | 1644   |  0.029% | 
 | 302  | Braviary           |  0.01875% | 1541   |  0.027% | 
 | 303  | Gligar             |  0.01866% | 1351   |  0.024% | 
 | 304  | Regigigas          |  0.01856% | 1533   |  0.027% | 
 | 305  | Absol              |  0.01853% | 1706   |  0.030% | 
 | 306  | Qwilfish           |  0.01843% | 1451   |  0.026% | 
 | 307  | Jumpluff           |  0.01833% | 1584   |  0.028% | 
 | 308  | Shaymin            |  0.01806% | 1185   |  0.021% | 
 | 309  | Lilligant          |  0.01801% | 1545   |  0.027% | 
 | 310  | Leafeon            |  0.01771% | 1717   |  0.030% | 
 | 311  | Swoobat            |  0.01728% | 1623   |  0.029% | 
 | 312  | Mesprit            |  0.01634% | 944    |  0.017% | 
 | 313  | Raticate           |  0.01605% | 1440   |  0.025% | 
 | 314  | Spinda             |  0.01589% | 1659   |  0.029% | 
 | 315  | Shiftry            |  0.01556% | 1358   |  0.024% | 
 | 316  | Armaldo            |  0.01553% | 1245   |  0.022% | 
 | 317  | Frogadier          |  0.01523% | 1154   |  0.020% | 
 | 318  | Masquerain         |  0.01509% | 1241   |  0.022% | 
 | 319  | Granbull           |  0.01447% | 1176   |  0.021% | 
 | 320  | Meganium           |  0.01438% | 1345   |  0.024% | 
 | 321  | Regice             |  0.01429% | 1180   |  0.021% | 
 | 322  | Unfezant           |  0.01414% | 1182   |  0.021% | 
 | 323  | Illumise           |  0.01411% | 811    |  0.014% | 
 | 324  | Dunsparce          |  0.01410% | 1072   |  0.019% | 
