 Total leads: 96038
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Landorus-Therian   |  8.54766% | 8209   |  8.548% | 
 | 2    | Azelf              |  5.13755% | 4934   |  5.138% | 
 | 3    | Medicham-Mega      |  4.11712% | 3954   |  4.117% | 
 | 4    | Garchomp           |  3.80891% | 3658   |  3.809% | 
 | 5    | Rotom-Wash         |  3.41219% | 3277   |  3.412% | 
 | 6    | Diancie-Mega       |  2.73329% | 2625   |  2.733% | 
 | 7    | Keldeo             |  2.71767% | 2610   |  2.718% | 
 | 8    | Lopunny-Mega       |  2.23557% | 2147   |  2.236% | 
 | 9    | Heatran            |  2.13561% | 2051   |  2.136% | 
 | 10   | Clefable           |  2.00858% | 1929   |  2.009% | 
 | 11   | Tornadus-Therian   |  1.98775% | 1909   |  1.988% | 
 | 12   | Tyranitar          |  1.93361% | 1857   |  1.934% | 
 | 13   | Skarmory           |  1.71078% | 1643   |  1.711% | 
 | 14   | Latios             |  1.63893% | 1574   |  1.639% | 
 | 15   | Ferrothorn         |  1.58271% | 1520   |  1.583% | 
 | 16   | Jirachi            |  1.46192% | 1404   |  1.462% | 
 | 17   | Weavile            |  1.40153% | 1346   |  1.402% | 
 | 18   | Kyurem-Black       |  1.35467% | 1301   |  1.355% | 
 | 19   | Thundurus          |  1.31510% | 1263   |  1.315% | 
 | 20   | Manectric-Mega     |  1.25263% | 1203   |  1.253% | 
 | 21   | Charizard-Mega-Y   |  1.22868% | 1180   |  1.229% | 
 | 22   | Mew                |  1.11622% | 1072   |  1.116% | 
 | 23   | Scolipede          |  1.11206% | 1068   |  1.112% | 
 | 24   | Zapdos             |  1.10269% | 1059   |  1.103% | 
 | 25   | Gengar             |  1.05479% | 1013   |  1.055% | 
 | 26   | Talonflame         |  0.92672% | 890    |  0.927% | 
 | 27   | Azumarill          |  0.91943% | 883    |  0.919% | 
 | 28   | Excadrill          |  0.88507% | 850    |  0.885% | 
 | 29   | Hippowdon          |  0.88090% | 846    |  0.881% | 
 | 30   | Politoed           |  0.86945% | 835    |  0.869% | 
 | 31   | Breloom            |  0.85695% | 823    |  0.857% | 
 | 32   | Volcanion          |  0.84342% | 810    |  0.843% | 
 | 33   | Starmie            |  0.84133% | 808    |  0.841% | 
 | 34   | Serperior          |  0.83404% | 801    |  0.834% | 
 | 35   | Scizor-Mega        |  0.83196% | 799    |  0.832% | 
 | 36   | Manaphy            |  0.81322% | 781    |  0.813% | 
 | 37   | Gardevoir-Mega     |  0.76428% | 734    |  0.764% | 
 | 38   | Bisharp            |  0.70909% | 681    |  0.709% | 
 | 39   | Gliscor            |  0.69868% | 671    |  0.699% | 
