 Total leads: 241372
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Golem              |  7.07460% | 13364  |  5.537% | 
 | 2    | Smeargle           |  4.02103% | 6794   |  2.815% | 
 | 3    | Probopass          |  2.71271% | 4564   |  1.891% | 
 | 4    | Leafeon            |  2.59432% | 2762   |  1.144% | 
 | 5    | Rotom-Frost        |  2.44758% | 3086   |  1.279% | 
 | 6    | Gabite             |  2.38061% | 3169   |  1.313% | 
 | 7    | Crustle            |  2.24746% | 4305   |  1.784% | 
 | 8    | Monferno           |  2.07473% | 3849   |  1.595% | 
 | 9    | Ninjask            |  2.01284% | 4551   |  1.885% | 
 | 10   | Prinplup           |  2.00325% | 2643   |  1.095% | 
 | 11   | Leavanny           |  1.93549% | 4708   |  1.951% | 
 | 12   | Zebstrika          |  1.80903% | 2327   |  0.964% | 
 | 13   | Stunfisk           |  1.79015% | 2922   |  1.211% | 
 | 14   | Lumineon           |  1.74423% | 1865   |  0.773% | 
 | 15   | Armaldo            |  1.71908% | 3874   |  1.605% | 
 | 16   | Roselia            |  1.56005% | 2200   |  0.911% | 
 | 17   | Electrode          |  1.55808% | 3715   |  1.539% | 
 | 18   | Marowak            |  1.51549% | 3700   |  1.533% | 
 | 19   | Mawile             |  1.31694% | 2146   |  0.889% | 
 | 20   | Torkoal            |  1.26864% | 3098   |  1.283% | 
 | 21   | Cacturne           |  1.25680% | 2485   |  1.030% | 
 | 22   | Gigalith           |  1.25667% | 3780   |  1.566% | 
 | 23   | Floatzel           |  1.21663% | 2630   |  1.090% | 
 | 24   | Rampardos          |  1.20139% | 1970   |  0.816% | 
 | 25   | Ampharos           |  1.16569% | 2291   |  0.949% | 
 | 26   | Relicanth          |  1.14240% | 1732   |  0.718% | 
 | 27   | Raichu             |  1.12953% | 2946   |  1.221% | 
 | 28   | Misdreavus         |  0.98475% | 1324   |  0.549% | 
 | 29   | Rotom-Fan          |  0.95009% | 1583   |  0.656% | 
 | 30   | Metang             |  0.93392% | 1840   |  0.762% | 
 | 31   | Persian            |  0.89811% | 3214   |  1.332% | 
 | 32   | Pelipper           |  0.89221% | 1061   |  0.440% | 
 | 33   | Stoutland          |  0.86782% | 1071   |  0.444% | 
 | 34   | Whirlipede         |  0.85957% | 1169   |  0.484% | 
 | 35   | Jumpluff           |  0.84181% | 1460   |  0.605% | 
 | 36   | Camerupt           |  0.84154% | 2180   |  0.903% | 
 | 37   | Tangela            |  0.78889% | 1034   |  0.428% | 
 | 38   | Bastiodon          |  0.78686% | 4158   |  1.723% | 
 | 39   | Ariados            |  0.76508% | 5562   |  2.304% | 
 | 40   | Purugly            |  0.76258% | 1777   |  0.736% | 
 | 41   | Carbink            |  0.75092% | 3017   |  1.250% | 
 | 42   | Lapras             |  0.74262% | 1856   |  0.769% | 
 | 43   | Bouffalant         |  0.66849% | 1564   |  0.648% | 
 | 44   | Chatot             |  0.66633% | 1745   |  0.723% | 
 | 45   | Gourgeist-Super    |  0.66129% | 1656   |  0.686% | 
 | 46   | Politoed           |  0.64882% | 1061   |  0.440% | 
 | 47   | Lopunny            |  0.63738% | 1871   |  0.775% | 
 | 48   | Solrock            |  0.62521% | 1102   |  0.457% | 
 | 49   | Articuno           |  0.60697% | 1428   |  0.592% | 
 | 50   | Dusknoir           |  0.60516% | 2084   |  0.863% | 
 | 51   | Basculin           |  0.58617% | 1400   |  0.580% | 
 | 52   | Swanna             |  0.57699% | 818    |  0.339% | 
 | 53   | Meowstic           |  0.57397% | 2977   |  1.233% | 
 | 54   | Frogadier          |  0.56124% | 1391   |  0.576% | 
 | 55   | Ninetales          |  0.55291% | 1463   |  0.606% | 
 | 56   | Kingler            |  0.53323% | 1316   |  0.545% | 
 | 57   | Grumpig            |  0.50652% | 827    |  0.343% | 
 | 58   | Muk                |  0.48805% | 1354   |  0.561% | 
 | 59   | Hippopotas         |  0.48369% | 1098   |  0.455% | 
 | 60   | Flareon            |  0.46031% | 1344   |  0.557% | 
 | 61   | Volbeat            |  0.42798% | 1640   |  0.679% | 
 | 62   | Mr. Mime           |  0.40367% | 1274   |  0.528% | 
 | 63   | Avalugg            |  0.38144% | 998    |  0.413% | 
 | 64   | Arbok              |  0.37764% | 1725   |  0.715% | 
 | 65   | Rapidash           |  0.37711% | 1131   |  0.469% | 
 | 66   | Clefairy           |  0.37252% | 1091   |  0.452% | 
 | 67   | Dodrio             |  0.37000% | 1274   |  0.528% | 
 | 68   | Beheeyem           |  0.36826% | 1073   |  0.445% | 
 | 69   | Wormadam-Trash     |  0.36320% | 905    |  0.375% | 
 | 70   | Electabuzz         |  0.36042% | 780    |  0.323% | 
 | 71   | Ursaring           |  0.34393% | 1076   |  0.446% | 
 | 72   | Drifblim           |  0.34339% | 1508   |  0.625% | 
 | 73   | Kadabra            |  0.34099% | 951    |  0.394% | 
 | 74   | Mienfoo            |  0.33786% | 300    |  0.124% | 
 | 75   | Kricketune         |  0.33757% | 1328   |  0.550% | 
 | 76   | Lunatone           |  0.33272% | 587    |  0.243% | 
 | 77   | Gorebyss           |  0.32890% | 894    |  0.370% | 
 | 78   | Pikachu            |  0.32482% | 1699   |  0.704% | 
 | 79   | Dusclops           |  0.32214% | 1065   |  0.441% | 
 | 80   | Unfezant           |  0.32120% | 829    |  0.343% | 
 | 81   | Ditto              |  0.32106% | 2063   |  0.855% | 
 | 82   | Furfrou            |  0.31951% | 867    |  0.359% | 
 | 83   | Quilladin          |  0.31196% | 483    |  0.200% | 
 | 84   | Simisage           |  0.30461% | 515    |  0.213% | 
 | 85   | Glalie             |  0.30352% | 813    |  0.337% | 
 | 86   | Cryogonal          |  0.29540% | 616    |  0.255% | 
 | 87   | Krokorok           |  0.29480% | 557    |  0.231% | 
 | 88   | Seaking            |  0.28828% | 548    |  0.227% | 
 | 89   | Luxray             |  0.28531% | 1181   |  0.489% | 
 | 90   | Trapinch           |  0.28411% | 270    |  0.112% | 
 | 91   | Emolga             |  0.28323% | 1349   |  0.559% | 
 | 92   | Regice             |  0.27994% | 735    |  0.305% | 
 | 93   | Dunsparce          |  0.27936% | 992    |  0.411% | 
 | 94   | Vibrava            |  0.27870% | 456    |  0.189% | 
 | 95   | Masquerain         |  0.26761% | 907    |  0.376% | 
 | 96   | Marshtomp          |  0.26750% | 392    |  0.162% | 
 | 97   | Wartortle          |  0.26346% | 530    |  0.220% | 
 | 98   | Regigigas          |  0.25609% | 1422   |  0.589% | 
 | 99   | Butterfree         |  0.24757% | 1410   |  0.584% | 
 | 100  | Gourgeist-Small    |  0.24559% | 351    |  0.145% | 
 | 101  | Vullaby            |  0.23739% | 326    |  0.135% | 
 | 102  | Simisear           |  0.22906% | 575    |  0.238% | 
 | 103  | Raticate           |  0.22349% | 812    |  0.336% | 
 | 104  | Pawniard           |  0.21957% | 483    |  0.200% | 
 | 105  | Lickilicky         |  0.20428% | 546    |  0.226% | 
 | 106  | Servine            |  0.20254% | 352    |  0.146% | 
 | 107  | Simipour           |  0.20243% | 493    |  0.204% | 
 | 108  | Altaria            |  0.19877% | 808    |  0.335% | 
 | 109  | Beedrill           |  0.19573% | 773    |  0.320% | 
 | 110  | Audino             |  0.19531% | 674    |  0.279% | 
 | 111  | Venipede           |  0.19482% | 431    |  0.179% | 
 | 112  | Gogoat             |  0.19178% | 725    |  0.300% | 
 | 113  | Dedenne            |  0.17220% | 1079   |  0.447% | 
 | 114  | Glaceon            |  0.17026% | 647    |  0.268% | 
 | 115  | Golduck            |  0.15907% | 578    |  0.239% | 
 | 116  | Meganium           |  0.15777% | 704    |  0.292% | 
 | 117  | Bibarel            |  0.15588% | 987    |  0.409% | 
 | 118  | Whiscash           |  0.15097% | 632    |  0.262% | 
 | 119  | Slaking            |  0.14978% | 608    |  0.252% | 
 | 120  | Wigglytuff         |  0.14692% | 662    |  0.274% | 
 | 121  | Palpitoad          |  0.14490% | 207    |  0.086% | 
 | 122  | Maractus           |  0.13697% | 478    |  0.198% | 
 | 123  | Sudowoodo          |  0.13486% | 868    |  0.360% | 
 | 124  | Delibird           |  0.13400% | 525    |  0.218% | 
 | 125  | Chinchou           |  0.12995% | 158    |  0.065% | 
 | 126  | Klang              |  0.12577% | 267    |  0.111% | 
 | 127  | Corsola            |  0.12562% | 944    |  0.391% | 
 | 128  | Magmar             |  0.12360% | 425    |  0.176% | 
 | 129  | Wailord            |  0.12053% | 517    |  0.214% | 
 | 130  | Huntail            |  0.11548% | 459    |  0.190% | 
 | 131  | Murkrow            |  0.11388% | 784    |  0.325% | 
 | 132  | Seviper            |  0.11367% | 487    |  0.202% | 
 | 133  | Swoobat            |  0.11317% | 1012   |  0.419% | 
 | 134  | Magcargo           |  0.10800% | 735    |  0.305% | 
 | 135  | Fraxure            |  0.10525% | 250    |  0.104% | 
 | 136  | Wormadam-Sandy     |  0.10499% | 289    |  0.120% | 
 | 137  | Banette            |  0.10182% | 586    |  0.243% | 
 | 138  | Onix               |  0.10165% | 688    |  0.285% | 
 | 139  | Octillery          |  0.09785% | 464    |  0.192% | 
 | 140  | Duosion            |  0.09442% | 210    |  0.087% | 
 | 141  | Sawsbuck           |  0.09407% | 411    |  0.170% | 
 | 142  | Shedinja           |  0.09336% | 781    |  0.324% | 
 | 143  | Walrein            |  0.09205% | 373    |  0.155% | 
 | 144  | Heatmor            |  0.08933% | 421    |  0.174% | 
 | 145  | Archen             |  0.08917% | 127    |  0.053% | 
 | 146  | Stantler           |  0.08907% | 194    |  0.080% | 
 | 147  | Illumise           |  0.08434% | 500    |  0.207% | 
 | 148  | Dragonair          |  0.08330% | 259    |  0.107% | 
 | 149  | Meditite           |  0.07669% | 221    |  0.092% | 
 | 150  | Gourgeist          |  0.07162% | 192    |  0.080% | 
 | 151  | Bronzor            |  0.07093% | 110    |  0.046% | 
 | 152  | Vanilluxe          |  0.06911% | 383    |  0.159% | 
 | 153  | Tropius            |  0.06887% | 389    |  0.161% | 
 | 154  | Hypno              |  0.06849% | 538    |  0.223% | 
 | 155  | Pignite            |  0.06787% | 238    |  0.099% | 
 | 156  | Diglett            |  0.06771% | 167    |  0.069% | 
 | 157  | Spinda             |  0.06304% | 708    |  0.293% | 
 | 158  | Eelektrik          |  0.06211% | 250    |  0.104% | 
 | 159  | Torchic            |  0.05958% | 142    |  0.059% | 
 | 160  | Fearow             |  0.05680% | 372    |  0.154% | 
 | 161  | Girafarig          |  0.05645% | 267    |  0.111% | 
 | 162  | Tentacool          |  0.05590% | 231    |  0.096% | 
 | 163  | Lairon             |  0.05349% | 271    |  0.112% | 
 | 164  | Sliggoo            |  0.05309% | 187    |  0.077% | 
 | 165  | Lampent            |  0.05184% | 201    |  0.083% | 
 | 166  | Sandshrew          |  0.05068% | 179    |  0.074% | 
 | 167  | Swadloon           |  0.05027% | 234    |  0.097% | 
 | 168  | Furret             |  0.04955% | 457    |  0.189% | 
 | 169  | Swalot             |  0.04865% | 222    |  0.092% | 
 | 170  | Pidgeot            |  0.04842% | 263    |  0.109% | 
 | 171  | Ivysaur            |  0.04816% | 118    |  0.049% | 
 | 172  | Yamask             |  0.04778% | 375    |  0.155% | 
 | 173  | Bellossom          |  0.04425% | 471    |  0.195% | 
 | 174  | Mightyena          |  0.04024% | 295    |  0.122% | 
 | 175  | Delcatty           |  0.03997% | 336    |  0.139% | 
 | 176  | Staryu             |  0.03896% | 41     |  0.017% | 
 | 177  | Mothim             |  0.03767% | 166    |  0.069% | 
 | 178  | Gourgeist-Large    |  0.03749% | 137    |  0.057% | 
 | 179  | Grotle             |  0.03727% | 127    |  0.053% | 
 | 180  | Gothitelle         |  0.03602% | 259    |  0.107% | 
 | 181  | Koffing            |  0.03595% | 57     |  0.024% | 
 | 182  | Amaura             |  0.03583% | 230    |  0.095% | 
 | 183  | Carnivine          |  0.03512% | 228    |  0.094% | 
 | 184  | Lileep             |  0.03510% | 138    |  0.057% | 
 | 185  | Baltoy             |  0.03417% | 38     |  0.016% | 
 | 186  | Surskit            |  0.03401% | 119    |  0.049% | 
 | 187  | Scraggy            |  0.03341% | 133    |  0.055% | 
 | 188  | Chimecho           |  0.03339% | 339    |  0.140% | 
 | 189  | Trubbish           |  0.03074% | 47     |  0.019% | 
 | 190  | Pineco             |  0.02936% | 178    |  0.074% | 
 | 191  | Pachirisu          |  0.02866% | 358    |  0.148% | 
 | 192  | Slowpoke           |  0.02827% | 37     |  0.015% | 
 | 193  | Zweilous           |  0.02819% | 128    |  0.053% | 
 | 194  | Staravia           |  0.02775% | 90     |  0.037% | 
 | 195  | Croconaw           |  0.02772% | 125    |  0.052% | 
 | 196  | Beartic            |  0.02488% | 228    |  0.094% | 
 | 197  | Marill             |  0.02468% | 104    |  0.043% | 
 | 198  | Parasect           |  0.02426% | 256    |  0.106% | 
 | 199  | Ledian             |  0.02382% | 199    |  0.082% | 
 | 200  | Noctowl            |  0.02365% | 220    |  0.091% | 
 | 201  | Anorith            |  0.02349% | 46     |  0.019% | 
 | 202  | Pupitar            |  0.02343% | 210    |  0.087% | 
 | 203  | Castform           |  0.02307% | 434    |  0.180% | 
 | 204  | Ralts              |  0.02302% | 39     |  0.016% | 
 | 205  | Braixen            |  0.02229% | 145    |  0.060% | 
 | 206  | Natu               |  0.02188% | 191    |  0.079% | 
 | 207  | Minun              |  0.02167% | 141    |  0.058% | 
 | 208  | Dustox             |  0.02020% | 188    |  0.078% | 
 | 209  | Snover             |  0.01931% | 128    |  0.053% | 
 | 210  | Cottonee           |  0.01804% | 103    |  0.043% | 
 | 211  | Nosepass           |  0.01675% | 190    |  0.079% | 
 | 212  | Wormadam           |  0.01618% | 20     |  0.008% | 
 | 213  | Munchlax           |  0.01600% | 97     |  0.040% | 
 | 214  | Bayleef            |  0.01577% | 87     |  0.036% | 
 | 215  | Seadra             |  0.01556% | 141    |  0.058% | 
 | 216  | Rufflet            |  0.01534% | 16     |  0.007% | 
 | 217  | Dewgong            |  0.01402% | 285    |  0.118% | 
 | 218  | Vespiquen          |  0.01394% | 198    |  0.082% | 
 | 219  | Drilbur            |  0.01370% | 102    |  0.042% | 
 | 220  | Cherrim            |  0.01350% | 97     |  0.040% | 
 | 221  | Phione             |  0.01346% | 203    |  0.084% | 
 | 222  | Plusle             |  0.01342% | 108    |  0.045% | 
 | 223  | Watchog            |  0.01341% | 103    |  0.043% | 
 | 224  | Farfetch'd         |  0.01241% | 268    |  0.111% | 
 | 225  | Yanma              |  0.01230% | 68     |  0.028% | 
 | 226  | Aipom              |  0.01162% | 30     |  0.012% | 
 | 227  | Flaaffy            |  0.01159% | 28     |  0.012% | 
 | 228  | Porygon            |  0.01131% | 65     |  0.027% | 
 | 229  | Wobbuffet          |  0.01124% | 219    |  0.091% | 
 | 230  | Magnemite          |  0.01107% | 66     |  0.027% | 
 | 231  | Grovyle            |  0.01085% | 97     |  0.040% | 
 | 232  | Darumaka           |  0.01073% | 66     |  0.027% | 
 | 233  | Beautifly          |  0.01055% | 260    |  0.108% | 
 | 234  | Lombre             |  0.01050% | 30     |  0.012% | 
 | 235  | Charmeleon         |  0.01021% | 122    |  0.051% | 
 | 236  | Riolu              |  0.00914% | 71     |  0.029% | 
 | 237  | Weepinbell         |  0.00868% | 35     |  0.015% | 
 | 238  | Mankey             |  0.00846% | 32     |  0.013% | 
 | 239  | Quilava            |  0.00819% | 79     |  0.033% | 
 | 240  | Machop             |  0.00785% | 24     |  0.010% | 
 | 241  | Luvdisc            |  0.00777% | 106    |  0.044% | 
 | 242  | Clamperl           |  0.00750% | 53     |  0.022% | 
 | 243  | Omanyte            |  0.00746% | 111    |  0.046% | 
 | 244  | Shelgon            |  0.00728% | 99     |  0.041% | 
 | 245  | Nidorino           |  0.00699% | 126    |  0.052% | 
 | 246  | Solosis            |  0.00698% | 21     |  0.009% | 
 | 247  | Graveler           |  0.00681% | 125    |  0.052% | 
 | 248  | Shelmet            |  0.00651% | 41     |  0.017% | 
 | 249  | Gothorita          |  0.00586% | 14     |  0.006% | 
 | 250  | Carvanha           |  0.00576% | 23     |  0.010% | 
 | 251  | Kakuna             |  0.00574% | 22     |  0.009% | 
 | 252  | Purrloin           |  0.00554% | 140    |  0.058% | 
 | 253  | Jigglypuff         |  0.00521% | 34     |  0.014% | 
 | 254  | Kabuto             |  0.00519% | 18     |  0.007% | 
 | 255  | Rhyhorn            |  0.00479% | 37     |  0.015% | 
 | 256  | Phanpy             |  0.00373% | 49     |  0.020% | 
 | 257  | Timburr            |  0.00357% | 21     |  0.009% | 
 | 258  | Dewott             |  0.00338% | 52     |  0.022% | 
 | 259  | Mantyke            |  0.00329% | 16     |  0.007% | 
 | 260  | Boldore            |  0.00311% | 107    |  0.044% | 
 | 261  | Venonat            |  0.00287% | 12     |  0.005% | 
 | 262  | Bonsly             |  0.00281% | 18     |  0.007% | 
 | 263  | Sunflora           |  0.00277% | 98     |  0.041% | 
 | 264  | Gloom              |  0.00275% | 29     |  0.012% | 
 | 265  | Sealeo             |  0.00259% | 30     |  0.012% | 
 | 266  | Starly             |  0.00243% | 26     |  0.011% | 
 | 267  | Metapod            |  0.00237% | 18     |  0.007% | 
 | 268  | Poliwhirl          |  0.00230% | 35     |  0.015% | 
 | 269  | Snubbull           |  0.00230% | 7      |  0.003% | 
 | 270  | Pancham            |  0.00227% | 15     |  0.006% | 
 | 271  | Nidorina           |  0.00220% | 47     |  0.019% | 
 | 272  | Meowth             |  0.00218% | 20     |  0.008% | 
 | 273  | Tyrogue            |  0.00217% | 22     |  0.009% | 
 | 274  | Froakie            |  0.00202% | 11     |  0.005% | 
 | 275  | Frillish           |  0.00190% | 22     |  0.009% | 
 | 276  | Shuppet            |  0.00181% | 29     |  0.012% | 
 | 277  | Loudred            |  0.00175% | 12     |  0.005% | 
 | 278  | Foongus            |  0.00158% | 7      |  0.003% | 
 | 279  | Inkay              |  0.00153% | 38     |  0.016% | 
 | 280  | Charmander         |  0.00148% | 18     |  0.007% | 
 | 281  | Houndour           |  0.00132% | 12     |  0.005% | 
 | 282  | Dratini            |  0.00129% | 12     |  0.005% | 
 | 283  | Taillow            |  0.00129% | 13     |  0.005% | 
 | 284  | Rattata            |  0.00128% | 173    |  0.072% | 
 | 285  | Remoraid           |  0.00121% | 7      |  0.003% | 
 | 286  | Binacle            |  0.00118% | 22     |  0.009% | 
 | 287  | Kirlia             |  0.00117% | 34     |  0.014% | 
 | 288  | Joltik             |  0.00103% | 3      |  0.001% | 
 | 289  | Shellos            |  0.00095% | 4      |  0.002% | 
 | 290  | Combee             |  0.00093% | 4      |  0.002% | 
 | 291  | Dwebble            |  0.00093% | 57     |  0.024% | 
 | 292  | Bidoof             |  0.00093% | 13     |  0.005% | 
 | 293  | Shroomish          |  0.00089% | 6      |  0.002% | 
 | 294  | Cubone             |  0.00087% | 3      |  0.001% | 
 | 295  | Honedge            |  0.00084% | 45     |  0.019% | 
 | 296  | Zorua              |  0.00081% | 15     |  0.006% | 
 | 297  | Klink              |  0.00077% | 2      |  0.001% | 
 | 298  | Eevee              |  0.00076% | 26     |  0.011% | 
 | 299  | Grimer             |  0.00076% | 15     |  0.006% | 
 | 300  | Golett             |  0.00075% | 19     |  0.008% | 
 | 301  | Unown              |  0.00073% | 85     |  0.035% | 
 | 302  | Smoochum           |  0.00071% | 6      |  0.002% | 
 | 303  | Swirlix            |  0.00066% | 20     |  0.008% | 
 | 304  | Minccino           |  0.00065% | 9      |  0.004% | 
 | 305  | Geodude            |  0.00061% | 25     |  0.010% | 
 | 306  | Spinarak           |  0.00059% | 23     |  0.010% | 
 | 307  | Aron               |  0.00058% | 51     |  0.021% | 
 | 308  | Wailmer            |  0.00057% | 11     |  0.005% | 
 | 309  | Numel              |  0.00053% | 28     |  0.012% | 
 | 310  | Lickitung          |  0.00052% | 21     |  0.009% | 
 | 311  | Herdier            |  0.00050% | 9      |  0.004% | 
 | 312  | Skiploom           |  0.00045% | 10     |  0.004% | 
 | 313  | Cleffa             |  0.00043% | 1      |  0.000% | 
 | 314  | Exeggcute          |  0.00039% | 7      |  0.003% | 
 | 315  | Clauncher          |  0.00038% | 2      |  0.001% | 
 | 316  | Shieldon           |  0.00036% | 13     |  0.005% | 
 | 317  | Vanillish          |  0.00034% | 2      |  0.001% | 
 | 318  | Skitty             |  0.00034% | 4      |  0.002% | 
 | 319  | Chikorita          |  0.00033% | 17     |  0.007% | 
 | 320  | Treecko            |  0.00027% | 21     |  0.009% | 
 | 321  | Weedle             |  0.00026% | 14     |  0.006% | 
 | 322  | Zubat              |  0.00023% | 24     |  0.010% | 
