 Total leads: 10924648
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Regigigas          |  0.25405% | 27754  |  0.254% | 
 | 2    | Aggron-Mega        |  0.25358% | 27703  |  0.254% | 
 | 3    | Kecleon            |  0.25310% | 27652  |  0.253% | 
 | 4    | Blastoise-Mega     |  0.25305% | 27645  |  0.253% | 
 | 5    | Maractus           |  0.25275% | 27612  |  0.253% | 
 | 6    | Vaporeon           |  0.25226% | 27558  |  0.252% | 
 | 7    | Sandslash          |  0.25214% | 27546  |  0.252% | 
 | 8    | Suicune            |  0.25194% | 27524  |  0.252% | 
 | 9    | Shuckle            |  0.25174% | 27502  |  0.252% | 
 | 10   | Wigglytuff         |  0.25173% | 27500  |  0.252% | 
 | 11   | Dragonite          |  0.25149% | 27474  |  0.251% | 
 | 12   | Machamp            |  0.25149% | 27474  |  0.251% | 
 | 13   | Kingdra            |  0.25121% | 27443  |  0.251% | 
 | 14   | Haxorus            |  0.25120% | 27444  |  0.251% | 
 | 15   | Smeargle           |  0.25112% | 27434  |  0.251% | 
 | 16   | Pachirisu          |  0.25108% | 27431  |  0.251% | 
 | 17   | Cresselia          |  0.25096% | 27418  |  0.251% | 
 | 18   | Steelix-Mega       |  0.25095% | 27415  |  0.251% | 
 | 19   | Donphan            |  0.25082% | 27401  |  0.251% | 
 | 20   | Moltres            |  0.25074% | 27392  |  0.251% | 
 | 21   | Audino-Mega        |  0.25062% | 27379  |  0.251% | 
 | 22   | Marowak            |  0.25048% | 27366  |  0.250% | 
 | 23   | Luvdisc            |  0.25039% | 27354  |  0.250% | 
 | 24   | Snorlax            |  0.25037% | 27352  |  0.250% | 
 | 25   | Meganium           |  0.25031% | 27345  |  0.250% | 
 | 26   | Lapras             |  0.25030% | 27344  |  0.250% | 
 | 27   | Regirock           |  0.25030% | 27344  |  0.250% | 
 | 28   | Emboar             |  0.25024% | 27338  |  0.250% | 
 | 29   | Persian            |  0.25018% | 27331  |  0.250% | 
 | 30   | Ninetales          |  0.25011% | 27324  |  0.250% | 
 | 31   | Sudowoodo          |  0.25010% | 27323  |  0.250% | 
 | 32   | Druddigon          |  0.25000% | 27312  |  0.250% | 
 | 33   | Avalugg            |  0.24999% | 27312  |  0.250% | 
 | 34   | Golduck            |  0.24996% | 27307  |  0.250% | 
 | 35   | Reuniclus          |  0.24979% | 27289  |  0.250% | 
 | 36   | Bastiodon          |  0.24978% | 27288  |  0.250% | 
 | 37   | Jirachi            |  0.24977% | 27287  |  0.250% | 
 | 38   | Chesnaught         |  0.24976% | 27285  |  0.250% | 
 | 39   | Purugly            |  0.24970% | 27279  |  0.250% | 
 | 40   | Slowbro-Mega       |  0.24970% | 27278  |  0.250% | 
 | 41   | Alomomola          |  0.24966% | 27275  |  0.250% | 
 | 42   | Hitmonlee          |  0.24965% | 27273  |  0.250% | 
 | 43   | Latias-Mega        |  0.24965% | 27273  |  0.250% | 
 | 44   | Seismitoad         |  0.24964% | 27272  |  0.250% | 
 | 45   | Gogoat             |  0.24961% | 27271  |  0.250% | 
 | 46   | Deoxys-Speed       |  0.24953% | 27260  |  0.250% | 
 | 47   | Uxie               |  0.24950% | 27256  |  0.249% | 
 | 48   | Tentacruel         |  0.24948% | 27254  |  0.249% | 
 | 49   | Glalie-Mega        |  0.24946% | 27253  |  0.249% | 
 | 50   | Wobbuffet          |  0.24941% | 27247  |  0.249% | 
 | 51   | Mew                |  0.24937% | 27242  |  0.249% | 
 | 52   | Leavanny           |  0.24936% | 27241  |  0.249% | 
 | 53   | Exeggutor          |  0.24935% | 27240  |  0.249% | 
 | 54   | Porygon2           |  0.24935% | 27240  |  0.249% | 
 | 55   | Simisage           |  0.24929% | 27234  |  0.249% | 
 | 56   | Floatzel           |  0.24929% | 27233  |  0.249% | 
 | 57   | Delcatty           |  0.24927% | 27232  |  0.249% | 
 | 58   | Solrock            |  0.24926% | 27231  |  0.249% | 
 | 59   | Ninjask            |  0.24926% | 27231  |  0.249% | 
 | 60   | Dusknoir           |  0.24926% | 27231  |  0.249% | 
 | 61   | Registeel          |  0.24914% | 27217  |  0.249% | 
 | 62   | Blissey            |  0.24910% | 27214  |  0.249% | 
 | 63   | Torkoal            |  0.24910% | 27213  |  0.249% | 
 | 64   | Deoxys-Defense     |  0.24910% | 27213  |  0.249% | 
 | 65   | Dunsparce          |  0.24906% | 27208  |  0.249% | 
 | 66   | Lickilicky         |  0.24904% | 27206  |  0.249% | 
 | 67   | Miltank            |  0.24903% | 27205  |  0.249% | 
 | 68   | Typhlosion         |  0.24896% | 27198  |  0.249% | 
 | 69   | Hitmontop          |  0.24892% | 27193  |  0.249% | 
 | 70   | Plusle             |  0.24889% | 27191  |  0.249% | 
 | 71   | Ho-Oh              |  0.24881% | 27182  |  0.249% | 
 | 72   | Swalot             |  0.24881% | 27181  |  0.249% | 
 | 73   | Samurott           |  0.24875% | 27174  |  0.249% | 
 | 74   | Serperior          |  0.24871% | 27170  |  0.249% | 
