 Total leads: 143210
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Flygon             |  7.50009% | 6026   |  4.208% | 
 | 2    | Uxie               |  5.66572% | 5147   |  3.594% | 
 | 3    | Magneton           |  3.80733% | 3258   |  2.275% | 
 | 4    | Registeel          |  3.26318% | 4067   |  2.840% | 
 | 5    | Diancie            |  2.82809% | 3209   |  2.241% | 
 | 6    | Jolteon            |  2.71156% | 4538   |  3.169% | 
 | 7    | Rotom-Mow          |  2.50124% | 2618   |  1.828% | 
 | 8    | Camerupt-Mega      |  2.46813% | 2991   |  2.089% | 
 | 9    | Rhyperior          |  2.44597% | 3206   |  2.239% | 
 | 10   | Drapion            |  2.36663% | 3605   |  2.517% | 
 | 11   | Druddigon          |  2.22890% | 3057   |  2.135% | 
 | 12   | Banette-Mega       |  2.18328% | 3659   |  2.555% | 
 | 13   | Seismitoad         |  2.17501% | 2660   |  1.857% | 
 | 14   | Bronzong           |  2.09291% | 4126   |  2.881% | 
 | 15   | Ambipom            |  2.08183% | 7042   |  4.917% | 
 | 16   | Accelgor           |  1.96192% | 3257   |  2.274% | 
 | 17   | Braviary           |  1.89261% | 1602   |  1.119% | 
 | 18   | Venusaur           |  1.79363% | 1599   |  1.117% | 
 | 19   | Glalie-Mega        |  1.60866% | 2176   |  1.519% | 
 | 20   | Escavalier         |  1.60501% | 1297   |  0.906% | 
 | 21   | Blastoise          |  1.46917% | 1710   |  1.194% | 
 | 22   | Eelektross         |  1.43879% | 2039   |  1.424% | 
 | 23   | Qwilfish           |  1.42866% | 1934   |  1.350% | 
 | 24   | Scrafty            |  1.35180% | 2284   |  1.595% | 
 | 25   | Hitmonlee          |  1.28914% | 2321   |  1.621% | 
 | 26   | Cofagrigus         |  1.26668% | 2685   |  1.875% | 
 | 27   | Aerodactyl         |  1.24270% | 2585   |  1.805% | 
 | 28   | Alomomola          |  1.18337% | 1213   |  0.847% | 
 | 29   | Exploud            |  1.15062% | 1726   |  1.205% | 
 | 30   | Sneasel            |  1.09360% | 1361   |  0.950% | 
 | 31   | Cinccino           |  1.06084% | 2738   |  1.912% | 
 | 32   | Clawitzer          |  0.98080% | 1523   |  1.063% | 
 | 33   | Emboar             |  0.97274% | 1303   |  0.910% | 
 | 34   | Sawk               |  0.95967% | 932    |  0.651% | 
 | 35   | Smeargle           |  0.89353% | 1046   |  0.730% | 
 | 36   | Archeops           |  0.88394% | 651    |  0.455% | 
 | 37   | Medicham           |  0.83370% | 1170   |  0.817% | 
 | 38   | Delphox            |  0.82156% | 1503   |  1.050% | 
 | 39   | Gallade            |  0.79942% | 1059   |  0.739% | 
 | 40   | Slowking           |  0.77137% | 1009   |  0.705% | 
 | 41   | Virizion           |  0.76604% | 982    |  0.686% | 
 | 42   | Meloetta           |  0.75604% | 921    |  0.643% | 
 | 43   | Leavanny           |  0.74591% | 731    |  0.510% | 
 | 44   | Hoopa              |  0.68973% | 959    |  0.670% | 
 | 45   | Absol              |  0.68474% | 1176   |  0.821% | 
 | 46   | Granbull           |  0.66189% | 897    |  0.626% | 
