 Total leads: 75014
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Flygon             | 10.63834% | 3648   |  4.863% | 
 | 2    | Uxie               |  5.63975% | 2611   |  3.481% | 
 | 3    | Venusaur           |  4.96507% | 975    |  1.300% | 
 | 4    | Registeel          |  4.22072% | 2136   |  2.847% | 
 | 5    | Drapion            |  3.36146% | 1764   |  2.352% | 
 | 6    | Magneton           |  3.34912% | 1394   |  1.858% | 
 | 7    | Alomomola          |  2.93334% | 851    |  1.134% | 
 | 8    | Druddigon          |  2.86164% | 1482   |  1.976% | 
 | 9    | Escavalier         |  2.74342% | 773    |  1.030% | 
 | 10   | Diancie            |  2.65653% | 1625   |  2.166% | 
 | 11   | Rotom-Mow          |  2.24343% | 1502   |  2.002% | 
 | 12   | Sawk               |  2.03172% | 770    |  1.026% | 
 | 13   | Glalie-Mega        |  2.01055% | 1031   |  1.374% | 
 | 14   | Banette-Mega       |  1.97694% | 2067   |  2.755% | 
 | 15   | Jellicent          |  1.89756% | 622    |  0.829% | 
 | 16   | Slowking           |  1.75320% | 671    |  0.894% | 
 | 17   | Blastoise          |  1.70351% | 1088   |  1.450% | 
 | 18   | Bronzong           |  1.65971% | 2026   |  2.701% | 
 | 19   | Accelgor           |  1.59127% | 1824   |  2.432% | 
 | 20   | Jolteon            |  1.57132% | 2252   |  3.002% | 
 | 21   | Rhyperior          |  1.55930% | 1554   |  2.072% | 
 | 22   | Dugtrio            |  1.49938% | 1129   |  1.505% | 
 | 23   | Emboar             |  1.44251% | 711    |  0.948% | 
 | 24   | Smeargle           |  1.41341% | 511    |  0.681% | 
 | 25   | Aerodactyl         |  1.37537% | 1360   |  1.813% | 
 | 26   | Exploud            |  1.27423% | 896    |  1.194% | 
 | 27   | Braviary           |  1.25036% | 797    |  1.062% | 
 | 28   | Sneasel            |  1.17176% | 746    |  0.994% | 
 | 29   | Medicham           |  1.16385% | 530    |  0.707% | 
 | 30   | Eelektross         |  1.15337% | 1431   |  1.908% | 
 | 31   | Qwilfish           |  1.14933% | 838    |  1.117% | 
 | 32   | Camerupt-Mega      |  1.07407% | 1248   |  1.664% | 
 | 33   | Scrafty            |  1.05541% | 1121   |  1.494% | 
 | 34   | Houndoom           |  1.04014% | 462    |  0.616% | 
 | 35   | Meloetta           |  1.00639% | 573    |  0.764% | 
 | 36   | Malamar            |  0.97217% | 230    |  0.307% | 
 | 37   | Seismitoad         |  0.96128% | 1111   |  1.481% | 
 | 38   | Hitmonlee          |  0.91985% | 1206   |  1.608% | 
 | 39   | Archeops           |  0.84419% | 337    |  0.449% | 
 | 40   | Ambipom            |  0.80315% | 3328   |  4.437% | 
 | 41   | Delphox            |  0.73223% | 812    |  1.082% | 
 | 42   | Steelix            |  0.67043% | 426    |  0.568% | 
 | 43   | Spiritomb          |  0.66898% | 490    |  0.653% | 
 | 44   | Virizion           |  0.62047% | 542    |  0.723% | 
 | 45   | Sigilyph           |  0.58969% | 788    |  1.050% | 
 | 46   | Cofagrigus         |  0.57302% | 1277   |  1.702% | 
 | 47   | Hoopa              |  0.57290% | 521    |  0.695% | 
 | 48   | Omastar            |  0.48154% | 220    |  0.293% | 
 | 49   | Xatu               |  0.45649% | 203    |  0.271% | 
 | 50   | Poliwrath          |  0.42893% | 102    |  0.136% | 
 | 51   | Clawitzer          |  0.38110% | 740    |  0.986% | 
 | 52   | Crustle            |  0.36710% | 103    |  0.137% | 
 | 53   | Weezing            |  0.35977% | 238    |  0.317% | 
 | 54   | Manectric          |  0.35946% | 101    |  0.135% | 
 | 55   | Fletchinder        |  0.34961% | 318    |  0.424% | 
 | 56   | Granbull           |  0.34473% | 452    |  0.603% | 
 | 57   | Cinccino           |  0.32782% | 1296   |  1.728% | 
 | 58   | Leavanny           |  0.31567% | 458    |  0.611% | 
 | 59   | Scyther            |  0.29614% | 279    |  0.372% | 
 | 60   | Abomasnow          |  0.27020% | 122    |  0.163% | 
 | 61   | Sandslash          |  0.24541% | 161    |  0.215% | 
 | 62   | Togetic            |  0.24304% | 348    |  0.464% | 
 | 63   | Gallade            |  0.24018% | 484    |  0.645% | 
 | 64   | Rotom-Fan          |  0.23659% | 41     |  0.055% | 
 | 65   | Prinplup           |  0.22407% | 36     |  0.048% | 
 | 66   | Absol              |  0.22119% | 622    |  0.829% | 
 | 67   | Typhlosion         |  0.21795% | 692    |  0.922% | 
 | 68   | Audino-Mega        |  0.20818% | 117    |  0.156% | 
 | 69   | Aromatisse         |  0.19619% | 175    |  0.233% | 
 | 70   | Golbat             |  0.19135% | 310    |  0.413% | 
 | 71   | Garbodor           |  0.17574% | 173    |  0.231% | 
 | 72   | Piloswine          |  0.16723% | 97     |  0.129% | 
 | 73   | Sceptile           |  0.16652% | 204    |  0.272% | 
 | 74   | Hitmontop          |  0.15687% | 459    |  0.612% | 
 | 75   | Rotom              |  0.14878% | 96     |  0.128% | 
 | 76   | Vivillon           |  0.13912% | 192    |  0.256% | 
 | 77   | Quagsire           |  0.13686% | 243    |  0.324% | 
 | 78   | Primeape           |  0.13242% | 64     |  0.085% | 
 | 79   | Gurdurr            |  0.11091% | 64     |  0.085% | 
 | 80   | Ferroseed          |  0.09413% | 153    |  0.204% | 
 | 81   | Lanturn            |  0.08540% | 83     |  0.111% | 
 | 82   | Aggron             |  0.08438% | 170    |  0.227% | 
 | 83   | Ariados            |  0.08356% | 246    |  0.328% | 
 | 84   | Torterra           |  0.08347% | 104    |  0.139% | 
 | 85   | Mismagius          |  0.07959% | 246    |  0.328% | 
 | 86   | Pyroar             |  0.07695% | 57     |  0.076% | 
 | 87   | Mesprit            |  0.07604% | 154    |  0.205% | 
 | 88   | Claydol            |  0.07546% | 189    |  0.252% | 
 | 89   | Exeggutor          |  0.07326% | 64     |  0.085% | 
 | 90   | Ludicolo           |  0.06368% | 70     |  0.093% | 
 | 91   | Swellow            |  0.05847% | 129    |  0.172% | 
 | 92   | Miltank            |  0.05752% | 131    |  0.175% | 
 | 93   | Ninjask            |  0.05324% | 280    |  0.373% | 
 | 94   | Gastrodon          |  0.04933% | 103    |  0.137% | 
 | 95   | Haunter            |  0.04529% | 62     |  0.083% | 
 | 96   | Whirlipede         |  0.04482% | 51     |  0.068% | 
 | 97   | Vileplume          |  0.04435% | 57     |  0.076% | 
 | 98   | Basculin           |  0.04364% | 22     |  0.029% | 
 | 99   | Dusclops           |  0.03644% | 77     |  0.103% | 
 | 100  | Electivire         |  0.03640% | 149    |  0.199% | 
 | 101  | Ninetales          |  0.03621% | 71     |  0.095% | 
 | 102  | Masquerain         |  0.03542% | 55     |  0.073% | 
 | 103  | Liepard            |  0.03430% | 357    |  0.476% | 
 | 104  | Golem              |  0.03331% | 114    |  0.152% | 
 | 105  | Sawsbuck           |  0.03315% | 15     |  0.020% | 
 | 106  | Hitmonchan         |  0.03224% | 112    |  0.149% | 
 | 107  | Hariyama           |  0.03160% | 97     |  0.129% | 
 | 108  | Combusken          |  0.03041% | 113    |  0.151% | 
 | 109  | Meowstic           |  0.03012% | 117    |  0.156% | 
 | 110  | Kabutops           |  0.02973% | 163    |  0.217% | 
 | 111  | Kecleon            |  0.02338% | 151    |  0.201% | 
 | 112  | Roselia            |  0.02242% | 78     |  0.104% | 
 | 113  | Chatot             |  0.02227% | 85     |  0.113% | 
 | 114  | Carracosta         |  0.02084% | 75     |  0.100% | 
 | 115  | Mawile             |  0.01933% | 35     |  0.047% | 
 | 116  | Camerupt           |  0.01891% | 24     |  0.032% | 
 | 117  | Stunfisk           |  0.01798% | 28     |  0.037% | 
 | 118  | Magmortar          |  0.01765% | 73     |  0.097% | 
 | 119  | Probopass          |  0.01693% | 100    |  0.133% | 
 | 120  | Mantine            |  0.01652% | 25     |  0.033% | 
 | 121  | Regirock           |  0.01627% | 112    |  0.149% | 
 | 122  | Drifblim           |  0.01618% | 57     |  0.076% | 
 | 123  | Machoke            |  0.01615% | 19     |  0.025% | 
 | 124  | Rhydon             |  0.01523% | 91     |  0.121% | 
 | 125  | Klinklang          |  0.01505% | 49     |  0.065% | 
 | 126  | Aurorus            |  0.01408% | 96     |  0.128% | 
 | 127  | Volbeat            |  0.01405% | 113    |  0.151% | 
 | 128  | Lilligant          |  0.01312% | 32     |  0.043% | 
 | 129  | Golurk             |  0.01307% | 188    |  0.251% | 
 | 130  | Bouffalant         |  0.01285% | 24     |  0.032% | 
 | 131  | Slaking            |  0.01277% | 38     |  0.051% | 
 | 132  | Kangaskhan         |  0.01041% | 26     |  0.035% | 
 | 133  | Tauros             |  0.01028% | 48     |  0.064% | 
 | 134  | Tangela            |  0.01014% | 20     |  0.027% | 
 | 135  | Eevee              |  0.00843% | 9      |  0.012% | 
 | 136  | Wigglytuff         |  0.00827% | 26     |  0.035% | 
 | 137  | Persian            |  0.00809% | 36     |  0.048% | 
 | 138  | Raichu             |  0.00786% | 67     |  0.089% | 
 | 139  | Marshtomp          |  0.00767% | 16     |  0.021% | 
 | 140  | Servine            |  0.00759% | 8      |  0.011% | 
 | 141  | Trevenant          |  0.00716% | 140    |  0.187% | 
 | 142  | Gothitelle         |  0.00674% | 24     |  0.032% | 
 | 143  | Cradily            |  0.00660% | 133    |  0.177% | 
 | 144  | Pachirisu          |  0.00657% | 8      |  0.011% | 
 | 145  | Dunsparce          |  0.00654% | 23     |  0.031% | 
 | 146  | Marowak            |  0.00644% | 70     |  0.093% | 
 | 147  | Unfezant           |  0.00640% | 27     |  0.036% | 
 | 148  | Gourgeist-Super    |  0.00637% | 45     |  0.060% | 
 | 149  | Mr. Mime           |  0.00632% | 38     |  0.051% | 
 | 150  | Emolga             |  0.00618% | 74     |  0.099% | 
 | 151  | Bellossom          |  0.00617% | 5      |  0.007% | 
 | 152  | Yamask             |  0.00583% | 5      |  0.007% | 
 | 153  | Purugly            |  0.00571% | 60     |  0.080% | 
 | 154  | Flareon            |  0.00565% | 42     |  0.056% | 
 | 155  | Swadloon           |  0.00556% | 15     |  0.020% | 
 | 156  | Lumineon           |  0.00542% | 19     |  0.025% | 
 | 157  | Gorebyss           |  0.00532% | 16     |  0.021% | 
 | 158  | Shiftry            |  0.00467% | 69     |  0.092% | 
 | 159  | Articuno           |  0.00444% | 53     |  0.071% | 
 | 160  | Lopunny            |  0.00439% | 25     |  0.033% | 
 | 161  | Barbaracle         |  0.00437% | 47     |  0.063% | 
 | 162  | Musharna           |  0.00412% | 42     |  0.056% | 
 | 163  | Nosepass           |  0.00368% | 47     |  0.063% | 
 | 164  | Cacturne           |  0.00357% | 33     |  0.044% | 
 | 165  | Lunatone           |  0.00349% | 12     |  0.016% | 
 | 166  | Leafeon            |  0.00330% | 41     |  0.055% | 
 | 167  | Frogadier          |  0.00311% | 30     |  0.040% | 
 | 168  | Carbink            |  0.00291% | 114    |  0.152% | 
 | 169  | Rotom-Frost        |  0.00285% | 39     |  0.052% | 
 | 170  | Quilladin          |  0.00270% | 29     |  0.039% | 
 | 171  | Electabuzz         |  0.00268% | 17     |  0.023% | 
 | 172  | Vullaby            |  0.00250% | 4      |  0.005% | 
 | 173  | Altaria            |  0.00245% | 11     |  0.015% | 
 | 174  | Skuntank           |  0.00237% | 35     |  0.047% | 
 | 175  | Jynx               |  0.00233% | 48     |  0.064% | 
 | 176  | Linoone            |  0.00232% | 41     |  0.055% | 
 | 177  | Aron               |  0.00227% | 5      |  0.007% | 
 | 178  | Zangoose           |  0.00222% | 39     |  0.052% | 
 | 179  | Rampardos          |  0.00207% | 28     |  0.037% | 
 | 180  | Arbok              |  0.00207% | 34     |  0.045% | 
 | 181  | Wormadam-Trash     |  0.00204% | 8      |  0.011% | 
 | 182  | Wobbuffet          |  0.00202% | 34     |  0.045% | 
 | 183  | Rattata            |  0.00199% | 38     |  0.051% | 
 | 184  | Ditto              |  0.00191% | 56     |  0.075% | 
 | 185  | Bastiodon          |  0.00190% | 56     |  0.075% | 
 | 186  | Lapras             |  0.00189% | 52     |  0.069% | 
 | 187  | Pikachu            |  0.00188% | 64     |  0.085% | 
 | 188  | Clefairy           |  0.00184% | 13     |  0.017% | 
 | 189  | Phanpy             |  0.00180% | 1      |  0.001% | 
 | 190  | Hypno              |  0.00171% | 29     |  0.039% | 
 | 191  | Scraggy            |  0.00171% | 2      |  0.003% | 
 | 192  | Kricketune         |  0.00169% | 22     |  0.029% | 
 | 193  | Glaceon            |  0.00164% | 35     |  0.047% | 
 | 194  | Porygon            |  0.00161% | 2      |  0.003% | 
 | 195  | Onix               |  0.00151% | 21     |  0.028% | 
 | 196  | Relicanth          |  0.00147% | 16     |  0.021% | 
 | 197  | Electrode          |  0.00144% | 34     |  0.045% | 
 | 198  | Politoed           |  0.00123% | 11     |  0.015% | 
 | 199  | Rapidash           |  0.00122% | 20     |  0.027% | 
 | 200  | Seaking            |  0.00122% | 8      |  0.011% | 
 | 201  | Larvesta           |  0.00119% | 5      |  0.007% | 
 | 202  | Numel              |  0.00111% | 4      |  0.005% | 
 | 203  | Shelmet            |  0.00108% | 3      |  0.004% | 
 | 204  | Hippopotas         |  0.00101% | 20     |  0.027% | 
 | 205  | Dedenne            |  0.00097% | 34     |  0.045% | 
 | 206  | Simipour           |  0.00096% | 5      |  0.007% | 
 | 207  | Murkrow            |  0.00093% | 27     |  0.036% | 
 | 208  | Armaldo            |  0.00078% | 25     |  0.033% | 
 | 209  | Charizard          |  0.00075% | 83     |  0.111% | 
 | 210  | Swoobat            |  0.00072% | 44     |  0.059% | 
 | 211  | Girafarig          |  0.00071% | 8      |  0.011% | 
 | 212  | Spinda             |  0.00070% | 40     |  0.053% | 
 | 213  | Floatzel           |  0.00063% | 26     |  0.035% | 
 | 214  | Whiscash           |  0.00063% | 14     |  0.019% | 
 | 215  | Ampharos           |  0.00062% | 16     |  0.021% | 
 | 216  | Lickilicky         |  0.00059% | 16     |  0.021% | 
