 Total leads: 38928
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Talonflame         |  5.13970% | 1103   |  2.833% | 
 | 2    | Meowstic           |  4.02719% | 701    |  1.801% | 
 | 3    | Greninja           |  3.72258% | 1450   |  3.725% | 
 | 4    | Hitmontop          |  3.69784% | 587    |  1.508% | 
 | 5    | Weavile            |  2.80183% | 913    |  2.345% | 
 | 6    | Whimsicott         |  2.66797% | 792    |  2.035% | 
 | 7    | Kangaskhan-Mega    |  2.30448% | 477    |  1.225% | 
 | 8    | Cofagrigus         |  2.16130% | 286    |  0.735% | 
 | 9    | Politoed           |  1.96551% | 598    |  1.536% | 
 | 10   | Crobat             |  1.81799% | 374    |  0.961% | 
 | 11   | Smeargle           |  1.57515% | 382    |  0.981% | 
 | 12   | Dusclops           |  1.38430% | 315    |  0.809% | 
 | 13   | Reuniclus          |  1.37577% | 196    |  0.503% | 
 | 14   | Charizard-Mega-Y   |  1.31197% | 451    |  1.159% | 
 | 15   | Mienshao           |  1.22088% | 209    |  0.537% | 
 | 16   | Ambipom            |  1.06194% | 506    |  1.300% | 
 | 17   | Thundurus          |  1.05881% | 195    |  0.501% | 
 | 18   | Aegislash          |  0.98644% | 295    |  0.758% | 
 | 19   | Sylveon            |  0.98462% | 507    |  1.302% | 
 | 20   | Raichu             |  0.96802% | 278    |  0.714% | 
 | 21   | Ninetales          |  0.96599% | 478    |  1.228% | 
 | 22   | Klefki             |  0.93482% | 291    |  0.748% | 
 | 23   | Landorus-Therian   |  0.92207% | 249    |  0.640% | 
 | 24   | Excadrill          |  0.91693% | 194    |  0.498% | 
 | 25   | Hippowdon          |  0.89775% | 182    |  0.468% | 
 | 26   | Sableye            |  0.87765% | 197    |  0.506% | 
 | 27   | Aerodactyl         |  0.85584% | 185    |  0.475% | 
 | 28   | Jellicent          |  0.82860% | 303    |  0.778% | 
 | 29   | Gengar             |  0.78733% | 272    |  0.699% | 
 | 30   | Electrode          |  0.74250% | 433    |  1.112% | 
 | 31   | Genesect           |  0.70734% | 122    |  0.313% | 
 | 32   | Swampert           |  0.70418% | 124    |  0.319% | 
 | 33   | Sceptile-Mega      |  0.70140% | 445    |  1.143% | 
 | 34   | Azumarill          |  0.68985% | 188    |  0.483% | 
 | 35   | Cresselia          |  0.68088% | 241    |  0.619% | 
 | 36   | Landorus           |  0.66953% | 90     |  0.231% | 
 | 37   | Tyranitar          |  0.64912% | 250    |  0.642% | 
 | 38   | Aromatisse         |  0.62778% | 163    |  0.419% | 
 | 39   | Ferrothorn         |  0.61708% | 242    |  0.622% | 
 | 40   | Gastrodon          |  0.59117% | 133    |  0.342% | 
 | 41   | Tornadus           |  0.58494% | 131    |  0.337% | 
 | 42   | Bisharp            |  0.55713% | 151    |  0.388% | 
 | 43   | Blastoise-Mega     |  0.55403% | 189    |  0.486% | 
 | 44   | Tyranitar-Mega     |  0.54725% | 133    |  0.342% | 
 | 45   | Abomasnow-Mega     |  0.53356% | 150    |  0.385% | 
 | 46   | Cloyster           |  0.53268% | 175    |  0.450% | 
 | 47   | Conkeldurr         |  0.52932% | 137    |  0.352% | 
 | 48   | Blaziken           |  0.52029% | 145    |  0.372% | 
 | 49   | Hydreigon          |  0.51919% | 134    |  0.344% | 
 | 50   | Salamence-Mega     |  0.51565% | 187    |  0.480% | 
 | 51   | Hoopa-Unbound      |  0.51280% | 109    |  0.280% | 
 | 52   | Breloom            |  0.50918% | 154    |  0.396% | 
 | 53   | Snorlax            |  0.50810% | 179    |  0.460% | 
 | 54   | Camerupt-Mega      |  0.50496% | 86     |  0.221% | 
 | 55   | Heliolisk          |  0.49910% | 248    |  0.637% | 
 | 56   | Toxicroak          |  0.49026% | 153    |  0.393% | 
 | 57   | Terrakion          |  0.48652% | 103    |  0.265% | 
 | 58   | Lopunny-Mega       |  0.48452% | 169    |  0.434% | 
 | 59   | Noivern            |  0.48351% | 175    |  0.450% | 
 | 60   | Clefable           |  0.47738% | 274    |  0.704% | 
 | 61   | Jirachi            |  0.45614% | 166    |  0.426% | 
 | 62   | Chandelure         |  0.44962% | 167    |  0.429% | 
 | 63   | Dusknoir           |  0.44733% | 162    |  0.416% | 
 | 64   | Aurorus            |  0.44022% | 194    |  0.498% | 
 | 65   | Mawile-Mega        |  0.42831% | 163    |  0.419% | 
 | 66   | Machamp            |  0.42262% | 179    |  0.460% | 
 | 67   | Jolteon            |  0.41178% | 241    |  0.619% | 
 | 68   | Serperior          |  0.39229% | 161    |  0.414% | 
 | 69   | Shaymin-Sky        |  0.39183% | 80     |  0.206% | 
 | 70   | Gardevoir-Mega     |  0.37836% | 185    |  0.475% | 
 | 71   | Electivire         |  0.37832% | 395    |  1.015% | 
 | 72   | Hypno              |  0.36478% | 69     |  0.177% | 
 | 73   | Gardevoir          |  0.36164% | 135    |  0.347% | 
 | 74   | Spinda             |  0.35765% | 84     |  0.216% | 
 | 75   | Hitmonchan         |  0.34876% | 53     |  0.136% | 
 | 76   | Volcanion          |  0.34867% | 153    |  0.393% | 
 | 77   | Rotom-Wash         |  0.34022% | 113    |  0.290% | 
 | 78   | Milotic            |  0.33533% | 118    |  0.303% | 
 | 79   | Amoonguss          |  0.33481% | 105    |  0.270% | 
 | 80   | Kingdra            |  0.33322% | 94     |  0.241% | 
 | 81   | Florges            |  0.31528% | 186    |  0.478% | 
 | 82   | Porygon2           |  0.31299% | 50     |  0.128% | 
 | 83   | Venusaur           |  0.30198% | 203    |  0.521% | 
 | 84   | Dragonite          |  0.29917% | 172    |  0.442% | 
 | 85   | Gothitelle         |  0.29811% | 41     |  0.105% | 
 | 86   | Infernape          |  0.28506% | 138    |  0.355% | 
 | 87   | Volcarona          |  0.28368% | 109    |  0.280% | 
 | 88   | Togekiss           |  0.28259% | 168    |  0.432% | 
 | 89   | Garchomp-Mega      |  0.27773% | 184    |  0.473% | 
 | 90   | Blissey            |  0.27557% | 206    |  0.529% | 
 | 91   | Alomomola          |  0.27180% | 106    |  0.272% | 
 | 92   | Slowking           |  0.27147% | 106    |  0.272% | 
 | 93   | Medicham-Mega      |  0.27040% | 68     |  0.175% | 
 | 94   | Vaporeon           |  0.27035% | 186    |  0.478% | 
 | 95   | Escavalier         |  0.26433% | 40     |  0.103% | 
 | 96   | Heatran            |  0.25769% | 96     |  0.247% | 
 | 97   | Thundurus-Therian  |  0.25613% | 317    |  0.814% | 
 | 98   | Bronzong           |  0.25224% | 98     |  0.252% | 
 | 99   | Garchomp           |  0.25120% | 184    |  0.473% | 
 | 100  | Swampert-Mega      |  0.24873% | 118    |  0.303% | 
 | 101  | Mew                |  0.24851% | 170    |  0.437% | 
 | 102  | Cherrim            |  0.24827% | 107    |  0.275% | 
 | 103  | Hitmonlee          |  0.24382% | 78     |  0.200% | 
 | 104  | Shuckle            |  0.23697% | 161    |  0.414% | 
 | 105  | Stoutland          |  0.22974% | 47     |  0.121% | 
 | 106  | Gliscor            |  0.22754% | 183    |  0.470% | 
 | 107  | Victini            |  0.22599% | 131    |  0.337% | 
 | 108  | Braviary           |  0.22568% | 29     |  0.074% | 
 | 109  | Deoxys-Attack      |  0.22494% | 108    |  0.277% | 
 | 110  | Gourgeist-Super    |  0.22347% | 61     |  0.157% | 
 | 111  | Sceptile           |  0.21617% | 76     |  0.195% | 
 | 112  | Empoleon           |  0.21392% | 123    |  0.316% | 
 | 113  | Scizor-Mega        |  0.20851% | 60     |  0.154% | 
 | 114  | Mantine            |  0.20667% | 131    |  0.337% | 
 | 115  | Trevenant          |  0.20550% | 118    |  0.303% | 
 | 116  | Ampharos-Mega      |  0.20515% | 64     |  0.164% | 
 | 117  | Manectric-Mega     |  0.20220% | 66     |  0.170% | 
 | 118  | Cacturne           |  0.20160% | 105    |  0.270% | 
 | 119  | Porygon-Z          |  0.20030% | 142    |  0.365% | 
 | 120  | Glaceon            |  0.19454% | 82     |  0.211% | 
 | 121  | Slowbro-Mega       |  0.19290% | 73     |  0.188% | 
 | 122  | Cradily            |  0.19239% | 79     |  0.203% | 
 | 123  | Tangrowth          |  0.19016% | 50     |  0.128% | 
 | 124  | Venusaur-Mega      |  0.18734% | 89     |  0.229% | 
 | 125  | Latias             |  0.18678% | 51     |  0.131% | 
 | 126  | Aerodactyl-Mega    |  0.18617% | 72     |  0.185% | 
 | 127  | Skarmory           |  0.18396% | 67     |  0.172% | 
 | 128  | Hoopa              |  0.18379% | 27     |  0.069% | 
 | 129  | Zapdos             |  0.18282% | 133    |  0.342% | 
 | 130  | Accelgor           |  0.18250% | 96     |  0.247% | 
 | 131  | Liepard            |  0.18090% | 109    |  0.280% | 
 | 132  | Illumise           |  0.17345% | 66     |  0.170% | 
 | 133  | Lucario            |  0.17270% | 90     |  0.231% | 
 | 134  | Meloetta           |  0.15904% | 51     |  0.131% | 
 | 135  | Stantler           |  0.15617% | 32     |  0.082% | 
 | 136  | Umbreon            |  0.14936% | 134    |  0.344% | 
 | 137  | Exeggutor          |  0.14585% | 66     |  0.170% | 
 | 138  | Lunatone           |  0.14422% | 78     |  0.200% | 
 | 139  | Kangaskhan         |  0.14138% | 27     |  0.069% | 
 | 140  | Ludicolo           |  0.13728% | 106    |  0.272% | 
 | 141  | Audino-Mega        |  0.13677% | 96     |  0.247% | 
 | 142  | Metagross-Mega     |  0.13273% | 98     |  0.252% | 
 | 143  | Slowbro            |  0.13127% | 50     |  0.128% | 
 | 144  | Vileplume          |  0.13074% | 30     |  0.077% | 
 | 145  | Keldeo             |  0.13002% | 52     |  0.134% | 
 | 146  | Pidgeot-Mega       |  0.12869% | 59     |  0.152% | 
 | 147  | Salamence          |  0.12447% | 84     |  0.216% | 
 | 148  | Sableye-Mega       |  0.12397% | 132    |  0.339% | 
 | 149  | Krookodile         |  0.11865% | 70     |  0.180% | 
 | 150  | Gyarados           |  0.11567% | 69     |  0.177% | 
 | 151  | Darmanitan         |  0.11485% | 24     |  0.062% | 
 | 152  | Roserade           |  0.11220% | 42     |  0.108% | 
 | 153  | Clefairy           |  0.11220% | 63     |  0.162% | 
 | 154  | Gengar-Mega        |  0.11218% | 129    |  0.331% | 
 | 155  | Emolga             |  0.11217% | 62     |  0.159% | 
 | 156  | Hawlucha           |  0.11183% | 112    |  0.288% | 
 | 157  | Pinsir-Mega        |  0.11129% | 29     |  0.074% | 
 | 158  | Diancie            |  0.11068% | 39     |  0.100% | 
 | 159  | Banette-Mega       |  0.11012% | 107    |  0.275% | 
 | 160  | Goodra             |  0.10874% | 119    |  0.306% | 
 | 161  | Jynx               |  0.10642% | 72     |  0.185% | 
 | 162  | Clawitzer          |  0.10625% | 43     |  0.110% | 
 | 163  | Nidoking           |  0.10549% | 59     |  0.152% | 
 | 164  | Poliwrath          |  0.10506% | 63     |  0.162% | 
 | 165  | Scrafty            |  0.10429% | 70     |  0.180% | 
 | 166  | Alakazam           |  0.10130% | 83     |  0.213% | 
 | 167  | Dugtrio            |  0.10015% | 61     |  0.157% | 
 | 168  | Lanturn            |  0.09920% | 179    |  0.460% | 
 | 169  | Camerupt           |  0.09887% | 31     |  0.080% | 
 | 170  | Suicune            |  0.09838% | 56     |  0.144% | 
 | 171  | Medicham           |  0.09834% | 38     |  0.098% | 
 | 172  | Parasect           |  0.09787% | 70     |  0.180% | 
 | 173  | Marowak            |  0.09770% | 45     |  0.116% | 
 | 174  | Dragalge           |  0.09760% | 44     |  0.113% | 
 | 175  | Gallade            |  0.09749% | 45     |  0.116% | 
 | 176  | Blastoise          |  0.09616% | 84     |  0.216% | 
 | 177  | Zebstrika          |  0.09501% | 135    |  0.347% | 
 | 178  | Gallade-Mega       |  0.09500% | 46     |  0.118% | 
 | 179  | Pelipper           |  0.09391% | 50     |  0.128% | 
 | 180  | Hariyama           |  0.09313% | 46     |  0.118% | 
 | 181  | Manaphy            |  0.09217% | 50     |  0.128% | 
 | 182  | Eelektross         |  0.09207% | 93     |  0.239% | 
 | 183  | Mandibuzz          |  0.09056% | 33     |  0.085% | 
 | 184  | Cryogonal          |  0.08890% | 16     |  0.041% | 
 | 185  | Luvdisc            |  0.08857% | 9      |  0.023% | 
 | 186  | Latios             |  0.08634% | 42     |  0.108% | 
 | 187  | Diancie-Mega       |  0.08606% | 58     |  0.149% | 
 | 188  | Regigigas          |  0.08497% | 104    |  0.267% | 
 | 189  | Heracross-Mega     |  0.08375% | 73     |  0.188% | 
 | 190  | Musharna           |  0.08295% | 43     |  0.110% | 
 | 191  | Solrock            |  0.08232% | 80     |  0.206% | 
 | 192  | Mr. Mime           |  0.08174% | 74     |  0.190% | 
 | 193  | Sigilyph           |  0.08011% | 32     |  0.082% | 
 | 194  | Scizor             |  0.07739% | 43     |  0.110% | 
 | 195  | Vivillon           |  0.07713% | 51     |  0.131% | 
 | 196  | Shedinja           |  0.07567% | 182    |  0.468% | 
 | 197  | Probopass          |  0.07442% | 22     |  0.057% | 
 | 198  | Crawdaunt          |  0.07341% | 36     |  0.092% | 
 | 199  | Lilligant          |  0.07137% | 51     |  0.131% | 
 | 200  | Scolipede          |  0.07114% | 51     |  0.131% | 
 | 201  | Lapras             |  0.07098% | 144    |  0.370% | 
 | 202  | Charizard          |  0.07098% | 85     |  0.218% | 
 | 203  | Kyurem-Black       |  0.07061% | 76     |  0.195% | 
 | 204  | Garbodor           |  0.06930% | 53     |  0.136% | 
 | 205  | Torterra           |  0.06699% | 120    |  0.308% | 
 | 206  | Darkrai            |  0.06691% | 36     |  0.092% | 
 | 207  | Charizard-Mega-X   |  0.06650% | 193    |  0.496% | 
 | 208  | Raikou             |  0.06608% | 35     |  0.090% | 
 | 209  | Manectric          |  0.06606% | 98     |  0.252% | 
 | 210  | Bastiodon          |  0.06603% | 44     |  0.113% | 
 | 211  | Yanmega            |  0.06361% | 39     |  0.100% | 
 | 212  | Golduck            |  0.06263% | 115    |  0.295% | 
 | 213  | Kecleon            |  0.06245% | 20     |  0.051% | 
 | 214  | Dodrio             |  0.06240% | 97     |  0.249% | 
 | 215  | Froslass           |  0.06158% | 69     |  0.177% | 
 | 216  | Kingler            |  0.06056% | 12     |  0.031% | 
 | 217  | Lickilicky         |  0.05961% | 19     |  0.049% | 
 | 218  | Espeon             |  0.05840% | 83     |  0.213% | 
 | 219  | Galvantula         |  0.05743% | 42     |  0.108% | 
 | 220  | Xatu               |  0.05637% | 45     |  0.116% | 
 | 221  | Deoxys-Speed       |  0.05506% | 68     |  0.175% | 
 | 222  | Leafeon            |  0.05498% | 73     |  0.188% | 
 | 223  | Pachirisu          |  0.05464% | 37     |  0.095% | 
 | 224  | Kabutops           |  0.05449% | 19     |  0.049% | 
 | 225  | Tentacruel         |  0.05441% | 106    |  0.272% | 
 | 226  | Murkrow            |  0.05351% | 44     |  0.113% | 
 | 227  | Muk                |  0.05174% | 20     |  0.051% | 
