 Total leads: 7066
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Sableye            |  7.00538% | 495    |  7.005% | 
 | 2    | Aerodactyl         |  4.68440% | 331    |  4.684% | 
 | 3    | Landorus-Therian   |  4.59949% | 325    |  4.599% | 
 | 4    | Ferrothorn         |  3.38239% | 239    |  3.382% | 
 | 5    | Sylveon            |  2.77385% | 196    |  2.774% | 
 | 6    | Lopunny-Mega       |  2.63232% | 186    |  2.632% | 
 | 7    | Heatran            |  2.60402% | 184    |  2.604% | 
 | 8    | Ursaring           |  2.22191% | 157    |  2.222% | 
 | 9    | Pidgeot-Mega       |  2.20776% | 156    |  2.208% | 
 | 10   | Tyranitar          |  2.02378% | 143    |  2.024% | 
 | 11   | Yanmega            |  1.93886% | 137    |  1.939% | 
 | 12   | Charizard-Mega-Y   |  1.83980% | 130    |  1.840% | 
 | 13   | Keldeo             |  1.81149% | 128    |  1.811% | 
 | 14   | Espeon             |  1.61336% | 114    |  1.613% | 
 | 15   | Whimsicott         |  1.59921% | 113    |  1.599% | 
 | 16   | Forretress         |  1.54260% | 109    |  1.543% | 
 | 17   | Talonflame         |  1.54260% | 109    |  1.543% | 
 | 18   | Scizor             |  1.34447% | 95     |  1.344% | 
 | 19   | Cloyster           |  1.27371% | 90     |  1.274% | 
 | 20   | Rotom-Wash         |  1.21710% | 86     |  1.217% | 
 | 21   | Scolipede          |  1.17464% | 83     |  1.175% | 
 | 22   | Serperior          |  1.17464% | 83     |  1.175% | 
 | 23   | Garchomp           |  0.93405% | 66     |  0.934% | 
 | 24   | Klefki             |  0.93405% | 66     |  0.934% | 
 | 25   | Thundurus-Therian  |  0.89159% | 63     |  0.892% | 
 | 26   | Blastoise-Mega     |  0.83498% | 59     |  0.835% | 
 | 27   | Jolteon            |  0.83498% | 59     |  0.835% | 
 | 28   | Weavile            |  0.79253% | 56     |  0.793% | 
 | 29   | Infernape          |  0.77838% | 55     |  0.778% | 
 | 30   | Celebi             |  0.77838% | 55     |  0.778% | 
 | 31   | Snorlax            |  0.69346% | 49     |  0.693% | 
 | 32   | Zangoose           |  0.69346% | 49     |  0.693% | 
 | 33   | Charizard-Mega-X   |  0.69346% | 49     |  0.693% | 
 | 34   | Breloom            |  0.66516% | 47     |  0.665% | 
 | 35   | Sableye-Mega       |  0.66516% | 47     |  0.665% | 
 | 36   | Bisharp            |  0.65100% | 46     |  0.651% | 
 | 37   | Rotom-Heat         |  0.65100% | 46     |  0.651% | 
 | 38   | Starmie            |  0.62270% | 44     |  0.623% | 
 | 39   | Azelf              |  0.60855% | 43     |  0.609% | 
 | 40   | Piloswine          |  0.58024% | 41     |  0.580% | 
 | 41   | Volcanion          |  0.58024% | 41     |  0.580% | 
 | 42   | Terrakion          |  0.55194% | 39     |  0.552% | 
 | 43   | Diancie-Mega       |  0.55194% | 39     |  0.552% | 
 | 44   | Malamar            |  0.55194% | 39     |  0.552% | 
 | 45   | Volcarona          |  0.49533% | 35     |  0.495% | 
 | 46   | Azumarill          |  0.49533% | 35     |  0.495% | 
 | 47   | Tornadus-Therian   |  0.48118% | 34     |  0.481% | 
 | 48   | Latios             |  0.48118% | 34     |  0.481% | 
 | 49   | Chansey            |  0.45287% | 32     |  0.453% | 
 | 50   | Zapdos             |  0.45287% | 32     |  0.453% | 
 | 51   | Liepard            |  0.43872% | 31     |  0.439% | 
 | 52   | Politoed           |  0.43872% | 31     |  0.439% | 
 | 53   | Gyarados           |  0.43872% | 31     |  0.439% | 
 | 54   | Shedinja           |  0.43872% | 31     |  0.439% | 
 | 55   | Mew                |  0.42457% | 30     |  0.425% | 
 | 56   | Meloetta           |  0.42457% | 30     |  0.425% | 
 | 57   | Porygon2           |  0.42457% | 30     |  0.425% | 
 | 58   | Scizor-Mega        |  0.42457% | 30     |  0.425% | 
 | 59   | Regigigas          |  0.42457% | 30     |  0.425% | 
 | 60   | Accelgor           |  0.41042% | 29     |  0.410% | 
 | 61   | Zebstrika          |  0.39626% | 28     |  0.396% | 
 | 62   | Gliscor            |  0.38211% | 27     |  0.382% | 
 | 63   | Gengar             |  0.38211% | 27     |  0.382% | 
 | 64   | Heliolisk          |  0.36796% | 26     |  0.368% | 
 | 65   | Sceptile-Mega      |  0.35381% | 25     |  0.354% | 
 | 66   | Galvantula         |  0.35381% | 25     |  0.354% | 
 | 67   | Dragonite          |  0.33965% | 24     |  0.340% | 
 | 68   | Bibarel            |  0.32550% | 23     |  0.326% | 
 | 69   | Skarmory           |  0.32550% | 23     |  0.326% | 
 | 70   | Krookodile         |  0.31135% | 22     |  0.311% | 
 | 71   | Dugtrio            |  0.31135% | 22     |  0.311% | 
 | 72   | Ninjask            |  0.31135% | 22     |  0.311% | 
 | 73   | Crustle            |  0.31135% | 22     |  0.311% | 
 | 74   | Shiftry            |  0.31135% | 22     |  0.311% | 
 | 75   | Tyranitar-Mega     |  0.29720% | 21     |  0.297% | 
 | 76   | Jirachi            |  0.29720% | 21     |  0.297% | 
 | 77   | Nidoking           |  0.29720% | 21     |  0.297% | 
 | 78   | Hippowdon          |  0.29720% | 21     |  0.297% | 
 | 79   | Garchomp-Mega      |  0.29720% | 21     |  0.297% | 
 | 80   | Cofagrigus         |  0.28305% | 20     |  0.283% | 
