 Total leads: 1830
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Sableye-Mega       |  2.95082% | 54     |  2.951% | 
 | 2    | Pikachu            |  1.91257% | 35     |  1.913% | 
 | 3    | Bronzong           |  1.85792% | 34     |  1.858% | 
 | 4    | Landorus-Therian   |  1.69399% | 31     |  1.694% | 
 | 5    | Rampardos          |  1.58470% | 29     |  1.585% | 
 | 6    | Marowak            |  1.58470% | 29     |  1.585% | 
 | 7    | Scyther            |  1.42077% | 26     |  1.421% | 
 | 8    | Forretress         |  1.31148% | 24     |  1.311% | 
 | 9    | Lopunny-Mega       |  1.25683% | 23     |  1.257% | 
 | 10   | Smeargle           |  1.20219% | 22     |  1.202% | 
 | 11   | Politoed           |  1.20219% | 22     |  1.202% | 
 | 12   | Ursaring           |  1.20219% | 22     |  1.202% | 
 | 13   | Rhydon             |  1.14754% | 21     |  1.148% | 
 | 14   | Tauros             |  1.09290% | 20     |  1.093% | 
 | 15   | Drifblim           |  0.98361% | 18     |  0.984% | 
 | 16   | Mesprit            |  0.92896% | 17     |  0.929% | 
 | 17   | Charizard-Mega-X   |  0.87432% | 16     |  0.874% | 
 | 18   | Dunsparce          |  0.87432% | 16     |  0.874% | 
 | 19   | Beedrill-Mega      |  0.81967% | 15     |  0.820% | 
 | 20   | Galvantula         |  0.81967% | 15     |  0.820% | 
 | 21   | Jolteon            |  0.81967% | 15     |  0.820% | 
 | 22   | Vivillon           |  0.76503% | 14     |  0.765% | 
 | 23   | Hippowdon          |  0.76503% | 14     |  0.765% | 
 | 24   | Electrode          |  0.71038% | 13     |  0.710% | 
 | 25   | Diancie-Mega       |  0.71038% | 13     |  0.710% | 
 | 26   | Infernape          |  0.71038% | 13     |  0.710% | 
 | 27   | Garchomp           |  0.71038% | 13     |  0.710% | 
 | 28   | Krookodile         |  0.65574% | 12     |  0.656% | 
 | 29   | Shuckle            |  0.65574% | 12     |  0.656% | 
 | 30   | Raichu             |  0.65574% | 12     |  0.656% | 
 | 31   | Ninjask            |  0.65574% | 12     |  0.656% | 
 | 32   | Medicham-Mega      |  0.65574% | 12     |  0.656% | 
 | 33   | Miltank            |  0.65574% | 12     |  0.656% | 
 | 34   | Frogadier          |  0.60109% | 11     |  0.601% | 
 | 35   | Golem              |  0.60109% | 11     |  0.601% | 
 | 36   | Absol-Mega         |  0.60109% | 11     |  0.601% | 
 | 37   | Primeape           |  0.60109% | 11     |  0.601% | 
 | 38   | Gurdurr            |  0.60109% | 11     |  0.601% | 
 | 39   | Golurk             |  0.60109% | 11     |  0.601% | 
 | 40   | Electivire         |  0.60109% | 11     |  0.601% | 
 | 41   | Darmanitan         |  0.54645% | 10     |  0.546% | 
 | 42   | Regigigas          |  0.54645% | 10     |  0.546% | 
 | 43   | Ninetales          |  0.54645% | 10     |  0.546% | 
 | 44   | Medicham           |  0.54645% | 10     |  0.546% | 
 | 45   | Scizor             |  0.54645% | 10     |  0.546% | 
 | 46   | Persian            |  0.54645% | 10     |  0.546% | 
 | 47   | Misdreavus         |  0.54645% | 10     |  0.546% | 
 | 48   | Omastar            |  0.49180% | 9      |  0.492% | 
 | 49   | Ambipom            |  0.49180% | 9      |  0.492% | 
 | 50   | Clefable           |  0.49180% | 9      |  0.492% | 
 | 51   | Hydreigon          |  0.49180% | 9      |  0.492% | 
 | 52   | Pinsir             |  0.49180% | 9      |  0.492% | 
 | 53   | Typhlosion         |  0.49180% | 9      |  0.492% | 
 | 54   | Azelf              |  0.49180% | 9      |  0.492% | 
 | 55   | Scrafty            |  0.49180% | 9      |  0.492% | 
 | 56   | Crobat             |  0.43716% | 8      |  0.437% | 
 | 57   | Charizard-Mega-Y   |  0.43716% | 8      |  0.437% | 
 | 58   | Lanturn            |  0.43716% | 8      |  0.437% | 
 | 59   | Scizor-Mega        |  0.43716% | 8      |  0.437% | 
 | 60   | Jirachi            |  0.43716% | 8      |  0.437% | 
 | 61   | Lopunny            |  0.43716% | 8      |  0.437% | 
 | 62   | Banette-Mega       |  0.43716% | 8      |  0.437% | 
 | 63   | Malamar            |  0.43716% | 8      |  0.437% | 
 | 64   | Murkrow            |  0.43716% | 8      |  0.437% | 
 | 65   | Hitmonlee          |  0.43716% | 8      |  0.437% | 
 | 66   | Arcanine           |  0.43716% | 8      |  0.437% | 
 | 67   | Rhyperior          |  0.43716% | 8      |  0.437% | 
 | 68   | Relicanth          |  0.43716% | 8      |  0.437% | 
 | 69   | Tornadus-Therian   |  0.43716% | 8      |  0.437% | 
 | 70   | Tyranitar          |  0.43716% | 8      |  0.437% | 
 | 71   | Seismitoad         |  0.38251% | 7      |  0.383% | 
 | 72   | Reuniclus          |  0.38251% | 7      |  0.383% | 
 | 73   | Cobalion           |  0.38251% | 7      |  0.383% | 
 | 74   | Sylveon            |  0.38251% | 7      |  0.383% | 
 | 75   | Heatran            |  0.38251% | 7      |  0.383% | 
 | 76   | Crustle            |  0.38251% | 7      |  0.383% | 
 | 77   | Xatu               |  0.38251% | 7      |  0.383% | 
 | 78   | Ferrothorn         |  0.38251% | 7      |  0.383% | 
 | 79   | Articuno           |  0.38251% | 7      |  0.383% | 
 | 80   | Flygon             |  0.38251% | 7      |  0.383% | 
 | 81   | Aerodactyl-Mega    |  0.38251% | 7      |  0.383% | 
 | 82   | Swellow            |  0.32787% | 6      |  0.328% | 
 | 83   | Tyranitar-Mega     |  0.32787% | 6      |  0.328% | 
 | 84   | Kadabra            |  0.32787% | 6      |  0.328% | 
 | 85   | Rotom-Mow          |  0.32787% | 6      |  0.328% | 
 | 86   | Electabuzz         |  0.32787% | 6      |  0.328% | 
 | 87   | Hitmonchan         |  0.32787% | 6      |  0.328% | 
 | 88   | Furfrou            |  0.32787% | 6      |  0.328% | 
 | 89   | Rotom-Fan          |  0.32787% | 6      |  0.328% | 
 | 90   | Entei              |  0.32787% | 6      |  0.328% | 
 | 91   | Stoutland          |  0.32787% | 6      |  0.328% | 
 | 92   | Purugly            |  0.32787% | 6      |  0.328% | 
 | 93   | Snorlax            |  0.32787% | 6      |  0.328% | 
 | 94   | Sharpedo-Mega      |  0.32787% | 6      |  0.328% | 
 | 95   | Metagross-Mega     |  0.32787% | 6      |  0.328% | 
 | 96   | Audino-Mega        |  0.32787% | 6      |  0.328% | 
 | 97   | Bastiodon          |  0.32787% | 6      |  0.328% | 
 | 98   | Mienshao           |  0.32787% | 6      |  0.328% | 
 | 99   | Magneton           |  0.32787% | 6      |  0.328% | 
 | 100  | Skarmory           |  0.32787% | 6      |  0.328% | 
 | 101  | Meganium           |  0.32787% | 6      |  0.328% | 
 | 102  | Cradily            |  0.32787% | 6      |  0.328% | 
