 Total leads: 1244292
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Groudon-Primal     |  6.81066% | 84744  |  6.811% | 
 | 2    | Greninja           |  4.88566% | 60791  |  4.886% | 
 | 3    | Darkrai            |  4.27045% | 53136  |  4.270% | 
 | 4    | Xerneas            |  3.29980% | 41061  |  3.300% | 
 | 5    | Kangaskhan-Mega    |  2.09036% | 26010  |  2.090% | 
 | 6    | Deoxys-Speed       |  1.94041% | 24144  |  1.940% | 
 | 7    | Kyogre-Primal      |  1.92560% | 23961  |  1.926% | 
 | 8    | Blaziken-Mega      |  1.60319% | 19948  |  1.603% | 
 | 9    | Blaziken           |  1.57520% | 19600  |  1.575% | 
 | 10   | Deoxys-Attack      |  1.46383% | 18214  |  1.464% | 
 | 11   | Smeargle           |  1.34802% | 16773  |  1.348% | 
 | 12   | Scolipede          |  1.33138% | 16566  |  1.331% | 
 | 13   | Gengar-Mega        |  1.28694% | 16013  |  1.287% | 
 | 14   | Yveltal            |  1.25762% | 15649  |  1.258% | 
 | 15   | Aegislash          |  1.24577% | 15501  |  1.246% | 
 | 16   | Rayquaza           |  1.18863% | 14790  |  1.189% | 
 | 17   | Arceus             |  1.13817% | 14162  |  1.138% | 
 | 18   | Mewtwo-Mega-Y      |  1.13375% | 14107  |  1.134% | 
 | 19   | Ninjask            |  1.12057% | 13943  |  1.121% | 
 | 20   | Ferrothorn         |  1.08304% | 13476  |  1.083% | 
 | 21   | Mewtwo-Mega-X      |  1.04760% | 13035  |  1.048% | 
 | 22   | Dialga             |  0.99006% | 12319  |  0.990% | 
 | 23   | Genesect           |  0.98114% | 12208  |  0.981% | 
 | 24   | Lucario-Mega       |  0.97109% | 12083  |  0.971% | 
 | 25   | Cloyster           |  0.94513% | 11760  |  0.945% | 
 | 26   | Deoxys-Defense     |  0.89337% | 11116  |  0.893% | 
 | 27   | Charizard-Mega-X   |  0.88317% | 10989  |  0.883% | 
 | 28   | Shuckle            |  0.86163% | 10721  |  0.862% | 
 | 29   | Lugia              |  0.84963% | 10572  |  0.850% | 
 | 30   | Gliscor            |  0.79281% | 9865   |  0.793% | 
 | 31   | Diancie-Mega       |  0.79010% | 9831   |  0.790% | 
 | 32   | Ho-Oh              |  0.78906% | 9818   |  0.789% | 
 | 33   | Giratina-Origin    |  0.76585% | 9530   |  0.766% | 
 | 34   | Sableye-Mega       |  0.76452% | 9513   |  0.765% | 
 | 35   | Klefki             |  0.74742% | 9300   |  0.747% | 
 | 36   | Forretress         |  0.70505% | 8773   |  0.705% | 
 | 37   | Pikachu            |  0.69378% | 8633   |  0.694% | 
 | 38   | Salamence-Mega     |  0.67525% | 8402   |  0.675% | 
 | 39   | Tyranitar          |  0.61218% | 7618   |  0.612% | 
 | 40   | Gengar             |  0.60365% | 7511   |  0.604% | 
 | 41   | Garchomp           |  0.60164% | 7486   |  0.602% | 
 | 42   | Talonflame         |  0.60075% | 7475   |  0.601% | 
 | 43   | Dragonite          |  0.54570% | 6790   |  0.546% | 
 | 44   | Skarmory           |  0.54530% | 6785   |  0.545% | 
 | 45   | Rattata            |  0.53831% | 6698   |  0.538% | 
 | 46   | Shaymin-Sky        |  0.53218% | 6622   |  0.532% | 
 | 47   | Galvantula         |  0.49669% | 6181   |  0.497% | 
 | 48   | Infernape          |  0.48848% | 6078   |  0.488% | 
 | 49   | Excadrill          |  0.44194% | 5499   |  0.442% | 
 | 50   | Zekrom             |  0.43785% | 5448   |  0.438% | 
 | 51   | Mew                |  0.43686% | 5436   |  0.437% | 
 | 52   | Mewtwo             |  0.41751% | 5195   |  0.418% | 
 | 53   | Snorlax            |  0.41583% | 5174   |  0.416% | 
 | 54   | Charizard-Mega-Y   |  0.41518% | 5166   |  0.415% | 
 | 55   | Landorus-Therian   |  0.38882% | 4838   |  0.389% | 
 | 56   | Kyurem-White       |  0.38721% | 4818   |  0.387% | 
 | 57   | Hawlucha           |  0.36921% | 4594   |  0.369% | 
 | 58   | Weavile            |  0.36608% | 4555   |  0.366% | 
 | 59   | Hoopa-Unbound      |  0.36551% | 4548   |  0.366% | 
 | 60   | Serperior          |  0.35603% | 4430   |  0.356% | 
 | 61   | Wobbuffet          |  0.33540% | 4174   |  0.335% | 
 | 62   | Ditto              |  0.33530% | 4172   |  0.335% | 
 | 63   | Breloom            |  0.32445% | 4037   |  0.324% | 
 | 64   | Palkia             |  0.32115% | 3996   |  0.321% | 
 | 65   | Togekiss           |  0.30572% | 3804   |  0.306% | 
 | 66   | Jolteon            |  0.29592% | 3682   |  0.296% | 
 | 67   | Noivern            |  0.29053% | 3615   |  0.291% | 
 | 68   | Metagross-Mega     |  0.28370% | 3530   |  0.284% | 
 | 69   | Tyranitar-Mega     |  0.28115% | 3499   |  0.281% | 
 | 70   | Kyogre             |  0.27880% | 3469   |  0.279% | 
 | 71   | Landorus           |  0.27341% | 3402   |  0.273% | 
 | 72   | Bisharp            |  0.27325% | 3400   |  0.273% | 
 | 73   | Sceptile-Mega      |  0.27213% | 3386   |  0.272% | 
