 Total leads: 848054
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Galvantula         |  4.87761% | 41364  |  4.878% | 
 | 2    | Forretress         |  3.52107% | 29861  |  3.521% | 
 | 3    | Beedrill-Mega      |  2.83121% | 24010  |  2.831% | 
 | 4    | Infernape          |  2.67011% | 22644  |  2.670% | 
 | 5    | Crobat             |  2.57341% | 21824  |  2.573% | 
 | 6    | Krookodile         |  2.37056% | 20104  |  2.371% | 
 | 7    | Donphan            |  2.05203% | 17402  |  2.052% | 
 | 8    | Rotom-Heat         |  1.92751% | 16346  |  1.927% | 
 | 9    | Mamoswine          |  1.87105% | 15868  |  1.871% | 
 | 10   | Aggron-Mega        |  1.84098% | 15613  |  1.841% | 
 | 11   | Darmanitan         |  1.76266% | 14948  |  1.763% | 
 | 12   | Conkeldurr         |  1.74072% | 14762  |  1.741% | 
 | 13   | Empoleon           |  1.69730% | 14394  |  1.697% | 
 | 14   | Hydreigon          |  1.62493% | 13780  |  1.625% | 
 | 15   | Arcanine           |  1.50194% | 12737  |  1.502% | 
 | 16   | Cloyster           |  1.48652% | 12607  |  1.487% | 
 | 17   | Swampert           |  1.47685% | 12525  |  1.477% | 
 | 18   | Blastoise-Mega     |  1.47352% | 12496  |  1.473% | 
 | 19   | Mienshao           |  1.45869% | 12371  |  1.459% | 
 | 20   | Espeon             |  1.39755% | 11852  |  1.398% | 
 | 21   | Nidoking           |  1.38072% | 11709  |  1.381% | 
 | 22   | Entei              |  1.36492% | 11575  |  1.365% | 
 | 23   | Chandelure         |  1.34900% | 11440  |  1.349% | 
 | 24   | Heliolisk          |  1.27777% | 10836  |  1.278% | 
 | 25   | Metagross          |  1.23851% | 10503  |  1.238% | 
 | 26   | Cobalion           |  1.22987% | 10430  |  1.230% | 
 | 27   | Tentacruel         |  1.19393% | 10125  |  1.194% | 
 | 28   | Sylveon            |  1.19264% | 10114  |  1.193% | 
 | 29   | Aerodactyl-Mega    |  1.18662% | 10063  |  1.187% | 
 | 30   | Sableye            |  1.17692% | 9981   |  1.177% | 
 | 31   | Nidoqueen          |  1.15396% | 9786   |  1.154% | 
 | 32   | Absol-Mega         |  1.14110% | 9677   |  1.141% | 
 | 33   | Celebi             |  1.08627% | 9212   |  1.086% | 
 | 34   | Whimsicott         |  1.08335% | 9188   |  1.083% | 
 | 35   | Machamp            |  1.05146% | 8917   |  1.051% | 
 | 36   | Swampert-Mega      |  1.03863% | 8809   |  1.039% | 
 | 37   | Shuckle            |  0.98171% | 8326   |  0.982% | 
 | 38   | Roserade           |  0.97292% | 8251   |  0.973% | 
 | 39   | Gyarados           |  0.95291% | 8081   |  0.953% | 
 | 40   | Gligar             |  0.90479% | 7673   |  0.905% | 
 | 41   | Froslass           |  0.90105% | 7642   |  0.901% | 
 | 42   | Crawdaunt          |  0.80562% | 6832   |  0.806% | 
 | 43   | Chesnaught         |  0.74902% | 6352   |  0.749% | 
 | 44   | Ampharos-Mega      |  0.72308% | 6132   |  0.723% | 
 | 45   | Sceptile-Mega      |  0.72049% | 6110   |  0.720% | 
 | 46   | Tornadus           |  0.71910% | 6099   |  0.719% | 
 | 47   | Porygon-Z          |  0.69584% | 5901   |  0.696% | 
 | 48   | Jolteon            |  0.65929% | 5591   |  0.659% | 
 | 49   | Aerodactyl         |  0.60354% | 5119   |  0.604% | 
 | 50   | Ambipom            |  0.54481% | 4621   |  0.545% | 
 | 51   | Suicune            |  0.53040% | 4498   |  0.530% | 
 | 52   | Goodra             |  0.52250% | 4431   |  0.522% | 
 | 53   | Milotic            |  0.51964% | 4407   |  0.520% | 
 | 54   | Feraligatr         |  0.51460% | 4364   |  0.515% | 
 | 55   | Vaporeon           |  0.51401% | 4359   |  0.514% | 
 | 56   | Haxorus            |  0.49998% | 4240   |  0.500% | 
 | 57   | Bronzong           |  0.47286% | 4010   |  0.473% | 
 | 58   | Heracross          |  0.46955% | 3982   |  0.470% | 
 | 59   | Blissey            |  0.46507% | 3944   |  0.465% | 
 | 60   | Snorlax            |  0.46448% | 3939   |  0.464% | 
 | 61   | Porygon2           |  0.45257% | 3838   |  0.453% | 
 | 62   | Lucario            |  0.43241% | 3667   |  0.432% | 
 | 63   | Gardevoir          |  0.40187% | 3408   |  0.402% | 
 | 64   | Cresselia          |  0.39833% | 3378   |  0.398% | 
 | 65   | Toxicroak          |  0.38819% | 3292   |  0.388% | 
 | 66   | Rotom-Mow          |  0.37171% | 3153   |  0.372% | 
 | 67   | Steelix-Mega       |  0.36626% | 3106   |  0.366% | 
 | 68   | Mandibuzz          |  0.36178% | 3068   |  0.362% | 
 | 69   | Umbreon            |  0.35980% | 3052   |  0.360% | 
 | 70   | Noivern            |  0.35965% | 3050   |  0.360% | 
 | 71   | Smeargle           |  0.33843% | 2870   |  0.338% | 
 | 72   | Azelf              |  0.33454% | 2837   |  0.335% | 
 | 73   | Reuniclus          |  0.31390% | 2662   |  0.314% | 
 | 74   | Doublade           |  0.30588% | 2594   |  0.306% | 
 | 75   | Slurpuff           |  0.29890% | 2535   |  0.299% | 
 | 76   | Ninjask            |  0.29338% | 2488   |  0.293% | 
 | 77   | Sharpedo-Mega      |  0.29126% | 2470   |  0.291% | 
 | 78   | Cofagrigus         |  0.28985% | 2458   |  0.290% | 
 | 79   | Yanmega            |  0.28230% | 2394   |  0.282% | 
 | 80   | Durant             |  0.28136% | 2386   |  0.281% | 
 | 81   | Flygon             |  0.26886% | 2280   |  0.269% | 
 | 82   | Houndoom-Mega      |  0.26685% | 2263   |  0.267% | 
 | 83   | Abomasnow-Mega     |  0.25765% | 2185   |  0.258% | 
 | 84   | Zoroark            |  0.25518% | 2164   |  0.255% | 
 | 85   | Dugtrio            |  0.25164% | 2134   |  0.252% | 
 | 86   | Eelektross         |  0.24374% | 2067   |  0.244% | 
 | 87   | Kyurem             |  0.24315% | 2062   |  0.243% | 
 | 88   | Uxie               |  0.23442% | 1988   |  0.234% | 
 | 89   | Kingdra            |  0.23053% | 1955   |  0.231% | 
 | 90   | Rhyperior          |  0.21615% | 1833   |  0.216% | 
 | 91   | Florges            |  0.21556% | 1828   |  0.216% | 
 | 92   | Tyrantrum          |  0.21167% | 1795   |  0.212% | 
 | 93   | Drapion            |  0.19527% | 1656   |  0.195% | 
 | 94   | Honchkrow          |  0.19339% | 1640   |  0.193% | 
 | 95   | Liepard            |  0.19150% | 1624   |  0.191% | 
 | 96   | Dragalge           |  0.18902% | 1603   |  0.189% | 
 | 97   | Archeops           |  0.18855% | 1599   |  0.189% | 
 | 98   | Moltres            |  0.18619% | 1579   |  0.186% | 
 | 99   | Banette-Mega       |  0.17770% | 1507   |  0.178% | 
 | 100  | Hitmonlee          |  0.17594% | 1492   |  0.176% | 
 | 101  | Cinccino           |  0.17299% | 1467   |  0.173% | 
 | 102  | Magneton           |  0.16815% | 1426   |  0.168% | 
