 Total leads: 57366
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Azelf              |  5.07460% | 2592   |  4.518% | 
 | 2    | Galvantula         |  4.67183% | 2619   |  4.565% | 
 | 3    | Forretress         |  3.44068% | 1948   |  3.396% | 
 | 4    | Krookodile         |  3.24816% | 1634   |  2.848% | 
 | 5    | Crobat             |  2.90547% | 1508   |  2.629% | 
 | 6    | Beedrill-Mega      |  2.70407% | 1463   |  2.550% | 
 | 7    | Infernape          |  2.55192% | 1485   |  2.589% | 
 | 8    | Rotom-Heat         |  2.52054% | 1287   |  2.243% | 
 | 9    | Donphan            |  2.15755% | 1219   |  2.125% | 
 | 10   | Aggron-Mega        |  1.90621% | 1040   |  1.813% | 
 | 11   | Conkeldurr         |  1.88917% | 972    |  1.694% | 
 | 12   | Mamoswine          |  1.88294% | 1005   |  1.752% | 
 | 13   | Empoleon           |  1.87685% | 1060   |  1.848% | 
 | 14   | Blastoise-Mega     |  1.67549% | 806    |  1.405% | 
 | 15   | Entei              |  1.66473% | 827    |  1.442% | 
 | 16   | Mienshao           |  1.60585% | 868    |  1.513% | 
 | 17   | Darmanitan         |  1.58633% | 816    |  1.422% | 
 | 18   | Swampert           |  1.46916% | 766    |  1.335% | 
 | 19   | Arcanine           |  1.45897% | 855    |  1.490% | 
 | 20   | Sylveon            |  1.42712% | 700    |  1.220% | 
 | 21   | Nidoking           |  1.41834% | 780    |  1.360% | 
 | 22   | Cloyster           |  1.41641% | 965    |  1.682% | 
 | 23   | Espeon             |  1.36798% | 897    |  1.564% | 
 | 24   | Heliolisk          |  1.36595% | 689    |  1.201% | 
 | 25   | Chandelure         |  1.36093% | 796    |  1.388% | 
 | 26   | Sableye            |  1.35123% | 822    |  1.433% | 
 | 27   | Aerodactyl-Mega    |  1.28095% | 768    |  1.339% | 
 | 28   | Metagross          |  1.19755% | 665    |  1.159% | 
 | 29   | Cobalion           |  1.11315% | 633    |  1.103% | 
 | 30   | Crawdaunt          |  1.05252% | 554    |  0.966% | 
 | 31   | Nidoqueen          |  1.03916% | 568    |  0.990% | 
 | 32   | Whimsicott         |  1.00881% | 619    |  1.079% | 
 | 33   | Absol-Mega         |  0.98203% | 602    |  1.049% | 
 | 34   | Tentacruel         |  0.96614% | 544    |  0.948% | 
 | 35   | Celebi             |  0.94795% | 502    |  0.875% | 
 | 36   | Machamp            |  0.90573% | 521    |  0.908% | 
 | 37   | Roserade           |  0.90138% | 530    |  0.924% | 
 | 38   | Gligar             |  0.86782% | 467    |  0.814% | 
