 Total battles: 6816
 Avg. weight/team: 0.067
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Entei              | 40.97454% | 1372   | 10.065% | 858    |  9.409% | 
 | 2    | Groudon-Primal     | 27.63714% | 1940   | 14.231% | 1402   | 15.375% | 
 | 3    | Zygarde            | 20.53597% | 945    |  6.932% | 591    |  6.481% | 
 | 4    | Gengar             | 20.23949% | 1112   |  8.157% | 766    |  8.400% | 
 | 5    | Blissey            | 18.72503% | 1079   |  7.915% | 677    |  7.424% | 
 | 6    | Weavile            | 17.32737% | 1064   |  7.805% | 755    |  8.280% | 
 | 7    | Skarmory           | 16.56714% | 707    |  5.186% | 517    |  5.670% | 
 | 8    | Landorus-Therian   | 13.96979% | 804    |  5.898% | 543    |  5.955% | 
 | 9    | Mew                | 13.68509% | 1038   |  7.614% | 722    |  7.918% | 
 | 10   | Keldeo             | 13.57140% | 723    |  5.304% | 407    |  4.463% | 
 | 11   | Gyarados           | 10.79139% | 447    |  3.279% | 298    |  3.268% | 
 | 12   | Thundurus          | 10.20612% | 311    |  2.281% | 203    |  2.226% | 
 | 13   | Ferrothorn         |  9.77591% | 700    |  5.135% | 495    |  5.428% | 
 | 14   | Volcarona          |  9.55442% | 520    |  3.815% | 350    |  3.838% | 
 | 15   | Raikou             |  8.84089% | 626    |  4.592% | 425    |  4.661% | 
 | 16   | Cobalion           |  8.72323% | 290    |  2.127% | 179    |  1.963% | 
 | 17   | Starmie            |  8.28907% | 319    |  2.340% | 225    |  2.467% | 
 | 18   | Excadrill          |  8.13208% | 325    |  2.384% | 210    |  2.303% | 
 | 19   | Noivern            |  8.02358% | 817    |  5.993% | 557    |  6.108% | 
 | 20   | Hoopa-Unbound      |  8.01545% | 493    |  3.616% | 296    |  3.246% | 
 | 21   | Arcanine           |  7.46185% | 858    |  6.294% | 579    |  6.349% | 
 | 22   | Heatran            |  7.38371% | 579    |  4.247% | 395    |  4.332% | 
 | 23   | Deoxys-Speed       |  6.87768% | 434    |  3.184% | 363    |  3.981% | 
 | 24   | Volcanion          |  6.35785% | 443    |  3.250% | 290    |  3.180% | 
 | 25   | Zapdos             |  5.98034% | 551    |  4.042% | 394    |  4.321% | 
 | 26   | Ninetales          |  5.89546% | 311    |  2.281% | 202    |  2.215% | 
 | 27   | Suicune            |  5.83777% | 331    |  2.428% | 225    |  2.467% | 
 | 28   | Salamence          |  5.48282% | 252    |  1.849% | 194    |  2.127% | 
 | 29   | Gengar-Mega        |  5.42668% | 1366   | 10.021% | 950    | 10.418% | 
 | 30   | Garchomp           |  5.41634% | 587    |  4.306% | 376    |  4.123% | 
 | 31   | Kyurem             |  5.25771% | 285    |  2.091% | 152    |  1.667% | 
 | 32   | Scizor             |  5.09406% | 343    |  2.516% | 213    |  2.336% | 
 | 33   | Victini            |  5.05768% | 523    |  3.837% | 329    |  3.608% | 
 | 34   | Terrakion          |  4.81033% | 376    |  2.758% | 220    |  2.413% | 
 | 35   | Magnezone          |  4.80462% | 254    |  1.863% | 174    |  1.908% | 
 | 36   | Tangrowth          |  4.77795% | 174    |  1.276% | 84     |  0.921% | 
 | 37   | Jirachi            |  4.64718% | 339    |  2.487% | 220    |  2.413% | 
 | 38   | Latias             |  4.32303% | 166    |  1.218% | 91     |  0.998% | 
 | 39   | Metagross          |  4.30568% | 358    |  2.626% | 186    |  2.040% | 
 | 40   | Chandelure         |  4.23496% | 229    |  1.680% | 167    |  1.831% | 
 | 41   | Ditto              |  4.09934% | 244    |  1.790% | 173    |  1.897% | 
 | 42   | Mienshao           |  4.02979% | 221    |  1.621% | 152    |  1.667% | 
 | 43   | Clefable           |  3.89436% | 245    |  1.797% | 165    |  1.809% | 
