 Total battles: 315331
 Avg. weight/team: 0.53
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Volcarona          |  9.49663% | 56760  |  9.000% | 38399  |  8.429% | 
 | 2    | Skarmory           |  8.41772% | 45981  |  7.291% | 37846  |  8.308% | 
 | 3    | Azumarill          |  7.98221% | 47422  |  7.519% | 33442  |  7.341% | 
 | 4    | Dragonite          |  7.94144% | 44972  |  7.131% | 31142  |  6.836% | 
 | 5    | Keldeo             |  7.75586% | 40373  |  6.402% | 27583  |  6.055% | 
 | 6    | Heatran            |  7.30399% | 40123  |  6.362% | 30953  |  6.795% | 
 | 7    | Infernape          |  7.26383% | 43354  |  6.874% | 33291  |  7.308% | 
 | 8    | Breloom            |  7.18088% | 45125  |  7.155% | 32368  |  7.105% | 
 | 9    | Galvantula         |  7.17407% | 42896  |  6.802% | 34468  |  7.566% | 
 | 10   | Gengar             |  7.04856% | 46570  |  7.384% | 33176  |  7.283% | 
 | 11   | Charizard-Mega-Y   |  7.00581% | 41573  |  6.592% | 30191  |  6.628% | 
 | 12   | Togekiss           |  6.70683% | 39387  |  6.245% | 27353  |  6.005% | 
 | 13   | Bisharp            |  6.60412% | 40077  |  6.355% | 27489  |  6.034% | 
 | 14   | Hydreigon          |  6.26295% | 39042  |  6.191% | 27042  |  5.936% | 
 | 15   | Victini            |  6.02790% | 31502  |  4.995% | 22933  |  5.034% | 
 | 16   | Venusaur-Mega      |  5.96170% | 38851  |  6.160% | 27387  |  6.012% | 
 | 17   | Heracross          |  5.85003% | 31416  |  4.981% | 20561  |  4.514% | 
 | 18   | Ferrothorn         |  5.62380% | 35575  |  5.641% | 29093  |  6.387% | 
 | 19   | Medicham-Mega      |  5.59214% | 30716  |  4.870% | 23049  |  5.060% | 
 | 20   | Excadrill          |  5.54322% | 30382  |  4.817% | 21680  |  4.759% | 
 | 21   | Kyurem-Black       |  5.39292% | 28240  |  4.478% | 20056  |  4.403% | 
 | 22   | Scizor-Mega        |  5.36559% | 30324  |  4.808% | 20885  |  4.585% | 
 | 23   | Terrakion          |  5.35506% | 27861  |  4.418% | 18697  |  4.104% | 
 | 24   | Zapdos             |  5.24621% | 29218  |  4.633% | 21919  |  4.812% | 
 | 25   | Weavile            |  5.23054% | 34174  |  5.419% | 24889  |  5.464% | 
 | 26   | Hawlucha           |  5.21694% | 31357  |  4.972% | 21799  |  4.785% | 
 | 27   | Staraptor          |  5.21241% | 30348  |  4.812% | 21270  |  4.669% | 
 | 28   | Scizor             |  5.16859% | 28613  |  4.537% | 19473  |  4.275% | 
 | 29   | Volcanion          |  5.14435% | 29648  |  4.701% | 21197  |  4.653% | 
 | 30   | Slowbro            |  4.85646% | 26249  |  4.162% | 18949  |  4.160% | 
 | 31   | Sableye            |  4.84207% | 29579  |  4.690% | 24035  |  5.276% | 
 | 32   | Klefki             |  4.84125% | 27521  |  4.364% | 23142  |  5.080% | 
 | 33   | Tentacruel         |  4.81474% | 31536  |  5.000% | 24534  |  5.386% | 
 | 34   | Jirachi            |  4.70704% | 25065  |  3.974% | 18396  |  4.038% | 
 | 35   | Mamoswine          |  4.67624% | 26158  |  4.148% | 19551  |  4.292% | 
 | 36   | Hoopa-Unbound      |  4.64191% | 23145  |  3.670% | 15988  |  3.510% | 
 | 37   | Magnezone          |  4.58885% | 27356  |  4.338% | 19727  |  4.330% | 
 | 38   | Nidoking           |  4.54614% | 29124  |  4.618% | 21008  |  4.612% | 
 | 39   | Lopunny-Mega       |  4.53420% | 28175  |  4.468% | 21778  |  4.781% | 
 | 40   | Scolipede          |  4.44058% | 28957  |  4.592% | 20477  |  4.495% | 
 | 41   | Garchomp           |  4.40010% | 24437  |  3.875% | 19504  |  4.282% | 
 | 42   | Forretress         |  4.39652% | 24852  |  3.941% | 21155  |  4.644% | 
 | 43   | Rotom-Wash         |  4.23840% | 25819  |  4.094% | 20164  |  4.426% | 
 | 44   | Chandelure         |  4.16445% | 29374  |  4.658% | 20855  |  4.578% | 
 | 45   | Gliscor            |  4.00250% | 26137  |  4.144% | 18949  |  4.160% | 
 | 46   | Diancie-Mega       |  3.99821% | 22298  |  3.536% | 16629  |  3.650% | 
 | 47   | Latios             |  3.96372% | 20195  |  3.202% | 13698  |  3.007% | 
 | 48   | Pinsir-Mega        |  3.95155% | 21184  |  3.359% | 13961  |  3.065% | 
 | 49   | Tyranitar          |  3.87603% | 22379  |  3.548% | 17129  |  3.760% | 
 | 50   | Mandibuzz          |  3.87212% | 20916  |  3.317% | 15738  |  3.455% | 
 | 51   | Drapion            |  3.86319% | 26748  |  4.241% | 19990  |  4.388% | 
 | 52   | Cloyster           |  3.79828% | 24371  |  3.864% | 17835  |  3.915% | 
 | 53   | Gardevoir-Mega     |  3.77972% | 23731  |  3.763% | 15314  |  3.362% | 
