 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Galvantula         | 44.90525% | 13873  | 27.127% | 
 | 2    | Armaldo            | 11.63249% | 2063   |  4.034% | 
 | 3    | Forretress         | 10.22472% | 8774   | 17.157% | 
 | 4    | Volcarona          |  7.17044% | 3802   |  7.434% | 
 | 5    | Shuckle            |  5.69524% | 5100   |  9.973% | 
 | 6    | Scizor             |  4.72983% | 1283   |  2.509% | 
 | 7    | Heracross          |  3.00751% | 1136   |  2.221% | 
 | 8    | Yanmega            |  2.12012% | 1315   |  2.571% | 
 | 9    | Scolipede          |  1.79607% | 2182   |  4.267% | 
 | 10   | Heracross-Mega     |  1.68822% | 771    |  1.508% | 
 | 11   | Scizor-Mega        |  1.66698% | 493    |  0.964% | 
 | 12   | Pinsir-Mega        |  1.09149% | 551    |  1.077% | 
 | 13   | Escavalier         |  0.98220% | 222    |  0.434% | 
 | 14   | Accelgor           |  0.91380% | 736    |  1.439% | 
 | 15   | Vivillon           |  0.80962% | 1403   |  2.743% | 
 | 16   | Crustle            |  0.41337% | 1120   |  2.190% | 
 | 17   | Volbeat            |  0.34261% | 811    |  1.586% | 
 | 18   | Durant             |  0.20692% | 367    |  0.718% | 
 | 19   | Beedrill-Mega      |  0.16790% | 540    |  1.056% | 
 | 20   | Venomoth           |  0.10717% | 281    |  0.549% | 
 | 21   | Illumise           |  0.09032% | 198    |  0.387% | 
 | 22   | Shedinja           |  0.07238% | 680    |  1.330% | 
 | 23   | Scyther            |  0.05676% | 406    |  0.794% | 
 | 24   | Leavanny           |  0.02591% | 367    |  0.718% | 
 | 25   | Ninjask            |  0.01725% | 536    |  1.048% | 
 | 26   | Ariados            |  0.01651% | 340    |  0.665% | 
 | 27   | Whirlipede         |  0.01243% | 116    |  0.227% | 
 | 28   | Pinsir             |  0.00582% | 71     |  0.139% | 
 | 29   | Parasect           |  0.00570% | 271    |  0.530% | 
 | 30   | Metapod            |  0.00536% | 45     |  0.088% | 
 | 31   | Vespiquen          |  0.00520% | 109    |  0.213% | 
 | 32   | Masquerain         |  0.00506% | 268    |  0.524% | 
 | 33   | Butterfree         |  0.00472% | 286    |  0.559% | 
 | 34   | Skorupi            |  0.00176% | 7      |  0.014% | 
 | 35   | Ledian             |  0.00101% | 102    |  0.199% | 
 | 36   | Surskit            |  0.00056% | 45     |  0.088% | 
 | 37   | Anorith            |  0.00027% | 4      |  0.008% | 
 | 38   | Wormadam-Trash     |  0.00025% | 35     |  0.068% | 
 | 39   | Beedrill           |  0.00020% | 67     |  0.131% | 
 | 40   | Pineco             |  0.00014% | 23     |  0.045% | 
 | 41   | Beautifly          |  0.00013% | 44     |  0.086% | 
 | 42   | Swadloon           |  0.00007% | 16     |  0.031% | 
 | 43   | Kricketune         |  0.00007% | 69     |  0.135% | 
 | 44   | Dustox             |  0.00006% | 53     |  0.104% | 
 | 45   | Wormadam-Sandy     |  0.00004% | 30     |  0.059% | 
 | 46   | Yanma              |  0.00002% | 18     |  0.035% | 
 | 47   | Weedle             |  0.00002% | 4      |  0.008% | 
 | 48   | Mothim             |  0.00001% | 22     |  0.043% | 
 | 49   | Venonat            |  0.00001% | 1      |  0.002% | 
 | 50   | Wormadam           |  0.00000% | 5      |  0.010% | 
 | 51   | Caterpie           |  0.00000% | 15     |  0.029% | 
 | 52   | Combee             |  0.00000% | 6      |  0.012% | 
 | 53   | Shelmet            |  0.00000% | 8      |  0.016% | 
 | 54   | Spinarak           |  0.00000% | 5      |  0.010% | 
 | 55   | Scatterbug         |  0.00000% | 10     |  0.020% | 
 | 56   | Joltik             |  0.00000% | 3      |  0.006% | 
 | 57   | Kakuna             |  0.00000% | 6      |  0.012% | 
 | 58   | Nincada            |  0.00000% | 1      |  0.002% | 
 | 59   | Larvesta           |  0.00000% | 3      |  0.006% | 
 | 60   | Paras              |  0.00000% | 1      |  0.002% | 
 | 61   | Kricketot          |  0.00000% | 4      |  0.008% | 
 | 62   | Wurmple            |  0.00000% | 1      |  0.002% | 
 | 63   | Venipede           |  0.00000% | 2      |  0.004% | 
 | 64   | Spewpa             |  0.00000% | 3      |  0.006% | 
 | 65   | Dwebble            |  0.00000% | 3      |  0.006% | 
 | 66   | Ledyba             |  0.00000% | 5      |  0.010% | 
 | 67   | Sewaddle           |  0.00000% | 3      |  0.006% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
