 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Sableye            | 12.68802% | 5407   | 12.688% | 
 | 2    | Tyranitar          |  9.48962% | 4044   |  9.490% | 
 | 3    | Weavile            |  8.05820% | 3434   |  8.058% | 
 | 4    | Bisharp            |  7.47624% | 3186   |  7.476% | 
 | 5    | Hydreigon          |  6.34284% | 2703   |  6.343% | 
 | 6    | Absol-Mega         |  5.64825% | 2407   |  5.648% | 
 | 7    | Krookodile         |  5.38777% | 2296   |  5.388% | 
 | 8    | Drapion            |  4.52658% | 1929   |  4.527% | 
 | 9    | Zoroark            |  4.21683% | 1797   |  4.217% | 
 | 10   | Tyranitar-Mega     |  3.54101% | 1509   |  3.541% | 
 | 11   | Mandibuzz          |  3.09281% | 1318   |  3.093% | 
 | 12   | Liepard            |  2.99425% | 1276   |  2.994% | 
 | 13   | Hoopa-Unbound      |  2.79714% | 1192   |  2.797% | 
 | 14   | Houndoom-Mega      |  2.62818% | 1120   |  2.628% | 
 | 15   | Umbreon            |  2.56482% | 1093   |  2.565% | 
 | 16   | Crawdaunt          |  2.36067% | 1006   |  2.361% | 
 | 17   | Scrafty            |  2.11663% | 902    |  2.117% | 
 | 18   | Malamar            |  2.08377% | 888    |  2.084% | 
 | 19   | Sharpedo-Mega      |  2.04388% | 871    |  2.044% | 
 | 20   | Spiritomb          |  2.00634% | 855    |  2.006% | 
 | 21   | Honchkrow          |  1.86789% | 796    |  1.868% | 
 | 22   | Sharpedo           |  1.11698% | 476    |  1.117% | 
 | 23   | Houndoom           |  1.10759% | 472    |  1.108% | 
 | 24   | Pangoro            |  0.65001% | 277    |  0.650% | 
 | 25   | Murkrow            |  0.60777% | 259    |  0.608% | 
 | 26   | Cacturne           |  0.58195% | 248    |  0.582% | 
 | 27   | Shiftry            |  0.57491% | 245    |  0.575% | 
 | 28   | Absol              |  0.53737% | 229    |  0.537% | 
 | 29   | Skuntank           |  0.42708% | 182    |  0.427% | 
 | 30   | Mightyena          |  0.20885% | 89     |  0.209% | 
 | 31   | Inkay              |  0.05866% | 25     |  0.059% | 
 | 32   | Sneasel            |  0.04928% | 21     |  0.049% | 
 | 33   | Purrloin           |  0.03285% | 14     |  0.033% | 
 | 34   | Scraggy            |  0.02581% | 11     |  0.026% | 
 | 35   | Pawniard           |  0.02347% | 10     |  0.023% | 
 | 36   | Zorua              |  0.02347% | 10     |  0.023% | 
 | 37   | Vullaby            |  0.01408% | 6      |  0.014% | 
 | 38   | Poochyena          |  0.00704% | 3      |  0.007% | 
 | 39   | Zweilous           |  0.00469% | 2      |  0.005% | 
 | 40   | Sandile            |  0.00469% | 2      |  0.005% | 
 | 41   | Carvanha           |  0.00469% | 2      |  0.005% | 
 | 42   | Nuzleaf            |  0.00235% | 1      |  0.002% | 
 | 43   | Deino              |  0.00235% | 1      |  0.002% | 
 | 44   | Krokorok           |  0.00235% | 1      |  0.002% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
